6015 87451
0 311 1
1 311 1
2 312 1
3 312 1
4 312 1
5 312 1
6 312 1
7 312 1
8 312 1
9 312 1
10 312 1
11 312 1
12 312 1
13 312 1
0 313 1
3 314 1
14 314 1
15 314 1
16 314 1
17 314 1
18 314 1
19 314 1
20 314 1
21 314 1
22 314 1
23 314 1
24 314 1
25 314 1
26 314 1
27 314 1
1 314 1
28 314 1
29 314 1
30 314 1
4 314 1
31 314 1
32 314 1
33 314 1
34 314 1
35 314 1
36 314 1
0 314 1
37 315 1
17 315 1
20 316 1
38 316 1
3 317 1
14 317 1
39 317 1
17 317 1
7 317 1
1 317 1
40 317 1
4 317 1
41 317 1
42 317 1
43 317 1
44 317 1
0 317 1
3 318 1
14 318 1
37 318 1
45 318 1
16 318 1
19 318 1
7 318 1
21 318 1
24 318 1
25 318 1
46 318 1
1 318 1
4 318 1
31 318 1
38 318 1
33 318 1
0 318 1
47 318 1
48 319 1
49 319 1
50 319 1
51 319 1
52 319 1
53 319 1
54 319 1
45 319 1
19 319 1
55 319 1
56 319 1
13 319 1
57 319 1
58 319 1
38 319 1
9 319 1
59 319 1
26 320 1
60 320 1
16 320 1
21 320 1
1 320 1
4 320 1
61 320 1
33 320 1
34 320 1
62 321 1
53 321 1
38 321 1
44 321 1
63 321 1
64 321 1
48 322 1
49 322 1
51 322 1
5 322 1
17 322 1
21 322 1
13 322 1
64 322 1
0 323 1
17 323 1
1 323 1
6 324 1
20 324 1
31 324 1
65 324 1
66 324 1
3 324 1
14 324 1
67 324 1
37 324 1
5 324 1
45 324 1
16 324 1
17 324 1
19 324 1
7 324 1
21 324 1
46 324 1
55 324 1
56 324 1
13 324 1
68 324 1
57 324 1
69 324 1
4 324 1
32 324 1
70 324 1
71 324 1
72 324 1
73 324 1
74 324 1
34 324 1
75 324 1
76 325 1
77 326 1
25 326 1
78 326 1
79 326 1
52 326 1
80 326 1
3 326 1
67 326 1
81 326 1
15 326 1
37 326 1
82 326 1
17 326 1
19 326 1
83 326 1
21 326 1
27 326 1
4 326 1
32 326 1
10 326 1
84 326 1
85 326 1
86 326 1
48 327 1
49 327 1
50 327 1
31 327 1
51 327 1
66 327 1
2 327 1
3 327 1
67 327 1
5 327 1
45 327 1
16 327 1
17 327 1
19 327 1
7 327 1
21 327 1
87 327 1
55 327 1
56 327 1
13 327 1
88 327 1
40 327 1
57 327 1
43 327 1
33 327 1
73 327 1
