6166 114663
0 268 1
1 268 1
2 268 1
3 268 1
4 268 1
5 269 1
6 269 1
7 269 1
8 269 1
9 269 1
10 269 1
11 269 1
12 269 1
13 269 1
14 269 1
15 269 1
16 269 1
17 269 1
18 270 1
3 270 1
3 271 1
1 271 1
2 271 1
6 272 1
19 272 1
20 272 1
21 272 1
22 272 1
23 272 1
24 272 1
25 272 1
26 272 1
27 272 1
28 272 1
4 272 1
29 272 1
30 272 1
8 272 1
31 272 1
32 272 1
33 272 1
34 272 1
35 272 1
2 272 1
36 273 1
22 273 1
37 273 1
38 273 1
24 274 1
39 274 1
6 275 1
19 275 1
40 275 1
22 275 1
11 275 1
4 275 1
41 275 1
8 275 1
42 275 1
43 275 1
44 275 1
45 275 1
2 275 1
6 276 1
19 276 1
36 276 1
46 276 1
21 276 1
23 276 1
11 276 1
25 276 1
26 276 1
47 276 1
4 276 1
8 276 1
31 276 1
39 276 1
33 276 1
2 276 1
48 277 1
7 277 1
49 277 1
18 277 1
50 277 1
51 277 1
52 277 1
53 277 1
54 277 1
55 277 1
56 277 1
57 277 1
58 277 1
59 277 1
60 277 1
61 277 1
62 277 1
63 277 1
3 277 1
64 277 1
65 277 1
66 277 1
67 277 1
68 277 1
69 277 1
70 277 1
71 277 1
46 277 1
23 277 1
72 277 1
0 277 1
73 277 1
74 277 1
17 277 1
75 277 1
76 277 1
77 277 1
78 277 1
79 277 1
80 277 1
81 277 1
82 277 1
83 277 1
39 277 1
84 277 1
13 277 1
38 277 1
85 277 1
86 277 1
87 277 1
1 277 1
88 277 1
27 278 1
64 278 1
89 278 1
21 278 1
25 278 1
4 278 1
8 278 1
33 278 1
34 278 1
90 279 1
69 279 1
39 279 1
45 279 1
91 279 1
92 279 1
7 280 1
49 280 1
52 280 1
53 280 1
55 280 1
61 280 1
63 280 1
93 280 1
3 280 1
65 280 1
70 280 1
9 280 1
22 280 1
25 280 1
94 280 1
17 280 1
75 280 1
79 280 1
84 280 1
86 280 1
1 280 1
92 280 1
2 281 1
22 281 1
4 281 1
10 282 1
18 282 1
24 282 1
31 282 1
61 282 1
95 282 1
3 282 1
67 282 1
89 282 1
96 282 1
6 282 1
19 282 1
97 282 1
36 282 1
9 282 1
46 282 1
21 282 1
22 282 1
23 282 1
11 282 1
25 282 1
47 282 1
98 282 1
73 282 1
74 282 1
17 282 1
99 282 1
77 282 1
100 282 1
8 282 1
32 282 1
101 282 1
102 282 1
103 282 1
104 282 1
105 282 1
34 282 1
106 282 1
107 283 1
108 284 1
109 284 1
57 284 1
110 284 1
62 284 1
3 284 1
111 284 1
112 284 1
66 284 1
68 284 1
113 284 1
6 284 1
97 284 1
114 284 1
20 284 1
36 284 1
115 284 1
22 284 1
23 284 1
116 284 1
25 284 1
28 284 1
8 284 1
32 284 1
83 284 1
14 284 1
86 284 1
117 284 1
1 284 1
118 284 1
119 284 1
48 285 1
7 285 1
49 285 1
18 285 1
50 285 1
51 285 1
52 285 1
53 285 1
120 285 1
121 285 1
55 285 1
56 285 1
57 285 1
122 285 1
123 285 1
59 285 1
31 285 1
61 285 1
62 285 1
93 285 1
3 285 1
65 285 1
67 285 1
124 285 1
96 285 1
70 285 1
71 285 1
5 285 1
6 285 1
97 285 1
9 285 1
46 285 1
21 285 1
22 285 1
23 285 1
11 285 1
25 285 1
125 285 1
0 285 1
98 285 1
126 285 1
73 285 1
74 285 1
17 285 1
75 285 1
76 285 1
127 285 1
41 285 1
77 285 1
79 285 1
81 285 1
83 285 1
44 285 1
33 285 1
104 285 1
105 285 1
34 285 1
106 285 1
38 285 1
86 285 1
87 285 1
1 285 1
128 285 1
118 285 1
92 285 1
48 286 1
7 286 1
107 286 1
55 286 1
56 286 1
123 286 1
59 286 1
3 286 1
112 286 1
68 286 1
69 286 1
2 286 1
36 286 1
21 286 1
73 286 1
74 286 1
17 286 1
28 286 1
100 286 1
79 286 1
83 286 1
87 286 1
1 286 1
26 287 1
36 287 1
21 287 1
23 287 1
99 287 1
100 288 1
7 289 1
49 289 1
50 289 1
54 289 1
55 289 1
129 289 1
130 289 1
61 289 1
131 289 1
64 289 1
65 289 1
16 289 1
69 289 1
70 289 1
71 289 1
132 289 1
9 289 1
21 289 1
22 289 1
0 289 1
75 289 1
127 289 1
4 289 1
99 289 1
77 289 1
79 289 1
133 289 1
134 289 1
44 289 1
33 289 1
34 289 1
106 289 1
38 289 1
1 289 1
118 289 1
92 289 1
119 289 1
135 290 1
108 290 1
7 290 1
49 290 1
136 290 1
137 290 1
52 290 1
24 290 1
120 290 1
55 290 1
26 290 1
57 290 1
138 290 1
139 290 1
58 290 1
140 290 1
31 290 1
63 290 1
93 290 1
3 290 1
112 290 1
64 290 1
16 290 1
66 290 1
67 290 1
124 290 1
68 290 1
69 290 1
89 290 1
2 290 1
70 290 1
71 290 1
6 290 1
97 290 1
114 290 1
20 290 1
141 290 1
142 290 1
115 290 1
46 290 1
21 290 1
22 290 1
23 290 1
11 290 1
25 290 1
143 290 1
0 290 1
94 290 1
73 290 1
144 290 1
75 290 1
76 290 1
4 290 1
145 290 1
99 290 1
100 290 1
30 290 1
8 290 1
79 290 1
32 290 1
83 290 1
39 290 1
146 290 1
147 290 1
84 290 1
44 290 1
33 290 1
105 290 1
45 290 1
35 290 1
106 290 1
38 290 1
148 290 1
86 290 1
87 290 1
1 290 1
128 290 1
118 290 1
149 290 1
150 290 1
