5993 91414
0 230 1
1 230 1
2 231 1
3 231 1
4 231 1
5 231 1
6 231 1
7 231 1
8 231 1
9 231 1
10 231 1
11 231 1
12 231 1
13 231 1
0 232 1
14 233 1
3 233 1
15 233 1
16 233 1
17 233 1
18 233 1
19 233 1
20 233 1
21 233 1
22 233 1
23 233 1
24 233 1
1 233 1
25 233 1
26 233 1
4 233 1
27 233 1
28 233 1
29 233 1
30 233 1
31 233 1
32 233 1
0 233 1
33 234 1
18 234 1
20 235 1
34 235 1
3 236 1
15 236 1
35 236 1
18 236 1
7 236 1
1 236 1
36 236 1
4 236 1
37 236 1
38 236 1
39 236 1
40 236 1
0 236 1
3 237 1
15 237 1
33 237 1
41 237 1
17 237 1
19 237 1
7 237 1
21 237 1
22 237 1
42 237 1
1 237 1
4 237 1
27 237 1
34 237 1
29 237 1
0 237 1
43 238 1
44 238 1
45 238 1
46 238 1
30 238 1
47 238 1
48 238 1
49 238 1
41 238 1
19 238 1
50 238 1
51 238 1
13 238 1
52 238 1
53 238 1
34 238 1
9 238 1
54 238 1
23 239 1
17 239 1
21 239 1
1 239 1
4 239 1
29 239 1
31 239 1
43 240 1
55 240 1
49 240 1
34 240 1
40 240 1
56 240 1
57 240 1
14 241 1
44 241 1
45 241 1
47 241 1
5 241 1
18 241 1
21 241 1
13 241 1
57 241 1
0 242 1
18 242 1
1 242 1
6 243 1
20 243 1
58 243 1
27 243 1
59 243 1
60 243 1
3 243 1
15 243 1
61 243 1
33 243 1
5 243 1
41 243 1
17 243 1
18 243 1
19 243 1
7 243 1
21 243 1
42 243 1
50 243 1
51 243 1
13 243 1
62 243 1
52 243 1
63 243 1
4 243 1
28 243 1
64 243 1
65 243 1
66 243 1
67 243 1
68 243 1
31 243 1
69 243 1
14 244 1
70 244 1
71 245 1
72 245 1
73 245 1
74 245 1
30 245 1
48 245 1
75 245 1
3 245 1
61 245 1
76 245 1
16 245 1
33 245 1
77 245 1
18 245 1
19 245 1
78 245 1
21 245 1
24 245 1
79 245 1
4 245 1
53 245 1
28 245 1
10 245 1
80 245 1
81 245 1
82 245 1
83 245 1
14 246 1
44 246 1
45 246 1
46 246 1
84 246 1
27 246 1
47 246 1
60 246 1
2 246 1
3 246 1
61 246 1
5 246 1
41 246 1
17 246 1
18 246 1
19 246 1
7 246 1
21 246 1
85 246 1
50 246 1
51 246 1
13 246 1
86 246 1
36 246 1
52 246 1
39 246 1
29 246 1
67 246 1
68 246 1
31 246 1
69 246 1
54 246 1
87 246 1
81 246 1
57 246 1
14 247 1
70 247 1
45 247 1
46 247 1
74 247 1
48 247 1
49 247 1
0 247 1
33 247 1
17 247 1
50 247 1
51 247 1
13 247 1
24 247 1
63 247 1
54 247 1
22 248 1
33 248 1
17 248 1
19 248 1
62 248 1
14 249 1
63 249 1
14 250 1
45 250 1
88 250 1
89 250 1
90 250 1
47 250 1
12 250 1
49 250 1
91 250 1
5 250 1
17 250 1
18 250 1
86 250 1
1 250 1
62 250 1
52 250 1
92 250 1
93 250 1
39 250 1
29 250 1
31 250 1
69 250 1
81 250 1
57 250 1
82 250 1
83 250 1
94 251 1
71 251 1
43 251 1
95 251 1
96 251 1
20 251 1
97 251 1
45 251 1
22 251 1
98 251 1
99 251 1
100 251 1
27 251 1
74 251 1
12 251 1
48 251 1
49 251 1
0 251 1
3 251 1
