6459 153295
0 534 1
1 534 1
2 535 1
3 535 1
4 535 1
5 535 1
6 535 1
7 535 1
8 535 1
9 535 1
10 535 1
11 535 1
12 535 1
13 535 1
14 535 1
15 535 1
16 536 1
17 536 1
18 536 1
19 537 1
20 537 1
21 537 1
0 537 1
3 538 1
22 538 1
23 538 1
24 538 1
25 538 1
26 538 1
27 538 1
28 538 1
29 538 1
30 538 1
31 538 1
32 538 1
33 538 1
12 538 1
34 538 1
35 538 1
36 538 1
37 538 1
1 538 1
38 538 1
39 538 1
4 538 1
40 538 1
41 538 1
42 538 1
43 538 1
44 538 1
45 538 1
0 538 1
46 538 1
47 539 1
25 539 1
28 540 1
48 540 1
49 540 1
3 541 1
22 541 1
50 541 1
25 541 1
7 541 1
1 541 1
51 541 1
4 541 1
52 541 1
53 541 1
54 541 1
55 541 1
56 541 1
0 541 1
3 542 1
22 542 1
47 542 1
57 542 1
24 542 1
26 542 1
7 542 1
29 542 1
32 542 1
58 542 1
1 542 1
59 542 1
4 542 1
40 542 1
49 542 1
43 542 1
0 542 1
60 543 1
61 543 1
8 543 1
62 543 1
63 543 1
64 543 1
33 543 1
12 543 1
65 543 1
66 543 1
67 543 1
68 543 1
52 543 1
69 543 1
70 543 1
71 543 1
72 543 1
21 543 1
73 543 1
57 543 1
26 543 1
74 543 1
75 543 1
15 543 1
76 543 1
77 543 1
19 543 1
78 543 1
49 543 1
10 543 1
79 543 1
80 543 1
18 543 1
81 543 1
82 544 1
67 544 1
35 544 1
69 544 1
46 544 1
24 544 1
29 544 1
1 544 1
4 544 1
43 544 1
44 544 1
83 545 1
73 545 1
49 545 1
56 545 1
84 545 1
85 545 1
86 545 1
8 546 1
62 546 1
87 546 1
64 546 1
70 546 1
5 546 1
25 546 1
29 546 1
15 546 1
85 546 1
18 546 1
71 547 1
0 547 1
25 547 1
88 547 1
30 547 1
1 547 1
89 547 1
6 548 1
28 548 1
90 548 1
91 548 1
40 548 1
92 548 1
71 548 1
93 548 1
46 548 1
3 548 1
22 548 1
94 548 1
47 548 1
5 548 1
57 548 1
24 548 1
25 548 1
26 548 1
7 548 1
29 548 1
30 548 1
58 548 1
74 548 1
75 548 1
15 548 1
95 548 1
77 548 1
96 548 1
97 548 1
4 548 1
41 548 1
98 548 1
99 548 1
100 548 1
101 548 1
102 548 1
44 548 1
103 548 1
18 548 1
104 549 1
105 549 1
34 549 1
106 550 1
107 550 1
108 550 1
109 550 1
110 550 1
68 550 1
111 550 1
112 550 1
113 550 1
72 550 1
114 550 1
115 550 1
3 550 1
94 550 1
116 550 1
23 550 1
47 550 1
117 550 1
118 550 1
25 550 1
26 550 1
119 550 1
29 550 1
120 550 1
121 550 1
48 550 1
36 550 1
37 550 1
122 550 1
4 550 1
19 550 1
78 550 1
123 550 1
124 550 1
125 550 1
41 550 1
126 550 1
11 550 1
127 550 1
128 550 1
129 550 1
130 550 1
8 551 1
62 551 1
64 551 1
65 551 1
40 551 1
16 551 1
70 551 1
71 551 1
21 551 1
93 551 1
2 551 1
3 551 1
94 551 1
5 551 1
57 551 1
24 551 1
25 551 1
26 551 1
7 551 1
29 551 1
131 551 1
74 551 1
75 551 1
