6201 121074
0 314 1
1 314 1
2 314 1
3 314 1
4 314 1
5 314 1
6 314 1
7 314 1
8 314 1
9 314 1
10 314 1
11 314 1
12 314 1
13 314 1
14 314 1
15 314 1
16 315 1
17 315 1
18 315 1
19 315 1
20 315 1
21 315 1
22 315 1
23 315 1
24 315 1
25 315 1
26 315 1
27 315 1
28 316 1
12 317 1
17 318 1
29 318 1
30 318 1
31 318 1
32 318 1
33 318 1
34 318 1
35 318 1
36 318 1
37 318 1
38 318 1
15 318 1
39 318 1
40 318 1
18 318 1
41 318 1
42 318 1
43 318 1
44 318 1
45 318 1
46 318 1
3 318 1
47 318 1
12 318 1
48 319 1
49 319 1
50 319 1
6 319 1
51 319 1
32 319 1
7 319 1
9 319 1
4 319 1
8 319 1
28 319 1
52 319 1
53 319 1
54 319 1
55 319 1
56 319 1
57 319 1
58 319 1
1 319 1
59 319 1
13 319 1
34 320 1
60 320 1
17 321 1
29 321 1
61 321 1
32 321 1
21 321 1
15 321 1
62 321 1
63 321 1
18 321 1
64 321 1
65 321 1
66 321 1
67 321 1
12 321 1
17 322 1
29 322 1
48 322 1
68 322 1
31 322 1
33 322 1
21 322 1
35 322 1
36 322 1
69 322 1
15 322 1
18 322 1
41 322 1
60 322 1
44 322 1
12 322 1
9 323 1
70 323 1
71 323 1
72 323 1
2 323 1
4 323 1
73 323 1
74 323 1
75 323 1
76 323 1
28 323 1
77 323 1
78 323 1
79 323 1
80 323 1
81 323 1
56 323 1
1 323 1
82 323 1
83 323 1
3 323 1
59 323 1
84 323 1
85 323 1
11 323 1
13 323 1
5 323 1
49 323 1
86 323 1
87 323 1
6 323 1
51 323 1
68 323 1
7 323 1
33 323 1
88 323 1
8 323 1
89 323 1
90 323 1
91 323 1
27 323 1
92 323 1
93 323 1
94 323 1
95 323 1
96 323 1
60 323 1
43 323 1
23 323 1
57 323 1
97 323 1
98 323 1
37 324 1
99 324 1
81 324 1
31 324 1
35 324 1
15 324 1
18 324 1
43 324 1
44 324 1
45 324 1
100 325 1
3 325 1
85 325 1
60 325 1
67 325 1
101 325 1
102 325 1
70 326 1
71 326 1
72 326 1
82 326 1
3 326 1
19 326 1
32 326 1
35 326 1
27 326 1
102 326 1
12 327 1
32 327 1
15 327 1
20 328 1
34 328 1
41 328 1
103 328 1
104 328 1
17 328 1
29 328 1
105 328 1
48 328 1
19 328 1
51 328 1
68 328 1
31 328 1
32 328 1
33 328 1
21 328 1
35 328 1
106 328 1
69 328 1
89 328 1
91 328 1
27 328 1
107 328 1
63 328 1
95 328 1
108 328 1
18 328 1
42 328 1
109 328 1
110 328 1
111 328 1
112 328 1
113 328 1
45 328 1
114 328 1
115 328 1
116 329 1
115 329 1
117 330 1
4 330 1
118 330 1
75 330 1
119 330 1
84 330 1
120 330 1
17 330 1
105 330 1
121 330 1
30 330 1
48 330 1
122 330 1
32 330 1
33 330 1
123 330 1
35 330 1
38 330 1
18 330 1
42 330 1
24 330 1
124 330 1
125 330 1
126 330 1
50 331 1
9 331 1
70 331 1
72 331 1
2 331 1
4 331 1
73 331 1
74 331 1
76 331 1
28 331 1
127 331 1
77 331 1
78 331 1
128 331 1
41 331 1
80 331 1
82 331 1
3 331 1
10 331 1
11 331 1
104 331 1
13 331 1
14 331 1
16 331 1
17 331 1
105 331 1
87 331 1
19 331 1
51 331 1
68 331 1
31 331 1
32 331 1
7 331 1
33 331 1
21 331 1
35 331 1
129 331 1
89 331 1
91 331 1
27 331 1
130 331 1
62 331 1
95 331 1
43 331 1
66 331 1
