6149 112268
0 293 1
1 293 1
2 294 1
3 294 1
4 294 1
5 294 1
6 294 1
7 294 1
8 294 1
9 294 1
10 294 1
11 294 1
12 294 1
13 294 1
14 294 1
15 294 1
3 295 1
0 296 1
4 297 1
16 297 1
17 297 1
18 297 1
19 297 1
20 297 1
21 297 1
22 297 1
23 297 1
24 297 1
25 297 1
26 297 1
27 297 1
28 297 1
1 297 1
29 297 1
30 297 1
31 297 1
5 297 1
32 297 1
33 297 1
34 297 1
35 297 1
36 297 1
37 297 1
38 297 1
0 297 1
39 298 1
19 298 1
3 299 1
22 299 1
40 299 1
4 300 1
16 300 1
41 300 1
19 300 1
8 300 1
27 300 1
1 300 1
42 300 1
5 300 1
43 300 1
44 300 1
45 300 1
46 300 1
47 300 1
0 300 1
4 301 1
16 301 1
39 301 1
48 301 1
18 301 1
20 301 1
8 301 1
24 301 1
25 301 1
49 301 1
1 301 1
5 301 1
32 301 1
40 301 1
35 301 1
0 301 1
3 302 1
50 302 1
51 302 1
52 302 1
53 302 1
54 302 1
27 302 1
55 302 1
36 302 1
56 302 1
57 302 1
58 302 1
59 302 1
48 302 1
20 302 1
60 302 1
61 302 1
15 302 1
62 302 1
40 302 1
10 302 1
63 302 1
64 303 1
26 303 1
18 303 1
24 303 1
1 303 1
30 303 1
5 303 1
35 303 1
37 303 1
50 304 1
65 304 1
59 304 1
40 304 1
46 304 1
66 304 1
67 304 1
3 305 1
51 305 1
53 305 1
56 305 1
47 305 1
6 305 1
68 305 1
19 305 1
69 305 1
24 305 1
15 305 1
67 305 1
47 306 1
0 306 1
19 306 1
1 306 1
3 307 1
7 307 1
21 307 1
22 307 1
70 307 1
27 307 1
71 307 1
72 307 1
32 307 1
73 307 1
74 307 1
75 307 1
76 307 1
4 307 1
16 307 1
77 307 1
39 307 1
6 307 1
48 307 1
18 307 1
19 307 1
20 307 1
8 307 1
69 307 1
24 307 1
78 307 1
49 307 1
60 307 1
61 307 1
15 307 1
79 307 1
62 307 1
80 307 1
30 307 1
81 307 1
5 307 1
33 307 1
82 307 1
83 307 1
84 307 1
85 307 1
86 307 1
37 307 1
87 307 1
14 307 1
88 307 1
89 308 1
52 308 1
90 309 1
21 309 1
91 309 1
92 309 1
93 309 1
94 309 1
36 309 1
95 309 1
57 309 1
58 309 1
96 309 1
4 309 1
77 309 1
97 309 1
17 309 1
39 309 1
98 309 1
19 309 1
20 309 1
99 309 1
24 309 1
28 309 1
5 309 1
33 309 1
11 309 1
100 309 1
101 309 1
102 309 1
3 310 1
51 310 1
53 310 1
54 310 1
64 310 1
32 310 1
56 310 1
47 310 1
75 310 1
2 310 1
4 310 1
77 310 1
6 310 1
68 310 1
48 310 1
18 310 1
19 310 1
20 310 1
8 310 1
24 310 1
103 310 1
60 310 1
61 310 1
15 310 1
104 310 1
42 310 1
62 310 1
45 310 1
35 310 1
85 310 1
86 310 1
37 310 1
87 310 1
63 310 1
105 310 1
101 310 1
67 310 1
3 311 1
21 311 1
89 311 1
53 311 1
54 311 1
94 311 1
58 311 1
59 311 1
0 311 1
106 311 1
39 311 1
68 311 1
18 311 1
60 311 1
61 311 1
15 311 1
28 311 1
80 311 1
30 311 1
81 311 1
14 311 1
63 311 1
107 311 1
3 312 1
25 312 1
39 312 1
18 312 1
20 312 1
79 312 1
81 313 1
3 314 1
108 314 1
109 314 1
21 314 1
53 314 1
110 314 1
111 314 1
73 314 1
112 314 1
56 314 1
13 314 1
59 314 1
106 314 1
113 314 1
6 314 1
114 314 1
18 314 1
19 314 1
78 314 1
104 314 1
1 314 1
79 314 1
62 314 1
30 314 1
115 314 1
116 314 1
45 314 1
35 314 1
37 314 1
87 314 1
14 314 1
101 314 1
67 314 1
102 314 1
117 315 1
90 315 1
3 315 1
50 315 1
118 315 1
119 315 1
21 315 1
22 315 1
52 315 1
53 315 1
25 315 1
120 315 1
121 315 1
122 315 1
32 315 1
123 315 1
55 315 1
93 315 1
124 315 1
125 315 1
94 315 1
13 315 1
57 315 1
58 315 1
59 315 1
0 315 1
4 315 1
77 315 1
97 315 1
17 315 1
126 315 1
127 315 1
98 315 1
48 315 1
18 315 1
19 315 1
20 315 1
8 315 1
24 315 1
78 315 1
128 315 1
60 315 1
129 315 1
1 315 1
130 315 1
79 315 1
81 315 1
131 315 1
31 315 1
5 315 1
33 315 1
40 315 1
132 315 1
133 315 1
45 315 1
35 315 1
86 315 1
46 315 1
38 315 1
87 315 1
134 315 1
63 315 1
105 315 1
101 315 1
135 315 1
102 315 1
3 316 1
51 316 1
53 316 1
122 316 1
56 316 1
59 316 1
0 316 1
19 316 1
24 316 1
61 316 1
1 316 1
5 316 1
44 316 1
40 316 1
21 317 1
0 317 1
39 317 1
