6672 222368
0 651 1
1 651 1
2 651 1
3 651 1
4 651 1
5 651 1
6 651 1
7 652 1
8 652 1
9 652 1
10 652 1
11 652 1
12 652 1
13 652 1
14 652 1
15 652 1
16 652 1
17 652 1
18 652 1
19 652 1
20 652 1
21 652 1
22 652 1
23 652 1
24 652 1
25 652 1
26 652 1
27 652 1
28 652 1
29 652 1
30 652 1
31 652 1
32 652 1
33 652 1
34 652 1
35 652 1
36 652 1
37 652 1
38 652 1
39 652 1
40 652 1
41 652 1
42 652 1
10 653 1
25 653 1
1 653 1
39 653 1
43 653 1
10 654 1
5 654 1
44 655 1
45 655 1
9 655 1
46 655 1
47 655 1
48 655 1
49 655 1
50 655 1
51 655 1
52 655 1
53 655 1
54 655 1
55 655 1
56 655 1
57 655 1
58 655 1
59 655 1
60 655 1
61 655 1
62 655 1
63 655 1
64 655 1
65 655 1
66 655 1
67 655 1
6 655 1
68 655 1
69 655 1
70 655 1
11 655 1
71 655 1
4 655 1
72 655 1
73 655 1
20 655 1
74 655 1
75 655 1
76 655 1
77 655 1
78 655 1
79 655 1
80 655 1
81 655 1
5 655 1
82 655 1
83 655 1
41 655 1
84 655 1
85 656 1
86 656 1
87 656 1
88 656 1
53 656 1
3 656 1
16 656 1
89 656 1
60 656 1
90 656 1
91 656 1
92 656 1
93 656 1
39 656 1
43 656 1
94 656 1
95 656 1
10 656 1
96 656 1
97 656 1
98 656 1
99 656 1
100 656 1
101 656 1
23 656 1
102 656 1
103 656 1
104 656 1
0 656 1
105 656 1
29 656 1
106 656 1
107 656 1
108 656 1
35 656 1
109 656 1
56 657 1
60 657 1
34 657 1
72 657 1
110 657 1
44 658 1
9 658 1
46 658 1
111 658 1
112 658 1
53 658 1
18 658 1
113 658 1
25 658 1
60 658 1
114 658 1
115 658 1
33 658 1
116 658 1
117 658 1
63 658 1
118 658 1
119 658 1
120 658 1
39 658 1
6 658 1
121 658 1
7 658 1
122 658 1
10 658 1
11 658 1
4 658 1
17 658 1
123 658 1
124 658 1
125 658 1
20 658 1
100 658 1
101 658 1
126 658 1
26 658 1
127 658 1
128 658 1
29 658 1
129 658 1
5 658 1
9 659 1
46 659 1
111 659 1
87 659 1
130 659 1
52 659 1
54 659 1
18 659 1
58 659 1
25 659 1
60 659 1
62 659 1
90 659 1
131 659 1
132 659 1
133 659 1
118 659 1
6 659 1
10 659 1
11 659 1
71 659 1
134 659 1
4 659 1
98 659 1
110 659 1
76 659 1
104 659 1
135 659 1
136 659 1
129 659 1
35 659 1
5 659 1
137 660 1
138 660 1
88 660 1
139 660 1
140 660 1
141 660 1
142 660 1
143 660 1
21 660 1
144 660 1
145 660 1
24 660 1
25 660 1
146 660 1
1 660 1
147 660 1
90 660 1
148 660 1
149 660 1
43 660 1
7 660 1
150 660 1
14 660 1
15 660 1
99 660 1
151 660 1
152 660 1
102 660 1
104 660 1
0 660 1
153 660 1
154 660 1
155 660 1
107 660 1
108 660 1
35 660 1
156 660 1
157 660 1
158 660 1
41 660 1
84 660 1
159 660 1
160 660 1
86 660 1
130 660 1
3 660 1
54 660 1
161 660 1
162 660 1
114 660 1
163 660 1
116 660 1
63 660 1
164 660 1
118 660 1
165 660 1
166 660 1
167 660 1
37 660 1
39 660 1
168 660 1
169 660 1
170 660 1
171 660 1
172 660 1
173 660 1
10 660 1
174 660 1
4 660 1
123 660 1
110 660 1
22 660 1
23 660 1
103 660 1
29 660 1
106 660 1
175 660 1
176 660 1
177 660 1
136 660 1
178 660 1
42 660 1
16 661 1
139 661 1
25 661 1
1 661 1
90 661 1
131 661 1
65 661 1
179 661 1
180 661 1
102 661 1
181 661 1
182 661 1
41 661 1
84 661 1
52 661 1
183 661 1
58 661 1
116 661 1
184 661 1
6 661 1
11 661 1
174 661 1
185 661 1
76 661 1
77 661 1
29 661 1
136 661 1
186 661 1
40 661 1
187 662 1
157 662 1
110 662 1
127 662 1
188 662 1
189 662 1
42 662 1
142 663 1
1 663 1
28 663 1
147 663 1
190 663 1
154 663 1
191 663 1
111 663 1
12 663 1
53 663 1
192 663 1
58 663 1
34 663 1
37 663 1
39 663 1
10 663 1
193 663 1
72 663 1
23 663 1
194 663 1
189 663 1
195 664 1
196 664 1
5 664 1
53 664 1
197 664 1
59 664 1
6 664 1
29 664 1
198 665 1
13 665 1
139 665 1
140 665 1
199 665 1
56 665 1
25 665 1
131 665 1
200 665 1
201 665 1
71 665 1
14 665 1
202 665 1
100 665 1
182 665 1
203 665 1
41 665 1
84 665 1
9 665 1
46 665 1
204 665 1
87 665 1
12 665 1
130 665 1
52 665 1
53 665 1
54 665 1
18 665 1
58 665 1
162 665 1
59 665 1
114 665 1
132 665 1
34 665 1
91 665 1
118 665 1
166 665 1
167 665 1
37 665 1
39 665 1
205 665 1
172 665 1
173 665 1
206 665 1
10 665 1
11 665 1
73 665 1
207 665 1
208 665 1
209 665 1
210 665 1
211 665 1
212 665 1
77 665 1
213 665 1
29 665 1
32 665 1
214 666 1
198 666 1
215 666 1
199 666 1
216 666 1
