6333 148068
0 342 1
1 342 1
2 342 1
3 342 1
4 343 1
5 343 1
6 343 1
7 343 1
8 343 1
9 343 1
10 343 1
11 343 1
12 343 1
13 343 1
14 343 1
15 343 1
16 343 1
2 343 1
17 343 1
18 343 1
19 343 1
20 343 1
21 343 1
22 343 1
23 343 1
24 343 1
25 343 1
26 343 1
27 343 1
28 343 1
29 343 1
7 344 1
22 344 1
7 345 1
2 345 1
22 345 1
1 345 1
6 346 1
30 346 1
31 346 1
32 346 1
33 346 1
34 346 1
35 346 1
36 346 1
37 346 1
38 346 1
21 346 1
39 346 1
40 346 1
41 346 1
3 346 1
42 346 1
43 346 1
8 346 1
44 346 1
45 346 1
46 346 1
2 346 1
47 346 1
48 346 1
49 346 1
1 346 1
29 346 1
50 347 1
35 347 1
7 347 1
51 347 1
52 347 1
53 347 1
26 347 1
37 348 1
22 348 1
51 348 1
13 348 1
54 348 1
2 348 1
6 349 1
30 349 1
55 349 1
35 349 1
14 349 1
56 349 1
21 349 1
57 349 1
58 349 1
0 349 1
3 349 1
59 349 1
60 349 1
7 349 1
8 349 1
13 349 1
61 349 1
62 349 1
2 349 1
52 349 1
63 349 1
64 349 1
1 349 1
6 350 1
30 350 1
50 350 1
65 350 1
34 350 1
36 350 1
14 350 1
38 350 1
39 350 1
66 350 1
0 350 1
3 350 1
7 350 1
8 350 1
44 350 1
54 350 1
46 350 1
2 350 1
47 350 1
53 350 1
67 350 1
26 350 1
1 350 1
32 351 1
68 351 1
69 351 1
17 351 1
19 351 1
22 351 1
70 351 1
71 351 1
72 351 1
73 351 1
74 351 1
12 351 1
75 351 1
53 351 1
76 351 1
26 351 1
77 351 1
27 351 1
78 351 1
29 351 1
79 351 1
65 351 1
36 351 1
0 351 1
80 351 1
81 351 1
82 351 1
28 351 1
83 351 1
84 351 1
85 351 1
7 351 1
13 351 1
86 351 1
54 351 1
18 351 1
67 351 1
87 351 1
88 351 1
89 352 1
40 352 1
29 352 1
34 352 1
38 352 1
3 352 1
8 352 1
13 352 1
47 352 1
48 352 1
90 352 1
91 353 1
78 353 1
54 353 1
64 353 1
67 353 1
92 353 1
93 353 1
69 354 1
94 354 1
22 354 1
70 354 1
76 354 1
27 354 1
10 354 1
35 354 1
38 354 1
0 354 1
28 354 1
83 354 1
7 354 1
13 354 1
2 354 1
67 354 1
93 354 1
95 355 1
1 355 1
35 355 1
3 355 1
11 356 1
37 356 1
22 356 1
58 356 1
44 356 1
96 356 1
52 356 1
27 356 1
97 356 1
29 356 1
6 356 1
30 356 1
98 356 1
50 356 1
10 356 1
65 356 1
34 356 1
35 356 1
36 356 1
99 356 1
14 356 1
38 356 1
21 356 1
66 356 1
0 356 1
80 356 1
81 356 1
28 356 1
100 356 1
85 356 1
101 356 1
7 356 1
51 356 1
8 356 1
13 356 1
45 356 1
102 356 1
86 356 1
103 356 1
2 356 1
104 356 1
105 356 1
106 356 1
48 356 1
107 356 1
108 357 1
52 357 1
109 358 1
17 358 1
22 358 1
110 358 1
73 358 1
74 358 1
111 358 1
77 358 1
27 358 1
112 358 1
29 358 1
6 358 1
98 358 1
113 358 1
31 358 1
50 358 1
114 358 1
35 358 1
36 358 1
115 358 1
38 358 1
116 358 1
0 358 1
82 358 1
41 358 1
7 358 1
8 358 1
13 358 1
45 358 1
2 358 1
20 358 1
117 358 1
118 358 1
119 358 1
69 359 1
17 359 1
22 359 1
70 359 1
89 359 1
71 359 1
44 359 1
52 359 1
76 359 1
26 359 1
27 359 1
120 359 1
97 359 1
121 359 1
122 359 1
123 359 1
5 359 1
6 359 1
98 359 1
10 359 1
65 359 1
34 359 1
35 359 1
36 359 1
14 359 1
38 359 1
0 359 1
124 359 1
80 359 1
81 359 1
28 359 1
82 359 1
84 359 1
125 359 1
60 359 1
126 359 1
85 359 1
7 359 1
51 359 1
13 359 1
2 359 1
63 359 1
47 359 1
105 359 1
106 359 1
48 359 1
107 359 1
87 359 1
127 359 1
128 359 1
118 359 1
93 359 1
88 359 1
129 359 1
108 360 1
94 360 1
22 360 1
70 360 1
71 360 1
74 360 1
111 360 1
77 360 1
78 360 1
1 360 1
29 360 1
50 360 1
34 360 1
0 360 1
80 360 1
81 360 1
28 360 1
82 360 1
41 360 1
101 360 1
7 360 1
13 360 1
2 360 1
87 360 1
25 360 1
39 361 1
50 361 1
34 361 1
36 361 1
100 361 1
51 361 1
13 361 1
2 361 1
130 362 1
101 362 1
7 362 1
17 363 1
22 363 1
70 363 1
58 363 1
131 363 1
132 363 1
133 363 1
76 363 1
24 363 1
27 363 1
78 363 1
123 363 1
134 363 1
10 363 1
34 363 1
35 363 1
82 363 1
135 363 1
125 363 1
3 363 1
100 363 1
126 363 1
85 363 1
7 363 1
51 363 1
136 363 1
137 363 1
13 363 1
138 363 1
139 363 1
63 363 1
47 363 1
48 363 1
107 363 1
118 363 1
93 363 1
88 363 1
119 363 1
140 364 1
109 364 1
141 364 1
142 364 1
143 364 1
37 364 1
22 364 1
70 364 1
39 364 1
58 364 1
144 364 1
145 364 1
73 364 1
146 364 1
44 364 1
111 364 1
24 364 1
147 364 1
77 364 1
27 364 1
78 364 1
1 364 1
6 364 1
98 364 1
113 364 1
31 364 1
148 364 1
149 364 1
114 364 1
65 364 1
34 364 1
35 364 1
36 364 1
14 364 1
38 364 1
150 364 1
80 364 1
151 364 1
82 364 1
83 364 1
3 364 1
152 364 1
100 364 1
101 364 1
43 364 1
8 364 1
45 364 1
54 364 1
153 364 1
139 364 1
154 364 1
63 364 1
47 364 1
106 364 1
64 364 1
49 364 1
107 364 1
155 364 1
87 364 1
25 364 1
128 364 1
118 364 1
88 364 1
156 364 1
119 364 1
69 365 1
95 365 1
70 365 1
89 365 1
146 365 1
52 365 1
53 365 1
76 365 1
26 365 1
78 365 1
1 365 1
35 365 1
38 365 1
0 365 1
81 365 1
3 365 1
8 365 1
13 365 1
62 365 1
54 365 1
2 365 1
25 365 1
127 365 1
157 366 1
22 366 1
158 366 1
159 366 1
27 366 1
1 366 1
123 366 1
50 366 1
135 366 1
7 366 1
51 366 1
136 366 1
13 366 1
2 366 1
88 366 1
109 367 1
91 367 1
22 367 1
160 367 1
70 367 1
89 367 1
58 367 1
96 367 1
161 367 1
111 367 1
27 367 1
29 367 1
122 367 1
123 367 1
6 367 1
162 367 1
60 367 1
126 367 1
85 367 1
101 367 1
102 367 1
86 367 1
46 367 1
18 367 1
90 367 1
25 367 1
140 368 1
32 368 1
141 368 1
163 368 1
94 368 1
75 368 1
133 368 1
53 368 1
78 368 1
36 368 1
83 368 1
9 368 1
109 369 1
22 369 1
52 369 1
53 369 1
114 369 1
34 369 1
36 369 1
38 369 1
0 369 1
82 369 1
164 369 1
3 369 1
7 369 1
165 369 1
20 369 1
166 370 1
94 370 1
22 370 1
167 370 1
74 370 1
146 370 1
