5295 44211
0 178 1
1 178 1
2 178 1
3 179 1
4 180 1
2 180 1
2 181 1
1 181 1
5 182 1
6 182 1
7 182 1
8 182 1
9 182 1
10 182 1
11 183 1
12 183 1
13 184 1
8 184 1
14 184 1
15 185 1
3 185 1
16 185 1
4 185 1
17 185 1
18 185 1
19 185 1
20 185 1
21 185 1
22 185 1
23 185 1
24 185 1
25 185 1
26 185 1
27 185 1
2 185 1
28 185 1
29 185 1
30 185 1
31 185 1
32 185 1
33 185 1
13 185 1
34 185 1
0 185 1
35 185 1
36 185 1
37 185 1
38 185 1
39 185 1
40 185 1
41 185 1
42 185 1
43 185 1
44 185 1
12 185 1
45 185 1
46 185 1
1 185 1
47 185 1
48 186 1
28 186 1
49 186 1
50 186 1
3 187 1
16 187 1
19 187 1
25 187 1
27 187 1
51 187 1
2 187 1
32 187 1
52 187 1
35 187 1
38 187 1
44 187 1
46 187 1
1 187 1
4 188 1
25 188 1
2 188 1
30 188 1
49 188 1
13 188 1
53 188 1
8 189 1
21 189 1
54 189 1
26 189 1
2 189 1
55 189 1
29 189 1
43 189 1
46 189 1
1 189 1
15 190 1
3 190 1
16 190 1
4 190 1
17 190 1
18 190 1
19 190 1
56 190 1
57 190 1
21 190 1
58 190 1
59 190 1
23 190 1
25 190 1
26 190 1
51 190 1
2 190 1
30 190 1
60 190 1
32 190 1
33 190 1
13 190 1
61 190 1
0 190 1
53 190 1
35 190 1
36 190 1
38 190 1
40 190 1
43 190 1
12 190 1
46 190 1
1 190 1
15 191 1
3 191 1
62 191 1
59 191 1
23 191 1
2 191 1
38 191 1
43 191 1
1 191 1
3 192 1
16 192 1
17 192 1
62 192 1
20 192 1
25 192 1
28 192 1
32 192 1
33 192 1
0 192 1
35 192 1
38 192 1
12 192 1
1 192 1
3 193 1
16 193 1
63 193 1
19 193 1
62 193 1
56 193 1
8 193 1
21 193 1
22 193 1
27 193 1
51 193 1
2 193 1
28 193 1
29 193 1
30 193 1
60 193 1
49 193 1
32 193 1
33 193 1
13 193 1
0 193 1
52 193 1
35 193 1
36 193 1
38 193 1
43 193 1
44 193 1
64 193 1
65 193 1
12 193 1
46 193 1
1 193 1
66 193 1
3 194 1
62 194 1
2 194 1
28 194 1
0 194 1
38 194 1
12 194 1
3 195 1
67 195 1
2 195 1
55 195 1
60 195 1
49 195 1
31 195 1
15 196 1
3 196 1
16 196 1
68 196 1
22 196 1
2 196 1
28 196 1
30 196 1
49 196 1
61 196 1
0 196 1
38 196 1
12 196 1
1 196 1
19 197 1
20 197 1
2 197 1
28 197 1
35 197 1
36 197 1
38 197 1
12 197 1
1 197 1
2 198 1
28 198 1
0 198 1
1 198 1
2 199 1
33 199 1
36 199 1
8 200 1
69 200 1
1 200 1
62 201 1
28 201 1
38 201 1
54 202 1
4 203 1
5 203 1
63 203 1
62 203 1
2 203 1
28 203 1
29 203 1
33 203 1
0 203 1
1 203 1
16 204 1
28 204 1
12 204 1
1 204 1
23 205 1
49 205 1
12 205 1
3 206 1
70 206 1
5 206 1
63 206 1
62 206 1
6 206 1
67 206 1
48 206 1
54 206 1
2 206 1
49 206 1
31 206 1
71 206 1
0 206 1
72 206 1
64 206 1
12 206 1
46 206 1
1 206 1
49 207 1
12 207 1
73 208 1
16 209 1
4 209 1
19 209 1
74 209 1
25 209 1
52 209 1
38 209 1
44 209 1
46 209 1
3 210 1
2 210 1
3 211 1
4 211 1
62 211 1
21 211 1
58 211 1
22 211 1
25 211 1
51 211 1
2 211 1
28 211 1
29 211 1
49 211 1
33 211 1
13 211 1
34 211 1
0 211 1
36 211 1
37 211 1
38 211 1
43 211 1
44 211 1
12 211 1
46 211 1
1 211 1
15 212 1
3 212 1
16 212 1
19 212 1
21 212 1
22 212 1
24 212 1
25 212 1
2 212 1
28 212 1
30 212 1
60 212 1
32 212 1
33 212 1
34 212 1
0 212 1
36 212 1
11 212 1
38 212 1
43 212 1
44 212 1
45 212 1
46 212 1
1 212 1
47 212 1
15 213 1
16 213 1
22 213 1
24 213 1
28 213 1
37 213 1
12 213 1
3 214 1
75 214 1
16 215 1
4 215 1
19 215 1
56 215 1
21 215 1
68 215 1
23 215 1
25 215 1
26 215 1
28 215 1
49 215 1
33 215 1
71 215 1
53 215 1
45 215 1
3 215 1
17 215 1
18 215 1
67 215 1
22 215 1
76 215 1
27 215 1
51 215 1
2 215 1
29 215 1
30 215 1
13 215 1
0 215 1
52 215 1
35 215 1
37 215 1
38 215 1
43 215 1
44 215 1
12 215 1
46 215 1
1 215 1
14 215 1
3 216 1
17 216 1
64 216 1
46 216 1
3 217 1
16 218 1
4 218 1
5 218 1
19 218 1
56 218 1
20 218 1
21 218 1
58 218 1
23 218 1
25 218 1
77 218 1
26 218 1
28 218 1
60 218 1
49 218 1
33 218 1
34 218 1
78 218 1
3 218 1
17 218 1
79 218 1
67 218 1
54 218 1
80 218 1
27 218 1
51 218 1
2 218 1
29 218 1
30 218 1
32 218 1
61 218 1
0 218 1
35 218 1
36 218 1
37 218 1
11 218 1
38 218 1
43 218 1
44 218 1
12 218 1
46 218 1
1 218 1
47 218 1
2 219 1
48 220 1
48 221 1
16 222 1
62 222 1
21 222 1
28 222 1
49 222 1
33 222 1
34 222 1
3 222 1
17 222 1
8 222 1
2 222 1
29 222 1
13 222 1
35 222 1
36 222 1
38 222 1
43 222 1
44 222 1
46 222 1
1 222 1
81 223 1
2 223 1
1 223 1
19 224 1
3 224 1
30 224 1
52 224 1
59 225 1
16 226 1
4 226 1
19 226 1
62 226 1
28 226 1
71 226 1
15 226 1
3 226 1
2 226 1
