4613 26171
0 154 1
1 155 1
2 155 1
3 155 1
4 155 1
5 155 1
6 155 1
7 155 1
8 155 1
9 155 1
3 156 1
6 156 1
10 156 1
11 157 1
8 157 1
12 157 1
3 157 1
13 157 1
14 157 1
15 158 1
16 158 1
11 159 1
1 160 1
17 161 1
3 161 1
1 162 1
18 163 1
6 163 1
19 163 1
20 163 1
8 163 1
21 163 1
3 163 1
22 163 1
23 163 1
13 163 1
0 163 1
24 163 1
25 163 1
1 164 1
26 164 1
3 164 1
1 165 1
27 165 1
3 166 1
1 167 1
1 168 1
27 168 1
25 168 1
28 169 1
18 169 1
11 169 1
29 169 1
30 169 1
27 169 1
31 169 1
6 169 1
32 169 1
3 169 1
13 169 1
33 169 1
34 169 1
25 169 1
1 170 1
27 170 1
1 171 1
12 171 1
18 172 1
1 173 1
28 173 1
11 173 1
30 173 1
35 173 1
36 173 1
31 173 1
8 173 1
37 173 1
38 173 1
39 173 1
3 173 1
40 173 1
13 173 1
18 174 1
20 174 1
39 174 1
3 174 1
0 174 1
25 174 1
11 175 1
13 175 1
6 176 1
3 176 1
41 176 1
27 177 1
3 178 1
11 179 1
2 179 1
29 179 1
30 179 1
35 179 1
27 179 1
31 179 1
26 179 1
42 179 1
38 179 1
39 179 1
40 179 1
43 179 1
0 179 1
11 180 1
38 180 1
1 181 1
44 181 1
2 181 1
29 181 1
27 181 1
4 181 1
19 181 1
15 181 1
45 181 1
12 181 1
46 181 1
3 181 1
47 181 1
13 181 1
33 181 1
48 182 1
3 183 1
1 184 1
27 185 1
13 185 1
1 186 1
25 186 1
49 187 1
1 188 1
8 188 1
46 188 1
3 188 1
50 188 1
13 188 1
10 188 1
11 189 1
31 189 1
33 189 1
3 190 1
1 191 1
28 191 1
18 191 1
2 191 1
8 191 1
37 191 1
38 191 1
3 191 1
25 191 1
19 191 1
13 191 1
15 192 1
3 193 1
15 193 1
27 194 1
31 194 1
8 194 1
3 194 1
25 194 1
6 194 1
13 194 1
11 195 1
31 195 1
51 195 1
20 195 1
8 195 1
39 195 1
3 195 1
0 195 1
30 195 1
13 195 1
3 196 1
19 196 1
1 197 1
11 197 1
27 197 1
31 197 1
26 197 1
20 197 1
8 197 1
37 197 1
38 197 1
39 197 1
46 197 1
3 197 1
0 197 1
30 197 1
19 197 1
17 197 1
45 197 1
52 197 1
53 197 1
13 197 1
24 197 1
1 198 1
54 198 1
12 198 1
13 198 1
1 199 1
50 199 1
0 200 1
27 201 1
1 202 1
3 203 1
11 204 1
31 204 1
20 204 1
8 204 1
3 204 1
19 204 1
15 204 1
3 205 1
3 206 1
19 206 1
11 207 1
55 207 1
31 207 1
20 207 1
8 207 1
38 207 1
3 207 1
22 207 1
0 207 1
30 207 1
15 207 1
40 207 1
3 208 1
1 209 1
8 209 1
56 210 1
26 211 1
7 212 1
20 213 1
0 213 1
13 213 1
20 214 1
8 214 1
3 214 1
19 214 1
17 214 1
1 215 1
1 216 1
18 217 1
3 218 1
28 219 1
11 219 1
57 219 1
20 219 1
8 219 1
37 219 1
38 219 1
39 219 1
3 219 1
22 219 1
0 219 1
30 219 1
23 219 1
13 220 1
1 221 1
18 221 1
8 221 1
37 221 1
39 221 1
30 221 1
1 222 1
28 223 1
11 223 1
31 223 1
8 223 1
38 223 1
3 223 1
40 223 1
47 223 1
13 223 1
58 224 1
39 225 1
3 226 1
3 227 1
15 227 1
47 227 1
1 228 1
28 228 1
18 228 1
11 228 1
57 228 1
55 228 1
36 228 1
26 228 1
20 228 1
8 228 1
59 228 1
37 228 1
38 228 1
39 228 1
3 228 1
22 228 1
0 228 1
30 228 1
45 228 1
53 228 1
23 228 1
40 228 1
13 228 1
60 229 1
1 230 1
1 231 1
25 231 1
13 231 1
56 231 1
1 232 1
40 232 1
13 232 1
1 233 1
13 234 1
1 235 1
18 235 1
11 235 1
31 235 1
26 235 1
8 235 1
38 235 1
3 235 1
0 235 1
19 235 1
17 235 1
45 235 1
40 235 1
24 235 1
18 236 1
28 237 1
18 238 1
39 238 1
61 239 1
11 239 1
3 239 1
25 239 1
1 240 1
18 240 1
11 240 1
31 240 1
3 240 1
40 240 1
13 240 1
3 241 1
1 242 1
28 242 1
29 242 1
27 242 1
38 242 1
39 242 1
3 242 1
7 242 1
16 242 1
25 242 1
44 242 1
6 242 1
15 242 1
48 242 1
40 242 1
33 242 1
10 242 1
3 243 1
1 244 1
19 244 1
1 245 1
11 245 1
2 245 1
54 245 1
27 245 1
4 245 1
62 245 1
37 245 1
39 245 1
3 245 1
25 245 1
63 245 1
64 245 1
48 245 1
65 245 1
13 245 1
66 245 1
56 245 1
1 246 1
8 246 1
3 246 1
19 246 1
28 247 1
18 247 1
55 247 1
3 247 1
22 247 1
30 247 1
35 247 1
19 247 1
1 248 1
2 248 1
27 248 1
46 248 1
3 248 1
0 248 1
25 248 1
67 248 1
