5892 84296
0 449 1
1 449 1
2 450 1
3 450 1
4 450 1
5 451 1
6 451 1
7 451 1
8 452 1
9 452 1
10 452 1
11 452 1
12 452 1
13 452 1
14 452 1
1 452 1
15 452 1
16 452 1
17 452 1
18 452 1
19 452 1
20 452 1
21 452 1
22 452 1
23 453 1
24 454 1
15 455 1
25 455 1
26 455 1
27 456 1
28 456 1
0 456 1
29 456 1
14 456 1
1 456 1
30 456 1
31 456 1
32 456 1
24 456 1
33 456 1
34 456 1
7 456 1
35 456 1
36 456 1
5 456 1
37 456 1
38 456 1
39 456 1
4 456 1
40 456 1
41 457 1
31 457 1
42 457 1
33 457 1
22 457 1
43 457 1
44 458 1
0 459 1
45 459 1
4 459 1
34 460 1
46 460 1
12 460 1
47 460 1
48 461 1
49 461 1
34 461 1
22 461 1
12 461 1
50 461 1
51 461 1
52 461 1
53 461 1
4 461 1
54 462 1
16 462 1
55 463 1
56 463 1
57 463 1
15 463 1
32 463 1
58 463 1
59 463 1
60 463 1
61 463 1
62 463 1
63 463 1
23 463 1
17 463 1
64 463 1
5 463 1
37 463 1
65 463 1
66 463 1
67 463 1
68 463 1
69 463 1
0 464 1
2 464 1
34 464 1
7 464 1
70 464 1
37 464 1
4 464 1
27 465 1
71 465 1
72 465 1
73 465 1
74 465 1
75 465 1
76 465 1
77 465 1
78 465 1
3 465 1
79 465 1
29 465 1
41 465 1
54 465 1
14 465 1
1 465 1
80 465 1
48 465 1
81 465 1
82 465 1
83 465 1
84 465 1
85 465 1
30 465 1
31 465 1
86 465 1
87 465 1
88 465 1
33 465 1
89 465 1
90 465 1
7 465 1
91 465 1
92 465 1
93 465 1
94 465 1
46 465 1
95 465 1
12 465 1
13 465 1
96 465 1
97 465 1
23 465 1
6 465 1
98 465 1
99 465 1
100 465 1
51 465 1
52 465 1
5 465 1
37 465 1
101 465 1
66 465 1
67 465 1
102 465 1
39 465 1
47 465 1
103 465 1
40 465 1
50 466 1
52 467 1
104 468 1
3 468 1
79 468 1
14 468 1
1 468 1
16 468 1
105 468 1
106 468 1
