5204 49241
0 221 1
1 221 1
2 221 1
3 221 1
4 221 1
5 221 1
6 221 1
7 221 1
8 221 1
9 221 1
10 221 1
11 221 1
12 221 1
13 221 1
14 222 1
15 223 1
16 223 1
17 223 1
18 223 1
19 223 1
20 223 1
3 223 1
21 223 1
22 223 1
23 224 1
24 224 1
6 224 1
25 224 1
7 224 1
9 224 1
4 224 1
8 224 1
14 224 1
26 224 1
27 224 1
28 224 1
29 224 1
30 224 1
31 224 1
32 224 1
1 224 1
33 224 1
12 224 1
34 225 1
18 226 1
35 226 1
9 227 1
36 227 1
2 227 1
4 227 1
37 227 1
38 227 1
39 227 1
14 227 1
40 227 1
41 227 1
42 227 1
43 227 1
44 227 1
30 227 1
1 227 1
45 227 1
3 227 1
33 227 1
11 227 1
46 227 1
12 227 1
5 227 1
23 227 1
47 227 1
48 227 1
6 227 1
25 227 1
7 227 1
49 227 1
8 227 1
50 227 1
51 227 1
52 227 1
53 227 1
54 227 1
55 227 1
20 227 1
31 227 1
56 227 1
57 228 1
58 228 1
44 228 1
59 228 1
20 228 1
3 229 1
36 230 1
3 230 1
25 231 1
60 231 1
34 231 1
61 231 1
61 232 1
4 233 1
18 233 1
38 233 1
24 234 1
9 234 1
2 234 1
4 234 1
37 234 1
39 234 1
14 234 1
62 234 1
40 234 1
41 234 1
63 234 1
43 234 1
3 234 1
10 234 1
11 234 1
12 234 1
13 234 1
48 234 1
25 234 1
7 234 1
20 234 1
61 234 1
9 235 1
64 235 1
2 235 1
4 235 1
65 235 1
37 235 1
39 235 1
14 235 1
40 235 1
41 235 1
43 235 1
44 235 1
3 235 1
11 235 1
13 235 1
25 235 1
55 235 1
61 235 1
9 236 1
61 236 1
64 237 1
14 237 1
40 237 1
58 237 1
44 237 1
3 237 1
8 237 1
66 238 1
64 238 1
0 238 1
4 238 1
18 238 1
38 238 1
63 238 1
20 238 1
67 238 1
68 238 1
64 239 1
38 239 1
14 239 1
58 239 1
3 239 1
25 239 1
69 239 1
55 239 1
9 240 1
46 240 1
9 241 1
4 241 1
14 241 1
70 241 1
44 241 1
30 241 1
33 241 1
71 241 1
12 241 1
6 241 1
25 241 1
7 241 1
55 241 1
31 241 1
40 242 1
38 243 1
39 243 1
72 243 1
3 243 1
53 243 1
20 243 1
55 244 1
18 245 1
58 245 1
73 245 1
36 246 1
64 246 1
37 246 1
38 246 1
39 246 1
42 246 1
72 246 1
51 246 1
74 247 1
20 247 1
31 247 1
15 248 1
66 248 1
75 248 1
64 248 1
2 248 1
4 248 1
39 248 1
76 248 1
77 248 1
44 248 1
30 248 1
1 248 1
3 248 1
33 248 1
12 248 1
6 248 1
25 248 1
78 248 1
79 248 1
31 248 1
14 249 1
3 249 1
71 249 1
12 249 1
80 250 1
4 250 1
37 250 1
39 250 1
14 250 1
41 250 1
81 250 1
58 250 1
42 250 1
76 250 1
82 250 1
1 250 1
45 250 1
3 250 1
33 250 1
12 250 1
13 250 1
83 250 1
5 250 1
23 250 1
6 250 1
84 250 1
85 250 1
49 250 1
51 250 1
53 250 1
55 250 1
86 250 1
87 251 1
15 251 1
66 251 1
9 251 1
64 251 1
16 251 1
4 251 1
37 251 1
57 251 1
14 251 1
44 251 1
46 251 1
88 251 1
89 251 1
86 251 1
20 251 1
67 251 1
39 252 1
14 252 1
30 252 1
33 252 1
74 252 1
53 252 1
31 252 1
24 253 1
9 253 1
43 253 1
90 253 1
33 253 1
25 253 1
7 253 1
31 253 1
81 254 1
3 254 1
79 254 1
24 255 1
64 256 1
58 256 1
3 256 1
55 256 1
61 257 1
36 258 1
2 258 1
65 258 1
38 258 1
39 258 1
62 258 1
40 258 1
91 258 1
3 258 1
11 258 1
12 258 1
23 258 1
92 258 1
28 258 1
55 258 1
20 258 1
9 259 1
38 259 1
14 259 1
93 259 1
91 259 1
1 259 1
33 259 1
12 259 1
83 259 1
7 259 1
69 259 1
8 259 1
79 259 1
53 259 1
94 259 1
95 260 1
9 261 1
36 261 1
2 261 1
4 261 1
37 261 1
14 261 1
62 261 1
40 261 1
41 261 1
81 261 1
58 261 1
96 261 1
72 261 1
43 261 1
1 261 1
3 261 1
33 261 1
10 261 1
88 261 1
8 261 1
53 261 1
92 261 1
61 261 1
65 261 1
97 261 1
44 261 1
98 261 1
11 261 1
12 261 1
13 261 1
6 261 1
25 261 1
7 261 1
99 261 1
49 261 1
51 261 1
52 261 1
55 261 1
35 261 1
0 262 1
2 262 1
4 262 1
14 262 1
10 262 1
8 262 1
61 262 1
25 262 1
67 262 1
36 263 1
40 263 1
9 264 1
74 264 1
15 265 1
9 265 1
0 265 1
2 265 1
4 265 1
37 265 1
39 265 1
14 265 1
40 265 1
41 265 1
81 265 1
96 265 1
72 265 1
43 265 1
1 265 1
3 265 1
33 265 1
10 265 1
60 265 1
8 265 1
50 265 1
61 265 1
24 265 1
80 265 1
65 265 1
38 265 1
100 265 1
26 265 1
101 265 1
63 265 1
44 265 1
32 265 1
11 265 1
12 265 1
13 265 1
23 265 1
47 265 1
48 265 1
6 265 1
25 265 1
7 265 1
69 265 1
28 265 1
20 265 1
31 265 1
22 265 1
42 266 1
57 267 1
9 268 1
57 268 1
25 268 1
36 269 1
0 269 1
38 269 1
20 269 1
64 270 1
0 270 1
2 270 1
4 270 1
37 270 1
40 270 1
58 270 1
42 270 1
70 270 1
3 270 1
80 270 1
18 270 1
38 270 1
63 270 1
44 270 1
11 270 1
99 270 1
55 270 1
0 271 1
102 271 1
39 271 1
40 271 1
58 271 1
42 271 1
93 271 1
72 271 1
1 271 1
3 271 1
33 271 1
83 271 1
5 271 1
84 271 1
53 271 1
75 271 1
38 271 1
103 271 1
82 271 1
30 271 1
32 271 1
104 271 1
12 271 1
6 271 1
79 271 1
51 271 1
105 271 1
55 271 1
86 271 1
31 271 1
106 271 1
64 272 1
2 272 1
40 272 1
42 272 1
33 272 1
88 272 1
53 272 1
38 272 1
26 272 1
107 272 1
103 272 1
44 272 1
30 272 1
13 272 1
6 272 1
99 272 1
108 272 1
49 272 1
52 272 1
55 272 1
86 272 1
31 272 1
109 273 1
46 273 1
110 274 1
9 275 1
4 275 1
81 275 1
70 275 1
97 275 1
55 275 1
36 276 1
0 276 1
38 276 1
20 276 1
36 277 1
64 278 1
37 278 1
42 278 1
111 278 1
38 278 1
30 278 1
49 278 1
61 279 1
20 279 1
22 280 1
14 281 1
81 281 1
43 281 1
70 281 1
38 281 1
12 281 1
42 282 1
57 282 1
12 282 1
49 282 1
105 282 1
9 283 1
0 283 1
2 283 1
4 283 1
37 283 1
39 283 1
14 283 1
62 283 1
40 283 1
41 283 1
112 283 1
43 283 1
3 283 1
10 283 1
74 283 1
113 283 1
8 283 1
92 283 1
61 283 1
24 283 1
11 283 1
12 283 1
13 283 1
23 283 1
48 283 1
25 283 1
7 283 1
20 283 1
114 283 1
9 284 1
36 284 1
0 284 1
2 284 1
110 284 1
37 284 1
39 284 1
14 284 1
41 284 1
93 284 1
72 284 1
43 284 1
1 284 1
45 284 1
3 284 1
10 284 1
5 284 1
84 284 1
74 284 1
8 284 1
53 284 1
92 284 1
26 284 1
115 284 1
103 284 1
82 284 1
30 284 1
32 284 1
104 284 1
11 284 1
116 284 1
13 284 1
23 284 1
47 284 1
48 284 1
6 284 1
25 284 1
69 284 1
78 284 1
28 284 1
86 284 1
20 284 1
117 284 1
74 285 1
0 286 1
110 286 1
8 286 1
25 286 1
7 286 1
76 287 1
57 287 1
117 287 1
74 288 1
61 288 1
40 289 1
118 289 1
24 290 1
80 290 1
6 290 1
25 290 1
31 290 1
19 291 1
48 291 1
110 292 1
60 292 1
61 292 1
20 292 1
49 293 1
9 294 1
36 294 1
0 294 1
2 294 1
4 294 1
37 294 1
39 294 1
14 294 1
62 294 1
119 294 1
40 294 1
41 294 1
96 294 1
93 294 1
72 294 1
112 294 1
43 294 1
70 294 1
1 294 1
3 294 1
33 294 1
71 294 1
10 294 1
8 294 1
53 294 1
92 294 1
61 294 1
24 294 1
80 294 1
75 294 1
38 294 1
27 294 1
63 294 1
30 294 1
104 294 1
11 294 1
116 294 1
12 294 1
13 294 1
23 294 1
47 294 1
48 294 1
6 294 1
25 294 1
7 294 1
69 294 1
79 294 1
51 294 1
34 294 1
28 294 1
20 294 1
31 294 1
120 294 1
121 294 1
9 295 1
4 295 1
24 295 1
25 295 1
7 295 1
20 296 1
34 297 1
37 298 1
3 298 1
12 298 1
2 299 1
40 299 1
76 299 1
77 299 1
45 299 1
3 299 1
83 299 1
84 299 1
53 299 1
75 299 1
103 299 1
105 299 1
38 300 1
9 301 1
110 301 1
39 301 1
3 301 1
25 301 1
3 302 1
4 303 1
49 303 1
122 303 1
40 304 1
74 304 1
38 304 1
20 304 1
55 305 1
39 306 1
14 306 1
1 306 1
84 306 1
53 306 1
44 306 1
2 307 1
42 307 1
3 307 1
53 307 1
103 307 1
30 307 1
13 307 1
6 307 1
49 307 1
89 307 1
40 308 1
38 308 1
51 308 1
20 308 1
123 308 1
36 309 1
2 309 1
39 309 1
40 309 1
3 309 1
83 309 1
12 309 1
6 309 1
25 309 1
49 309 1
51 309 1
52 309 1
20 309 1
57 310 1
25 310 1
89 310 1
9 311 1
2 311 1
4 311 1
37 311 1
39 311 1
40 311 1
41 311 1
43 311 1
74 311 1
11 311 1
116 311 1
48 311 1
25 311 1
120 311 1
124 312 1
38 312 1
9 313 1
0 313 1
2 313 1
4 313 1
37 313 1
39 313 1
14 313 1
40 313 1
41 313 1
58 313 1
93 313 1
43 313 1
125 313 1
1 313 1
3 313 1
8 313 1
53 313 1
92 313 1
30 313 1
12 313 1
13 313 1
23 313 1
47 313 1
48 313 1
