5485 48088
0 214 1
1 214 1
2 214 1
0 215 1
3 216 1
4 216 1
5 216 1
6 216 1
7 216 1
8 216 1
9 216 1
10 216 1
11 216 1
12 216 1
13 216 1
14 216 1
15 216 1
16 216 1
0 217 1
10 218 1
17 218 1
18 218 1
19 218 1
4 219 1
9 219 1
20 219 1
0 220 1
21 220 1
22 220 1
10 220 1
23 220 1
14 220 1
24 220 1
25 220 1
4 220 1
26 220 1
27 221 1
28 221 1
11 221 1
29 221 1
15 221 1
21 222 1
0 223 1
19 223 1
30 223 1
31 223 1
19 224 1
0 225 1
1 225 1
5 225 1
32 225 1
10 225 1
33 225 1
34 225 1
35 225 1
36 225 1
4 225 1
31 225 1
37 225 1
38 225 1
11 225 1
39 225 1
40 225 1
15 225 1
2 225 1
41 225 1
22 226 1
5 227 1
9 227 1
42 227 1
43 227 1
44 227 1
14 227 1
45 227 1
24 227 1
4 227 1
46 227 1
0 228 1
27 228 1
19 228 1
30 228 1
4 228 1
17 228 1
40 228 1
15 228 1
0 229 1
5 229 1
47 229 1
48 229 1
30 229 1
38 229 1
11 229 1
39 229 1
2 229 1
49 229 1
0 230 1
4 230 1
39 231 1
0 232 1
50 232 1
51 232 1
5 232 1
47 232 1
35 232 1
48 232 1
52 232 1
37 232 1
11 232 1
15 232 1
2 232 1
0 233 1
21 233 1
53 233 1
5 233 1
47 233 1
22 233 1
9 233 1
54 233 1
23 233 1
44 233 1
55 233 1
56 233 1
24 233 1
4 233 1
37 233 1
39 233 1
57 233 1
58 233 1
40 233 1
59 233 1
0 234 1
47 234 1
5 235 1
25 235 1
0 236 1
51 236 1
32 236 1
34 236 1
60 236 1
31 236 1
37 236 1
61 236 1
17 236 1
38 236 1
39 236 1
2 236 1
41 236 1
21 237 1
14 237 1
4 237 1
62 237 1
0 238 1
43 238 1
23 238 1
63 238 1
4 238 1
21 239 1
9 240 1
19 240 1
4 240 1
64 240 1
0 241 1
65 241 1
47 241 1
22 241 1
4 242 1
21 243 1
3 243 1
53 243 1
66 243 1
47 243 1
22 243 1
27 243 1
10 243 1
54 243 1
23 243 1
13 243 1
55 243 1
24 243 1
36 243 1
67 243 1
68 243 1
37 243 1
69 243 1
70 243 1
41 243 1
52 244 1
39 244 1
2 244 1
21 245 1
6 245 1
71 245 1
22 245 1
23 245 1
56 245 1
72 245 1
11 245 1
15 245 1
73 245 1
74 245 1
0 246 1
75 246 1
3 246 1
53 246 1
5 246 1
47 246 1
71 246 1
7 246 1
42 246 1
28 246 1
24 246 1
76 246 1
25 246 1
77 246 1
4 246 1
11 246 1
39 246 1
78 246 1
58 246 1
40 246 1
2 246 1
41 246 1
0 247 1
0 248 1
79 248 1
4 249 1
11 249 1
15 249 1
30 250 1
48 251 1
38 251 1
0 252 1
5 252 1
47 252 1
44 252 1
24 252 1
80 252 1
0 253 1
50 253 1
10 253 1
23 253 1
44 253 1
55 253 1
24 253 1
61 253 1
39 253 1
81 253 1
22 254 1
55 254 1
56 254 1
82 254 1
83 254 1
48 255 1
84 255 1
38 255 1
49 255 1
0 256 1
1 256 1
34 256 1
54 256 1
44 256 1
14 256 1
24 256 1
85 256 1
77 256 1
52 256 1
30 256 1
4 256 1
37 256 1
38 256 1
2 256 1
51 256 1
5 256 1
32 256 1
10 256 1
86 256 1
13 256 1
36 256 1
60 256 1
87 256 1
83 256 1
20 256 1
0 257 1
21 257 1
44 257 1
58 257 1
0 258 1
48 258 1
4 259 1
0 260 1
1 260 1
18 260 1
31 260 1
0 261 1
3 261 1
54 261 1
23 261 1
44 261 1
55 261 1
14 261 1
24 261 1
85 261 1
52 261 1
4 261 1
37 261 1
88 261 1
89 261 1
17 261 1
39 261 1
18 261 1
40 261 1
15 261 1
80 261 1
70 261 1
73 261 1
2 261 1
50 261 1
51 261 1
5 261 1
90 261 1
32 261 1
42 261 1
13 261 1
91 261 1
92 261 1
87 261 1
61 261 1
57 261 1
41 261 1
83 261 1
22 262 1
28 263 1
4 264 1
28 264 1
0 265 1
47 266 1
71 266 1
27 266 1
54 266 1
23 266 1
93 266 1
44 266 1
14 266 1
94 266 1
24 266 1
4 266 1
11 266 1
80 266 1
70 266 1
2 266 1
5 266 1
32 266 1
9 266 1
13 266 1
31 266 1
21 267 1
22 267 1
95 267 1
43 267 1
54 267 1
23 267 1
14 267 1
24 267 1
4 267 1
89 267 1
19 267 1
57 267 1
0 268 1
34 268 1
55 268 1
85 268 1
4 268 1
37 268 1
17 268 1
11 268 1
39 268 1
96 268 1
18 268 1
2 268 1
50 268 1
42 268 1
97 268 1
10 268 1
13 268 1
36 268 1
60 268 1
87 268 1
41 268 1
49 269 1
21 270 1
66 270 1
47 270 1
22 270 1
43 270 1
23 270 1
63 270 1
14 270 1
24 270 1
68 270 1
77 270 1
52 270 1
4 270 1
37 270 1
11 270 1
81 270 1
18 270 1
70 270 1
42 270 1
10 270 1
33 270 1
45 270 1
91 270 1
76 270 1
72 270 1
60 270 1
98 270 1
99 270 1
57 270 1
69 270 1
41 270 1
100 271 1
11 271 1
49 271 1
91 271 1
25 271 1
49 272 1
50 272 1
0 273 1
10 273 1
86 273 1
47 274 1
83 274 1
11 275 1
49 275 1
0 276 1
4 276 1
0 277 1
1 277 1
15 277 1
