6542 155433
0 569 1
1 569 1
2 569 1
3 569 1
4 569 1
5 569 1
6 570 1
7 570 1
8 570 1
9 570 1
10 570 1
11 570 1
12 570 1
13 570 1
14 570 1
15 570 1
16 570 1
17 570 1
18 570 1
19 570 1
20 570 1
21 570 1
22 570 1
23 570 1
24 570 1
25 570 1
26 570 1
27 570 1
28 570 1
29 570 1
7 571 1
16 571 1
1 571 1
26 571 1
30 571 1
7 572 1
5 572 1
31 573 1
32 573 1
33 573 1
34 573 1
35 573 1
36 573 1
37 573 1
38 573 1
39 573 1
40 573 1
41 573 1
42 573 1
43 573 1
44 573 1
45 573 1
46 573 1
47 573 1
48 573 1
49 573 1
50 573 1
51 573 1
52 573 1
4 573 1
53 573 1
12 573 1
54 573 1
55 573 1
56 573 1
57 573 1
58 573 1
59 573 1
5 573 1
60 573 1
61 573 1
28 573 1
62 573 1
63 574 1
64 574 1
65 574 1
3 574 1
10 574 1
66 574 1
44 574 1
67 574 1
68 574 1
69 574 1
70 574 1
26 574 1
30 574 1
71 574 1
72 574 1
7 574 1
73 574 1
74 574 1
75 574 1
76 574 1
77 574 1
78 574 1
14 574 1
79 574 1
80 574 1
81 574 1
0 574 1
82 574 1
19 574 1
83 574 1
84 574 1
85 574 1
23 574 1
86 574 1
44 575 1
22 575 1
53 575 1
31 576 1
87 576 1
88 576 1
16 576 1
44 576 1
89 576 1
90 576 1
21 576 1
91 576 1
92 576 1
48 576 1
93 576 1
94 576 1
95 576 1
26 576 1
6 576 1
96 576 1
7 576 1
4 576 1
11 576 1
97 576 1
12 576 1
77 576 1
78 576 1
98 576 1
17 576 1
99 576 1
19 576 1
100 576 1
5 576 1
87 577 1
16 577 1
44 577 1
46 577 1
67 577 1
101 577 1
47 577 1
102 577 1
93 577 1
7 577 1
103 577 1
4 577 1
75 577 1
81 577 1
104 577 1
105 577 1
100 577 1
23 577 1
5 577 1
106 577 1
107 578 1
108 578 1
65 578 1
109 578 1
110 578 1
111 578 1
112 578 1
13 578 1
113 578 1
114 578 1
15 578 1
16 578 1
115 578 1
1 578 1
67 578 1
116 578 1
30 578 1
6 578 1
117 578 1
8 578 1
9 578 1
76 578 1
118 578 1
119 578 1
79 578 1
81 578 1
0 578 1
120 578 1
121 578 1
84 578 1
85 578 1
23 578 1
122 578 1
123 578 1
28 578 1
62 578 1
124 578 1
125 578 1
64 578 1
3 578 1
126 578 1
127 578 1
89 578 1
128 578 1
91 578 1
48 578 1
129 578 1
93 578 1
130 578 1
26 578 1
131 578 1
132 578 1
133 578 1
134 578 1
135 578 1
7 578 1
136 578 1
4 578 1
97 578 1
137 578 1
14 578 1
80 578 1
19 578 1
83 578 1
138 578 1
139 578 1
105 578 1
140 578 1
29 578 1
10 579 1
109 579 1
16 579 1
1 579 1
67 579 1
101 579 1
141 579 1
142 579 1
143 579 1
79 579 1
144 579 1
145 579 1
28 579 1
62 579 1
146 579 1
91 579 1
147 579 1
136 579 1
148 579 1
149 579 1
19 579 1
105 579 1
150 579 1
27 579 1
29 580 1
1 581 1
18 581 1
151 581 1
152 581 1
87 581 1
153 581 1
22 581 1
26 581 1
7 581 1
154 581 1
53 581 1
14 581 1
155 581 1
156 582 1
157 582 1
5 582 1
158 582 1
43 582 1
19 582 1
159 583 1
109 583 1
110 583 1
160 583 1
16 583 1
101 583 1
161 583 1
162 583 1
8 583 1
77 583 1
145 583 1
28 583 1
62 583 1
127 583 1
43 583 1
89 583 1
22 583 1
68 583 1
93 583 1
26 583 1
135 583 1
7 583 1
163 583 1
19 583 1
20 583 1
164 584 1
159 584 1
160 584 1
165 584 1
156 584 1
161 584 1
162 584 1
166 584 1
77 584 1
167 584 1
168 584 1
13 585 1
16 585 1
