6324 165204
0 384 1
1 384 1
2 384 1
3 385 1
4 385 1
5 385 1
6 385 1
7 385 1
8 385 1
9 385 1
10 385 1
11 385 1
12 385 1
13 385 1
14 385 1
15 385 1
16 385 1
17 385 1
18 385 1
19 385 1
5 386 1
20 386 1
2 386 1
13 386 1
15 386 1
0 386 1
5 387 1
21 387 1
2 387 1
13 387 1
15 387 1
1 387 1
22 387 1
23 387 1
24 387 1
25 388 1
4 388 1
26 388 1
27 388 1
28 388 1
29 388 1
30 388 1
31 388 1
16 388 1
32 388 1
33 388 1
34 388 1
35 388 1
36 388 1
20 388 1
37 388 1
38 388 1
39 388 1
40 388 1
18 388 1
41 388 1
5 389 1
12 389 1
4 390 1
26 390 1
9 390 1
11 390 1
15 390 1
16 390 1
0 390 1
42 390 1
20 390 1
13 390 1
4 391 1
9 391 1
16 391 1
43 391 1
44 391 1
42 391 1
5 391 1
37 391 1
20 391 1
45 391 1
13 391 1
38 391 1
46 391 1
26 392 1
16 392 1
32 392 1
34 392 1
47 392 1
5 392 1
48 392 1
37 392 1
49 392 1
13 392 1
50 392 1
3 393 1
51 393 1
52 393 1
6 393 1
53 393 1
9 393 1
10 393 1
54 393 1
15 393 1
55 393 1
16 393 1
56 393 1
0 393 1
57 393 1
34 393 1
58 393 1
59 393 1
47 393 1
60 393 1
61 393 1
62 393 1
63 393 1
64 393 1
65 393 1
8 393 1
2 393 1
66 393 1
14 393 1
67 393 1
68 393 1
69 393 1
70 393 1
38 393 1
71 393 1
72 393 1
22 393 1
19 393 1
73 393 1
74 393 1
75 393 1
41 393 1
76 393 1
77 393 1
7 393 1
78 393 1
33 393 1
79 393 1
80 393 1
81 393 1
82 393 1
42 393 1
83 393 1
5 393 1
84 393 1
21 393 1
85 393 1
86 393 1
20 393 1
37 393 1
87 393 1
49 393 1
88 393 1
89 393 1
90 393 1
12 393 1
13 393 1
91 393 1
92 393 1
93 393 1
1 393 1
94 393 1
24 393 1
95 393 1
96 394 1
97 394 1
77 394 1
42 394 1
98 394 1
13 394 1
99 395 1
3 396 1
52 396 1
9 396 1
10 396 1
15 396 1
55 396 1
100 396 1
16 396 1
59 396 1
47 396 1
62 396 1
65 396 1
2 396 1
14 396 1
67 396 1
68 396 1
69 396 1
18 396 1
19 396 1
4 396 1
101 396 1
7 396 1
33 396 1
79 396 1
102 396 1
82 396 1
5 396 1
103 396 1
20 396 1
90 396 1
12 396 1
13 396 1
104 396 1
93 396 1
1 396 1
105 396 1
95 396 1
106 397 1
107 397 1
106 398 1
28 398 1
15 398 1
55 398 1
16 398 1
108 398 1
