6592 197590
0 595 1
1 595 1
2 595 1
3 596 1
4 596 1
5 596 1
6 596 1
7 596 1
8 596 1
9 596 1
10 596 1
11 596 1
12 596 1
13 596 1
14 596 1
15 596 1
16 596 1
17 596 1
18 596 1
19 596 1
20 596 1
21 596 1
22 596 1
23 596 1
24 596 1
25 596 1
26 596 1
27 596 1
28 596 1
29 596 1
30 596 1
31 596 1
32 596 1
33 596 1
34 597 1
35 597 1
23 597 1
36 597 1
37 597 1
38 598 1
39 598 1
40 598 1
41 598 1
42 599 1
43 599 1
44 599 1
3 599 1
8 599 1
45 599 1
46 599 1
47 599 1
48 599 1
49 599 1
50 599 1
51 599 1
52 599 1
53 599 1
54 599 1
55 599 1
35 599 1
56 599 1
19 599 1
57 599 1
23 599 1
25 599 1
58 599 1
59 599 1
60 599 1
2 599 1
61 599 1
62 599 1
63 599 1
64 599 1
65 599 1
66 599 1
67 599 1
68 599 1
69 599 1
70 599 1
71 599 1
72 599 1
73 599 1
74 599 1
75 599 1
76 599 1
77 599 1
1 599 1
78 599 1
56 600 1
79 600 1
80 600 1
81 601 1
3 601 1
8 601 1
17 601 1
52 601 1
35 601 1
56 601 1
19 601 1
25 601 1
32 601 1
82 601 1
83 601 1
67 601 1
12 601 1
31 601 1
42 602 1
3 602 1
10 602 1
14 602 1
15 602 1
17 602 1
35 602 1
56 602 1
25 602 1
84 602 1
85 602 1
86 602 1
29 602 1
87 602 1
88 602 1
2 602 1
82 602 1
12 602 1
68 602 1
13 602 1
69 602 1
89 602 1
72 602 1
90 602 1
76 602 1
91 602 1
92 602 1
31 602 1
93 602 1
81 603 1
46 603 1
10 603 1
48 603 1
14 603 1
53 603 1
94 603 1
56 603 1
21 603 1
57 603 1
23 603 1
25 603 1
58 603 1
95 603 1
32 603 1
0 603 1
60 603 1
2 603 1
96 603 1
97 603 1
98 603 1
69 603 1
72 603 1
73 603 1
99 603 1
100 603 1
31 603 1
1 603 1
101 603 1
102 604 1
103 604 1
104 604 1
105 604 1
17 604 1
106 604 1
25 604 1
0 604 1
60 604 1
107 604 1
108 604 1
109 604 1
1 604 1
110 604 1
9 604 1
11 604 1
48 604 1
59 604 1
111 604 1
112 604 1
113 604 1
82 604 1
38 604 1
114 604 1
69 604 1
115 604 1
116 604 1
36 604 1
41 604 1
105 605 1
23 605 1
117 605 1
96 605 1
64 605 1
118 605 1
1 605 1
46 605 1
53 605 1
87 605 1
2 605 1
62 605 1
63 605 1
82 605 1
98 605 1
114 605 1
119 605 1
120 605 1
73 605 1
75 605 1
103 606 1
23 606 1
89 606 1
17 607 1
22 607 1
23 607 1
25 607 1
30 607 1
121 607 1
18 607 1
31 607 1
3 607 1
8 607 1
11 607 1
122 607 1
53 607 1
59 607 1
111 607 1
32 607 1
37 607 1
67 607 1
12 607 1
36 607 1
99 608 1
108 608 1
1 608 1
2 608 1
7 609 1
45 609 1
123 609 1
124 609 1
105 609 1
15 609 1
49 609 1
125 609 1
52 609 1
35 609 1
94 609 1
23 609 1
25 609 1
126 609 1
86 609 1
95 609 1
127 609 1
128 609 1
129 609 1
130 609 1
131 609 1
132 609 1
133 609 1
134 609 1
71 609 1
18 609 1
99 609 1
108 609 1
91 609 1
1 609 1
135 609 1
136 609 1
137 609 1
138 609 1
139 609 1
140 609 1
3 609 1
8 609 1
46 609 1
34 609 1
10 609 1
141 609 1
48 609 1
14 609 1
53 609 1
142 609 1
32 609 1
143 609 1
144 609 1
63 609 1
145 609 1
98 609 1
6 609 1
12 609 1
146 609 1
147 609 1
148 609 1
149 609 1
75 609 1
150 609 1
28 609 1
151 609 1
36 609 1
106 610 1
152 610 1
153 610 1
93 610 1
154 610 1
155 611 1
156 611 1
157 611 1
45 611 1
17 611 1
49 611 1
94 611 1
23 611 1
25 611 1
58 611 1
158 611 1
29 611 1
159 611 1
95 611 1
88 611 1
60 611 1
40 611 1
160 611 1
161 611 1
96 611 1
18 611 1
100 611 1
109 611 1
1 611 1
44 611 1
3 611 1
8 611 1
162 611 1
10 611 1
163 611 1
48 611 1
53 611 1
164 611 1
165 611 1
166 611 1
59 611 1
111 611 1
87 611 1
32 611 1
112 611 1
113 611 1
167 611 1
168 611 1
82 611 1
98 611 1
38 611 1
12 611 1
169 611 1
69 611 1
90 611 1
147 611 1
20 611 1
76 611 1
170 611 1
171 611 1
172 611 1
41 611 1
43 612 1
17 612 1
22 612 1
29 612 1
173 612 1
88 612 1
40 612 1
130 612 1
174 612 1
121 612 1
175 612 1
99 612 1
108 612 1
176 612 1
135 612 1
136 612 1
78 612 1
42 612 1
3 612 1
39 612 1
177 612 1
9 612 1
46 612 1
48 612 1
11 612 1
14 612 1
53 612 1
56 612 1
21 612 1
87 612 1
112 612 1
178 612 1
13 612 1
73 612 1
149 612 1
75 612 1
150 612 1
24 612 1
179 612 1
171 612 1
36 612 1
41 612 1
157 613 1
124 613 1
15 613 1
17 613 1
49 613 1
180 613 1
181 613 1
35 613 1
94 613 1
152 613 1
23 613 1
25 613 1
126 613 1
30 613 1
40 613 1
130 613 1
4 613 1
182 613 1
121 613 1
18 613 1
99 613 1
1 613 1
93 613 1
138 613 1
183 613 1
140 613 1
39 613 1
8 613 1
46 613 1
56 613 1
184 613 1
19 613 1
21 613 1
59 613 1
185 613 1
32 613 1
112 613 1
168 613 1
186 613 1
144 613 1
63 613 1
145 613 1
82 613 1
38 613 1
187 613 1
67 613 1
169 613 1
89 613 1
90 613 1
74 613 1
28 613 1
188 613 1
41 613 1
157 614 1
17 614 1
25 614 1
40 614 1
46 614 1
48 614 1
32 614 1
143 614 1
41 614 1
88 615 1
145 615 1
189 616 1
190 616 1
5 616 1
191 616 1
105 616 1
15 616 1
17 616 1
49 616 1
181 616 1
35 616 1
22 616 1
25 616 1
26 616 1
85 616 1
86 616 1
29 616 1
30 616 1
60 616 1
40 616 1
192 616 1
193 616 1
96 616 1
131 616 1
4 616 1
132 616 1
194 616 1
195 616 1
68 616 1
121 616 1
175 616 1
71 616 1
72 616 1
18 616 1
196 616 1
108 616 1
27 616 1
92 616 1
197 616 1
1 616 1
135 616 1
78 616 1
93 616 1
198 616 1
42 616 1
138 616 1
183 616 1
3 616 1
199 616 1
39 616 1
200 616 1
9 616 1
46 616 1
141 616 1
11 616 1
122 616 1
201 616 1
56 616 1
142 616 1
21 616 1
202 616 1
203 616 1
59 616 1
185 616 1
87 616 1
32 616 1
112 616 1
204 616 1
2 616 1
143 616 1
63 616 1
82 616 1
97 616 1
38 616 1
114 616 1
83 616 1
13 616 1
69 616 1
89 616 1
205 616 1
73 616 1
75 616 1
150 616 1
24 616 1
76 616 1
28 616 1
171 616 1
36 616 1
172 616 1
41 616 1
206 617 1
207 617 1
208 617 1
155 617 1
156 617 1
102 617 1
103 617 1
209 617 1
210 617 1
211 617 1
17 617 1
49 617 1
212 617 1
52 617 1
180 617 1
181 617 1
94 617 1
213 617 1
106 617 1
23 617 1
25 617 1
214 617 1
86 617 1
58 617 1
215 617 1
95 617 1
88 617 1
0 617 1
153 617 1
127 617 1
40 617 1
160 617 1
118 617 1
182 617 1
216 617 1
107 617 1
68 617 1
217 617 1
175 617 1
72 617 1
218 617 1
219 617 1
220 617 1
221 617 1
27 617 1
222 617 1
109 617 1
223 617 1
224 617 1
1 617 1
93 617 1
44 617 1
3 617 1
225 617 1
39 617 1
8 617 1
162 617 1
46 617 1
10 617 1
226 617 1
48 617 1
11 617 1
14 617 1
53 617 1
56 617 1
142 617 1
165 617 1
59 617 1
227 617 1
111 617 1
185 617 1
32 617 1
112 617 1
37 617 1
113 617 1
2 617 1
143 617 1
168 617 1
145 617 1
82 617 1
228 617 1
66 617 1
38 617 1
229 617 1
187 617 1
12 617 1
169 617 1
69 617 1
89 617 1
230 617 1
231 617 1
90 617 1
73 617 1
232 617 1
149 617 1
233 617 1
150 617 1
234 617 1
171 617 1
36 617 1
80 617 1
172 617 1
41 617 1
235 617 1
181 618 1
23 618 1
96 618 1
53 618 1
2 618 1
80 618 1
123 619 1
104 619 1
15 619 1
49 619 1
25 619 1
26 619 1
60 619 1
134 619 1
175 619 1
99 619 1
110 619 1
8 619 1
11 619 1
111 619 1
204 619 1
82 619 1
69 619 1
236 620 1
237 620 1
105 620 1
17 620 1
22 620 1
23 620 1
26 620 1
86 620 1
158 620 1
129 620 1
79 620 1
118 620 1
194 620 1
133 620 1
238 620 1
175 620 1
72 620 1
18 620 1
239 620 1
176 620 1
240 620 1
241 620 1
138 620 1
3 620 1
242 620 1
11 620 1
243 620 1
56 620 1
184 620 1
142 620 1
244 620 1
185 620 1
87 620 1
245 620 1
144 620 1
62 620 1
145 620 1
6 620 1
246 620 1
247 620 1
67 620 1
13 620 1
205 620 1
147 620 1
24 620 1
28 620 1
151 620 1
41 620 1
206 621 1
103 621 1
213 621 1
68 621 1
248 621 1
249 621 1
48 621 1
67 621 1
207 622 1
250 622 1
23 622 1
25 622 1
118 622 1
107 622 1
251 622 1
252 622 1
1 622 1
249 622 1
162 622 1
46 622 1
48 622 1
53 622 1
87 622 1
112 622 1
2 622 1
38 622 1
6 622 1
20 622 1
172 622 1
41 622 1
250 623 1
103 623 1
45 623 1
15 623 1
17 623 1
35 623 1
253 623 1
25 623 1
29 623 1
40 623 1
254 623 1
18 623 1
27 623 1
31 623 1
1 623 1
78 623 1
42 623 1
3 623 1
39 623 1
8 623 1
255 623 1
53 623 1
56 623 1
59 623 1
111 623 1
32 623 1
112 623 1
38 623 1
83 623 1
12 623 1
169 623 1
256 623 1
36 623 1
41 623 1
17 624 1
23 624 1
25 624 1
58 624 1
1 624 1
48 624 1
53 624 1
2 624 1
257 624 1
105 625 1
258 625 1
181 625 1
106 625 1
259 625 1
111 625 1
207 626 1
43 626 1
124 626 1
16 626 1
17 626 1
23 626 1
25 626 1
95 626 1
0 626 1
161 626 1
96 626 1
118 626 1
1 626 1
3 626 1
162 626 1
46 626 1
10 626 1
48 626 1
53 626 1
32 626 1
2 626 1
83 626 1
207 627 1
250 627 1
155 627 1
156 627 1
103 627 1
47 627 1
209 627 1
210 627 1
16 627 1
17 627 1
260 627 1
181 627 1
35 627 1
213 627 1
106 627 1
23 627 1
25 627 1
85 627 1
95 627 1
173 627 1
40 627 1
192 627 1
160 627 1
96 627 1
130 627 1
4 627 1
118 627 1
254 627 1
182 627 1
216 627 1
107 627 1
68 627 1
261 627 1
70 627 1
72 627 1
218 627 1
220 627 1
262 627 1
221 627 1
27 627 1
31 627 1
263 627 1
248 627 1
109 627 1
1 627 1
137 627 1
264 627 1
265 627 1
249 627 1
266 627 1
44 627 1
3 627 1
8 627 1
162 627 1
46 627 1
267 627 1
34 627 1
10 627 1
163 627 1
14 627 1
53 627 1
56 627 1
19 627 1
142 627 1
165 627 1
59 627 1
185 627 1
268 627 1
87 627 1
112 627 1
37 627 1
113 627 1
2 627 1
186 627 1
38 627 1
187 627 1
83 627 1
12 627 1
69 627 1
89 627 1
269 627 1
231 627 1
270 627 1
73 627 1
20 627 1
150 627 1
151 627 1
80 627 1
41 627 1
235 627 1
271 627 1
105 628 1
94 628 1
29 628 1
0 628 1
182 628 1
99 628 1
78 628 1
259 628 1
242 628 1
122 628 1
185 628 1
186 628 1
145 628 1
187 628 1
114 628 1
67 628 1
13 628 1
28 628 1
103 629 1
272 629 1
106 629 1
25 629 1
96 629 1
130 629 1
107 629 1
68 629 1
18 629 1
219 629 1
248 629 1
1 629 1
243 629 1
273 629 1
2 629 1
63 629 1
75 629 1
80 629 1
207 630 1
274 630 1
102 630 1
157 630 1
45 630 1
47 630 1
209 630 1
210 630 1
104 630 1
105 630 1
15 630 1
17 630 1
49 630 1
51 630 1
52 630 1
181 630 1
272 630 1
54 630 1
35 630 1
152 630 1
23 630 1
25 630 1
86 630 1
159 630 1
30 630 1
215 630 1
88 630 1
153 630 1
40 630 1
275 630 1
117 630 1
161 630 1
96 630 1
79 630 1
118 630 1
121 630 1
175 630 1
72 630 1
18 630 1
99 630 1
221 630 1
31 630 1
109 630 1
276 630 1
1 630 1
135 630 1
136 630 1
110 630 1
93 630 1
277 630 1
278 630 1
138 630 1
44 630 1
3 630 1
39 630 1
8 630 1
9 630 1
279 630 1
46 630 1
10 630 1
280 630 1
141 630 1
48 630 1
11 630 1
14 630 1
56 630 1
19 630 1
281 630 1
165 630 1
59 630 1
87 630 1
32 630 1
112 630 1
37 630 1
2 630 1
63 630 1
145 630 1
82 630 1
38 630 1
282 630 1
83 630 1
67 630 1
12 630 1
169 630 1
69 630 1
89 630 1
230 630 1
231 630 1
116 630 1
283 630 1
232 630 1
148 630 1
149 630 1
150 630 1
28 630 1
151 630 1
284 630 1
36 630 1
80 630 1
41 630 1
235 630 1
105 631 1
46 631 1
56 631 1
67 631 1
105 632 1
26 632 1
285 632 1
99 632 1
46 632 1
122 632 1
286 632 1
56 632 1
82 632 1
114 632 1
287 632 1
288 632 1
125 633 1
134 633 1
71 633 1
99 633 1
108 633 1
1 633 1
135 633 1
48 633 1
59 633 1
63 633 1
148 633 1
75 633 1
212 634 1
35 634 1
22 634 1
86 634 1
130 634 1
164 634 1
59 634 1
111 634 1
37 634 1
98 634 1
126 635 1
1 635 1
93 635 1
183 635 1
144 635 1
289 635 1
102 636 1
290 636 1
45 636 1
104 636 1
17 636 1
49 636 1
52 636 1
181 636 1
35 636 1
23 636 1
25 636 1
26 636 1
158 636 1
30 636 1
60 636 1
127 636 1
40 636 1
275 636 1
194 636 1
121 636 1
175 636 1
291 636 1
99 636 1
292 636 1
27 636 1
31 636 1
109 636 1
78 636 1
42 636 1
138 636 1
3 636 1
39 636 1
200 636 1
8 636 1
141 636 1
11 636 1
56 636 1
165 636 1
293 636 1
59 636 1
111 636 1
32 636 1
294 636 1
112 636 1
113 636 1
82 636 1
38 636 1
295 636 1
12 636 1
169 636 1
69 636 1
230 636 1
296 636 1
179 636 1
234 636 1
256 636 1
41 636 1
124 637 1
1 637 1
135 637 1
148 637 1
250 638 1
190 638 1
123 638 1
105 638 1
17 638 1
35 638 1
22 638 1
23 638 1
25 638 1
88 638 1
0 638 1
107 638 1
218 638 1
99 638 1
31 638 1
109 638 1
1 638 1
93 638 1
3 638 1
21 638 1
59 638 1
297 638 1
145 638 1
82 638 1
98 638 1
114 638 1
298 638 1
256 638 1
36 638 1
172 638 1
299 638 1
41 638 1
105 639 1
106 639 1
22 639 1
300 639 1
218 639 1
219 639 1
176 639 1
252 639 1
259 639 1
56 639 1
13 639 1
301 639 1
180 640 1
182 640 1
183 640 1
297 640 1
302 640 1
186 640 1
144 640 1
303 640 1
298 640 1
188 640 1
23 641 1
2 641 1
73 641 1
102 642 1
7 642 1
45 642 1
123 642 1
17 642 1
52 642 1
35 642 1
22 642 1
23 642 1
88 642 1
127 642 1
129 642 1
96 642 1
216 642 1
133 642 1
304 642 1
18 642 1
109 642 1
305 642 1
197 642 1
278 642 1
138 642 1
199 642 1
8 642 1
279 642 1
10 642 1
280 642 1
48 642 1
11 642 1
14 642 1
122 642 1
184 642 1
19 642 1
142 642 1
21 642 1
165 642 1
293 642 1
84 642 1
144 642 1
82 642 1
67 642 1
12 642 1
69 642 1
28 642 1
36 642 1
80 642 1
306 642 1
5 642 1
104 642 1
237 642 1
49 642 1
25 642 1
26 642 1
86 642 1
158 642 1
30 642 1
40 642 1
307 642 1
4 642 1
308 642 1
194 642 1
70 642 1
121 642 1
175 642 1
99 642 1
292 642 1
309 642 1
31 642 1
1 642 1
137 642 1
240 642 1
310 642 1
311 642 1
93 642 1
3 642 1
39 642 1
46 642 1
53 642 1
312 642 1
56 642 1
59 642 1
185 642 1
87 642 1
32 642 1
294 642 1
112 642 1
204 642 1
2 642 1
38 642 1
187 642 1
114 642 1
83 642 1
230 642 1
101 642 1
41 642 1
103 643 1
45 643 1
17 643 1
35 643 1
213 643 1
88 643 1
118 643 1
18 643 1
267 643 1
14 643 1
184 643 1
19 643 1
76 643 1
36 643 1
25 643 1
31 643 1
135 643 1
42 643 1
3 643 1
39 643 1
312 643 1
56 643 1
32 643 1
112 643 1
98 643 1
83 643 1
313 643 1
232 643 1
24 643 1
256 643 1
157 644 1
182 644 1
183 644 1
11 644 1
74 644 1
94 644 1
314 644 1
98 644 1
157 645 1
48 645 1
74 645 1
40 645 1
315 645 1
100 645 1
7 646 1
17 646 1
52 646 1
35 646 1
22 646 1
23 646 1
215 646 1
71 646 1
18 646 1
291 646 1
138 646 1
8 646 1
19 646 1
21 646 1
82 646 1
36 646 1
30 646 1
175 646 1
108 646 1
31 646 1
135 646 1
310 646 1
78 646 1
93 646 1
42 646 1
3 646 1
9 646 1
201 646 1
312 646 1
32 646 1
143 646 1
83 646 1
283 646 1
206 647 1
207 647 1
102 647 1
157 647 1
45 647 1
47 647 1
105 647 1
17 647 1
180 647 1
22 647 1
23 647 1
95 647 1
88 647 1
0 647 1
316 647 1
317 647 1
216 647 1
107 647 1
133 647 1
218 647 1
318 647 1
18 647 1
262 647 1
196 647 1
222 647 1
263 647 1
248 647 1
109 647 1
305 647 1
264 647 1
277 647 1
241 647 1
138 647 1
44 647 1
8 647 1
163 647 1
141 647 1
48 647 1
319 647 1
14 647 1
122 647 1
286 647 1
19 647 1
142 647 1
21 647 1
281 647 1
244 647 1
320 647 1
165 647 1
293 647 1
178 647 1
321 647 1
62 647 1
145 647 1
82 647 1
322 647 1
12 647 1
13 647 1
69 647 1
289 647 1
146 647 1
148 647 1
149 647 1
75 647 1
76 647 1
296 647 1
179 647 1
301 647 1
28 647 1
171 647 1
36 647 1
80 647 1
172 647 1
190 647 1
323 647 1
5 647 1
209 647 1
104 647 1
15 647 1
49 647 1
324 647 1
25 647 1
26 647 1
214 647 1
85 647 1
158 647 1
159 647 1
30 647 1
153 647 1
60 647 1
40 647 1
307 647 1
275 647 1
160 647 1
161 647 1
79 647 1
325 647 1
326 647 1
327 647 1
70 647 1
175 647 1
328 647 1
72 647 1
329 647 1
330 647 1
331 647 1
332 647 1
31 647 1
224 647 1
1 647 1
78 647 1
311 647 1
93 647 1
333 647 1
139 647 1
140 647 1
3 647 1
39 647 1
200 647 1
334 647 1
162 647 1
46 647 1
335 647 1
201 647 1
53 647 1
336 647 1
56 647 1
202 647 1
59 647 1
227 647 1
111 647 1
185 647 1
87 647 1
32 647 1
112 647 1
204 647 1
2 647 1
143 647 1
168 647 1
228 647 1
66 647 1
38 647 1
337 647 1
246 647 1
229 647 1
187 647 1
114 647 1
205 647 1
338 647 1
283 647 1
339 647 1
73 647 1
234 647 1
151 647 1
340 647 1
256 647 1
41 647 1
235 647 1
106 648 1
17 649 1
23 649 1
192 649 1
118 649 1
117 649 1
1 649 1
53 649 1
32 649 1
52 650 1
23 650 1
96 650 1
48 650 1
171 650 1
25 650 1
214 650 1
86 650 1
117 650 1
1 650 1
50 650 1
53 650 1
32 650 1
2 650 1
83 650 1
73 650 1
147 650 1
207 651 1
341 651 1
88 651 1
182 651 1
11 651 1
297 651 1
57 651 1
100 651 1
46 651 1
143 651 1
98 651 1
207 652 1
102 652 1
290 652 1
17 652 1
181 652 1
272 652 1
213 652 1
22 652 1
23 652 1
88 652 1
127 652 1
33 652 1
96 652 1
118 652 1
216 652 1
107 652 1
68 652 1
342 652 1
318 652 1
18 652 1
220 652 1
196 652 1
343 652 1
109 652 1
277 652 1
8 652 1
48 652 1
11 652 1
21 652 1
165 652 1
293 652 1
63 652 1
82 652 1
169 652 1
69 652 1
89 652 1
296 652 1
179 652 1
28 652 1
36 652 1
80 652 1
172 652 1
104 652 1
49 652 1
25 652 1
58 652 1
158 652 1
29 652 1
60 652 1
40 652 1
275 652 1
194 652 1
70 652 1
108 652 1
1 652 1
78 652 1
42 652 1
3 652 1
39 652 1
200 652 1
162 652 1
336 652 1
56 652 1
202 652 1
344 652 1
345 652 1
59 652 1
111 652 1
185 652 1
32 652 1
294 652 1
112 652 1
37 652 1
204 652 1
2 652 1
143 652 1
97 652 1
98 652 1
38 652 1
187 652 1
205 652 1
283 652 1
73 652 1
24 652 1
41 652 1
235 652 1
207 653 1
103 653 1
213 653 1
106 653 1
346 653 1
216 653 1
107 653 1
68 653 1
109 653 1
252 653 1
249 653 1
48 653 1
273 653 1
69 653 1
20 653 1
25 653 1
27 653 1
1 653 1
56 653 1
2 653 1
228 653 1
187 653 1
22 654 1
129 654 1
218 654 1
305 654 1
48 654 1
11 654 1
142 654 1
21 654 1
63 654 1
145 654 1
28 654 1
36 654 1
190 654 1
159 654 1
70 654 1
121 654 1
137 654 1
240 654 1
151 654 1
197 655 1
347 655 1
348 655 1
188 655 1
99 655 1
292 655 1
97 655 1
98 655 1
207 656 1
103 656 1
45 656 1
105 656 1
52 656 1
260 656 1
181 656 1
35 656 1
213 656 1
106 656 1
23 656 1
349 656 1
350 656 1
95 656 1
173 656 1
118 656 1
107 656 1
251 656 1
351 656 1
263 656 1
248 656 1
109 656 1
252 656 1
352 656 1
353 656 1
249 656 1
266 656 1
279 656 1
48 656 1
14 656 1
286 656 1
142 656 1
84 656 1
273 656 1
321 656 1
63 656 1
82 656 1
169 656 1
89 656 1
20 656 1
301 656 1
80 656 1
354 656 1
208 656 1
355 656 1
356 656 1
85 656 1
158 656 1
159 656 1
357 656 1
128 656 1
275 656 1
79 656 1
194 656 1
358 656 1
72 656 1
330 656 1
176 656 1
276 656 1
223 656 1
1 656 1
240 656 1
42 656 1
3 656 1
53 656 1
56 656 1
359 656 1
360 656 1
227 656 1
87 656 1
32 656 1
113 656 1
2 656 1
361 656 1
228 656 1
38 656 1
187 656 1
83 656 1
231 656 1
270 656 1
73 656 1
151 656 1
170 656 1
41 656 1
362 656 1
125 657 1
52 657 1
363 657 1
180 657 1
364 657 1
186 657 1
63 657 1
90 657 1
74 657 1
188 657 1
124 657 1
15 657 1
94 657 1
152 657 1
153 657 1
64 657 1
365 657 1
108 657 1
309 657 1
91 657 1
1 657 1
110 657 1
93 657 1
140 657 1
143 657 1
6 657 1
125 658 1
180 658 1
186 658 1
188 658 1
190 658 1
292 658 1
1 658 1
98 658 1
38 658 1
45 659 1
105 659 1
125 659 1
35 659 1
22 659 1
95 659 1
133 659 1
291 659 1
138 659 1
8 659 1
10 659 1
19 659 1
21 659 1
82 659 1
74 659 1
25 659 1
26 659 1
366 659 1
308 659 1
99 659 1
292 659 1
1 659 1
135 659 1
93 659 1
39 659 1
53 659 1
56 659 1
87 659 1
2 659 1
98 659 1
157 660 1
98 660 1
105 661 1
182 661 1
68 661 1
89 661 1
20 661 1
27 661 1
157 662 1
181 662 1
0 662 1
1 662 1
23 663 1
96 663 1
44 663 1
69 663 1
16 663 1
86 663 1
68 664 1
63 664 1
148 664 1
188 664 1
15 664 1
94 664 1
99 664 1
108 664 1
91 664 1
1 664 1
59 664 1
6 664 1
125 665 1
48 665 1
148 665 1
104 665 1
94 665 1
98 665 1
123 666 1
105 666 1
23 666 1
215 666 1
118 666 1
2 666 1
102 667 1
157 667 1
7 667 1
17 667 1
35 667 1
304 667 1
367 667 1
71 667 1
18 667 1
196 667 1
92 667 1
222 667 1
197 667 1
278 667 1
138 667 1
81 667 1
8 667 1
34 667 1
141 667 1
11 667 1
122 667 1
19 667 1
21 667 1
244 667 1
82 667 1
67 667 1
74 667 1
75 667 1
76 667 1
296 667 1
179 667 1
28 667 1
368 667 1
36 667 1
104 667 1
15 667 1
49 667 1
324 667 1
94 667 1
25 667 1
26 667 1
30 667 1
60 667 1
40 667 1
369 667 1
275 667 1
194 667 1
370 667 1
108 667 1
100 667 1
78 667 1
93 667 1
3 667 1
39 667 1
200 667 1
46 667 1
336 667 1
56 667 1
185 667 1
32 667 1
294 667 1
112 667 1
204 667 1
371 667 1
143 667 1
24 667 1
41 667 1
103 668 1
213 668 1
23 668 1
218 668 1
48 668 1
63 668 1
75 668 1
171 668 1
94 668 1
159 668 1
117 668 1
53 668 1
2 668 1
0 669 1
109 669 1
11 669 1
104 669 1
25 669 1
200 669 1
207 670 1
372 670 1
23 670 1
0 670 1
96 670 1
10 670 1
48 670 1
348 670 1
171 670 1
94 670 1
57 670 1
25 670 1
99 670 1
1 670 1
162 670 1
46 670 1
53 670 1
2 670 1
98 670 1
83 670 1
73 670 1
125 671 1
124 671 1
1 671 1
97 671 1
6 671 1
105 672 1
0 672 1
7 673 1
218 673 1
48 673 1
63 673 1
74 673 1
28 673 1
49 673 1
94 673 1
159 673 1
70 673 1
240 673 1
17 674 1
23 674 1
10 674 1
62 674 1
26 674 1
1 674 1
2 674 1
103 675 1
373 675 1
213 675 1
88 675 1
216 675 1
107 675 1
68 675 1
248 675 1
109 675 1
48 675 1
273 675 1
89 675 1
20 675 1
117 675 1
38 675 1
229 675 1
339 675 1
102 676 1
157 676 1
105 676 1
17 676 1
180 676 1
35 676 1
23 676 1
95 676 1
127 676 1
96 676 1
133 676 1
218 676 1
18 676 1
305 676 1
8 676 1
10 676 1
48 676 1
14 676 1
19 676 1
142 676 1
293 676 1
348 676 1
144 676 1
63 676 1
145 676 1
82 676 1
67 676 1
12 676 1
75 676 1
296 676 1
188 676 1
94 676 1
57 676 1
25 676 1
85 676 1
86 676 1
153 676 1
194 676 1
70 676 1
