6053 76255
0 250 1
1 250 1
2 251 1
3 251 1
4 251 1
5 251 1
6 251 1
7 251 1
1 251 1
8 251 1
9 251 1
10 251 1
11 251 1
12 251 1
13 251 1
14 251 1
15 251 1
3 252 1
11 252 1
3 253 1
1 253 1
11 253 1
16 254 1
17 254 1
18 254 1
19 254 1
20 254 1
10 254 1
21 254 1
22 254 1
23 254 1
1 254 1
24 254 1
15 254 1
3 255 1
25 255 1
26 255 1
27 255 1
13 255 1
11 256 1
25 256 1
6 256 1
1 256 1
28 257 1
10 257 1
29 257 1
30 257 1
0 257 1
31 257 1
3 257 1
6 257 1
1 257 1
26 257 1
21 258 1
0 258 1
3 258 1
23 258 1
1 258 1
27 258 1
32 258 1
13 258 1
33 258 1
16 259 1
34 259 1
8 259 1
9 259 1
11 259 1
35 259 1
36 259 1
37 259 1
5 259 1
38 259 1
27 259 1
13 259 1
14 259 1
39 259 1
15 259 1
40 259 1
0 259 1
41 259 1
42 259 1
43 259 1
3 259 1
6 259 1
44 259 1
45 259 1
32 259 1
46 259 1
47 260 1
48 260 1
15 260 1
49 260 1
6 260 1
50 260 1
32 261 1
51 262 1
11 262 1
14 262 1
0 262 1
42 262 1
3 262 1
6 262 1
1 262 1
32 262 1
52 263 1
11 264 1
30 264 1
26 264 1
14 264 1
15 264 1
53 264 1
10 264 1
0 264 1
3 264 1
25 264 1
6 264 1
45 264 1
1 264 1
26 265 1
8 266 1
11 266 1
21 266 1
36 266 1
37 266 1
14 266 1
15 266 1
54 266 1
0 266 1
41 266 1
3 266 1
6 266 1
1 266 1
8 267 1
11 267 1
47 267 1
26 267 1
13 267 1
14 267 1
55 267 1
56 267 1
57 267 1
58 267 1
0 267 1
41 267 1
43 267 1
59 267 1
3 267 1
25 267 1
6 267 1
1 267 1
60 267 1
46 267 1
61 267 1
62 268 1
51 268 1
11 268 1
37 268 1
15 268 1
0 268 1
41 268 1
3 268 1
6 268 1
1 268 1
12 268 1
25 269 1
6 269 1
1 269 1
63 270 1
3 270 1
62 271 1
8 271 1
11 271 1
30 271 1
14 271 1
58 271 1
41 271 1
64 271 1
59 271 1
3 271 1
25 271 1
65 271 1
6 271 1
66 271 1
46 271 1
67 272 1
68 272 1
62 272 1
11 272 1
30 272 1
21 272 1
36 272 1
69 272 1
14 272 1
41 272 1
42 272 1
66 272 1
70 272 1
71 272 1
12 272 1
46 272 1
62 273 1
52 273 1
47 273 1
26 273 1
27 273 1
13 273 1
0 273 1
6 273 1
1 273 1
12 273 1
60 273 1
72 274 1
11 274 1
73 274 1
74 274 1
14 274 1
39 274 1
58 274 1
64 274 1
3 274 1
25 274 1
65 274 1
6 274 1
1 274 1
46 274 1
11 275 1
75 275 1
47 275 1
30 275 1
76 275 1
14 275 1
15 275 1
57 275 1
58 275 1
59 275 1
45 275 1
23 275 1
50 275 1
12 275 1
16 276 1
51 276 1
38 276 1
27 276 1
42 276 1
4 276 1
11 277 1
26 277 1
27 277 1
0 277 1
41 277 1
77 277 1
3 277 1
78 277 1
79 278 1
51 278 1
11 278 1
37 278 1
27 278 1
80 278 1
7 278 1
41 278 1
42 278 1
81 278 1
43 278 1
3 278 1
25 278 1
6 278 1
82 278 1
66 278 1
61 278 1
21 279 1
0 279 1
83 279 1
1 279 1
62 280 1
47 280 1
15 280 1
84 280 1
3 280 1
82 280 1
16 281 1
26 281 1
77 281 1
1 281 1
16 282 1
85 282 1
18 282 1
67 282 1
62 282 1
52 282 1
11 282 1
86 282 1
37 282 1
38 282 1
87 282 1
88 282 1
27 282 1
80 282 1
0 282 1
41 282 1
89 282 1
81 282 1
43 282 1
77 282 1
3 282 1
6 282 1
82 282 1
66 282 1
12 282 1
60 282 1
11 283 1
15 283 1
85 284 1
90 284 1
8 284 1
11 284 1
86 284 1
38 284 1
27 284 1
91 284 1
43 284 1
3 284 1
4 284 1
92 284 1
60 284 1
2 285 1
93 285 1
16 285 1
18 285 1
67 285 1
62 285 1
8 285 1
19 285 1
11 285 1
75 285 1
47 285 1
30 285 1
86 285 1
73 285 1
48 285 1
37 285 1
5 285 1
87 285 1
94 285 1
27 285 1
14 285 1
55 285 1
39 285 1
15 285 1
40 285 1
95 285 1
96 285 1
0 285 1
41 285 1
43 285 1
77 285 1
59 285 1
3 285 1
25 285 1
97 285 1
92 285 1
6 285 1
45 285 1
82 285 1
23 285 1
1 285 1
70 285 1
98 285 1
99 285 1
32 285 1
12 285 1
60 285 1
46 285 1
27 286 1
13 286 1
15 286 1
3 286 1
60 286 1
85 287 1
100 287 1
15 287 1
25 288 1
68 289 1
51 289 1
11 289 1
75 289 1
101 289 1
30 289 1
86 289 1
35 289 1
36 289 1
37 289 1
74 289 1
102 289 1
38 289 1
94 289 1
103 289 1
88 289 1
27 289 1
104 289 1
13 289 1
14 289 1
56 289 1
15 289 1
80 289 1
40 289 1
58 289 1
105 289 1
54 289 1
89 289 1
42 289 1
81 289 1
43 289 1
106 289 1
77 289 1
59 289 1
3 289 1
107 289 1
82 289 1
108 289 1
98 289 1
46 289 1
61 289 1
9 290 1
11 290 1
3 290 1
6 290 1
62 291 1
11 291 1
101 291 1
47 291 1
36 291 1
37 291 1
14 291 1
15 291 1
0 291 1
41 291 1
43 291 1
3 291 1
66 291 1
15 292 1
28 293 1
11 293 1
38 293 1
27 293 1
13 293 1
14 293 1
0 293 1
43 293 1
3 293 1
47 294 1
26 294 1
13 294 1
109 294 1
0 294 1
89 294 1
43 294 1
110 295 1
0 296 1
77 296 1
2 297 1
16 297 1
34 297 1
85 297 1
8 297 1
51 297 1
9 297 1
11 297 1
38 297 1
27 297 1
13 297 1
14 297 1
57 297 1
80 297 1
58 297 1
109 297 1
95 297 1
96 297 1
53 297 1
10 297 1
29 297 1
43 297 1
6 297 1
111 297 1
46 297 1
28 297 1
47 297 1
30 297 1
73 297 1
35 297 1
112 297 1
94 297 1
103 297 1
88 297 1
113 297 1
114 297 1
26 297 1
15 297 1
7 297 1
115 297 1
0 297 1
41 297 1
42 297 1
64 297 1
81 297 1
77 297 1
59 297 1
3 297 1
25 297 1
66 297 1
23 297 1
1 297 1
32 297 1
12 297 1
33 297 1
61 297 1
8 298 1
11 298 1
14 298 1
46 298 1
0 298 1
41 298 1
42 298 1
3 298 1
1 298 1
70 298 1
61 298 1
26 299 1
8 300 1
14 300 1
6 300 1
46 300 1
0 300 1
1 300 1
32 300 1
116 301 1
18 301 1
8 301 1
11 301 1
86 301 1
38 301 1
87 301 1
27 301 1
69 301 1
63 301 1
13 301 1
14 301 1
56 301 1
58 301 1
53 301 1
43 301 1
98 301 1
117 301 1
46 301 1
47 301 1
73 301 1
37 301 1
94 301 1
55 301 1
15 301 1
7 301 1
41 301 1
64 301 1
77 301 1
3 301 1
66 301 1
23 301 1
1 301 1
50 301 1
12 301 1
60 301 1
61 301 1
118 302 1
27 303 1
6 303 1
48 303 1
15 303 1
0 303 1
85 304 1
8 304 1
10 304 1
6 304 1
28 304 1
30 304 1
48 304 1
0 304 1
23 304 1
1 304 1
11 305 1
25 305 1
23 305 1
12 305 1
61 305 1
16 306 1
62 306 1
8 306 1
11 306 1
36 306 1
38 306 1
76 306 1
27 306 1
13 306 1
14 306 1
56 306 1
58 306 1
43 306 1
6 306 1
45 306 1
46 306 1
28 306 1
47 306 1
21 306 1
37 306 1
55 306 1
15 306 1
7 306 1
0 306 1
41 306 1
42 306 1
81 306 1
64 306 1
77 306 1
3 306 1
4 306 1
66 306 1
23 306 1
78 306 1
1 306 1
12 306 1
61 306 1
16 307 1
85 307 1
9 307 1
86 307 1
119 307 1
36 307 1
27 307 1
13 307 1
120 307 1
91 307 1
43 307 1
107 307 1
6 307 1
121 307 1
122 307 1
55 307 1
17 307 1
123 307 1
124 307 1
125 307 1
89 307 1
42 307 1
77 307 1
4 307 1
78 307 1
1 307 1
32 307 1
60 307 1
74 308 1
40 308 1
46 308 1
15 308 1
25 309 1
34 310 1
62 310 1
8 310 1
51 310 1
52 310 1
9 310 1
11 310 1
36 310 1
38 310 1
87 310 1
27 310 1
126 310 1
13 310 1
14 310 1
95 310 1
29 310 1
91 310 1
43 310 1
6 310 1
47 310 1
121 310 1
113 310 1
127 310 1
128 310 1
77 310 1
31 310 1
3 310 1
92 310 1
66 310 1
1 310 1
12 310 1
60 310 1
61 310 1
129 311 1
36 311 1
27 311 1
10 311 1
39 311 1
25 311 1
60 311 1
6 312 1
3 312 1
1 312 1
16 313 1
11 313 1
38 313 1
76 313 1
14 313 1
40 313 1
43 313 1
45 313 1
47 313 1
112 313 1
94 313 1
15 313 1
3 313 1
25 313 1
1 313 1
12 313 1
60 313 1
11 314 1
86 314 1
6 314 1
15 314 1
25 314 1
1 314 1
12 314 1
16 315 1
8 315 1
52 315 1
9 315 1
86 315 1
5 315 1
130 315 1
113 315 1
60 315 1
34 316 1
62 316 1
13 316 1
85 317 1
11 317 1
30 317 1
15 317 1
23 317 1
1 317 1
32 317 1
63 318 1
25 318 1
16 319 1
15 320 1
3 320 1
25 320 1
1 320 1
11 321 1
76 321 1
69 321 1
14 321 1
56 321 1
6 321 1
46 321 1
47 321 1
15 321 1
41 321 1
64 321 1
59 321 1
3 321 1
25 321 1
66 321 1
131 321 1
1 321 1
132 321 1
48 322 1
15 322 1
25 322 1
11 323 1
14 323 1
58 323 1
73 323 1
3 323 1
25 324 1
23 324 1
32 324 1
63 325 1
25 325 1
36 326 1
121 326 1
15 326 1
8 327 1
13 327 1
10 327 1
6 327 1
15 327 1
0 327 1
3 327 1
1 327 1
133 328 1
52 328 1
11 328 1
36 328 1
38 328 1
87 328 1
27 328 1
48 328 1
124 328 1
125 328 1
3 328 1
82 328 1
78 328 1
1 328 1
32 328 1
85 329 1
14 329 1
6 329 1
30 329 1
15 329 1
0 329 1
25 329 1
11 330 1
11 331 1
36 331 1
6 331 1
15 331 1
0 331 1
41 331 1
3 331 1
66 331 1
1 331 1
1 332 1
134 332 1
13 333 1
3 333 1
8 334 1
11 334 1
80 334 1
22 334 1
6 334 1
1 334 1
16 335 1
87 335 1
27 335 1
6 335 1
0 335 1
77 335 1
1 335 1
12 335 1
13 336 1
0 336 1
1 336 1
2 337 1
16 337 1
14 337 1
58 337 1
10 337 1
6 337 1
45 337 1
15 337 1
0 337 1
1 337 1
50 337 1
32 337 1
5 338 1
38 338 1
27 338 1
13 338 1
43 338 1
6 338 1
8 339 1
74 339 1
76 339 1
13 339 1
14 339 1
58 339 1
6 339 1
46 339 1
73 339 1
15 339 1
0 339 1
41 339 1
89 339 1
31 339 1
25 339 1
1 339 1
11 340 1
69 340 1
14 340 1
57 340 1
58 340 1
43 340 1
45 340 1
135 340 1
46 340 1
94 340 1
103 340 1
136 340 1
41 340 1
81 340 1
59 340 1
3 340 1
25 340 1
1 340 1
32 340 1
11 341 1
13 341 1
6 341 1
45 341 1
15 341 1
0 341 1
23 341 1
1 341 1
32 341 1
8 342 1
11 342 1
6 342 1
30 342 1
15 342 1
0 342 1
3 342 1
25 342 1
1 342 1
61 342 1
16 343 1
34 343 1
5 343 1
137 343 1
38 343 1
27 343 1
13 343 1
84 343 1
43 343 1
98 343 1
138 343 1
130 343 1
121 343 1
113 343 1
127 343 1
77 343 1
92 343 1
1 343 1
16 344 1
13 344 1
0 344 1
3 344 1
1 344 1
51 345 1
13 345 1
6 345 1
0 345 1
25 345 1
1 345 1
8 346 1
11 346 1
14 346 1
10 346 1
43 346 1
6 346 1
45 346 1
46 346 1
75 346 1
0 346 1
41 346 1
77 346 1
3 346 1
1 346 1
11 347 1
14 347 1
56 347 1
57 347 1
46 347 1
41 347 1
59 347 1
3 347 1
36 348 1
27 348 1
16 349 1
8 349 1
27 349 1
14 349 1
58 349 1
96 349 1
6 349 1
46 349 1
25 349 1
1 349 1
63 350 1
8 351 1
11 351 1
7 351 1
41 351 1
81 351 1
3 351 1
82 351 1
66 351 1
1 351 1
61 351 1
85 352 1
13 352 1
43 352 1
3 352 1
1 352 1
60 352 1
16 353 1
86 353 1
36 353 1
38 353 1
27 353 1
13 353 1
43 353 1
139 353 1
130 353 1
121 353 1
124 353 1
42 353 1
97 353 1
32 353 1
12 353 1
61 353 1
16 354 1
26 354 1
140 354 1
11 355 1
36 355 1
38 355 1
27 355 1
14 355 1
73 355 1
3 355 1
92 355 1
15 356 1
28 357 1
48 357 1
15 357 1
97 357 1
1 357 1
60 357 1
14 358 1
141 358 1
46 358 1
0 358 1
25 358 1
1 358 1
11 359 1
1 360 1
72 361 1
47 361 1
66 361 1
1 361 1
12 361 1
11 362 1
36 362 1
76 362 1
69 362 1
14 362 1
58 362 1
96 362 1
10 362 1
6 362 1
135 362 1
46 362 1
75 362 1
47 362 1
73 362 1
37 362 1
88 362 1
136 362 1
55 362 1
15 362 1
41 362 1
64 362 1
3 362 1
25 362 1
4 362 1
66 362 1
78 362 1
1 362 1
32 362 1
12 362 1
61 362 1
134 362 1
85 363 1
51 363 1
11 363 1
5 363 1
38 363 1
14 363 1
80 363 1
96 363 1
6 363 1
108 363 1
135 363 1
46 363 1
47 363 1
15 363 1
7 363 1
41 363 1
42 363 1
81 363 1
3 363 1
4 363 1
82 363 1
66 363 1
78 363 1
1 363 1
12 363 1
61 363 1
73 364 1
11 365 1
36 365 1
0 365 1
77 365 1
25 365 1
66 365 1
1 365 1
11 366 1
46 366 1
15 366 1
59 366 1
3 366 1
16 367 1
11 367 1
56 367 1
46 367 1
41 367 1
3 367 1
1 367 1
2 368 1
16 368 1
68 368 1
8 368 1
52 368 1
9 368 1
11 368 1
38 368 1
87 368 1
27 368 1
69 368 1
13 368 1
56 368 1
96 368 1
29 368 1
43 368 1
106 368 1
6 368 1
98 368 1
135 368 1
75 368 1
47 368 1
37 368 1
94 368 1
113 368 1
55 368 1
15 368 1
127 368 1
0 368 1
41 368 1
42 368 1
81 368 1
77 368 1
3 368 1
66 368 1
23 368 1
142 368 1
1 368 1
12 368 1
60 368 1
61 368 1
0 369 1
60 369 1
16 370 1
8 370 1
10 370 1
26 370 1
7 370 1
81 370 1
3 370 1
25 370 1
82 370 1
66 370 1
61 370 1
43 371 1
3 371 1
60 371 1
143 372 1
85 372 1
8 372 1
11 372 1
14 372 1
58 372 1
10 372 1
6 372 1
45 372 1
111 372 1
28 372 1
26 372 1
15 372 1
17 372 1
0 372 1
41 372 1
3 372 1
25 372 1
23 372 1
1 372 1
60 372 1
16 373 1
144 373 1
3 373 1
11 374 1
58 374 1
41 374 1
3 374 1
66 374 1
1 374 1
16 375 1
8 375 1
11 375 1
80 375 1
6 375 1
108 375 1
135 375 1
79 375 1
101 375 1
37 375 1
26 375 1
7 375 1
41 375 1
81 375 1
3 375 1
25 375 1
66 375 1
1 375 1
32 375 1
61 375 1
16 376 1
85 376 1
67 376 1
62 376 1
9 376 1
11 376 1
145 376 1
36 376 1
27 376 1
13 376 1
14 376 1
22 376 1
49 376 1
46 376 1
93 376 1
21 376 1
48 376 1
100 376 1
55 376 1
15 376 1
17 376 1
0 376 1
41 376 1
42 376 1
146 376 1
64 376 1
3 376 1
4 376 1
23 376 1
78 376 1
70 376 1
60 376 1
33 376 1
61 376 1
85 377 1
8 377 1
53 377 1
147 377 1
26 377 1
15 377 1
0 377 1
1 377 1
60 377 1
8 378 1
69 378 1
14 378 1
58 378 1
6 378 1
45 378 1
46 378 1
15 378 1
25 378 1
1 378 1
3 379 1
18 380 1
129 380 1
62 380 1
19 380 1
9 380 1
11 380 1
36 380 1
148 380 1
76 380 1
63 380 1
13 380 1
58 380 1
43 380 1
6 380 1
47 380 1
149 380 1
150 380 1
121 380 1
100 380 1
55 380 1
15 380 1
151 380 1
3 380 1
92 380 1
152 380 1
23 380 1
60 380 1
134 380 1
85 381 1
8 381 1
63 381 1
14 381 1
58 381 1
53 381 1
10 381 1
6 381 1
45 381 1
46 381 1
73 381 1
26 381 1
15 381 1
0 381 1
23 381 1
1 381 1
60 381 1
11 382 1
29 382 1
3 382 1
25 382 1
34 383 1
18 383 1
62 383 1
11 383 1
36 383 1
38 383 1
76 383 1
14 383 1
58 383 1
95 383 1
6 383 1
46 383 1
153 383 1
75 383 1
47 383 1
21 383 1
150 383 1
154 383 1
121 383 1
41 383 1
81 383 1
77 383 1
155 383 1
3 383 1
66 383 1
78 383 1
142 383 1
1 383 1
60 383 1
61 383 1
68 384 1
11 384 1
27 384 1
84 384 1
43 384 1
49 384 1
1 384 1
16 385 1
26 385 1
129 386 1
11 386 1
23 386 1
1 386 1
8 387 1
10 387 1
6 387 1
47 387 1
25 387 1
1 387 1
14 388 1
112 388 1
15 388 1
0 388 1
25 388 1
34 389 1
68 389 1
11 389 1
86 389 1
38 389 1
76 389 1
87 389 1
27 389 1
13 389 1
14 389 1
54 389 1
43 389 1
98 389 1
117 389 1
47 389 1
130 389 1
121 389 1
15 389 1
41 389 1
89 389 1
3 389 1
92 389 1
11 390 1
156 390 1
14 390 1
58 390 1
96 390 1
10 390 1
29 390 1
6 390 1
46 390 1
75 390 1
47 390 1
30 390 1
48 390 1
26 390 1
15 390 1
115 390 1
0 390 1
77 390 1
59 390 1
3 390 1
25 390 1
66 390 1
23 390 1
1 390 1
32 390 1
12 390 1
61 390 1
2 391 1
16 391 1
85 391 1
8 391 1
9 391 1
11 391 1
74 391 1
5 391 1
87 391 1
157 391 1
69 391 1
14 391 1
56 391 1
57 391 1
80 391 1
58 391 1
95 391 1
96 391 1
10 391 1
6 391 1
45 391 1
98 391 1
135 391 1
46 391 1
158 391 1
28 391 1
75 391 1
101 391 1
30 391 1
35 391 1
37 391 1
102 391 1
94 391 1
103 391 1
122 391 1
113 391 1
55 391 1
15 391 1
7 391 1
159 391 1
0 391 1
41 391 1
89 391 1
81 391 1
3 391 1
25 391 1
82 391 1
66 391 1
23 391 1
142 391 1
131 391 1
1 391 1
132 391 1
32 391 1
12 391 1
2 392 1
16 392 1
143 392 1
34 392 1
85 392 1
129 392 1
62 392 1
8 392 1
52 392 1
19 392 1
9 392 1
11 392 1
86 392 1
36 392 1
148 392 1
38 392 1
87 392 1
160 392 1
63 392 1
14 392 1
161 392 1
96 392 1
162 392 1
10 392 1
29 392 1
49 392 1
6 392 1
45 392 1
46 392 1
93 392 1
72 392 1
30 392 1
21 392 1
35 392 1
48 392 1
154 392 1
100 392 1
163 392 1
39 392 1
15 392 1
164 392 1
165 392 1
166 392 1
167 392 1
0 392 1
124 392 1
41 392 1
42 392 1
77 392 1
3 392 1
25 392 1
92 392 1
152 392 1
66 392 1
23 392 1
1 392 1
99 392 1
32 392 1
12 392 1
60 392 1
61 392 1
134 392 1
85 393 1
52 393 1
20 393 1
11 393 1
86 393 1
168 393 1
38 393 1
87 393 1
13 393 1
21 393 1
26 393 1
55 393 1
0 393 1
77 393 1
3 393 1
66 393 1
23 393 1
1 393 1
12 393 1
60 393 1
85 394 1
11 394 1
36 394 1
27 394 1
13 394 1
14 394 1
58 394 1
6 394 1
45 394 1
46 394 1
28 394 1
72 394 1
47 394 1
26 394 1
15 394 1
0 394 1
41 394 1
3 394 1
25 394 1
82 394 1
1 394 1
32 394 1
60 394 1
16 395 1
11 395 1
9 396 1
11 396 1
38 396 1
6 396 1
125 396 1
77 396 1
1 396 1
16 397 1
85 397 1
9 397 1
27 397 1
13 397 1
28 397 1
122 397 1
113 397 1
