4697 28593
0 177 1
1 177 1
2 177 1
3 178 1
2 178 1
4 178 1
5 178 1
6 178 1
7 178 1
8 179 1
9 179 1
10 180 1
11 180 1
12 180 1
13 180 1
14 180 1
15 180 1
16 180 1
1 181 1
17 181 1
18 181 1
2 181 1
19 181 1
20 181 1
21 181 1
22 181 1
22 182 1
2 183 1
13 183 1
23 183 1
2 184 1
24 184 1
25 184 1
26 184 1
1 184 1
9 184 1
7 184 1
27 184 1
28 184 1
6 184 1
2 185 1
29 185 1
30 185 1
2 186 1
31 186 1
1 186 1
22 187 1
1 187 1
32 187 1
33 188 1
22 188 1
2 189 1
13 189 1
34 189 1
33 190 1
2 190 1
22 190 1
4 190 1
5 190 1
31 190 1
1 190 1
9 190 1
8 190 1
35 191 1
1 191 1
34 191 1
33 192 1
35 193 1
25 193 1
1 193 1
27 193 1
36 193 1
37 194 1
35 194 1
13 194 1
27 194 1
34 194 1
38 194 1
39 194 1
35 195 1
2 195 1
40 195 1
22 195 1
26 196 1
27 196 1
33 197 1
40 197 1
41 197 1
42 197 1
1 197 1
9 197 1
27 197 1
43 197 1
0 198 1
25 198 1
3 199 1
22 199 1
7 199 1
8 200 1
34 200 1
6 200 1
13 201 1
44 201 1
35 202 1
25 202 1
1 202 1
45 202 1
7 202 1
6 202 1
22 203 1
10 204 1
37 204 1
35 204 1
3 204 1
2 204 1
24 204 1
31 204 1
46 204 1
45 204 1
9 204 1
7 204 1
8 204 1
47 204 1
20 204 1
6 204 1
36 205 1
18 206 1
48 206 1
49 206 1
3 206 1
24 206 1
50 206 1
0 206 1
17 206 1
46 206 1
45 206 1
9 206 1
7 206 1
8 206 1
47 206 1
36 206 1
51 207 1
10 207 1
37 207 1
35 207 1
11 207 1
3 207 1
29 207 1
24 207 1
25 207 1
26 207 1
52 207 1
1 207 1
9 207 1
7 207 1
27 207 1
8 207 1
53 207 1
34 207 1
32 207 1
38 207 1
54 208 1
2 209 1
40 209 1
35 210 1
9 210 1
27 210 1
34 210 1
6 210 1
2 211 1
6 211 1
55 212 1
25 212 1
22 212 1
7 212 1
27 212 1
6 212 1
56 213 1
3 214 1
2 214 1
57 214 1
24 214 1
4 214 1
5 214 1
58 214 1
52 214 1
59 214 1
36 214 1
33 214 1
40 214 1
60 214 1
21 214 1
22 214 1
1 214 1
46 214 1
19 214 1
9 214 1
7 214 1
27 214 1
8 214 1
47 214 1
61 214 1
32 214 1
6 214 1
23 214 1
38 215 1
22 216 1
5 217 1
59 217 1
1 217 1
10 218 1
3 218 1
2 218 1
0 218 1
4 218 1
36 218 1
42 218 1
1 218 1
9 218 1
7 218 1
27 218 1
55 219 1
25 219 1
7 219 1
6 219 1
3 220 1
29 220 1
29 221 1
35 222 1
4 222 1
34 222 1
33 222 1
13 222 1
1 222 1
7 222 1
27 222 1
6 222 1
49 223 1
3 223 1
2 223 1
62 223 1
24 223 1
9 223 1
6 223 1
2 224 1
1 224 1
49 225 1
35 225 1
3 225 1
2 225 1
24 225 1
25 225 1
52 225 1
17 225 1
34 225 1
18 225 1
48 225 1
1 225 1
63 225 1
7 225 1
64 225 1
6 225 1
65 226 1
26 226 1
60 227 1
50 228 1
35 229 1
0 229 1
50 229 1
7 229 1
64 229 1
6 229 1
2 230 1
6 231 1
2 232 1
36 232 1
33 232 1
27 232 1
29 233 1
6 233 1
27 234 1
1 235 1
2 236 1
66 237 1
29 237 1
46 237 1
9 237 1
6 237 1
2 238 1
33 238 1
33 239 1
67 240 1
33 241 1
14 242 1
34 242 1
9 242 1
3 243 1
19 243 1
