7569 370628
0 1531 1
1 1531 1
2 1531 1
3 1531 1
4 1531 1
5 1531 1
6 1531 1
7 1531 1
8 1531 1
9 1531 1
10 1531 1
11 1531 1
12 1531 1
13 1531 1
14 1531 1
15 1531 1
16 1531 1
17 1531 1
18 1531 1
19 1531 1
20 1531 1
21 1532 1
22 1532 1
23 1532 1
24 1532 1
25 1532 1
26 1532 1
27 1532 1
28 1532 1
29 1532 1
30 1532 1
31 1532 1
6 1532 1
32 1532 1
33 1532 1
34 1532 1
35 1532 1
36 1532 1
37 1532 1
38 1532 1
39 1532 1
40 1532 1
41 1532 1
42 1532 1
43 1532 1
44 1532 1
45 1532 1
46 1532 1
47 1532 1
48 1532 1
49 1532 1
50 1532 1
51 1532 1
52 1532 1
53 1532 1
54 1532 1
17 1532 1
55 1532 1
56 1532 1
57 1532 1
58 1532 1
59 1532 1
60 1532 1
61 1532 1
0 1532 1
62 1532 1
63 1532 1
64 1532 1
65 1532 1
66 1532 1
67 1532 1
68 1532 1
69 1532 1
70 1532 1
71 1532 1
72 1532 1
73 1532 1
74 1532 1
75 1532 1
76 1532 1
77 1532 1
78 1532 1
79 1532 1
80 1532 1
81 1532 1
82 1532 1
83 1532 1
84 1532 1
85 1532 1
15 1532 1
86 1532 1
87 1532 1
88 1532 1
16 1532 1
89 1532 1
90 1532 1
91 1532 1
92 1532 1
20 1532 1
93 1532 1
40 1533 1
53 1533 1
66 1533 1
65 1533 1
67 1533 1
94 1533 1
14 1533 1
89 1533 1
27 1534 1
17 1534 1
66 1534 1
70 1534 1
8 1534 1
80 1534 1
95 1535 1
96 1535 1
97 1535 1
98 1535 1
99 1535 1
25 1535 1
100 1535 1
101 1535 1
102 1535 1
103 1535 1
104 1535 1
105 1535 1
29 1535 1
106 1535 1
107 1535 1
108 1535 1
109 1535 1
110 1535 1
111 1535 1
112 1535 1
113 1535 1
114 1535 1
13 1535 1
115 1535 1
116 1535 1
117 1535 1
53 1535 1
118 1535 1
55 1535 1
119 1535 1
120 1535 1
121 1535 1
64 1535 1
122 1535 1
123 1535 1
124 1535 1
125 1535 1
67 1535 1
126 1535 1
127 1535 1
128 1535 1
129 1535 1
130 1535 1
131 1535 1
132 1535 1
133 1535 1
134 1535 1
135 1535 1
136 1535 1
137 1535 1
138 1535 1
88 1535 1
139 1535 1
19 1535 1
140 1535 1
141 1535 1
142 1535 1
143 1535 1
144 1535 1
145 1535 1
28 1535 1
146 1535 1
6 1535 1
147 1535 1
148 1535 1
9 1535 1
149 1535 1
150 1535 1
151 1535 1
152 1535 1
153 1535 1
17 1535 1
154 1535 1
57 1535 1
155 1535 1
156 1535 1
157 1535 1
158 1535 1
1 1535 1
159 1535 1
160 1535 1
161 1535 1
162 1535 1
163 1535 1
4 1535 1
