7605 383067
0 1566 1
1 1566 1
2 1566 1
3 1566 1
4 1566 1
5 1566 1
6 1566 1
7 1566 1
8 1566 1
9 1566 1
10 1566 1
11 1566 1
12 1566 1
13 1566 1
14 1566 1
15 1566 1
16 1566 1
17 1566 1
18 1566 1
19 1566 1
20 1566 1
21 1567 1
22 1567 1
23 1567 1
24 1567 1
25 1567 1
26 1567 1
27 1567 1
28 1567 1
29 1567 1
30 1567 1
31 1567 1
32 1567 1
6 1567 1
33 1567 1
34 1567 1
35 1567 1
36 1567 1
37 1567 1
38 1567 1
39 1567 1
40 1567 1
41 1567 1
42 1567 1
43 1567 1
44 1567 1
45 1567 1
46 1567 1
47 1567 1
48 1567 1
49 1567 1
50 1567 1
51 1567 1
52 1567 1
53 1567 1
54 1567 1
55 1567 1
56 1567 1
17 1567 1
57 1567 1
58 1567 1
59 1567 1
60 1567 1
61 1567 1
62 1567 1
63 1567 1
0 1567 1
64 1567 1
65 1567 1
66 1567 1
67 1567 1
68 1567 1
69 1567 1
70 1567 1
71 1567 1
72 1567 1
73 1567 1
74 1567 1
75 1567 1
76 1567 1
77 1567 1
78 1567 1
79 1567 1
80 1567 1
81 1567 1
82 1567 1
83 1567 1
84 1567 1
85 1567 1
86 1567 1
87 1567 1
88 1567 1
15 1567 1
89 1567 1
90 1567 1
91 1567 1
16 1567 1
92 1567 1
93 1567 1
94 1567 1
95 1567 1
20 1567 1
96 1567 1
25 1568 1
42 1568 1
55 1568 1
68 1568 1
67 1568 1
69 1568 1
97 1568 1
14 1568 1
92 1568 1
28 1569 1
17 1569 1
68 1569 1
73 1569 1
8 1569 1
83 1569 1
98 1570 1
99 1570 1
100 1570 1
101 1570 1
26 1570 1
102 1570 1
103 1570 1
104 1570 1
105 1570 1
106 1570 1
107 1570 1
30 1570 1
108 1570 1
109 1570 1
110 1570 1
111 1570 1
112 1570 1
113 1570 1
114 1570 1
115 1570 1
116 1570 1
117 1570 1
13 1570 1
118 1570 1
119 1570 1
120 1570 1
55 1570 1
121 1570 1
57 1570 1
122 1570 1
123 1570 1
124 1570 1
66 1570 1
125 1570 1
126 1570 1
127 1570 1
128 1570 1
69 1570 1
129 1570 1
130 1570 1
131 1570 1
132 1570 1
133 1570 1
134 1570 1
135 1570 1
136 1570 1
137 1570 1
138 1570 1
139 1570 1
140 1570 1
141 1570 1
91 1570 1
142 1570 1
19 1570 1
143 1570 1
144 1570 1
145 1570 1
146 1570 1
147 1570 1
148 1570 1
29 1570 1
149 1570 1
6 1570 1
150 1570 1
151 1570 1
9 1570 1
152 1570 1
153 1570 1
154 1570 1
155 1570 1
156 1570 1
157 1570 1
17 1570 1
158 1570 1
59 1570 1
159 1570 1
160 1570 1
161 1570 1
162 1570 1
1 1570 1
163 1570 1
164 1570 1
165 1570 1
166 1570 1
167 1570 1
168 1570 1
4 1570 1
169 1570 1
170 1570 1
171 1570 1
172 1570 1
173 1570 1
174 1570 1
175 1570 1
176 1570 1
177 1570 1
178 1570 1
179 1570 1
180 1570 1
83 1570 1
181 1570 1
182 1570 1
183 1570 1
184 1570 1
185 1570 1
186 1570 1
187 1570 1
188 1570 1
189 1570 1
30 1571 1
112 1571 1
190 1571 1
55 1571 1
67 1571 1
191 1571 1
192 1571 1
193 1571 1
194 1571 1
195 1571 1
196 1571 1
197 1571 1
198 1571 1
61 1571 1
199 1571 1
200 1571 1
1 1571 1
201 1571 1
82 1571 1
202 1571 1
203 1571 1
188 1571 1
25 1572 1
30 1572 1
68 1572 1
192 1572 1
34 1572 1
47 1572 1
204 1572 1
17 1572 1
83 1572 1
205 1573 1
206 1573 1
26 1573 1
102 1573 1
207 1573 1
208 1573 1
108 1573 1
209 1573 1
210 1573 1
211 1573 1
212 1573 1
112 1573 1
43 1573 1
213 1573 1
214 1573 1
215 1573 1
12 1573 1
216 1573 1
13 1573 1
217 1573 1
218 1573 1
219 1573 1
120 1573 1
55 1573 1
220 1573 1
221 1573 1
66 1573 1
222 1573 1
223 1573 1
224 1573 1
225 1573 1
226 1573 1
227 1573 1
228 1573 1
229 1573 1
230 1573 1
231 1573 1
232 1573 1
233 1573 1
7 1573 1
234 1573 1
235 1573 1
131 1573 1
236 1573 1
134 1573 1
237 1573 1
238 1573 1
239 1573 1
138 1573 1
19 1573 1
240 1573 1
241 1573 1
242 1573 1
243 1573 1
21 1573 1
244 1573 1
245 1573 1
246 1573 1
247 1573 1
29 1573 1
248 1573 1
6 1573 1
34 1573 1
249 1573 1
250 1573 1
9 1573 1
251 1573 1
153 1573 1
46 1573 1
154 1573 1
47 1573 1
252 1573 1
253 1573 1
11 1573 1
254 1573 1
255 1573 1
256 1573 1
17 1573 1
257 1573 1
59 1573 1
158 1573 1
197 1573 1
198 1573 1
258 1573 1
259 1573 1
64 1573 1
160 1573 1
