7597 382258
0 1559 1
1 1559 1
2 1559 1
3 1559 1
4 1559 1
5 1559 1
6 1559 1
7 1559 1
8 1559 1
9 1559 1
10 1559 1
11 1559 1
12 1559 1
13 1559 1
14 1559 1
15 1559 1
16 1559 1
17 1559 1
18 1559 1
19 1559 1
20 1559 1
21 1560 1
22 1560 1
23 1560 1
24 1560 1
25 1560 1
26 1560 1
27 1560 1
28 1560 1
29 1560 1
30 1560 1
31 1560 1
32 1560 1
6 1560 1
33 1560 1
34 1560 1
35 1560 1
36 1560 1
37 1560 1
38 1560 1
39 1560 1
40 1560 1
41 1560 1
42 1560 1
43 1560 1
44 1560 1
45 1560 1
46 1560 1
47 1560 1
48 1560 1
49 1560 1
50 1560 1
51 1560 1
52 1560 1
53 1560 1
54 1560 1
55 1560 1
17 1560 1
56 1560 1
57 1560 1
58 1560 1
59 1560 1
60 1560 1
61 1560 1
62 1560 1
63 1560 1
0 1560 1
64 1560 1
65 1560 1
66 1560 1
67 1560 1
68 1560 1
69 1560 1
70 1560 1
71 1560 1
72 1560 1
73 1560 1
74 1560 1
75 1560 1
76 1560 1
77 1560 1
78 1560 1
79 1560 1
80 1560 1
81 1560 1
82 1560 1
83 1560 1
84 1560 1
85 1560 1
86 1560 1
87 1560 1
88 1560 1
15 1560 1
89 1560 1
90 1560 1
91 1560 1
16 1560 1
92 1560 1
93 1560 1
94 1560 1
95 1560 1
96 1560 1
20 1560 1
97 1560 1
28 1561 1
41 1561 1
54 1561 1
68 1561 1
67 1561 1
69 1561 1
98 1561 1
14 1561 1
92 1561 1
27 1562 1
28 1562 1
17 1562 1
68 1562 1
72 1562 1
8 1562 1
82 1562 1
99 1563 1
100 1563 1
101 1563 1
102 1563 1
25 1563 1
103 1563 1
104 1563 1
105 1563 1
106 1563 1
107 1563 1
108 1563 1
30 1563 1
109 1563 1
110 1563 1
111 1563 1
112 1563 1
113 1563 1
114 1563 1
115 1563 1
116 1563 1
13 1563 1
117 1563 1
118 1563 1
119 1563 1
54 1563 1
120 1563 1
56 1563 1
121 1563 1
122 1563 1
123 1563 1
66 1563 1
124 1563 1
125 1563 1
126 1563 1
127 1563 1
69 1563 1
128 1563 1
129 1563 1
130 1563 1
131 1563 1
132 1563 1
133 1563 1
134 1563 1
135 1563 1
136 1563 1
137 1563 1
138 1563 1
139 1563 1
140 1563 1
91 1563 1
141 1563 1
19 1563 1
142 1563 1
143 1563 1
144 1563 1
145 1563 1
146 1563 1
147 1563 1
29 1563 1
148 1563 1
6 1563 1
149 1563 1
150 1563 1
9 1563 1
151 1563 1
152 1563 1
153 1563 1
154 1563 1
155 1563 1
17 1563 1
156 1563 1
58 1563 1
157 1563 1
158 1563 1
159 1563 1
1 1563 1
160 1563 1
161 1563 1
162 1563 1
163 1563 1
164 1563 1
4 1563 1
165 1563 1
166 1563 1
167 1563 1
168 1563 1
169 1563 1
170 1563 1
171 1563 1
172 1563 1
173 1563 1
174 1563 1
175 1563 1
176 1563 1
82 1563 1
177 1563 1
178 1563 1
179 1563 1
180 1563 1
181 1563 1
182 1563 1
183 1563 1
184 1563 1
95 1563 1
185 1563 1
30 1564 1
113 1564 1
186 1564 1
54 1564 1
67 1564 1
187 1564 1
28 1564 1
188 1564 1
189 1564 1
190 1564 1
191 1564 1
192 1564 1
193 1564 1
194 1564 1
61 1564 1
195 1564 1
196 1564 1
1 1564 1
197 1564 1
81 1564 1
198 1564 1
199 1564 1
184 1564 1
30 1565 1
68 1565 1
188 1565 1
33 1565 1
46 1565 1
200 1565 1
17 1565 1
82 1565 1
201 1566 1
202 1566 1
25 1566 1
103 1566 1
203 1566 1
204 1566 1
109 1566 1
205 1566 1
206 1566 1
207 1566 1
208 1566 1
113 1566 1
42 1566 1
209 1566 1
210 1566 1
211 1566 1
12 1566 1
212 1566 1
13 1566 1
213 1566 1
214 1566 1
215 1566 1
119 1566 1
54 1566 1
216 1566 1
217 1566 1
66 1566 1
218 1566 1
219 1566 1
220 1566 1
221 1566 1
222 1566 1
223 1566 1
224 1566 1
225 1566 1
226 1566 1
227 1566 1
228 1566 1
229 1566 1
7 1566 1
230 1566 1
231 1566 1
130 1566 1
232 1566 1
133 1566 1
233 1566 1
234 1566 1
235 1566 1
137 1566 1
19 1566 1
236 1566 1
237 1566 1
238 1566 1
239 1566 1
21 1566 1
240 1566 1
241 1566 1
242 1566 1
243 1566 1
28 1566 1
29 1566 1
244 1566 1
6 1566 1
33 1566 1
245 1566 1
246 1566 1
9 1566 1
247 1566 1
152 1566 1
45 1566 1
153 1566 1
46 1566 1
248 1566 1
249 1566 1
11 1566 1
250 1566 1
251 1566 1
252 1566 1
17 1566 1
253 1566 1
58 1566 1
156 1566 1
193 1566 1
194 1566 1
254 1566 1
255 1566 1
64 1566 1
158 1566 1
159 1566 1
256 1566 1
257 1566 1
258 1566 1
259 1566 1
260 1566 1
261 1566 1
171 1566 1
262 1566 1
263 1566 1
174 1566 1
264 1566 1
265 1566 1
266 1566 1
82 1566 1
267 1566 1
180 1566 1
268 1566 1
269 1566 1
270 1566 1
185 1566 1
25 1567 1
103 1567 1
203 1567 1
204 1567 1
205 1567 1
42 1567 1
209 1567 1
13 1567 1
271 1567 1
119 1567 1
54 1567 1
272 1567 1
273 1567 1
67 1567 1
124 1567 1
69 1567 1
274 1567 1
228 1567 1
7 1567 1
275 1567 1
276 1567 1
130 1567 1
233 1567 1
89 1567 1
