7585 371009
0 1547 1
1 1547 1
2 1547 1
3 1547 1
4 1547 1
5 1547 1
6 1547 1
7 1547 1
8 1547 1
9 1547 1
10 1547 1
11 1547 1
12 1547 1
13 1547 1
14 1547 1
15 1547 1
16 1547 1
17 1547 1
18 1547 1
19 1547 1
20 1547 1
21 1548 1
22 1548 1
23 1548 1
24 1548 1
25 1548 1
26 1548 1
27 1548 1
28 1548 1
29 1548 1
30 1548 1
31 1548 1
6 1548 1
32 1548 1
33 1548 1
34 1548 1
35 1548 1
36 1548 1
37 1548 1
38 1548 1
39 1548 1
40 1548 1
41 1548 1
42 1548 1
43 1548 1
44 1548 1
45 1548 1
46 1548 1
47 1548 1
48 1548 1
49 1548 1
50 1548 1
51 1548 1
52 1548 1
53 1548 1
54 1548 1
55 1548 1
17 1548 1
56 1548 1
57 1548 1
58 1548 1
59 1548 1
60 1548 1
61 1548 1
62 1548 1
0 1548 1
63 1548 1
64 1548 1
65 1548 1
66 1548 1
67 1548 1
68 1548 1
69 1548 1
70 1548 1
71 1548 1
72 1548 1
73 1548 1
74 1548 1
75 1548 1
76 1548 1
77 1548 1
78 1548 1
79 1548 1
80 1548 1
81 1548 1
82 1548 1
83 1548 1
84 1548 1
85 1548 1
86 1548 1
15 1548 1
87 1548 1
88 1548 1
89 1548 1
16 1548 1
90 1548 1
91 1548 1
92 1548 1
93 1548 1
20 1548 1
94 1548 1
41 1549 1
54 1549 1
95 1549 1
67 1549 1
66 1549 1
96 1549 1
68 1549 1
97 1549 1
98 1549 1
99 1549 1
14 1549 1
100 1549 1
90 1549 1
27 1550 1
101 1550 1
17 1550 1
67 1550 1
71 1550 1
8 1550 1
81 1550 1
102 1550 1
103 1551 1
104 1551 1
105 1551 1
106 1551 1
25 1551 1
107 1551 1
108 1551 1
109 1551 1
110 1551 1
111 1551 1
112 1551 1
29 1551 1
113 1551 1
114 1551 1
115 1551 1
116 1551 1
117 1551 1
118 1551 1
119 1551 1
120 1551 1
13 1551 1
121 1551 1
122 1551 1
123 1551 1
54 1551 1
124 1551 1
56 1551 1
125 1551 1
126 1551 1
127 1551 1
65 1551 1
128 1551 1
129 1551 1
130 1551 1
131 1551 1
68 1551 1
132 1551 1
133 1551 1
134 1551 1
135 1551 1
136 1551 1
137 1551 1
138 1551 1
139 1551 1
140 1551 1
141 1551 1
142 1551 1
143 1551 1
144 1551 1
89 1551 1
145 1551 1
19 1551 1
146 1551 1
147 1551 1
148 1551 1
149 1551 1
150 1551 1
151 1551 1
28 1551 1
152 1551 1
6 1551 1
153 1551 1
154 1551 1
9 1551 1
155 1551 1
156 1551 1
157 1551 1
158 1551 1
159 1551 1
17 1551 1
160 1551 1
58 1551 1
161 1551 1
162 1551 1
163 1551 1
1 1551 1
164 1551 1
165 1551 1
166 1551 1
167 1551 1
168 1551 1
4 1551 1
169 1551 1
170 1551 1
171 1551 1
172 1551 1
173 1551 1
174 1551 1
175 1551 1
176 1551 1
177 1551 1
178 1551 1
179 1551 1
180 1551 1
81 1551 1
181 1551 1
182 1551 1
183 1551 1
184 1551 1
185 1551 1
186 1551 1
187 1551 1
188 1551 1
189 1551 1
190 1551 1
29 1552 1
40 1552 1
117 1552 1
191 1552 1
192 1552 1
193 1552 1
54 1552 1
66 1552 1
194 1552 1
195 1552 1
196 1552 1
197 1552 1
198 1552 1
199 1552 1
200 1552 1
201 1552 1
202 1552 1
203 1552 1
204 1552 1
60 1552 1
205 1552 1
206 1552 1
1 1552 1
207 1552 1
80 1552 1
208 1552 1
209 1552 1
188 1552 1
29 1553 1
67 1553 1
196 1553 1
32 1553 1
46 1553 1
210 1553 1
17 1553 1
81 1553 1
211 1554 1
212 1554 1
25 1554 1
107 1554 1
213 1554 1
214 1554 1
113 1554 1
215 1554 1
216 1554 1
217 1554 1
218 1554 1
117 1554 1
42 1554 1
219 1554 1
220 1554 1
221 1554 1
12 1554 1
222 1554 1
13 1554 1
223 1554 1
224 1554 1
225 1554 1
123 1554 1
54 1554 1
226 1554 1
227 1554 1
65 1554 1
228 1554 1
229 1554 1
230 1554 1
231 1554 1
232 1554 1
233 1554 1
234 1554 1
235 1554 1
236 1554 1
237 1554 1
238 1554 1
239 1554 1
7 1554 1
240 1554 1
241 1554 1
134 1554 1
242 1554 1
137 1554 1
243 1554 1
244 1554 1
245 1554 1
141 1554 1
19 1554 1
246 1554 1
247 1554 1
248 1554 1
249 1554 1
21 1554 1
250 1554 1
251 1554 1
252 1554 1
253 1554 1
28 1554 1
254 1554 1
6 1554 1
32 1554 1
255 1554 1
256 1554 1
9 1554 1
257 1554 1
156 1554 1
45 1554 1
157 1554 1
46 1554 1
258 1554 1
259 1554 1
11 1554 1
260 1554 1
261 1554 1
262 1554 1
17 1554 1
263 1554 1
58 1554 1
160 1554 1
203 1554 1
204 1554 1
264 1554 1
265 1554 1
63 1554 1
162 1554 1
163 1554 1
266 1554 1
267 1554 1
268 1554 1
269 1554 1
270 1554 1
271 1554 1
175 1554 1
272 1554 1
273 1554 1
178 1554 1
274 1554 1
275 1554 1
276 1554 1
81 1554 1
277 1554 1
184 1554 1
278 1554 1
279 1554 1
280 1554 1
189 1554 1
25 1555 1
107 1555 1
213 1555 1
214 1555 1
215 1555 1
42 1555 1
219 1555 1
13 1555 1
281 1555 1
123 1555 1
54 1555 1
282 1555 1
283 1555 1
66 1555 1
128 1555 1
68 1555 1
284 1555 1
238 1555 1
7 1555 1
285 1555 1
286 1555 1
134 1555 1
243 1555 1
87 1555 1
287 1555 1
89 1555 1
19 1555 1
288 1555 1
289 1555 1
28 1555 1
153 1555 1
290 1555 1
9 1555 1
44 1555 1
157 1555 1
200 1555 1
291 1555 1
210 1555 1
159 1555 1
17 1555 1
