5543 54562
0 112 1
1 112 1
2 112 1
3 113 1
4 113 1
5 114 1
2 114 1
2 115 1
1 115 1
6 116 1
7 116 1
8 116 1
9 117 1
10 117 1
11 118 1
7 118 1
12 119 1
3 119 1
13 119 1
14 119 1
5 119 1
15 119 1
16 119 1
17 119 1
18 119 1
19 119 1
20 119 1
21 119 1
22 119 1
23 119 1
24 119 1
25 119 1
2 119 1
26 119 1
8 119 1
27 119 1
28 119 1
29 119 1
30 119 1
11 119 1
7 119 1
31 119 1
0 119 1
32 119 1
33 119 1
34 119 1
35 119 1
36 119 1
37 119 1
38 119 1
39 119 1
40 119 1
41 119 1
10 119 1
42 119 1
43 119 1
1 119 1
44 119 1
26 120 1
45 120 1
14 121 1
6 122 1
3 122 1
13 122 1
17 122 1
23 122 1
25 122 1
46 122 1
2 122 1
29 122 1
47 122 1
32 122 1
35 122 1
41 122 1
43 122 1
1 122 1
5 123 1
48 123 1
23 123 1
2 123 1
28 123 1
45 123 1
11 123 1
7 123 1
49 123 1
6 124 1
50 125 1
51 125 1
19 125 1
52 125 1
53 125 1
24 125 1
2 125 1
54 125 1
8 125 1
27 125 1
55 125 1
7 125 1
56 125 1
57 125 1
36 125 1
40 125 1
4 125 1
43 125 1
58 125 1
1 125 1
59 125 1
6 126 1
12 126 1
3 126 1
13 126 1
5 126 1
15 126 1
16 126 1
17 126 1
60 126 1
61 126 1
19 126 1
62 126 1
63 126 1
64 126 1
21 126 1
23 126 1
24 126 1
46 126 1
2 126 1
28 126 1
65 126 1
29 126 1
30 126 1
11 126 1
7 126 1
66 126 1
0 126 1
49 126 1
32 126 1
33 126 1
35 126 1
38 126 1
40 126 1
10 126 1
43 126 1
1 126 1
6 127 1
12 127 1
3 127 1
64 127 1
21 127 1
2 127 1
35 127 1
40 127 1
1 127 1
7 128 1
6 129 1
6 130 1
3 130 1
13 130 1
15 130 1
18 130 1
23 130 1
26 130 1
29 130 1
30 130 1
0 130 1
32 130 1
35 130 1
10 130 1
1 130 1
59 130 1
67 131 1
50 131 1
3 131 1
13 131 1
14 131 1
68 131 1
17 131 1
60 131 1
69 131 1
19 131 1
70 131 1
20 131 1
25 131 1
46 131 1
2 131 1
26 131 1
27 131 1
28 131 1
65 131 1
45 131 1
29 131 1
30 131 1
11 131 1
7 131 1
0 131 1
47 131 1
32 131 1
33 131 1
35 131 1
36 131 1
40 131 1
41 131 1
10 131 1
43 131 1
1 131 1
59 131 1
71 131 1
6 132 1
3 132 1
2 132 1
26 132 1
0 132 1
35 132 1
10 132 1
6 133 1
3 133 1
72 133 1
2 133 1
54 133 1
65 133 1
45 133 1
50 134 1
12 134 1
3 134 1
13 134 1
73 134 1
20 134 1
2 134 1
26 134 1
28 134 1
45 134 1
66 134 1
0 134 1
35 134 1
10 134 1
1 134 1
6 135 1
67 135 1
14 135 1
68 135 1
74 135 1
17 135 1
18 135 1
75 135 1
69 135 1
2 135 1
26 135 1
8 135 1
76 135 1
77 135 1
78 135 1
7 135 1
32 135 1
33 135 1
79 135 1
35 135 1
36 135 1
10 135 1
1 135 1
50 136 1
53 136 1
2 136 1
26 136 1
78 136 1
7 136 1
0 136 1
4 136 1
1 136 1
59 136 1
14 137 1
2 137 1
30 137 1
33 137 1
36 137 1
7 138 1
1 138 1
26 139 1
35 139 1
52 140 1
7 140 1
14 141 1
5 141 1
68 141 1
74 141 1
69 141 1
63 141 1
2 141 1
26 141 1
27 141 1
80 141 1
77 141 1
78 141 1
30 141 1
0 141 1
79 141 1
81 141 1
4 141 1
1 141 1
13 142 1
26 142 1
10 142 1
1 142 1
14 143 1
21 143 1
77 143 1
45 143 1
10 143 1
6 144 1
3 144 1
51 144 1
72 144 1
52 144 1
2 144 1
82 144 1
