6127 112687
0 407 1
1 407 1
2 407 1
3 408 1
4 408 1
5 408 1
6 409 1
7 409 1
2 409 1
8 409 1
9 409 1
10 410 1
2 410 1
1 410 1
11 410 1
12 410 1
13 411 1
14 411 1
15 411 1
16 411 1
5 411 1
17 411 1
18 411 1
19 411 1
20 411 1
21 411 1
22 412 1
23 412 1
24 413 1
25 414 1
26 415 1
27 415 1
28 416 1
3 416 1
29 416 1
30 416 1
31 416 1
6 416 1
32 416 1
33 416 1
4 416 1
34 416 1
35 416 1
36 416 1
16 416 1
5 416 1
37 416 1
38 416 1
39 416 1
40 416 1
41 416 1
42 416 1
43 416 1
25 416 1
44 416 1
45 416 1
46 416 1
47 416 1
2 416 1
48 416 1
49 416 1
50 416 1
51 416 1
12 416 1
52 416 1
53 416 1
26 416 1
54 416 1
0 416 1
55 416 1
56 416 1
57 416 1
58 416 1
10 416 1
59 416 1
60 416 1
61 416 1
62 416 1
63 416 1
64 416 1
65 416 1
66 416 1
23 416 1
67 416 1
68 416 1
1 416 1
9 416 1
69 416 1
70 416 1
71 417 1
39 417 1
46 417 1
48 417 1
72 417 1
21 417 1
73 418 1
3 419 1
31 419 1
4 419 1
34 419 1
74 419 1
44 419 1
47 419 1
75 419 1
2 419 1
52 419 1
76 419 1
56 419 1
60 419 1
65 419 1
68 419 1
1 419 1
9 419 1
49 420 1
77 420 1
14 420 1
78 420 1
6 421 1
79 421 1
80 421 1
44 421 1
2 421 1
49 421 1
51 421 1
72 421 1
21 421 1
26 421 1
14 421 1
81 421 1
82 421 1
83 421 1
84 421 1
85 421 1
9 421 1
86 422 1
17 422 1
87 423 1
88 423 1
89 423 1
37 423 1
40 423 1
90 423 1
91 423 1
92 423 1
45 423 1
2 423 1
93 423 1
50 423 1
94 423 1
95 423 1
96 423 1
97 423 1
24 423 1
18 423 1
98 423 1
10 423 1
59 423 1
99 423 1
100 423 1
101 423 1
64 423 1
102 423 1
68 423 1
1 423 1
103 423 1
28 424 1
3 424 1
31 424 1
6 424 1
32 424 1
33 424 1
4 424 1
34 424 1
104 424 1
105 424 1
37 424 1
106 424 1
107 424 1
42 424 1
44 424 1
45 424 1
7 424 1
75 424 1
2 424 1
49 424 1
51 424 1
108 424 1
12 424 1
52 424 1
53 424 1
26 424 1
109 424 1
0 424 1
81 424 1
56 424 1
57 424 1
110 424 1
59 424 1
60 424 1
62 424 1
64 424 1
23 424 1
68 424 1
1 424 1
9 424 1
28 425 1
3 425 1
29 425 1
111 425 1
112 425 1
113 425 1
114 425 1
115 425 1
116 425 1
117 425 1
118 425 1
8 425 1
36 425 1
71 425 1
86 425 1
16 425 1
5 425 1
119 425 1
79 425 1
120 425 1
121 425 1
122 425 1
123 425 1
124 425 1
38 425 1
107 425 1
39 425 1
125 425 1
126 425 1
42 425 1
127 425 1
46 425 1
128 425 1
2 425 1
129 425 1
12 425 1
130 425 1
131 425 1
132 425 1
133 425 1
77 425 1
134 425 1
14 425 1
15 425 1
135 425 1
136 425 1
24 425 1
11 425 1
137 425 1
138 425 1
139 425 1
83 425 1
84 425 1
10 425 1
59 425 1
140 425 1
60 425 1
100 425 1
101 425 1
141 425 1
64 425 1
66 425 1
78 425 1
1 425 1
142 425 1
69 425 1
82 426 1
84 427 1
3 428 1
143 428 1
31 428 1
32 428 1
8 428 1
35 428 1
16 428 1
5 428 1
17 428 1
144 428 1
145 428 1
39 428 1
80 428 1
44 428 1
146 428 1
46 428 1
128 428 1
48 428 1
49 428 1
52 428 1
130 428 1
53 428 1
147 428 1
131 428 1
15 428 1
148 428 1
149 428 1
150 428 1
136 428 1
0 428 1
55 428 1
138 428 1
56 428 1
110 428 1
82 428 1
27 428 1
10 428 1
59 428 1
99 428 1
60 428 1
23 428 1
151 428 1
1 428 1
9 428 1
87 429 1
88 429 1
3 429 1
30 429 1
31 429 1
114 429 1
4 429 1
34 429 1
117 429 1
104 429 1
37 429 1
152 429 1
153 429 1
40 429 1
41 429 1
127 429 1
47 429 1
75 429 1
2 429 1
154 429 1
48 429 1
50 429 1
51 429 1
108 429 1
94 429 1
155 429 1
156 429 1
72 429 1
52 429 1
53 429 1
95 429 1
26 429 1
96 429 1
136 429 1
0 429 1
24 429 1
76 429 1
56 429 1
18 429 1
57 429 1
82 429 1
84 429 1
10 429 1
59 429 1
99 429 1
140 429 1
60 429 1
100 429 1
101 429 1
64 429 1
65 429 1
23 429 1
68 429 1
1 429 1
9 429 1
157 429 1
158 429 1
159 429 1
3 430 1
16 430 1
40 430 1
2 430 1
48 430 1
14 430 1
0 430 1
60 430 1
23 430 1
3 431 1
16 431 1
160 431 1
2 431 1
93 431 1
108 431 1
12 431 1
72 431 1
161 431 1
28 432 1
3 432 1
31 432 1
162 432 1
16 432 1
145 432 1
163 432 1
41 432 1
46 432 1
2 432 1
48 432 1
51 432 1
12 432 1
155 432 1
72 432 1
109 432 1
136 432 1
0 432 1
24 432 1
55 432 1
138 432 1
83 432 1
84 432 1
60 432 1
164 432 1
23 432 1
1 432 1
34 433 1
35 433 1
2 433 1
48 433 1
24 433 1
55 433 1
56 433 1
57 433 1
60 433 1
23 433 1
1 433 1
165 434 1
39 434 1
40 434 1
2 434 1
48 434 1
12 434 1
0 434 1
24 434 1
10 434 1
1 434 1
165 435 1
2 435 1
12 435 1
53 435 1
11 435 1
57 435 1
10 435 1
59 435 1
99 435 1
9 435 1
132 436 1
1 436 1
16 437 1
40 437 1
166 437 1
48 437 1
167 437 1
168 437 1
11 437 1
60 437 1
90 438 1
165 439 1
87 439 1
88 439 1
169 439 1
112 439 1
114 439 1
6 439 1
115 439 1
170 439 1
116 439 1
171 439 1
36 439 1
16 439 1
119 439 1
120 439 1
121 439 1
122 439 1
123 439 1
17 439 1
124 439 1
172 439 1
38 439 1
173 439 1
39 439 1
174 439 1
126 439 1
19 439 1
91 439 1
127 439 1
46 439 1
20 439 1
166 439 1
2 439 1
48 439 1
50 439 1
12 439 1
21 439 1
53 439 1
95 439 1
175 439 1
77 439 1
176 439 1
96 439 1
177 439 1
136 439 1
0 439 1
24 439 1
11 439 1
178 439 1
161 439 1
139 439 1
10 439 1
140 439 1
101 439 1
164 439 1
179 439 1
180 439 1
1 439 1
181 439 1
158 439 1
31 440 1
114 440 1
71 440 1
16 440 1
39 440 1
126 440 1
127 440 1
166 440 1
48 440 1
12 440 1
21 440 1
136 440 1
24 440 1
139 440 1
84 440 1
140 440 1
66 440 1
23 440 1
1 440 1
73 440 1
115 441 1
39 441 1
42 441 1
72 441 1
23 441 1
3 442 1
30 442 1
86 442 1
16 442 1
39 442 1
160 442 1
90 442 1
7 442 1
46 442 1
2 442 1
154 442 1
12 442 1
72 442 1
95 442 1
175 442 1
14 442 1
96 442 1
0 442 1
84 442 1
10 442 1
99 442 1
23 442 1
68 442 1
1 442 1
9 442 1
158 442 1
73 442 1
72 443 1
167 443 1
182 443 1
14 443 1
24 443 1
23 443 1
71 444 1
16 444 1
49 444 1
14 444 1
31 445 1
6 445 1
34 445 1
183 445 1
44 445 1
76 445 1
11 445 1
60 445 1
65 445 1
68 445 1
3 446 1
36 446 1
71 446 1
79 446 1
2 446 1
130 446 1
83 446 1
3 447 1
30 447 1
6 447 1
16 447 1
37 447 1
106 447 1
184 447 1
41 447 1
91 447 1
44 447 1
75 447 1
2 447 1
154 447 1
48 447 1
50 447 1
12 447 1
72 447 1
53 447 1
26 447 1
54 447 1
96 447 1
0 447 1
11 447 1
55 447 1
57 447 1
58 447 1
10 447 1
99 447 1
60 447 1
101 447 1
185 447 1
64 447 1
65 447 1
23 447 1
68 447 1
1 447 1
28 448 1
165 448 1
3 448 1
31 448 1
34 448 1
36 448 1
16 448 1
5 448 1
37 448 1
38 448 1
39 448 1
40 448 1
41 448 1
43 448 1
