5720 77078
0 179 1
1 179 1
2 179 1
3 179 1
4 179 1
5 179 1
6 179 1
7 179 1
8 179 1
9 179 1
10 179 1
11 179 1
12 179 1
13 179 1
14 179 1
15 179 1
16 179 1
17 180 1
18 181 1
14 181 1
19 181 1
14 182 1
9 182 1
20 183 1
3 183 1
21 183 1
22 184 1
23 184 1
6 184 1
24 184 1
8 184 1
11 184 1
4 184 1
10 184 1
19 184 1
25 184 1
26 184 1
27 184 1
28 184 1
29 184 1
30 184 1
31 184 1
1 184 1
32 184 1
33 184 1
15 184 1
34 185 1
35 186 1
36 187 1
17 187 1
37 187 1
18 187 1
38 187 1
11 187 1
39 187 1
40 187 1
41 187 1
42 187 1
2 187 1
4 187 1
43 187 1
44 187 1
45 187 1
46 187 1
47 187 1
19 187 1
48 187 1
49 187 1
50 187 1
51 187 1
52 187 1
53 187 1
54 187 1
55 187 1
56 187 1
29 187 1
14 187 1
57 187 1
1 187 1
58 187 1
3 187 1
59 187 1
60 187 1
33 187 1
13 187 1
15 187 1
61 187 1
62 187 1
5 187 1
22 187 1
63 187 1
64 187 1
6 187 1
24 187 1
35 187 1
8 187 1
65 187 1
66 187 1
7 187 1
10 187 1
67 187 1
68 187 1
69 187 1
70 187 1
71 187 1
72 187 1
73 187 1
74 187 1
75 187 1
76 187 1
77 187 1
78 187 1
79 187 1
80 187 1
20 187 1
30 187 1
32 187 1
81 187 1
82 187 1
9 187 1
83 187 1
84 187 1
85 188 1
55 188 1
57 188 1
86 188 1
20 188 1
3 189 1
17 190 1
37 190 1
40 190 1
41 190 1
52 190 1
56 190 1
87 190 1
14 190 1
3 190 1
61 190 1
88 190 1
68 190 1
74 190 1
80 190 1
82 190 1
9 190 1
18 191 1
52 191 1
14 191 1
60 191 1
86 191 1
24 191 1
35 191 1
89 191 1
90 191 1
34 191 1
91 191 1
91 192 1
4 193 1
43 193 1
45 193 1
92 193 1
53 193 1
14 193 1
93 193 1
59 193 1
78 193 1
82 193 1
9 193 1
36 194 1
17 194 1
23 194 1
37 194 1
18 194 1
38 194 1
11 194 1
39 194 1
40 194 1
94 194 1
95 194 1
2 194 1
4 194 1
43 194 1
96 194 1
97 194 1
44 194 1
47 194 1
19 194 1
98 194 1
48 194 1
49 194 1
99 194 1
52 194 1
53 194 1
54 194 1
87 194 1
14 194 1
3 194 1
60 194 1
100 194 1
12 194 1
13 194 1
15 194 1
16 194 1
61 194 1
62 194 1
64 194 1
24 194 1
35 194 1
8 194 1
101 194 1
7 194 1
90 194 1
