6266 179589
0 329 1
1 329 1
2 329 1
3 329 1
4 330 1
5 330 1
6 330 1
7 330 1
8 330 1
9 330 1
10 330 1
11 330 1
12 330 1
13 330 1
14 330 1
15 330 1
16 330 1
17 330 1
18 330 1
19 330 1
20 330 1
6 331 1
21 331 1
22 331 1
3 331 1
14 331 1
16 331 1
1 331 1
6 332 1
23 332 1
3 332 1
14 332 1
16 332 1
2 332 1
24 332 1
25 332 1
26 332 1
27 333 1
5 333 1
28 333 1
29 333 1
30 333 1
17 333 1
31 333 1
32 333 1
33 333 1
22 333 1
34 333 1
35 333 1
36 333 1
19 333 1
37 333 1
6 334 1
38 334 1
13 334 1
39 334 1
5 335 1
28 335 1
10 335 1
12 335 1
16 335 1
17 335 1
1 335 1
40 335 1
22 335 1
14 335 1
5 336 1
10 336 1
17 336 1
41 336 1
42 336 1
40 336 1
6 336 1
34 336 1
22 336 1
43 336 1
14 336 1
35 336 1
44 336 1
28 337 1
45 337 1
17 337 1
32 337 1
46 337 1
6 337 1
47 337 1
34 337 1
48 337 1
14 337 1
49 338 1
4 338 1
50 338 1
51 338 1
7 338 1
21 338 1
52 338 1
53 338 1
54 338 1
10 338 1
11 338 1
55 338 1
56 338 1
57 338 1
16 338 1
58 338 1
17 338 1
59 338 1
1 338 1
60 338 1
32 338 1
61 338 1
62 338 1
63 338 1
46 338 1
64 338 1
65 338 1
66 338 1
67 338 1
68 338 1
69 338 1
70 338 1
71 338 1
72 338 1
9 338 1
73 338 1
3 338 1
74 338 1
75 338 1
15 338 1
76 338 1
77 338 1
78 338 1
79 338 1
80 338 1
35 338 1
81 338 1
82 338 1
24 338 1
20 338 1
83 338 1
84 338 1
85 338 1
37 338 1
86 338 1
87 338 1
88 338 1
45 338 1
8 338 1
89 338 1
90 338 1
31 338 1
91 338 1
0 338 1
92 338 1
93 338 1
94 338 1
95 338 1
96 338 1
40 338 1
97 338 1
6 338 1
98 338 1
99 338 1
23 338 1
100 338 1
101 338 1
102 338 1
103 338 1
22 338 1
34 338 1
104 338 1
105 338 1
106 338 1
48 338 1
107 338 1
108 338 1
13 338 1
14 338 1
109 338 1
110 338 1
39 338 1
111 338 1
112 338 1
2 338 1
113 338 1
26 338 1
114 338 1
115 338 1
75 339 1
116 339 1
88 339 1
40 339 1
14 339 1
117 340 1
4 341 1
51 341 1
10 341 1
11 341 1
55 341 1
16 341 1
58 341 1
118 341 1
17 341 1
62 341 1
46 341 1
68 341 1
69 341 1
72 341 1
73 341 1
119 341 1
3 341 1
15 341 1
76 341 1
77 341 1
78 341 1
19 341 1
20 341 1
85 341 1
5 341 1
120 341 1
8 341 1
31 341 1
91 341 1
121 341 1
93 341 1
122 341 1
96 341 1
6 341 1
101 341 1
123 341 1
22 341 1
108 341 1
13 341 1
14 341 1
124 341 1
112 341 1
2 341 1
125 341 1
115 341 1
126 342 1
127 342 1
126 343 1
21 343 1
29 343 1
16 343 1
58 343 1
17 343 1
128 343 1
129 343 1
69 343 1
3 343 1
80 343 1
19 343 1
20 343 1
116 343 1
37 343 1
130 343 1
5 343 1
45 343 1
12 343 1
131 343 1
6 343 1
22 343 1
14 343 1
132 344 1
133 344 1
134 344 1
44 344 1
96 344 1
135 345 1
136 345 1
137 345 1
138 345 1
28 345 1
7 345 1
139 345 1
10 345 1
29 345 1
16 345 1
58 345 1
17 345 1
140 345 1
141 345 1
59 345 1
1 345 1
41 345 1
42 345 1
32 345 1
25 345 1
61 345 1
62 345 1
142 345 1
46 345 1
64 345 1
143 345 1
144 345 1
66 345 1
145 345 1
146 345 1
147 345 1
148 345 1
149 345 1
68 345 1
127 345 1
71 345 1
9 345 1
3 345 1
150 345 1
151 345 1
152 345 1
76 345 1
78 345 1
79 345 1
35 345 1
19 345 1
153 345 1
81 345 1
82 345 1
24 345 1
20 345 1
83 345 1
154 345 1
84 345 1
155 345 1
37 345 1
86 345 1
130 345 1
5 345 1
156 345 1
120 345 1
157 345 1
117 345 1
158 345 1
159 345 1
160 345 1
161 345 1
31 345 1
91 345 1
162 345 1
92 345 1
122 345 1
33 345 1
163 345 1
95 345 1
164 345 1
96 345 1
40 345 1
165 345 1
166 345 1
97 345 1
6 345 1
167 345 1
23 345 1
100 345 1
168 345 1
102 345 1
169 345 1
170 345 1
171 345 1
172 345 1
123 345 1
173 345 1
34 345 1
22 345 1
104 345 1
48 345 1
107 345 1
174 345 1
13 345 1
43 345 1
14 345 1
175 345 1
124 345 1
176 345 1
112 345 1
2 345 1
177 345 1
125 345 1
178 345 1
179 345 1
180 345 1
26 345 1
181 345 1
182 345 1
115 345 1
183 345 1
49 346 1
4 346 1
28 346 1
51 346 1
21 346 1
132 346 1
53 346 1
54 346 1
10 346 1
11 346 1
55 346 1
184 346 1
16 346 1
185 346 1
186 346 1
59 346 1
187 346 1
41 346 1
42 346 1
188 346 1
25 346 1
65 346 1
189 346 1
190 346 1
69 346 1
71 346 1
119 346 1
191 346 1
192 346 1
3 346 1
193 346 1
80 346 1
36 346 1
194 346 1
