6573 225504
0 552 1
1 552 1
2 552 1
3 552 1
4 552 1
5 552 1
6 553 1
7 553 1
8 553 1
9 553 1
10 553 1
11 553 1
12 553 1
13 553 1
14 553 1
15 553 1
16 553 1
17 553 1
18 553 1
19 553 1
20 553 1
21 553 1
22 553 1
23 553 1
24 553 1
25 553 1
26 553 1
27 553 1
28 553 1
29 553 1
30 553 1
31 553 1
32 553 1
33 553 1
34 553 1
35 553 1
36 553 1
37 553 1
38 554 1
39 554 1
4 554 1
40 554 1
27 554 1
41 554 1
42 554 1
43 555 1
44 555 1
4 555 1
1 555 1
45 555 1
46 555 1
47 556 1
48 556 1
49 556 1
7 556 1
12 556 1
50 556 1
51 556 1
52 556 1
53 556 1
54 556 1
55 556 1
56 556 1
57 556 1
40 556 1
58 556 1
23 556 1
59 556 1
27 556 1
29 556 1
60 556 1
61 556 1
5 556 1
62 556 1
63 556 1
64 556 1
65 556 1
66 556 1
67 556 1
68 556 1
69 556 1
70 556 1
71 556 1
72 556 1
73 556 1
74 556 1
75 556 1
76 556 1
3 556 1
77 556 1
58 557 1
78 557 1
79 557 1
80 557 1
81 557 1
82 558 1
7 558 1
12 558 1
21 558 1
56 558 1
40 558 1
58 558 1
23 558 1
29 558 1
36 558 1
83 558 1
84 558 1
67 558 1
16 558 1
35 558 1
47 559 1
7 559 1
14 559 1
18 559 1
19 559 1
21 559 1
40 559 1
58 559 1
29 559 1
85 559 1
86 559 1
87 559 1
33 559 1
88 559 1
89 559 1
5 559 1
83 559 1
16 559 1
68 559 1
17 559 1
69 559 1
90 559 1
72 559 1
91 559 1
76 559 1
92 559 1
93 559 1
35 559 1
94 559 1
82 560 1
95 560 1
51 560 1
14 560 1
52 560 1
18 560 1
57 560 1
96 560 1
58 560 1
25 560 1
59 560 1
27 560 1
29 560 1
97 560 1
36 560 1
2 560 1
61 560 1
5 560 1
98 560 1
99 560 1
100 560 1
69 560 1
72 560 1
73 560 1
101 560 1
102 560 1
35 560 1
3 560 1
103 561 1
6 561 1
104 561 1
105 561 1
106 561 1
39 561 1
107 561 1
108 561 1
109 561 1
110 561 1
21 561 1
111 561 1
112 561 1
113 561 1
29 561 1
