6107 104464
0 208 1
1 208 1
2 208 1
3 208 1
4 208 1
5 209 1
6 209 1
7 209 1
8 209 1
9 209 1
10 209 1
11 209 1
4 209 1
12 209 1
13 209 1
14 209 1
15 209 1
16 209 1
17 209 1
18 209 1
19 209 1
7 210 1
20 210 1
3 210 1
15 210 1
7 211 1
3 211 1
4 211 1
15 211 1
2 211 1
21 212 1
22 212 1
14 212 1
23 212 1
4 212 1
19 212 1
7 213 1
24 213 1
25 213 1
26 213 1
27 213 1
28 213 1
17 213 1
15 214 1
24 214 1
10 214 1
4 214 1
29 215 1
14 215 1
30 215 1
31 215 1
1 215 1
32 215 1
7 215 1
10 215 1
4 215 1
26 215 1
33 216 1
1 216 1
7 216 1
23 216 1
4 216 1
27 216 1
34 216 1
17 216 1
35 217 1
6 217 1
21 217 1
36 217 1
37 217 1
20 217 1
38 217 1
39 217 1
40 217 1
12 217 1
41 217 1
13 217 1
15 217 1
42 217 1
43 217 1
44 217 1
45 217 1
46 217 1
47 217 1
48 217 1
9 217 1
49 217 1
50 217 1
51 217 1
52 217 1
3 217 1
53 217 1
27 217 1
54 217 1
55 217 1
17 217 1
18 217 1
56 217 1
19 217 1
57 217 1
58 217 1
33 217 1
59 217 1
0 217 1
1 217 1
60 217 1
61 217 1
62 217 1
63 217 1
64 217 1
7 217 1
65 217 1
66 217 1
67 217 1
10 217 1
68 217 1
69 217 1
70 217 1
71 217 1
72 217 1
28 217 1
73 217 1
74 217 1
34 217 1
2 217 1
75 217 1
76 217 1
77 218 1
53 218 1
78 218 1
19 218 1
10 218 1
79 218 1
34 219 1
6 220 1
36 220 1
40 220 1
80 220 1
15 220 1
49 220 1
52 220 1
81 220 1
3 220 1
18 220 1
56 220 1
1 220 1
82 220 1
61 220 1
62 220 1
7 220 1
66 220 1
10 220 1
4 220 1
72 220 1
74 220 1
34 220 1
2 220 1
83 221 1
20 222 1
15 222 1
31 222 1
49 222 1
3 222 1
26 222 1
55 222 1
18 222 1
78 222 1
19 222 1
33 222 1
84 222 1
14 222 1
1 222 1
85 222 1
7 222 1
24 222 1
10 222 1
70 222 1
4 222 1
26 223 1
12 224 1
15 224 1
42 224 1
86 224 1
45 224 1
47 224 1
50 224 1
3 224 1
87 224 1
54 224 1
18 224 1
19 224 1
88 224 1
1 224 1
60 224 1
7 224 1
10 224 1
71 224 1
4 224 1
74 224 1
2 224 1
35 225 1
6 225 1
36 225 1
20 225 1
38 225 1
39 225 1
40 225 1
12 225 1
89 225 1
15 225 1
90 225 1
77 225 1
42 225 1
91 225 1
92 225 1
46 225 1
49 225 1
50 225 1
81 225 1
3 225 1
26 225 1
55 225 1
93 225 1
17 225 1
18 225 1
94 225 1
56 225 1
95 225 1
96 225 1
58 225 1
97 225 1
33 225 1
98 225 1
0 225 1
1 225 1
85 225 1
60 225 1
61 225 1
63 225 1
64 225 1
99 225 1
7 225 1
24 225 1
66 225 1
10 225 1
68 225 1
71 225 1
4 225 1
28 225 1
74 225 1
100 225 1
2 225 1
75 225 1
101 225 1
35 226 1
6 226 1
80 226 1
15 226 1
92 226 1
46 226 1
47 226 1
3 226 1
19 226 1
1 226 1
60 226 1
7 226 1
66 226 1
10 226 1
71 226 1
4 226 1
16 226 1
2 226 1
24 227 1
10 227 1
4 227 1
102 228 1
7 228 1
6 229 1
36 229 1
38 229 1
12 229 1
41 229 1
15 229 1
31 229 1
49 229 1
53 229 1
18 229 1
56 229 1
58 229 1
97 229 1
0 229 1
60 229 1
61 229 1
103 229 1
99 229 1
7 229 1
24 229 1
66 229 1
104 229 1
10 229 1
105 229 1
28 229 1
2 229 1
75 229 1
6 230 1
36 230 1
40 230 1
106 230 1
89 230 1
15 230 1
31 230 1
42 230 1
44 230 1
45 230 1
52 230 1
81 230 1
3 230 1
53 230 1
54 230 1
55 230 1
107 230 1
93 230 1
18 230 1
78 230 1
56 230 1
58 230 1
33 230 1
0 230 1
82 230 1
60 230 1
61 230 1
62 230 1
64 230 1
66 230 1
71 230 1
105 230 1
72 230 1
28 230 1
74 230 1
16 230 1
2 230 1
75 230 1
108 230 1
6 231 1
83 231 1
77 231 1
3 231 1
26 231 1
53 231 1
27 231 1
17 231 1
0 231 1
1 231 1
66 231 1
10 231 1
4 231 1
28 231 1
16 231 1
100 231 1
6 232 1
109 232 1
15 232 1
110 232 1
111 232 1
3 232 1
87 232 1
93 232 1
18 232 1
78 232 1
97 232 1
103 232 1
7 232 1
24 232 1
104 232 1
10 232 1
4 232 1
75 232 1
35 233 1
6 233 1
36 233 1
15 233 1
112 233 1
77 233 1
31 233 1
