5461 56984
0 135 1
1 135 1
2 135 1
3 136 1
4 136 1
5 136 1
6 136 1
7 137 1
2 137 1
8 137 1
6 137 1
9 137 1
10 137 1
11 137 1
12 137 1
13 138 1
2 138 1
1 138 1
14 138 1
15 139 1
5 140 1
16 140 1
17 140 1
6 140 1
18 140 1
19 140 1
20 140 1
21 140 1
22 140 1
23 140 1
22 141 1
24 142 1
6 142 1
25 143 1
3 143 1
26 143 1
7 143 1
27 143 1
28 143 1
29 143 1
30 143 1
6 143 1
31 143 1
32 143 1
33 143 1
34 143 1
35 143 1
36 143 1
37 143 1
38 143 1
39 143 1
2 143 1
40 143 1
41 143 1
42 143 1
43 143 1
44 143 1
24 143 1
5 143 1
45 143 1
0 143 1
14 143 1
12 143 1
46 143 1
47 143 1
48 143 1
49 143 1
50 143 1
51 143 1
52 143 1
53 143 1
54 143 1
55 143 1
23 143 1
56 143 1
57 143 1
11 143 1
1 143 1
58 143 1
6 144 1
40 144 1
59 144 1
3 145 1
26 145 1
29 145 1
6 145 1
36 145 1
39 145 1
60 145 1
2 145 1
61 145 1
43 145 1
5 145 1
62 145 1
46 145 1
50 145 1
55 145 1
57 145 1
1 145 1
7 146 1
36 146 1
2 146 1
22 146 1
42 146 1
59 146 1
24 146 1
5 146 1
63 146 1
64 146 1
65 147 1
22 147 1
6 148 1
31 148 1
66 148 1
38 148 1
2 148 1
67 148 1
41 148 1
68 148 1
54 148 1
57 148 1
1 148 1
25 149 1
3 149 1
26 149 1
7 149 1
65 149 1
27 149 1
28 149 1
29 149 1
69 149 1
6 149 1
70 149 1
31 149 1
71 149 1
72 149 1
34 149 1
36 149 1
38 149 1
60 149 1
2 149 1
22 149 1
9 149 1
10 149 1
42 149 1
73 149 1
61 149 1
43 149 1
44 149 1
24 149 1
5 149 1
74 149 1
0 149 1
63 149 1
14 149 1
46 149 1
47 149 1
13 149 1
50 149 1
52 149 1
54 149 1
23 149 1
57 149 1
1 149 1
25 150 1
3 150 1
72 150 1
34 150 1
2 150 1
5 150 1
50 150 1
68 150 1
54 150 1
1 150 1
65 151 1
3 152 1
26 152 1
27 152 1
30 152 1
36 152 1
37 152 1
40 152 1
43 152 1
44 152 1
5 152 1
0 152 1
46 152 1
48 152 1
50 152 1
23 152 1
1 152 1
75 152 1
3 153 1
26 153 1
29 153 1
69 153 1
31 153 1
32 153 1
39 153 1
60 153 1
2 153 1
40 153 1
41 153 1
42 153 1
73 153 1
59 153 1
43 153 1
44 153 1
24 153 1
0 153 1
62 153 1
46 153 1
47 153 1
48 153 1
50 153 1
68 153 1
54 153 1
55 153 1
23 153 1
57 153 1
1 153 1
76 153 1
3 154 1
6 154 1
77 154 1
2 154 1
22 154 1
40 154 1
0 154 1
50 154 1
23 154 1
3 155 1
78 155 1
2 155 1
67 155 1
73 155 1
59 155 1
48 155 1
25 156 1
3 156 1
26 156 1
65 156 1
77 156 1
79 156 1
32 156 1
2 156 1
40 156 1
42 156 1
80 156 1
59 156 1
81 156 1
5 156 1
74 156 1
0 156 1
14 156 1
48 156 1
50 156 1
82 156 1
23 156 1
1 156 1
29 157 1
30 157 1
4 157 1
37 157 1
2 157 1
40 157 1
46 157 1
47 157 1
50 157 1
23 157 1
1 157 1
8 158 1
2 158 1
22 158 1
40 158 1
0 158 1
12 158 1
1 158 1
2 159 1
44 159 1
47 159 1
13 159 1
68 159 1
11 159 1
1 160 1
37 161 1
40 161 1
5 161 1
83 161 1
12 161 1
50 161 1
11 161 1
66 162 1
22 162 1
7 163 1
8 163 1
6 163 1
33 163 1
2 163 1
40 163 1
41 163 1
61 163 1
44 163 1
84 163 1
83 163 1
0 163 1
14 163 1
12 163 1
13 163 1
85 163 1
19 163 1
11 163 1
1 163 1
26 164 1
40 164 1
23 164 1
1 164 1
75 164 1
17 165 1
86 165 1
87 165 1
8 165 1
33 165 1
34 165 1
88 165 1
4 165 1
59 165 1
16 165 1
84 165 1
83 165 1
14 165 1
12 165 1
13 165 1
85 165 1
23 165 1
75 165 1
3 166 1
8 166 1
78 166 1
66 166 1
33 166 1
37 166 1
2 166 1
59 166 1
5 166 1
0 166 1
14 166 1
12 166 1
48 166 1
13 166 1
68 166 1
64 166 1
23 166 1
57 166 1
1 166 1
59 167 1
23 167 1
26 168 1
7 168 1
29 168 1
6 168 1
77 168 1
89 168 1
36 168 1
62 168 1
50 168 1
55 168 1
57 168 1
3 169 1
2 169 1
3 170 1
7 170 1
31 170 1
71 170 1
32 170 1
36 170 1
60 170 1
2 170 1
40 170 1
41 170 1
59 170 1
44 170 1
24 170 1
45 170 1
0 170 1
14 170 1
47 170 1
48 170 1
49 170 1
50 170 1
68 170 1
54 170 1
55 170 1
23 170 1
57 170 1
11 170 1
1 170 1
25 171 1
3 171 1
26 171 1
29 171 1
6 171 1
31 171 1
32 171 1
35 171 1
36 171 1
2 171 1
40 171 1
42 171 1
73 171 1
43 171 1
44 171 1
45 171 1
0 171 1
47 171 1
20 171 1
50 171 1
54 171 1
55 171 1
56 171 1
57 171 1
11 171 1
1 171 1
58 171 1
25 172 1
26 172 1
90 172 1
32 172 1
35 172 1
37 172 1
22 172 1
40 172 1
12 172 1
48 172 1
49 172 1
23 172 1
11 172 1
3 173 1
26 174 1
7 174 1
29 174 1
69 174 1
8 174 1
6 174 1
91 174 1
31 174 1
79 174 1
33 174 1
34 174 1
36 174 1
38 174 1
40 174 1
9 174 1
10 174 1
59 174 1
92 174 1
44 174 1
63 174 1
56 174 1
93 174 1
75 174 1
3 174 1
65 174 1
27 174 1
28 174 1
77 174 1
78 174 1
32 174 1
21 174 1
39 174 1
60 174 1
2 174 1
22 174 1
41 174 1
42 174 1
24 174 1
5 174 1
84 174 1
0 174 1
62 174 1
18 174 1
14 174 1
12 174 1
46 174 1
48 174 1
13 174 1
85 174 1
49 174 1
94 174 1
50 174 1
54 174 1
55 174 1
64 174 1
23 174 1
57 174 1
11 174 1
1 174 1
3 175 1
27 175 1
57 175 1
22 176 1
10 177 1
93 177 1
3 177 1
5 177 1
26 178 1
7 178 1
29 178 1
69 178 1
30 178 1
8 178 1
6 178 1
31 178 1
71 178 1
34 178 1
4 178 1
36 178 1
95 178 1
38 178 1
40 178 1
9 178 1
73 178 1
59 178 1
44 178 1
45 178 1
96 178 1
75 178 1
3 178 1
27 178 1
97 178 1
78 178 1
66 178 1
98 178 1
39 178 1
60 178 1
2 178 1
41 178 1
42 178 1
43 178 1
81 178 1
5 178 1
74 178 1
0 178 1
14 178 1
12 178 1
46 178 1
47 178 1
48 178 1
49 178 1
20 178 1
50 178 1
54 178 1
55 178 1
23 178 1
57 178 1
1 178 1
58 178 1
90 179 1
37 179 1
2 179 1
12 179 1
11 179 1
8 180 1
26 181 1
31 181 1
40 181 1
9 181 1
59 181 1
44 181 1
45 181 1
68 181 1
3 181 1
65 181 1
27 181 1
2 181 1
41 181 1
24 181 1
5 181 1
12 181 1
46 181 1
47 181 1
48 181 1
50 181 1
54 181 1
