6009 94645
0 382 1
1 382 1
2 382 1
3 383 1
4 383 1
5 383 1
6 384 1
7 384 1
8 384 1
9 385 1
10 385 1
11 385 1
12 385 1
13 385 1
14 385 1
2 385 1
15 385 1
16 385 1
17 385 1
18 385 1
19 385 1
20 385 1
21 386 1
22 387 1
10 388 1
23 388 1
24 389 1
25 389 1
26 389 1
0 389 1
27 389 1
14 389 1
2 389 1
28 389 1
29 389 1
30 389 1
22 389 1
31 389 1
19 389 1
32 389 1
8 389 1
10 389 1
33 389 1
6 389 1
34 389 1
35 389 1
36 389 1
5 389 1
37 389 1
38 390 1
29 390 1
31 390 1
20 390 1
26 391 1
39 391 1
9 392 1
0 392 1
40 392 1
5 392 1
32 393 1
41 393 1
12 393 1
42 393 1
43 394 1
44 394 1
45 394 1
32 394 1
20 394 1
10 394 1
12 394 1
46 394 1
47 394 1
48 394 1
49 394 1
5 394 1
9 395 1
50 395 1
15 395 1
51 396 1
52 396 1
53 396 1
54 396 1
55 396 1
30 396 1
56 396 1
57 396 1
58 396 1
19 396 1
59 396 1
60 396 1
61 396 1
10 396 1
62 396 1
63 396 1
64 396 1
21 396 1
16 396 1
65 396 1
66 396 1
6 396 1
34 396 1
67 396 1
35 396 1
68 396 1
69 396 1
70 396 1
1 396 1
71 396 1
72 396 1
73 396 1
9 397 1
0 397 1
74 397 1
3 397 1
32 397 1
8 397 1
10 397 1
75 397 1
34 397 1
5 397 1
9 398 1
24 398 1
76 398 1
77 398 1
78 398 1
79 398 1
80 398 1
81 398 1
82 398 1
83 398 1
4 398 1
27 398 1
38 398 1
50 398 1
14 398 1
2 398 1
84 398 1
43 398 1
85 398 1
86 398 1
87 398 1
88 398 1
89 398 1
28 398 1
29 398 1
90 398 1
91 398 1
92 398 1
31 398 1
93 398 1
94 398 1
8 398 1
95 398 1
96 398 1
97 398 1
98 398 1
41 398 1
99 398 1
12 398 1
13 398 1
100 398 1
101 398 1
21 398 1
7 398 1
102 398 1
103 398 1
104 398 1
47 398 1
48 398 1
6 398 1
34 398 1
105 398 1
68 398 1
69 398 1
106 398 1
36 398 1
42 398 1
107 398 1
37 398 1
10 399 1
46 399 1
9 400 1
48 400 1
9 401 1
108 401 1
4 401 1
14 401 1
2 401 1
15 401 1
109 401 1
110 401 1
29 401 1
45 401 1
111 401 1
31 401 1
93 401 1
32 401 1
95 401 1
112 401 1
96 401 1
13 401 1
113 401 1
114 401 1
115 401 1
101 401 1
33 401 1
103 401 1
75 401 1
46 401 1
23 401 1
6 401 1
34 401 1
67 401 1
116 401 1
5 401 1
73 401 1
117 402 1
51 402 1
52 402 1
53 402 1
25 402 1
26 402 1
79 402 1
118 402 1
0 402 1
82 402 1
119 402 1
120 402 1
121 402 1
122 402 1
30 402 1
92 402 1
123 402 1
59 402 1
124 402 1
125 402 1
61 402 1
10 402 1
63 402 1
101 402 1
21 402 1
16 402 1
46 402 1
48 402 1
6 402 1
34 402 1
67 402 1
105 402 1
35 402 1
68 402 1
69 402 1
5 402 1
73 402 1
126 402 1
127 402 1
9 403 1
14 403 1
30 403 1
12 403 1
9 404 1
14 404 1
8 404 1
128 404 1
51 405 1
129 405 1
14 405 1
110 405 1
31 405 1
8 405 1
124 405 1
101 405 1
21 405 1
33 405 1
103 405 1
47 405 1
48 405 1
130 405 1
9 406 1
117 406 1
26 406 1
118 406 1
131 406 1
132 406 1
119 406 1
19 406 1
133 406 1
134 406 1
135 406 1
10 406 1
21 406 1
33 406 1
136 406 1
35 406 1
51 407 1
137 407 1
29 407 1
30 407 1
56 407 1
8 407 1
135 407 1
10 407 1
21 407 1
6 407 1
1 407 1
73 407 1
137 408 1
26 408 1
8 408 1
7 408 1
6 408 1
34 408 1
67 408 1
35 408 1
5 408 1
10 409 1
97 409 1
14 410 1
30 410 1
138 410 1
139 410 1
140 410 1
7 410 1
10 411 1
137 412 1
52 412 1
53 412 1
141 412 1
77 412 1
26 412 1
79 412 1
118 412 1
80 412 1
131 412 1
142 412 1
81 412 1
143 412 1
27 412 1
119 412 1
14 412 1
84 412 1
85 412 1
86 412 1
87 412 1
88 412 1
15 412 1
89 412 1
144 412 1
74 412 1
28 412 1
145 412 1
29 412 1
146 412 1
91 412 1
17 412 1
57 412 1
92 412 1
31 412 1
18 412 1
138 412 1
147 412 1
134 412 1
8 412 1
20 412 1
135 412 1
61 412 1
148 412 1
41 412 1
149 412 1
63 412 1
150 412 1
101 412 1
21 412 1
7 412 1
151 412 1
128 412 1
104 412 1
6 412 1
136 412 1
105 412 1
69 412 1
130 412 1
152 412 1
153 412 1
1 412 1
154 412 1
155 412 1
126 412 1
79 413 1
38 413 1
14 413 1
29 413 1
91 413 1
92 413 1
138 413 1
8 413 1
20 413 1
101 413 1
21 413 1
104 413 1
48 413 1
105 413 1
36 413 1
39 413 1
26 414 1
80 414 1
29 414 1
134 414 1
9 415 1
25 415 1
50 415 1
14 415 1
55 415 1
29 415 1
3 415 1
31 415 1
123 415 1
8 415 1
156 415 1
61 415 1
10 415 1
148 415 1
12 415 1
63 415 1
48 415 1
6 415 1
67 415 1
35 415 1
5 415 1
126 415 1
39 415 1
139 416 1
157 416 1
12 416 1
21 416 1
38 417 1
14 417 1
32 417 1
10 417 1
12 417 1
9 418 1
7 418 1
27 419 1
38 419 1
43 419 1
95 419 1
47 419 1
25 420 1
14 420 1
158 420 1
57 420 1
123 420 1
8 420 1
63 420 1
7 420 1
33 420 1
6 420 1
67 420 1
35 420 1
69 420 1
159 420 1
9 421 1
137 421 1
27 421 1
14 421 1
2 421 1
28 421 1
29 421 1
30 421 1
3 421 1
160 421 1
138 421 1
41 421 1
161 421 1
162 421 1
163 421 1
164 421 1
7 421 1
165 421 1
16 421 1
48 421 1
34 421 1
130 421 1
166 421 1
167 421 1
36 421 1
168 421 1
169 421 1
5 421 1
73 421 1
37 421 1
14 422 1
2 422 1
29 422 1
30 422 1
75 422 1
170 423 1
171 423 1
78 423 1
82 423 1
4 423 1
38 423 1
110 423 1
92 423 1
172 423 1
95 423 1
173 423 1
174 423 1
175 423 1
176 423 1
96 423 1
177 423 1
139 423 1
157 423 1
178 423 1
179 423 1
180 423 1
181 423 1
182 423 1
41 423 1
161 423 1
162 423 1
163 423 1
164 423 1
165 423 1
104 423 1
47 423 1
169 423 1
107 423 1
9 424 1
25 424 1
19 424 1
8 424 1
10 424 1
97 424 1
12 424 1
63 424 1
47 424 1
5 424 1
183 424 1
0 424 1
14 424 1
2 424 1
57 424 1
31 424 1
18 424 1
123 424 1
20 424 1
101 424 1
33 424 1
103 424 1
6 424 1
105 424 1
35 424 1
26 425 1
119 425 1
5 425 1
21 425 1
34 425 1
39 425 1
92 426 1
95 426 1
39 426 1
184 427 1
112 427 1
10 427 1
39 427 1
3 428 1
5 428 1
32 428 1
46 428 1
39 428 1
9 429 1
117 429 1
51 429 1
76 429 1
54 429 1
185 429 1
25 429 1
77 429 1
129 429 1
79 429 1
143 429 1
82 429 1
83 429 1
4 429 1
27 429 1
186 429 1
15 429 1
144 429 1
187 429 1
28 429 1
120 429 1
110 429 1
29 429 1
91 429 1
3 429 1
188 429 1
19 429 1
189 429 1
133 429 1
134 429 1
8 429 1
112 429 1
10 429 1
190 429 1
63 429 1
7 429 1
16 429 1
191 429 1
48 429 1
66 429 1
69 429 1
130 429 1
49 429 1
192 429 1
36 429 1
72 429 1
5 429 1
73 429 1
0 429 1
38 429 1
14 429 1
2 429 1
55 429 1
30 429 1
193 429 1
58 429 1
22 429 1
194 429 1
31 429 1
18 429 1
93 429 1
123 429 1
195 429 1
59 429 1
125 429 1
20 429 1
96 429 1
196 429 1
41 429 1
197 429 1
99 429 1
113 429 1
198 429 1
115 429 1
150 429 1
101 429 1
21 429 1
199 429 1
33 429 1
103 429 1
151 429 1
128 429 1
75 429 1
46 429 1
6 429 1
34 429 1
67 429 1
200 429 1
105 429 1
35 429 1
152 429 1
116 429 1
201 429 1
202 429 1
155 429 1
126 429 1
39 429 1
29 430 1
10 431 1
79 432 1
92 432 1
165 432 1
30 432 1
139 432 1
157 432 1
46 432 1
203 432 1
39 432 1
25 433 1
77 433 1
79 433 1
143 433 1
4 433 1
119 433 1
204 433 1
91 433 1
188 433 1
19 433 1
8 433 1
10 433 1
63 433 1
7 433 1
16 433 1
68 433 1
69 433 1
159 433 1
72 433 1
5 433 1
73 433 1
0 433 1
14 433 1
84 433 1
30 433 1
205 433 1
58 433 1
31 433 1
18 433 1
123 433 1
32 433 1
20 433 1
41 433 1
113 433 1
206 433 1
207 433 1
150 433 1
101 433 1
21 433 1
46 433 1
23 433 1
6 433 1
34 433 1
67 433 1
200 433 1
105 433 1
35 433 1
208 433 1
126 433 1
26 434 1
119 434 1
15 434 1
144 434 1
17 434 1
56 434 1
19 434 1
135 434 1
10 434 1
1 434 1
118 434 1
14 434 1
84 434 1
30 434 1
105 434 1
35 434 1
209 434 1
10 435 1
48 435 1
5 435 1
55 435 1
18 435 1
107 436 1
23 436 1
210 436 1
39 436 1
9 437 1
26 437 1
79 437 1
119 437 1
74 437 1
28 437 1
56 437 1
19 437 1
133 437 1
134 437 1
135 437 1
10 437 1
7 437 1
1 437 1
118 437 1
14 437 1
2 437 1
87 437 1
55 437 1
30 437 1
44 437 1
57 437 1
31 437 1
138 437 1
156 437 1
20 437 1
98 437 1
199 437 1
211 437 1
33 437 1
6 437 1
105 437 1
35 437 1
71 437 1
9 438 1
82 438 1
12 438 1
16 438 1
104 438 1
192 438 1
107 438 1
11 438 1
38 438 1
50 438 1
14 438 1
32 438 1
46 438 1
35 438 1
42 438 1
82 439 1
104 439 1
107 439 1
38 439 1
6 439 1
34 439 1
9 440 1
8 440 1
30 441 1
92 442 1
1 442 1
21 442 1
29 443 1
30 443 1
39 443 1
9 444 1
212 444 1
12 444 1
107 444 1
14 444 1
32 444 1
10 445 1
38 445 1
39 445 1
25 446 1
4 446 1
3 446 1
213 446 1
5 446 1
0 446 1
14 446 1
2 446 1
30 446 1
22 446 1
123 446 1
32 446 1
150 446 1
101 446 1
21 446 1
33 446 1
46 446 1
34 446 1
39 446 1
26 447 1
119 447 1
56 447 1
19 447 1
10 447 1
55 447 1
10 448 1
12 449 1
38 449 1
23 449 1
10 450 1
55 450 1
18 450 1
21 450 1
39 450 1
26 451 1
79 451 1
214 451 1
119 451 1
145 451 1
56 451 1
19 451 1
134 451 1
10 451 1
62 451 1
16 451 1
1 451 1
118 451 1
93 451 1
6 451 1
136 451 1
25 452 1
82 452 1
10 452 1
47 452 1
48 452 1
107 452 1
183 452 1
18 452 1
32 452 1
64 452 1
9 453 1
212 453 1
19 453 1
12 453 1
16 453 1
215 453 1
38 453 1
14 453 1
5 454 1
6 454 1
34 454 1
97 455 1
107 455 1
38 455 1
21 455 1
23 455 1
39 455 1
74 456 1
68 456 1
5 456 1
14 456 1
8 457 1
7 457 1
34 457 1
56 458 1
1 458 1
38 458 1
35 458 1
56 459 1
19 459 1
10 459 1
216 459 1
48 459 1
36 459 1
55 459 1
44 459 1
22 459 1
217 459 1
23 459 1
105 459 1
42 459 1
29 460 1
9 461 1
212 461 1
3 461 1
8 461 1
12 461 1
190 461 1
13 461 1
69 461 1
192 461 1
107 461 1
38 461 1
50 461 1
14 461 1
2 461 1
43 461 1
30 461 1
45 461 1
32 461 1
21 461 1
46 461 1
23 461 1
6 461 1
39 461 1
9 462 1
25 462 1
3 462 1
8 462 1
124 462 1
63 462 1
5 462 1
0 462 1
32 462 1
6 462 1
34 462 1
67 462 1
218 463 1
77 463 1
79 463 1
4 463 1
144 463 1
219 463 1
63 463 1
66 463 1
69 463 1
14 463 1
61 463 1
101 463 1
33 463 1
151 463 1
220 463 1
116 463 1
126 463 1
51 464 1
3 464 1
10 465 1
117 466 1
54 466 1
26 466 1
221 466 1
89 466 1
29 466 1
91 466 1
56 466 1
19 466 1
133 466 1
134 466 1
8 466 1
135 466 1
10 466 1
62 466 1
7 466 1
1 466 1
118 466 1
84 466 1
87 466 1
57 466 1
21 466 1
65 466 1
6 466 1
30 467 1
21 467 1
14 468 1
39 468 1
8 469 1
102 469 1
35 469 1
25 470 1
5 470 1
32 470 1
6 470 1
9 471 1
51 471 1
19 471 1
133 471 1
135 471 1
118 471 1
45 471 1
105 471 1
92 472 1
3 472 1
30 472 1
32 472 1
46 472 1
9 473 1
15 473 1
38 473 1
32 473 1
42 473 1
8 474 1
63 474 1
59 474 1
6 474 1
31 475 1
117 476 1
26 476 1
79 476 1
119 476 1
19 476 1
134 476 1
10 476 1
154 476 1
137 476 1
87 476 1
57 476 1
136 476 1
105 476 1
35 476 1
222 477 1
30 477 1
139 477 1
157 477 1
29 478 1
135 478 1
76 479 1
10 479 1
48 479 1
49 479 1
46 479 1
116 479 1
201 479 1
10 480 1
9 481 1
117 481 1
51 481 1
223 481 1
26 481 1
221 481 1
214 481 1
132 481 1
74 481 1
56 481 1
19 481 1
224 481 1
133 481 1
134 481 1
135 481 1
10 481 1
62 481 1
1 481 1
118 481 1
156 481 1
211 481 1
65 481 1
136 481 1
35 481 1
165 482 1
2 482 1
30 482 1
174 482 1
139 482 1
157 482 1
163 482 1
46 482 1
200 482 1
116 482 1
57 483 1
82 484 1
30 484 1
139 484 1
157 484 1
46 484 1
200 484 1
210 484 1
116 484 1
201 484 1
9 485 1
79 485 1
15 485 1
124 485 1
190 485 1
16 485 1
38 485 1
32 485 1
225 485 1
21 485 1
201 485 1
42 485 1
9 486 1
226 486 1
108 486 1
25 486 1
77 486 1
227 486 1
222 486 1
171 486 1
228 486 1
78 486 1
229 486 1
212 486 1
230 486 1
129 486 1
231 486 1
232 486 1
4 486 1
184 486 1
27 486 1
233 486 1
15 486 1
109 486 1
144 486 1
28 486 1
121 486 1
29 486 1
204 486 1
3 486 1
160 486 1
