5560 59794
0 157 1
1 157 1
2 157 1
3 157 1
4 157 1
5 157 1
6 157 1
7 157 1
8 157 1
9 157 1
10 157 1
11 157 1
12 157 1
13 157 1
14 158 1
15 159 1
16 160 1
17 160 1
18 160 1
19 160 1
3 160 1
20 160 1
21 161 1
22 161 1
6 161 1
23 161 1
7 161 1
9 161 1
4 161 1
8 161 1
15 161 1
24 161 1
25 161 1
26 161 1
27 161 1
28 161 1
29 161 1
30 161 1
1 161 1
31 161 1
12 161 1
32 162 1
17 163 1
33 164 1
9 164 1
34 164 1
2 164 1
4 164 1
35 164 1
36 164 1
37 164 1
15 164 1
38 164 1
39 164 1
40 164 1
41 164 1
42 164 1
28 164 1
19 164 1
1 164 1
43 164 1
3 164 1
31 164 1
11 164 1
12 164 1
5 164 1
21 164 1
44 164 1
45 164 1
6 164 1
23 164 1
7 164 1
17 164 1
46 164 1
8 164 1
47 164 1
48 164 1
49 164 1
50 164 1
51 164 1
52 164 1
18 164 1
29 164 1
53 164 1
54 165 1
42 165 1
18 165 1
33 166 1
3 166 1
16 167 1
34 167 1
3 167 1
55 168 1
23 168 1
17 168 1
56 168 1
32 168 1
57 168 1
16 169 1
57 169 1
58 170 1
4 170 1
59 170 1
36 170 1
60 170 1
19 170 1
61 170 1
17 170 1
62 170 1
63 170 1
51 170 1
14 170 1
64 170 1
65 170 1
16 171 1
22 171 1
9 171 1
2 171 1
4 171 1
66 171 1
35 171 1
37 171 1
15 171 1
67 171 1
38 171 1
39 171 1
68 171 1
41 171 1
3 171 1
10 171 1
11 171 1
12 171 1
13 171 1
45 171 1
23 171 1
7 171 1
17 171 1
18 171 1
57 171 1
16 172 1
9 172 1
2 172 1
4 172 1
69 172 1
35 172 1
37 172 1
15 172 1
38 172 1
39 172 1
41 172 1
42 172 1
3 172 1
11 172 1
13 172 1
23 172 1
52 172 1
57 172 1
17 173 1
16 174 1
9 174 1
57 174 1
16 175 1
15 175 1
38 175 1
54 175 1
42 175 1
3 175 1
8 175 1
65 175 1
70 176 1
58 176 1
33 176 1
71 176 1
72 176 1
0 176 1
4 176 1
73 176 1
36 176 1
68 176 1
17 176 1
51 176 1
18 176 1
65 176 1
16 177 1
36 177 1
15 177 1
54 177 1
3 177 1
23 177 1
74 177 1
52 177 1
16 178 1
9 178 1
58 179 1
9 179 1
4 179 1
15 179 1
75 179 1
42 179 1
28 179 1
31 179 1
76 179 1
12 179 1
6 179 1
23 179 1
7 179 1
52 179 1
29 179 1
16 180 1
70 180 1
33 180 1
71 180 1
77 180 1
78 180 1
72 180 1
38 180 1
19 180 1
79 180 1
80 180 1
81 180 1
17 180 1
82 180 1
51 180 1
58 181 1
36 181 1
37 181 1
60 181 1
83 181 1
3 181 1
81 181 1
17 181 1
50 181 1
18 181 1
14 181 1
65 181 1
33 182 1
51 182 1
52 182 1
54 183 1
17 183 1
34 184 1
35 184 1
36 184 1
37 184 1
40 184 1
83 184 1
48 184 1
17 185 1
84 185 1
18 185 1
29 185 1
33 186 1
71 186 1
77 186 1
85 186 1
72 186 1
2 186 1
4 186 1
66 186 1
37 186 1
86 186 1
87 186 1
42 186 1
28 186 1
1 186 1
3 186 1
88 186 1
31 186 1
80 186 1
12 186 1
81 186 1
6 186 1
23 186 1
89 186 1
90 186 1
82 186 1
91 186 1
29 186 1
14 186 1
15 187 1
3 187 1
76 187 1
12 187 1
33 188 1
92 188 1
4 188 1
35 188 1
37 188 1
15 188 1
39 188 1
93 188 1
54 188 1
40 188 1
86 188 1
94 188 1
1 188 1
43 188 1
3 188 1
31 188 1
80 188 1
12 188 1
13 188 1
95 188 1
5 188 1
21 188 1
6 188 1
96 188 1
97 188 1
46 188 1
48 188 1
50 188 1
52 188 1
98 188 1
16 189 1
9 189 1
4 189 1
59 189 1
35 189 1
15 189 1
42 189 1
99 189 1
100 189 1
17 189 1
51 189 1
98 189 1
18 189 1
37 190 1
15 190 1
28 190 1
31 190 1
84 190 1
50 190 1
29 190 1
22 191 1
9 191 1
41 191 1
31 191 1
23 191 1
7 191 1
29 191 1
17 192 1
16 193 1
93 193 1
3 193 1
90 193 1
22 194 1
54 195 1
3 195 1
51 195 1
52 195 1
57 196 1
16 197 1
34 197 1
2 197 1
69 197 1
