5462 52043
0 140 1
1 140 1
2 140 1
3 140 1
0 141 1
4 142 1
5 142 1
6 142 1
7 142 1
8 142 1
9 142 1
10 142 1
11 142 1
12 142 1
0 143 1
8 144 1
13 144 1
14 144 1
15 144 1
5 145 1
0 146 1
16 146 1
17 146 1
8 146 1
18 146 1
11 146 1
19 146 1
5 146 1
20 146 1
21 147 1
9 147 1
12 147 1
16 148 1
4 149 1
0 149 1
15 149 1
22 149 1
23 149 1
15 150 1
0 151 1
1 151 1
6 151 1
24 151 1
8 151 1
25 151 1
26 151 1
27 151 1
28 151 1
5 151 1
23 151 1
29 151 1
30 151 1
9 151 1
31 151 1
32 151 1
12 151 1
3 151 1
33 151 1
4 152 1
17 152 1
34 153 1
6 153 1
35 153 1
36 153 1
37 153 1
11 153 1
38 153 1
19 153 1
39 153 1
5 153 1
40 153 1
41 153 1
20 153 1
2 153 1
42 153 1
43 153 1
4 154 1
0 154 1
44 154 1
21 154 1
15 154 1
22 154 1
5 154 1
13 154 1
32 154 1
12 154 1
4 155 1
0 155 1
6 155 1
45 155 1
22 155 1
30 155 1
9 155 1
31 155 1
3 155 1
46 155 1
0 156 1
5 156 1
4 157 1
31 157 1
4 158 1
0 158 1
47 158 1
48 158 1
6 158 1
27 158 1
45 158 1
49 158 1
29 158 1
9 158 1
12 158 1
3 158 1
43 158 1
50 159 1
34 159 1
0 159 1
16 159 1
51 159 1
6 159 1
52 159 1
17 159 1
53 159 1
54 159 1
18 159 1
37 159 1
55 159 1
56 159 1
19 159 1
5 159 1
29 159 1
31 159 1
57 159 1
20 159 1
32 159 1
43 159 1
4 160 1
0 160 1
4 161 1
6 161 1
34 162 1
0 162 1
48 162 1
24 162 1
26 162 1
58 162 1
23 162 1
29 162 1
59 162 1
13 162 1
30 162 1
31 162 1
3 162 1
33 162 1
4 163 1
50 163 1
16 163 1
51 163 1
60 163 1
61 163 1
52 163 1
11 163 1
62 163 1
63 163 1
64 163 1
5 163 1
65 163 1
66 163 1
20 163 1
34 164 1
0 164 1
36 164 1
18 164 1
67 164 1
64 164 1
5 164 1
2 164 1
43 164 1
16 165 1
20 165 1
15 166 1
5 166 1
0 167 1
68 167 1
17 167 1
5 168 1
16 169 1
51 169 1
60 169 1
69 169 1
52 169 1
17 169 1
44 169 1
21 169 1
8 169 1
54 169 1
18 169 1
10 169 1
55 169 1
70 169 1
63 169 1
19 169 1
28 169 1
64 169 1
71 169 1
72 169 1
29 169 1
66 169 1
73 169 1
74 169 1
2 169 1
75 169 1
33 169 1
49 170 1
31 170 1
3 170 1
16 171 1
7 171 1
76 171 1
17 171 1
18 171 1
56 171 1
63 171 1
77 171 1
9 171 1
12 171 1
