6488 165339
0 502 1
1 502 1
2 502 1
3 502 1
4 502 1
5 502 1
6 503 1
7 503 1
8 503 1
9 503 1
10 503 1
11 503 1
12 503 1
13 503 1
14 503 1
15 503 1
16 503 1
17 503 1
18 503 1
19 503 1
20 503 1
21 503 1
22 503 1
23 503 1
24 503 1
25 503 1
26 503 1
27 503 1
28 503 1
29 503 1
30 503 1
7 504 1
16 504 1
1 504 1
27 504 1
31 504 1
7 505 1
5 505 1
32 506 1
33 506 1
34 506 1
35 506 1
36 506 1
37 506 1
38 506 1
39 506 1
40 506 1
41 506 1
42 506 1
43 506 1
44 506 1
45 506 1
46 506 1
47 506 1
48 506 1
49 506 1
50 506 1
4 506 1
51 506 1
12 506 1
52 506 1
53 506 1
54 506 1
55 506 1
56 506 1
57 506 1
5 506 1
58 506 1
59 506 1
29 506 1
60 506 1
61 507 1
62 507 1
63 507 1
3 507 1
10 507 1
64 507 1
44 507 1
65 507 1
66 507 1
67 507 1
68 507 1
27 507 1
31 507 1
69 507 1
70 507 1
7 507 1
71 507 1
72 507 1
73 507 1
74 507 1
75 507 1
76 507 1
14 507 1
77 507 1
78 507 1
79 507 1
0 507 1
80 507 1
20 507 1
81 507 1
82 507 1
83 507 1
24 507 1
84 507 1
44 508 1
23 508 1
51 508 1
33 509 1
85 509 1
86 509 1
16 509 1
44 509 1
87 509 1
88 509 1
22 509 1
89 509 1
90 509 1
47 509 1
91 509 1
92 509 1
93 509 1
27 509 1
6 509 1
94 509 1
7 509 1
4 509 1
11 509 1
95 509 1
12 509 1
75 509 1
76 509 1
96 509 1
17 509 1
97 509 1
20 509 1
98 509 1
5 509 1
85 510 1
40 510 1
16 510 1
44 510 1
46 510 1
65 510 1
99 510 1
100 510 1
91 510 1
7 510 1
101 510 1
4 510 1
73 510 1
79 510 1
102 510 1
103 510 1
98 510 1
24 510 1
5 510 1
104 511 1
105 511 1
106 511 1
63 511 1
107 511 1
108 511 1
109 511 1
110 511 1
13 511 1
111 511 1
112 511 1
15 511 1
16 511 1
113 511 1
1 511 1
65 511 1
114 511 1
31 511 1
6 511 1
115 511 1
8 511 1
9 511 1
74 511 1
116 511 1
117 511 1
77 511 1
79 511 1
54 511 1
0 511 1
118 511 1
119 511 1
82 511 1
83 511 1
24 511 1
120 511 1
29 511 1
60 511 1
121 511 1
122 511 1
62 511 1
3 511 1
40 511 1
123 511 1
124 511 1
87 511 1
125 511 1
89 511 1
47 511 1
126 511 1
91 511 1
127 511 1
27 511 1
128 511 1
129 511 1
130 511 1
131 511 1
132 511 1
7 511 1
133 511 1
134 511 1
4 511 1
95 511 1
14 511 1
78 511 1
20 511 1
81 511 1
135 511 1
136 511 1
103 511 1
137 511 1
30 511 1
10 512 1
107 512 1
16 512 1
1 512 1
65 512 1
99 512 1
138 512 1
139 512 1
77 512 1
140 512 1
141 512 1
29 512 1
60 512 1
142 512 1
89 512 1
143 512 1
134 512 1
144 512 1
20 512 1
103 512 1
145 512 1
28 512 1
106 513 1
30 513 1
32 514 1
1 514 1
19 514 1
146 514 1
147 514 1
85 514 1
148 514 1
23 514 1
27 514 1
7 514 1
149 514 1
51 514 1
14 514 1
150 514 1
151 515 1
152 515 1
5 515 1
153 515 1
43 515 1
20 515 1
154 516 1
107 516 1
108 516 1
155 516 1
16 516 1
99 516 1
156 516 1
157 516 1
158 516 1
8 516 1
75 516 1
141 516 1
29 516 1
60 516 1
40 516 1
124 516 1
43 516 1
87 516 1
23 516 1
66 516 1
91 516 1
27 516 1
132 516 1
7 516 1
159 516 1
20 516 1
21 516 1
32 517 1
160 517 1
154 517 1
155 517 1
161 517 1
151 517 1
156 517 1
157 517 1
162 517 1
75 517 1
163 517 1
164 517 1
165 518 1
13 518 1
16 518 1
22 518 1
166 518 1
167 518 1
168 518 1
8 518 1
54 518 1
169 518 1
170 518 1
29 518 1
36 518 1
171 518 1
40 518 1
172 518 1
173 518 1
174 518 1
7 518 1
133 518 1
14 518 1
18 518 1
150 518 1
20 518 1
175 518 1
176 518 1
177 518 1
32 519 1
35 519 1
178 519 1
13 519 1
1 519 1
19 519 1
179 519 1
22 519 1
180 519 1
181 519 1
182 519 1
183 519 1
138 519 1
114 519 1
31 519 1
6 519 1
8 519 1
9 519 1
73 519 1
146 519 1
75 519 1
76 519 1
184 519 1
24 519 1
185 519 1
58 519 1
3 519 1
40 519 1
44 519 1
125 519 1
23 519 1
47 519 1
91 519 1
27 519 1
128 519 1
129 519 1
50 519 1
7 519 1
4 519 1
11 519 1
186 519 1
187 519 1
96 519 1
17 519 1
150 519 1
81 519 1
188 519 1
32 520 1
10 520 1
189 520 1
16 520 1
113 520 1
1 520 1
90 520 1
114 520 1
31 520 1
76 520 1
169 520 1
5 520 1
29 520 1
43 520 1
44 520 1
23 520 1
190 520 1
7 520 1
164 520 1
51 520 1
21 520 1
103 520 1
46 521 1
191 521 1
40 521 1
32 522 1
7 522 1
32 523 1
104 523 1
107 523 1
13 523 1
16 523 1
1 523 1
19 523 1
151 523 1
22 523 1
31 523 1
192 523 1
77 523 1
58 523 1
61 523 1
33 523 1
148 523 1
44 523 1
23 523 1
190 523 1
47 523 1
7 523 1
134 523 1
193 523 1
11 523 1
96 523 1
20 523 1
81 523 1
21 523 1
136 523 1
145 523 1
177 523 1
30 523 1
194 524 1
165 524 1
104 524 1
106 524 1
10 524 1
195 524 1
16 524 1
196 524 1
46 524 1
197 524 1
8 524 1
146 524 1
198 524 1
199 524 1
200 524 1
118 524 1
201 524 1
169 524 1
141 524 1
5 524 1
60 524 1
33 524 1
36 524 1
171 524 1
40 524 1
44 524 1
190 524 1
129 524 1
133 524 1
14 524 1
96 524 1
20 524 1
81 524 1
136 524 1
84 524 1
177 524 1
32 525 1
111 525 1
16 525 1
1 525 1
65 525 1
99 525 1
182 525 1
31 525 1
9 525 1
72 525 1
192 525 1
75 525 1
152 525 1
77 525 1
79 525 1
184 525 1
82 525 1
24 525 1
5 525 1
202 525 1
61 525 1
34 525 1
124 525 1
43 525 1
203 525 1
23 525 1
68 525 1
132 525 1
204 525 1
71 525 1
4 525 1
14 525 1
20 525 1
81 525 1
135 525 1
103 525 1
188 525 1
84 525 1
30 525 1
32 526 1
141 526 1
5 526 1
190 526 1
91 526 1
7 526 1
205 527 1
165 527 1
206 527 1
207 527 1
63 527 1
107 527 1
208 527 1
110 527 1
112 527 1
209 527 1
16 527 1
19 527 1
65 527 1
99 527 1
210 527 1
211 527 1
180 527 1
182 527 1
212 527 1
156 527 1
92 527 1
213 527 1
31 527 1
69 527 1
162 527 1
214 527 1
8 527 1
9 527 1
215 527 1
74 527 1
198 527 1
116 527 1
216 527 1
117 527 1
152 527 1
184 527 1
