6280 172881
0 316 1
1 316 1
2 316 1
3 317 1
4 317 1
5 317 1
6 317 1
7 317 1
8 317 1
9 317 1
10 317 1
11 317 1
12 317 1
13 317 1
14 317 1
15 317 1
16 317 1
17 317 1
18 317 1
19 317 1
20 317 1
5 318 1
21 318 1
2 318 1
13 318 1
16 318 1
0 318 1
5 319 1
22 319 1
2 319 1
13 319 1
16 319 1
1 319 1
23 319 1
24 319 1
25 319 1
26 320 1
27 320 1
4 320 1
28 320 1
29 320 1
30 320 1
31 320 1
17 320 1
32 320 1
33 320 1
34 320 1
21 320 1
35 320 1
36 320 1
37 320 1
38 320 1
19 320 1
39 320 1
5 321 1
12 321 1
4 322 1
28 322 1
9 322 1
11 322 1
16 322 1
17 322 1
0 322 1
40 322 1
21 322 1
13 322 1
4 323 1
9 323 1
17 323 1
41 323 1
42 323 1
40 323 1
5 323 1
35 323 1
21 323 1
43 323 1
13 323 1
37 323 1
44 323 1
28 324 1
29 324 1
17 324 1
33 324 1
45 324 1
5 324 1
46 324 1
35 324 1
47 324 1
13 324 1
3 325 1
48 325 1
49 325 1
50 325 1
6 325 1
51 325 1
9 325 1
10 325 1
52 325 1
16 325 1
53 325 1
17 325 1
54 325 1
0 325 1
55 325 1
33 325 1
56 325 1
57 325 1
45 325 1
58 325 1
59 325 1
60 325 1
61 325 1
62 325 1
63 325 1
8 325 1
2 325 1
64 325 1
14 325 1
36 325 1
65 325 1
66 325 1
67 325 1
68 325 1
37 325 1
69 325 1
70 325 1
23 325 1
20 325 1
71 325 1
72 325 1
39 325 1
73 325 1
74 325 1
7 325 1
29 325 1
75 325 1
32 325 1
76 325 1
77 325 1
78 325 1
79 325 1
40 325 1
80 325 1
5 325 1
81 325 1
22 325 1
82 325 1
83 325 1
21 325 1
35 325 1
84 325 1
47 325 1
85 325 1
86 325 1
12 325 1
13 325 1
87 325 1
88 325 1
89 325 1
1 325 1
90 325 1
25 325 1
91 325 1
92 326 1
74 326 1
40 326 1
13 326 1
50 327 1
93 327 1
26 328 1
3 328 1
49 328 1
9 328 1
10 328 1
16 328 1
53 328 1
94 328 1
17 328 1
57 328 1
45 328 1
60 328 1
63 328 1
2 328 1
14 328 1
65 328 1
66 328 1
67 328 1
19 328 1
20 328 1
4 328 1
95 328 1
7 328 1
32 328 1
76 328 1
96 328 1
79 328 1
5 328 1
97 328 1
21 328 1
86 328 1
12 328 1
13 328 1
98 328 1
89 328 1
1 328 1
99 328 1
91 328 1
100 329 1
101 329 1
100 330 1
30 330 1
16 330 1
53 330 1
17 330 1
102 330 1
103 330 1
104 330 1
2 330 1
19 330 1
20 330 1
92 330 1
39 330 1
105 330 1
4 330 1
29 330 1
11 330 1
5 330 1
21 330 1
13 330 1
26 331 1
106 331 1
107 331 1
108 331 1
44 331 1
79 331 1
109 332 1
110 332 1
111 332 1
112 332 1
113 332 1
28 332 1
6 332 1
114 332 1
9 332 1
30 332 1
16 332 1
53 332 1
17 332 1
115 332 1
116 332 1
117 332 1
54 332 1
0 332 1
41 332 1
42 332 1
33 332 1
24 332 1
56 332 1
57 332 1
45 332 1
58 332 1
118 332 1
119 332 1
120 332 1
59 332 1
121 332 1
122 332 1
123 332 1
124 332 1
125 332 1
60 332 1
101 332 1
62 332 1
8 332 1
2 332 1
126 332 1
127 332 1
128 332 1
36 332 1
65 332 1
67 332 1
68 332 1
37 332 1
19 332 1
129 332 1
69 332 1
70 332 1
23 332 1
20 332 1
71 332 1
130 332 1
72 332 1
131 332 1
39 332 1
132 332 1
73 332 1
105 332 1
4 332 1
133 332 1
95 332 1
134 332 1
29 332 1
135 332 1
