6498 198429
0 509 1
1 509 1
2 509 1
3 510 1
4 510 1
5 510 1
6 510 1
7 510 1
8 510 1
9 510 1
10 510 1
11 510 1
12 510 1
13 510 1
14 510 1
15 510 1
16 510 1
17 510 1
18 510 1
19 510 1
20 510 1
21 510 1
22 510 1
23 510 1
24 510 1
25 510 1
26 510 1
27 510 1
28 510 1
29 510 1
30 510 1
31 510 1
32 510 1
33 510 1
34 511 1
35 511 1
23 511 1
36 511 1
37 511 1
38 512 1
39 512 1
40 512 1
41 512 1
42 513 1
43 513 1
44 513 1
45 513 1
3 513 1
8 513 1
46 513 1
47 513 1
48 513 1
49 513 1
50 513 1
51 513 1
52 513 1
53 513 1
35 513 1
54 513 1
19 513 1
55 513 1
23 513 1
25 513 1
56 513 1
57 513 1
2 513 1
58 513 1
59 513 1
60 513 1
61 513 1
62 513 1
63 513 1
64 513 1
65 513 1
66 513 1
67 513 1
68 513 1
69 513 1
70 513 1
71 513 1
72 513 1
73 513 1
1 513 1
74 513 1
54 514 1
75 514 1
76 514 1
77 515 1
3 515 1
8 515 1
17 515 1
52 515 1
35 515 1
54 515 1
19 515 1
25 515 1
32 515 1
78 515 1
79 515 1
63 515 1
12 515 1
31 515 1
43 516 1
3 516 1
10 516 1
14 516 1
15 516 1
17 516 1
35 516 1
54 516 1
25 516 1
80 516 1
81 516 1
82 516 1
29 516 1
83 516 1
84 516 1
2 516 1
78 516 1
12 516 1
64 516 1
13 516 1
65 516 1
85 516 1
68 516 1
86 516 1
73 516 1
87 516 1
88 516 1
31 516 1
89 516 1
77 517 1
47 517 1
10 517 1
48 517 1
14 517 1
53 517 1
90 517 1
54 517 1
21 517 1
55 517 1
23 517 1
25 517 1
91 517 1
32 517 1
0 517 1
57 517 1
2 517 1
92 517 1
93 517 1
94 517 1
65 517 1
68 517 1
69 517 1
95 517 1
96 517 1
31 517 1
1 517 1
97 518 1
98 518 1
99 518 1
100 518 1
17 518 1
101 518 1
25 518 1
0 518 1
57 518 1
102 518 1
70 518 1
103 518 1
104 518 1
1 518 1
9 518 1
11 518 1
48 518 1
56 518 1
105 518 1
106 518 1
107 518 1
78 518 1
38 518 1
108 518 1
109 518 1
65 518 1
110 518 1
36 518 1
41 518 1
100 519 1
23 519 1
92 519 1
61 519 1
111 519 1
1 519 1
47 519 1
53 519 1
83 519 1
2 519 1
59 519 1
60 519 1
78 519 1
94 519 1
109 519 1
112 519 1
69 519 1
72 519 1
98 520 1
23 520 1
85 520 1
42 521 1
17 521 1
22 521 1
23 521 1
25 521 1
30 521 1
113 521 1
18 521 1
31 521 1
3 521 1
8 521 1
11 521 1
114 521 1
53 521 1
56 521 1
105 521 1
32 521 1
37 521 1
63 521 1
12 521 1
36 521 1
95 522 1
103 522 1
1 522 1
2 522 1
7 523 1
46 523 1
115 523 1
116 523 1
100 523 1
15 523 1
49 523 1
117 523 1
52 523 1
35 523 1
90 523 1
23 523 1
25 523 1
118 523 1
82 523 1
91 523 1
119 523 1
120 523 1
121 523 1
122 523 1
123 523 1
124 523 1
125 523 1
126 523 1
67 523 1
18 523 1
95 523 1
103 523 1
87 523 1
1 523 1
127 523 1
128 523 1
129 523 1
130 523 1
131 523 1
132 523 1
3 523 1
8 523 1
47 523 1
34 523 1
10 523 1
133 523 1
48 523 1
14 523 1
53 523 1
134 523 1
32 523 1
135 523 1
136 523 1
60 523 1
137 523 1
94 523 1
6 523 1
12 523 1
138 523 1
139 523 1
140 523 1
141 523 1
72 523 1
142 523 1
28 523 1
143 523 1
36 523 1
42 524 1
101 524 1
144 524 1
145 524 1
89 524 1
146 524 1
147 525 1
148 525 1
149 525 1
150 525 1
46 525 1
17 525 1
49 525 1
90 525 1
23 525 1
25 525 1
151 525 1
29 525 1
152 525 1
91 525 1
84 525 1
57 525 1
40 525 1
153 525 1
154 525 1
155 525 1
92 525 1
18 525 1
70 525 1
96 525 1
104 525 1
1 525 1
156 525 1
45 525 1
3 525 1
8 525 1
157 525 1
10 525 1
158 525 1
48 525 1
159 525 1
53 525 1
160 525 1
161 525 1
162 525 1
56 525 1
105 525 1
83 525 1
32 525 1
106 525 1
107 525 1
163 525 1
164 525 1
78 525 1
94 525 1
38 525 1
108 525 1
12 525 1
165 525 1
65 525 1
86 525 1
139 525 1
20 525 1
73 525 1
166 525 1
167 525 1
168 525 1
41 525 1
42 526 1
44 526 1
17 526 1
22 526 1
29 526 1
169 526 1
84 526 1
40 526 1
122 526 1
170 526 1
113 526 1
171 526 1
95 526 1
103 526 1
172 526 1
127 526 1
128 526 1
74 526 1
43 526 1
3 526 1
39 526 1
173 526 1
9 526 1
47 526 1
48 526 1
11 526 1
14 526 1
53 526 1
54 526 1
21 526 1
83 526 1
106 526 1
174 526 1
13 526 1
69 526 1
141 526 1
72 526 1
142 526 1
24 526 1
175 526 1
167 526 1
36 526 1
41 526 1
42 527 1
150 527 1
116 527 1
15 527 1
17 527 1
49 527 1
176 527 1
35 527 1
90 527 1
144 527 1
23 527 1
25 527 1
118 527 1
30 527 1
40 527 1
122 527 1
4 527 1
177 527 1
113 527 1
18 527 1
95 527 1
1 527 1
89 527 1
130 527 1
178 527 1
132 527 1
39 527 1
8 527 1
47 527 1
54 527 1
179 527 1
19 527 1
21 527 1
56 527 1
180 527 1
32 527 1
106 527 1
164 527 1
181 527 1
136 527 1
60 527 1
137 527 1
78 527 1
38 527 1
182 527 1
63 527 1
165 527 1
85 527 1
86 527 1
71 527 1
28 527 1
183 527 1
41 527 1
150 528 1
17 528 1
25 528 1
40 528 1
47 528 1
48 528 1
32 528 1
135 528 1
41 528 1
42 529 1
84 529 1
137 529 1
42 530 1
184 530 1
185 530 1
5 530 1
186 530 1
100 530 1
15 530 1
17 530 1
49 530 1
35 530 1
22 530 1
25 530 1
26 530 1
81 530 1
82 530 1
29 530 1
30 530 1
57 530 1
40 530 1
187 530 1
188 530 1
92 530 1
123 530 1
4 530 1
124 530 1
189 530 1
190 530 1
64 530 1
113 530 1
171 530 1
67 530 1
68 530 1
18 530 1
191 530 1
103 530 1
27 530 1
88 530 1
192 530 1
1 530 1
127 530 1
74 530 1
89 530 1
193 530 1
43 530 1
130 530 1
178 530 1
3 530 1
194 530 1
39 530 1
195 530 1
9 530 1
47 530 1
133 530 1
11 530 1
114 530 1
196 530 1
54 530 1
134 530 1
21 530 1
197 530 1
198 530 1
56 530 1
180 530 1
83 530 1
32 530 1
106 530 1
199 530 1
2 530 1
135 530 1
60 530 1
78 530 1
93 530 1
38 530 1
109 530 1
79 530 1
13 530 1
65 530 1
85 530 1
200 530 1
69 530 1
72 530 1
142 530 1
24 530 1
73 530 1
28 530 1
167 530 1
36 530 1
168 530 1
41 530 1
201 531 1
202 531 1
203 531 1
147 531 1
148 531 1
149 531 1
97 531 1
98 531 1
204 531 1
205 531 1
206 531 1
17 531 1
49 531 1
207 531 1
52 531 1
176 531 1
90 531 1
208 531 1
101 531 1
23 531 1
25 531 1
209 531 1
82 531 1
210 531 1
91 531 1
84 531 1
0 531 1
145 531 1
119 531 1
40 531 1
211 531 1
153 531 1
111 531 1
177 531 1
212 531 1
102 531 1
64 531 1
213 531 1
171 531 1
68 531 1
214 531 1
215 531 1
216 531 1
217 531 1
27 531 1
218 531 1
104 531 1
219 531 1
220 531 1
1 531 1
89 531 1
45 531 1
3 531 1
221 531 1
39 531 1
8 531 1
157 531 1
47 531 1
10 531 1
222 531 1
48 531 1
11 531 1
14 531 1
53 531 1
54 531 1
134 531 1
161 531 1
56 531 1
223 531 1
105 531 1
180 531 1
32 531 1
106 531 1
37 531 1
107 531 1
2 531 1
135 531 1
164 531 1
137 531 1
78 531 1
224 531 1
62 531 1
38 531 1
225 531 1
182 531 1
108 531 1
12 531 1
165 531 1
65 531 1
85 531 1
226 531 1
227 531 1
86 531 1
69 531 1
141 531 1
142 531 1
228 531 1
167 531 1
36 531 1
76 531 1
168 531 1
41 531 1
229 531 1
42 532 1
23 532 1
92 532 1
53 532 1
2 532 1
76 532 1
42 533 1
115 533 1
99 533 1
15 533 1
49 533 1
25 533 1
26 533 1
57 533 1
126 533 1
171 533 1
95 533 1
8 533 1
11 533 1
105 533 1
199 533 1
78 533 1
65 533 1
147 534 1
230 534 1
231 534 1
100 534 1
17 534 1
22 534 1
23 534 1
26 534 1
82 534 1
151 534 1
121 534 1
75 534 1
111 534 1
189 534 1
125 534 1
232 534 1
171 534 1
68 534 1
18 534 1
233 534 1
172 534 1
234 534 1
235 534 1
130 534 1
3 534 1
236 534 1
11 534 1
237 534 1
54 534 1
179 534 1
134 534 1
238 534 1
180 534 1
83 534 1
239 534 1
136 534 1
59 534 1
137 534 1
