6063 86788
0 185 1
1 185 1
2 186 1
3 186 1
4 186 1
5 186 1
6 186 1
7 186 1
1 186 1
8 186 1
9 186 1
10 186 1
11 186 1
12 186 1
13 186 1
14 186 1
15 186 1
16 186 1
3 187 1
12 187 1
3 188 1
1 188 1
12 188 1
17 189 1
18 189 1
19 189 1
20 189 1
11 189 1
21 189 1
1 189 1
22 189 1
16 189 1
3 190 1
23 190 1
24 190 1
25 190 1
14 190 1
12 191 1
23 191 1
6 191 1
1 191 1
26 192 1
11 192 1
27 192 1
28 192 1
0 192 1
29 192 1
3 192 1
6 192 1
1 192 1
24 192 1
20 193 1
0 193 1
3 193 1
21 193 1
1 193 1
25 193 1
30 193 1
14 193 1
18 194 1
31 194 1
32 194 1
8 194 1
9 194 1
12 194 1
33 194 1
34 194 1
35 194 1
5 194 1
36 194 1
25 194 1
22 194 1
14 194 1
15 194 1
16 194 1
37 194 1
20 194 1
0 194 1
38 194 1
39 194 1
40 194 1
3 194 1
41 194 1
6 194 1
42 194 1
30 194 1
43 194 1
44 195 1
16 195 1
6 195 1
45 195 1
31 196 1
30 196 1
17 197 1
46 197 1
12 197 1
15 197 1
0 197 1
39 197 1
3 197 1
6 197 1
1 197 1
30 197 1
47 198 1
12 199 1
28 199 1
48 199 1
24 199 1
15 199 1
16 199 1
20 199 1
49 199 1
11 199 1
0 199 1
3 199 1
23 199 1
6 199 1
42 199 1
1 199 1
17 200 1
24 200 1
50 201 1
8 201 1
12 201 1
51 201 1
34 201 1
52 201 1
35 201 1
22 201 1
15 201 1
53 201 1
16 201 1
20 201 1
54 201 1
55 201 1
0 201 1
38 201 1
56 201 1
3 201 1
41 201 1
6 201 1
1 201 1
10 201 1
57 201 1
58 201 1
17 202 1
8 202 1
12 202 1
44 202 1
59 202 1
24 202 1
14 202 1
15 202 1
60 202 1
61 202 1
62 202 1
63 202 1
20 202 1
0 202 1
38 202 1
40 202 1
64 202 1
3 202 1
23 202 1
6 202 1
1 202 1
65 202 1
43 202 1
66 202 1
17 203 1
46 203 1
12 203 1
35 203 1
16 203 1
0 203 1
38 203 1
3 203 1
6 203 1
1 203 1
13 203 1
20 204 1
23 204 1
6 204 1
1 204 1
17 205 1
67 205 1
3 205 1
17 206 1
8 206 1
12 206 1
28 206 1
15 206 1
63 206 1
38 206 1
68 206 1
64 206 1
3 206 1
23 206 1
69 206 1
6 206 1
70 206 1
58 206 1
43 206 1
71 207 1
50 207 1
31 207 1
72 207 1
73 207 1
74 207 1
12 207 1
28 207 1
75 207 1
34 207 1
76 207 1
15 207 1
20 207 1
38 207 1
39 207 1
41 207 1
70 207 1
13 207 1
58 207 1
43 207 1
17 208 1
47 208 1
44 208 1
24 208 1
25 208 1
14 208 1
0 208 1
6 208 1
1 208 1
13 208 1
65 208 1
17 209 1
77 209 1
12 209 1
78 209 1
79 209 1
15 209 1
63 209 1
68 209 1
3 209 1
23 209 1
69 209 1
6 209 1
1 209 1
43 209 1
50 210 1
12 210 1
80 210 1
44 210 1
28 210 1
81 210 1
15 210 1
16 210 1
62 210 1
63 210 1
64 210 1
42 210 1
21 210 1
45 210 1
13 210 1
17 211 1
71 211 1
18 211 1
31 211 1
72 211 1
82 211 1
46 211 1
83 211 1
74 211 1
36 211 1
25 211 1
22 211 1
84 211 1
85 211 1
86 211 1
20 211 1
39 211 1
87 211 1
4 211 1
41 211 1
50 212 1
12 212 1
52 212 1
24 212 1
25 212 1
86 212 1
20 212 1
0 212 1
38 212 1
88 212 1
3 212 1
89 212 1
10 212 1
58 212 1
31 213 1
90 213 1
46 213 1
12 213 1
35 213 1
25 213 1
91 213 1
7 213 1
38 213 1
39 213 1
92 213 1
40 213 1
3 213 1
23 213 1
41 213 1
6 213 1
93 213 1
70 213 1
66 213 1
20 214 1
0 214 1
1 214 1
44 215 1
16 215 1
94 215 1
3 215 1
93 215 1
18 216 1
24 216 1
20 216 1
88 216 1
1 216 1
18 217 1
31 217 1
95 217 1
72 217 1
82 217 1
47 217 1
74 217 1
12 217 1
59 217 1
96 217 1
35 217 1
36 217 1
97 217 1
98 217 1
25 217 1
99 217 1
85 217 1
91 217 1
86 217 1
0 217 1
38 217 1
100 217 1
92 217 1
40 217 1
88 217 1
3 217 1
87 217 1
6 217 1
93 217 1
70 217 1
101 217 1
10 217 1
13 217 1
65 217 1
12 218 1
16 218 1
31 219 1
95 219 1
102 219 1
8 219 1
12 219 1
96 219 1
36 219 1
25 219 1
85 219 1
103 219 1
40 219 1
3 219 1
4 219 1
104 219 1
65 219 1
17 220 1
2 220 1
18 220 1
8 220 1
12 220 1
80 220 1
44 220 1
28 220 1
51 220 1
96 220 1
78 220 1
35 220 1
5 220 1
97 220 1
105 220 1
25 220 1
15 220 1
106 220 1
60 220 1
16 220 1
37 220 1
107 220 1
20 220 1
0 220 1
38 220 1
40 220 1
88 220 1
64 220 1
3 220 1
23 220 1
41 220 1
104 220 1
6 220 1
42 220 1
93 220 1
21 220 1
1 220 1
108 220 1
109 220 1
30 220 1
13 220 1
65 220 1
43 220 1
25 221 1
14 221 1
16 221 1
3 221 1
65 221 1
95 222 1
16 222 1
20 223 1
23 223 1
17 224 1
73 224 1
46 224 1
12 224 1
80 224 1
110 224 1
28 224 1
96 224 1
33 224 1
34 224 1
35 224 1
79 224 1
111 224 1
36 224 1
105 224 1
112 224 1
98 224 1
25 224 1
113 224 1
14 224 1
15 224 1
61 224 1
16 224 1
91 224 1
37 224 1
63 224 1
114 224 1
55 224 1
100 224 1
39 224 1
92 224 1
40 224 1
115 224 1
88 224 1
64 224 1
3 224 1
116 224 1
93 224 1
117 224 1
108 224 1
43 224 1
66 224 1
9 225 1
12 225 1
3 225 1
6 225 1
12 226 1
110 226 1
44 226 1
34 226 1
35 226 1
15 226 1
16 226 1
0 226 1
38 226 1
40 226 1
3 226 1
41 226 1
70 226 1
16 227 1
17 228 1
26 228 1
12 228 1
36 228 1
25 228 1
14 228 1
15 228 1
0 228 1
40 228 1
3 228 1
58 228 1
44 229 1
24 229 1
14 229 1
118 229 1
0 229 1
100 229 1
40 229 1
0 230 1
88 230 1
17 231 1
2 231 1
18 231 1
32 231 1
95 231 1
8 231 1
46 231 1
9 231 1
12 231 1
36 231 1
25 231 1
22 231 1
14 231 1
15 231 1
62 231 1
91 231 1
63 231 1
118 231 1
107 231 1
20 231 1
49 231 1
11 231 1
27 231 1
40 231 1
6 231 1
119 231 1
43 231 1
26 231 1
44 231 1
28 231 1
78 231 1
33 231 1
105 231 1
112 231 1
98 231 1
120 231 1
121 231 1
24 231 1
16 231 1
7 231 1
122 231 1
0 231 1
38 231 1
39 231 1
68 231 1
92 231 1
88 231 1
64 231 1
3 231 1
23 231 1
41 231 1
70 231 1
21 231 1
1 231 1
30 231 1
13 231 1
66 231 1
31 232 1
8 232 1
74 232 1
12 232 1
15 232 1
43 232 1
0 232 1
38 232 1
39 232 1
3 232 1
1 232 1
66 232 1
24 233 1
20 234 1
8 235 1
15 235 1
6 235 1
43 235 1
0 235 1
1 235 1
30 235 1
17 236 1
71 236 1
50 236 1
123 236 1
8 236 1
12 236 1
96 236 1
36 236 1
97 236 1
25 236 1
22 236 1
76 236 1
67 236 1
14 236 1
84 236 1
85 236 1
15 236 1
61 236 1
63 236 1
20 236 1
49 236 1
40 236 1
108 236 1
124 236 1
58 236 1
43 236 1
44 236 1
51 236 1
78 236 1
35 236 1
105 236 1
60 236 1
16 236 1
7 236 1
38 236 1
68 236 1
88 236 1
3 236 1
41 236 1
70 236 1
21 236 1
1 236 1
45 236 1
13 236 1
65 236 1
66 236 1
125 237 1
25 238 1
6 238 1
16 238 1
0 238 1
95 239 1
8 239 1
20 239 1
11 239 1
6 239 1
26 239 1
28 239 1
0 239 1
21 239 1
1 239 1
12 240 1
23 240 1
21 240 1
13 240 1
66 240 1
18 241 1
8 241 1
74 241 1
12 241 1
34 241 1
36 241 1
81 241 1
25 241 1
22 241 1
14 241 1
15 241 1
61 241 1
63 241 1
20 241 1
40 241 1
6 241 1
42 241 1
58 241 1
43 241 1
26 241 1
44 241 1
35 241 1
60 241 1
16 241 1
7 241 1
0 241 1
38 241 1
39 241 1
92 241 1
68 241 1
88 241 1
3 241 1
4 241 1
41 241 1
70 241 1
21 241 1
89 241 1
1 241 1
13 241 1
66 241 1
18 242 1
31 242 1
95 242 1
9 242 1
74 242 1
96 242 1
34 242 1
52 242 1
25 242 1
22 242 1
14 242 1
126 242 1
86 242 1
20 242 1
103 242 1
40 242 1
116 242 1
6 242 1
10 242 1
72 242 1
127 242 1
128 242 1
60 242 1
19 242 1
129 242 1
130 242 1
131 242 1
100 242 1
39 242 1
88 242 1
4 242 1
41 242 1
89 242 1
1 242 1
30 242 1
65 242 1
79 243 1
37 243 1
20 243 1
43 243 1
51 243 1
16 243 1
23 244 1
17 245 1
31 245 1
32 245 1
8 245 1
46 245 1
47 245 1
9 245 1
74 245 1
12 245 1
59 245 1
34 245 1
52 245 1
36 245 1
97 245 1
25 245 1
22 245 1
132 245 1
14 245 1
84 245 1
85 245 1
15 245 1
86 245 1
20 245 1
27 245 1
103 245 1
40 245 1
6 245 1
10 245 1
72 245 1
44 245 1
51 245 1
48 245 1
127 245 1
120 245 1
106 245 1
133 245 1
134 245 1
88 245 1
29 245 1
3 245 1
41 245 1
104 245 1
70 245 1
1 245 1
13 245 1
65 245 1
57 245 1
66 245 1
17 246 1
34 246 1
25 246 1
11 246 1
23 246 1
