6526 216203
0 555 1
1 555 1
2 555 1
3 556 1
4 556 1
5 556 1
6 556 1
7 556 1
8 556 1
9 556 1
10 556 1
11 556 1
12 556 1
13 556 1
14 556 1
15 556 1
16 556 1
17 556 1
18 556 1
19 556 1
20 556 1
5 557 1
21 557 1
22 557 1
2 557 1
23 557 1
13 557 1
15 557 1
0 557 1
24 557 1
5 558 1
25 558 1
2 558 1
13 558 1
15 558 1
1 558 1
26 558 1
27 558 1
28 558 1
29 558 1
30 558 1
31 559 1
4 559 1
32 559 1
33 559 1
34 559 1
35 559 1
36 559 1
37 559 1
16 559 1
17 559 1
38 559 1
39 559 1
40 559 1
41 559 1
42 559 1
22 559 1
43 559 1
44 559 1
45 559 1
46 559 1
19 559 1
47 559 1
48 559 1
5 560 1
12 560 1
4 561 1
32 561 1
9 561 1
11 561 1
15 561 1
17 561 1
49 561 1
0 561 1
50 561 1
22 561 1
13 561 1
4 562 1
9 562 1
17 562 1
51 562 1
52 562 1
50 562 1
5 562 1
53 562 1
43 562 1
22 562 1
54 562 1
13 562 1
45 562 1
55 562 1
32 563 1
17 563 1
40 563 1
56 563 1
5 563 1
57 563 1
43 563 1
58 563 1
13 563 1
3 564 1
59 564 1
60 564 1
61 564 1
6 564 1
62 564 1
9 564 1
10 564 1
63 564 1
64 564 1
15 564 1
65 564 1
37 564 1
16 564 1
17 564 1
66 564 1
0 564 1
67 564 1
68 564 1
69 564 1
40 564 1
70 564 1
71 564 1
56 564 1
72 564 1
73 564 1
53 564 1
74 564 1
75 564 1
76 564 1
77 564 1
8 564 1
78 564 1
2 564 1
79 564 1
14 564 1
80 564 1
81 564 1
82 564 1
83 564 1
84 564 1
45 564 1
85 564 1
86 564 1
26 564 1
20 564 1
87 564 1
28 564 1
88 564 1
48 564 1
89 564 1
90 564 1
7 564 1
91 564 1
38 564 1
92 564 1
93 564 1
94 564 1
95 564 1
96 564 1
50 564 1
97 564 1
5 564 1
98 564 1
25 564 1
99 564 1
100 564 1
22 564 1
43 564 1
101 564 1
58 564 1
102 564 1
103 564 1
12 564 1
13 564 1
104 564 1
105 564 1
106 564 1
107 564 1
1 564 1
24 564 1
108 564 1
30 564 1
109 564 1
110 564 1
111 565 1
69 565 1
78 565 1
112 565 1
47 565 1
90 565 1
50 565 1
13 565 1
113 566 1
114 566 1
3 567 1
61 567 1
9 567 1
10 567 1
115 567 1
15 567 1
65 567 1
116 567 1
17 567 1
71 567 1
56 567 1
74 567 1
77 567 1
2 567 1
14 567 1
80 567 1
81 567 1
82 567 1
19 567 1
20 567 1
4 567 1
117 567 1
7 567 1
38 567 1
92 567 1
118 567 1
96 567 1
5 567 1
119 567 1
22 567 1
103 567 1
12 567 1
13 567 1
120 567 1
107 567 1
1 567 1
121 567 1
24 567 1
