6779 245683
0 765 1
1 765 1
2 765 1
3 766 1
4 766 1
5 766 1
6 766 1
7 766 1
8 766 1
9 766 1
10 766 1
11 766 1
12 766 1
13 766 1
14 766 1
15 766 1
16 766 1
17 766 1
18 766 1
19 766 1
20 766 1
21 766 1
22 766 1
23 766 1
24 766 1
25 766 1
26 766 1
27 766 1
28 766 1
29 766 1
30 766 1
31 766 1
32 766 1
33 766 1
34 766 1
35 766 1
36 767 1
37 767 1
38 767 1
39 767 1
24 767 1
40 767 1
41 767 1
42 768 1
43 768 1
44 768 1
45 768 1
46 768 1
47 768 1
48 769 1
49 769 1
50 769 1
3 769 1
8 769 1
51 769 1
52 769 1
53 769 1
54 769 1
55 769 1
56 769 1
57 769 1
58 769 1
59 769 1
39 769 1
60 769 1
61 769 1
20 769 1
62 769 1
63 769 1
24 769 1
64 769 1
26 769 1
27 769 1
65 769 1
66 769 1
67 769 1
68 769 1
2 769 1
69 769 1
70 769 1
71 769 1
72 769 1
73 769 1
74 769 1
75 769 1
76 769 1
77 769 1
78 769 1
79 769 1
80 769 1
81 769 1
82 769 1
83 769 1
84 769 1
1 769 1
85 769 1
86 769 1
61 770 1
87 770 1
88 770 1
89 771 1
3 771 1
8 771 1
17 771 1
58 771 1
39 771 1
61 771 1
20 771 1
27 771 1
90 771 1
34 771 1
91 771 1
92 771 1
75 771 1
12 771 1
33 771 1
48 772 1
3 772 1
10 772 1
14 772 1
15 772 1
17 772 1
39 772 1
61 772 1
27 772 1
93 772 1
94 772 1
95 772 1
31 772 1
96 772 1
97 772 1
2 772 1
91 772 1
98 772 1
12 772 1
76 772 1
13 772 1
77 772 1
99 772 1
80 772 1
100 772 1
84 772 1
101 772 1
102 772 1
33 772 1
103 772 1
89 773 1
52 773 1
10 773 1
53 773 1
14 773 1
59 773 1
104 773 1
61 773 1
22 773 1
62 773 1
24 773 1
27 773 1
105 773 1
34 773 1
0 773 1
67 773 1
2 773 1
106 773 1
107 773 1
108 773 1
77 773 1
80 773 1
81 773 1
109 773 1
110 773 1
33 773 1
1 773 1
111 774 1
112 774 1
113 774 1
114 774 1
115 774 1
17 774 1
18 774 1
116 774 1
117 774 1
64 774 1
26 774 1
27 774 1
118 774 1
119 774 1
0 774 1
67 774 1
120 774 1
98 774 1
121 774 1
122 774 1
123 774 1
124 774 1
45 774 1
1 774 1
9 774 1
11 774 1
53 774 1
65 774 1
125 774 1
126 774 1
127 774 1
128 774 1
91 774 1
42 774 1
129 774 1
130 774 1
77 774 1
131 774 1
132 774 1
40 774 1
47 774 1
133 774 1
115 775 1
134 775 1
24 775 1
119 775 1
106 775 1
73 775 1
135 775 1
122 775 1
1 775 1
85 775 1
52 775 1
59 775 1
96 775 1
2 775 1
71 775 1
72 775 1
91 775 1
108 775 1
130 775 1
136 775 1
81 775 1
83 775 1
113 776 1
24 776 1
99 776 1
137 776 1
17 777 1
18 777 1
138 777 1
23 777 1
24 777 1
27 777 1
32 777 1
139 777 1
19 777 1
33 777 1
3 777 1
8 777 1
11 777 1
140 777 1
59 777 1
65 777 1
125 777 1
34 777 1
41 777 1
75 777 1
12 777 1
40 777 1
109 778 1
123 778 1
1 778 1
141 778 1
60 778 1
2 778 1
142 778 1
7 779 1
51 779 1
143 779 1
144 779 1
115 779 1
15 779 1
55 779 1
145 779 1
58 779 1
39 779 1
104 779 1
24 779 1
27 779 1
146 779 1
95 779 1
105 779 1
147 779 1
148 779 1
149 779 1
150 779 1
151 779 1
152 779 1
153 779 1
154 779 1
79 779 1
19 779 1
109 779 1
123 779 1
101 779 1
1 779 1
155 779 1
156 779 1
157 779 1
85 779 1
158 779 1
159 779 1
160 779 1
3 779 1
8 779 1
52 779 1
36 779 1
10 779 1
161 779 1
53 779 1
14 779 1
59 779 1
60 779 1
162 779 1
34 779 1
163 779 1
164 779 1
72 779 1
165 779 1
108 779 1
6 779 1
12 779 1
166 779 1
167 779 1
168 779 1
169 779 1
83 779 1
170 779 1
30 779 1
171 779 1
40 779 1
117 780 1
172 780 1
66 780 1
173 780 1
103 780 1
174 780 1
175 781 1
176 781 1
177 781 1
178 781 1
51 781 1
17 781 1
55 781 1
104 781 1
24 781 1
27 781 1
179 781 1
31 781 1
180 781 1
105 781 1
97 781 1
67 781 1
46 781 1
120 781 1
181 781 1
182 781 1
106 781 1
183 781 1
184 781 1
19 781 1
110 781 1
124 781 1
185 781 1
1 781 1
50 781 1
3 781 1
186 781 1
8 781 1
187 781 1
10 781 1
188 781 1
53 781 1
59 781 1
189 781 1
190 781 1
191 781 1
65 781 1
125 781 1
90 781 1
96 781 1
34 781 1
126 781 1
68 781 1
128 781 1
192 781 1
193 781 1
91 781 1
194 781 1
108 781 1
42 781 1
129 781 1
195 781 1
12 781 1
196 781 1
197 781 1
198 781 1
77 781 1
199 781 1
100 781 1
167 781 1
21 781 1
84 781 1
200 781 1
201 781 1
202 781 1
203 781 1
47 781 1
49 782 1
17 782 1
18 782 1
23 782 1
31 782 1
204 782 1
97 782 1
46 782 1
150 782 1
37 782 1
205 782 1
139 782 1
206 782 1
109 782 1
123 782 1
45 782 1
207 782 1
155 782 1
156 782 1
86 782 1
48 782 1
3 782 1
43 782 1
208 782 1
9 782 1
52 782 1
53 782 1
11 782 1
14 782 1
59 782 1
61 782 1
22 782 1
96 782 1
126 782 1
209 782 1
210 782 1
129 782 1
13 782 1
81 782 1
169 782 1
83 782 1
170 782 1
25 782 1
211 782 1
202 782 1
40 782 1
47 782 1
111 783 1
212 783 1
213 783 1
178 783 1
214 783 1
215 783 1
216 783 1
144 783 1
15 783 1
17 783 1
217 783 1
55 783 1
218 783 1
219 783 1
38 783 1
116 783 1
39 783 1
104 783 1
134 783 1
172 783 1
24 783 1
64 783 1
26 783 1
220 783 1
27 783 1
146 783 1
221 783 1
222 783 1
223 783 1
224 783 1
