6468 144913
0 480 1
1 480 1
2 481 1
3 481 1
4 481 1
5 481 1
6 481 1
7 481 1
8 481 1
1 481 1
9 481 1
10 481 1
11 481 1
12 481 1
13 481 1
14 481 1
15 481 1
16 481 1
17 481 1
3 482 1
18 482 1
19 482 1
12 482 1
20 482 1
3 483 1
21 483 1
1 483 1
12 483 1
22 483 1
23 483 1
24 484 1
25 484 1
26 484 1
27 484 1
11 484 1
28 484 1
29 484 1
13 484 1
30 484 1
31 484 1
32 484 1
33 484 1
34 484 1
1 484 1
35 484 1
17 484 1
3 485 1
36 485 1
37 485 1
38 485 1
15 485 1
12 486 1
39 486 1
36 486 1
6 486 1
1 486 1
40 487 1
11 487 1
41 487 1
42 487 1
0 487 1
43 487 1
3 487 1
44 487 1
6 487 1
1 487 1
37 487 1
0 488 1
3 488 1
45 488 1
34 488 1
1 488 1
38 488 1
46 488 1
15 488 1
47 489 1
48 489 1
24 489 1
49 489 1
7 489 1
9 489 1
10 489 1
50 489 1
12 489 1
29 489 1
13 489 1
51 489 1
52 489 1
53 489 1
54 489 1
55 489 1
56 489 1
44 489 1
5 489 1
57 489 1
58 489 1
38 489 1
59 489 1
15 489 1
16 489 1
23 489 1
17 489 1
60 489 1
0 489 1
61 489 1
62 489 1
63 489 1
64 489 1
3 489 1
21 489 1
65 489 1
6 489 1
66 489 1
67 489 1
46 489 1
20 489 1
68 489 1
69 489 1
70 490 1
71 490 1
52 490 1
58 490 1
35 490 1
17 490 1
6 490 1
72 490 1
46 491 1
73 491 1
7 492 1
74 492 1
75 492 1
12 492 1
16 492 1
0 492 1
63 492 1
3 492 1
6 492 1
1 492 1
46 492 1
20 492 1
76 493 1
59 493 1
77 493 1
27 493 1
78 493 1
12 494 1
79 494 1
42 494 1
80 494 1
37 494 1
59 494 1
16 494 1
35 494 1
17 494 1
81 494 1
27 494 1
11 494 1
0 494 1
82 494 1
83 494 1
84 494 1
3 494 1
36 494 1
6 494 1
66 494 1
85 494 1
1 494 1
20 494 1
86 495 1
30 495 1
37 495 1
87 496 1
88 496 1
89 496 1
