6543 181267
0 554 1
1 554 1
2 554 1
3 554 1
4 554 1
5 554 1
6 554 1
7 554 1
8 554 1
9 554 1
10 554 1
11 554 1
12 554 1
13 554 1
14 554 1
15 554 1
16 554 1
17 554 1
18 555 1
19 555 1
20 555 1
21 555 1
22 555 1
23 555 1
24 555 1
25 555 1
26 555 1
27 555 1
28 555 1
29 555 1
30 555 1
31 555 1
32 555 1
33 555 1
34 555 1
35 555 1
36 555 1
37 555 1
38 555 1
39 555 1
40 555 1
41 555 1
19 556 1
28 556 1
2 556 1
38 556 1
42 556 1
19 557 1
15 557 1
43 558 1
44 558 1
45 558 1
46 558 1
47 558 1
48 558 1
49 558 1
50 558 1
51 558 1
52 558 1
53 558 1
54 558 1
55 558 1
56 558 1
57 558 1
58 558 1
59 558 1
10 558 1
60 558 1
24 558 1
61 558 1
62 558 1
63 558 1
64 558 1
4 558 1
65 558 1
66 558 1
67 558 1
15 558 1
68 558 1
69 558 1
40 558 1
70 558 1
71 559 1
72 559 1
73 559 1
74 559 1
7 559 1
75 559 1
76 559 1
9 559 1
22 559 1
12 559 1
77 559 1
53 559 1
5 559 1
78 559 1
79 559 1
80 559 1
11 559 1
81 559 1
38 559 1
42 559 1
82 559 1
83 559 1
84 559 1
85 559 1
19 559 1
86 559 1
87 559 1
88 559 1
89 559 1
90 559 1
91 559 1
92 559 1
93 559 1
26 559 1
94 559 1
95 559 1
96 559 1
97 559 1
1 559 1
98 559 1
31 559 1
99 559 1
100 559 1
101 559 1
35 559 1
102 559 1
16 559 1
53 560 1
34 560 1
60 560 1
43 561 1
103 561 1
104 561 1
28 561 1
53 561 1
105 561 1
106 561 1
33 561 1
107 561 1
108 561 1
56 561 1
109 561 1
110 561 1
111 561 1
38 561 1
18 561 1
112 561 1
113 561 1
19 561 1
10 561 1
23 561 1
114 561 1
24 561 1
92 561 1
93 561 1
115 561 1
29 561 1
116 561 1
31 561 1
117 561 1
15 561 1
103 562 1
28 562 1
53 562 1
55 562 1
78 562 1
118 562 1
119 562 1
109 562 1
19 562 1
120 562 1
10 562 1
90 562 1
96 562 1
121 562 1
122 562 1
117 562 1
35 562 1
15 562 1
123 563 1
124 563 1
76 563 1
125 563 1
12 563 1
126 563 1
127 563 1
128 563 1
129 563 1
25 563 1
130 563 1
131 563 1
27 563 1
28 563 1
132 563 1
2 563 1
3 563 1
5 563 1
78 563 1
133 563 1
134 563 1
135 563 1
42 563 1
136 563 1
18 563 1
137 563 1
138 563 1
139 563 1
20 563 1
21 563 1
140 563 1
141 563 1
91 563 1
142 563 1
143 563 1
94 563 1
96 563 1
1 563 1
144 563 1
145 563 1
146 563 1
4 563 1
100 563 1
101 563 1
35 563 1
14 563 1
16 563 1
147 563 1
40 563 1
70 563 1
148 563 1
149 563 1
6 563 1
72 563 1
73 563 1
150 563 1
151 563 1
7 563 1
75 563 1
9 563 1
152 563 1
153 563 1
105 563 1
154 563 1
155 563 1
107 563 1
56 563 1
156 563 1
11 563 1
109 563 1
157 563 1
158 563 1
38 563 1
159 563 1
160 563 1
161 563 1
162 563 1
163 563 1
164 563 1
165 563 1
19 563 1
166 563 1
10 563 1
114 563 1
167 563 1
62 563 1
26 563 1
95 563 1
31 563 1
99 563 1
168 563 1
169 563 1
122 563 1
170 563 1
41 563 1
171 563 1
22 564 1
125 564 1
28 564 1
2 564 1
78 564 1
118 564 1
172 564 1
173 564 1
174 564 1
141 564 1
94 564 1
175 564 1
176 564 1
40 564 1
70 564 1
177 564 1
107 564 1
178 564 1
166 564 1
179 564 1
62 564 1
31 564 1
122 564 1
180 564 1
39 564 1
4 565 1
41 565 1
129 566 1
2 566 1
30 566 1
181 566 1
4 566 1
182 566 1
103 566 1
183 566 1
34 566 1
38 566 1
19 566 1
184 566 1
60 566 1
26 566 1
185 566 1
186 567 1
187 567 1
15 567 1
188 567 1
52 567 1
31 567 1
189 568 1
125 568 1
126 568 1
190 568 1
28 568 1
118 568 1
191 568 1
192 568 1
20 568 1
92 568 1
176 568 1
40 568 1
70 568 1
75 568 1
153 568 1
52 568 1
105 568 1
193 568 1
34 568 1
79 568 1
109 568 1
38 568 1
165 568 1
112 568 1
19 568 1
194 568 1
195 568 1
31 568 1
32 568 1
196 569 1
189 569 1
190 569 1
197 569 1
186 569 1
191 569 1
192 569 1
198 569 1
92 569 1
199 569 1
200 569 1
195 569 1
25 570 1
28 570 1
5 570 1
33 570 1
134 570 1
201 570 1
20 570 1
202 570 1
40 570 1
46 570 1
203 570 1
204 570 1
19 570 1
26 570 1
185 570 1
31 570 1
205 570 1
45 571 1
74 571 1
12 571 1
206 571 1
25 571 1
2 571 1
30 571 1
3 571 1
5 571 1
207 571 1
33 571 1
208 571 1
209 571 1
210 571 1
133 571 1
172 571 1
135 571 1
42 571 1
211 571 1
136 571 1
18 571 1
137 571 1
212 571 1
20 571 1
21 571 1
140 571 1
90 571 1
181 571 1
92 571 1
93 571 1
213 571 1
4 571 1
35 571 1
214 571 1
13 571 1
14 571 1
16 571 1
17 571 1
68 571 1
151 571 1
75 571 1
9 571 1
53 571 1
155 571 1
34 571 1
56 571 1
109 571 1
38 571 1
159 571 1
160 571 1
59 571 1
19 571 1
10 571 1
23 571 1
215 571 1
216 571 1
62 571 1
115 571 1
29 571 1
185 571 1
195 571 1
99 571 1
217 571 1
22 572 1
218 572 1
12 572 1
28 572 1
132 572 1
2 572 1
3 572 1
5 572 1
219 572 1
133 572 1
108 572 1
135 572 1
42 572 1
136 572 1
137 572 1
140 572 1
141 572 1
93 572 1
4 572 1
14 572 1
202 572 1
15 572 1
17 572 1
40 572 1
75 572 1
52 572 1
53 572 1
34 572 1
220 572 1
19 572 1
200 572 1
60 572 1
167 572 1
195 572 1
32 572 1
