6371 197236
0 385 1
1 385 1
2 385 1
3 385 1
4 385 1
5 385 1
6 385 1
7 385 1
8 385 1
9 385 1
10 385 1
11 385 1
12 385 1
13 385 1
14 385 1
15 385 1
16 385 1
17 386 1
18 386 1
19 386 1
20 386 1
21 386 1
22 386 1
23 386 1
24 386 1
25 386 1
26 386 1
27 386 1
28 386 1
29 386 1
30 386 1
31 386 1
32 386 1
33 386 1
19 387 1
34 387 1
14 387 1
27 387 1
29 387 1
7 387 1
35 387 1
19 388 1
36 388 1
14 388 1
27 388 1
29 388 1
9 388 1
37 388 1
38 388 1
39 388 1
40 389 1
18 389 1
41 389 1
42 389 1
43 389 1
30 389 1
44 389 1
45 389 1
46 389 1
34 389 1
47 389 1
48 389 1
3 389 1
49 389 1
50 389 1
51 389 1
32 389 1
52 389 1
53 390 1
54 390 1
6 390 1
55 390 1
8 390 1
11 390 1
4 390 1
10 390 1
35 390 1
56 390 1
57 390 1
19 390 1
58 390 1
59 390 1
60 390 1
26 390 1
61 390 1
62 390 1
1 390 1
63 390 1
15 390 1
18 391 1
41 391 1
23 391 1
25 391 1
29 391 1
30 391 1
7 391 1
64 391 1
34 391 1
27 391 1
18 392 1
23 392 1
30 392 1
65 392 1
66 392 1
67 392 1
64 392 1
19 392 1
47 392 1
34 392 1
68 392 1
27 392 1
49 392 1
69 392 1
41 393 1
30 393 1
45 393 1
70 393 1
19 393 1
71 393 1
47 393 1
72 393 1
27 393 1
17 394 1
73 394 1
74 394 1
20 394 1
75 394 1
11 394 1
23 394 1
24 394 1
76 394 1
77 394 1
29 394 1
78 394 1
2 394 1
4 394 1
30 394 1
79 394 1
7 394 1
80 394 1
81 394 1
45 394 1
82 394 1
83 394 1
84 394 1
35 394 1
85 394 1
70 394 1
86 394 1
87 394 1
88 394 1
89 394 1
90 394 1
91 394 1
92 394 1
93 394 1
94 394 1
22 394 1
95 394 1
60 394 1
14 394 1
96 394 1
28 394 1
97 394 1
1 394 1
98 394 1
99 394 1
100 394 1
3 394 1
101 394 1
49 394 1
63 394 1
102 394 1
103 394 1
37 394 1
33 394 1
104 394 1
105 394 1
13 394 1
15 394 1
52 394 1
106 394 1
5 394 1
53 394 1
107 394 1
108 394 1
6 394 1
109 394 1
55 394 1
8 394 1
21 394 1
110 394 1
111 394 1
44 394 1
112 394 1
10 394 1
113 394 1
114 394 1
115 394 1
116 394 1
117 394 1
118 394 1
119 394 1
64 394 1
120 394 1
19 394 1
121 394 1
36 394 1
122 394 1
123 394 1
34 394 1
47 394 1
124 394 1
72 394 1
125 394 1
126 394 1
127 394 1
48 394 1
26 394 1
27 394 1
61 394 1
128 394 1
129 394 1
130 394 1
9 394 1
131 394 1
39 394 1
132 394 1
133 394 1
134 395 1
95 395 1
135 395 1
109 395 1
64 395 1
48 395 1
27 395 1
3 396 1
136 396 1
17 397 1
74 397 1
23 397 1
24 397 1
77 397 1
29 397 1
78 397 1
137 397 1
30 397 1
83 397 1
70 397 1
90 397 1
93 397 1
14 397 1
28 397 1
97 397 1
98 397 1
99 397 1
3 397 1
32 397 1
33 397 1
18 397 1
138 397 1
21 397 1
44 397 1
112 397 1
139 397 1
119 397 1
19 397 1
140 397 1
34 397 1
127 397 1
26 397 1
27 397 1
141 397 1
130 397 1
9 397 1
142 397 1
132 397 1
143 398 1
144 398 1
143 399 1
42 399 1
29 399 1
78 399 1
30 399 1
145 399 1
146 399 1
14 399 1
32 399 1
33 399 1
135 399 1
52 399 1
147 399 1
18 399 1
55 399 1
25 399 1
148 399 1
67 399 1
19 399 1
34 399 1
27 399 1
149 399 1
150 400 1
151 400 1
152 400 1
69 400 1
119 400 1
149 400 1
153 401 1
154 401 1
155 401 1
156 401 1
41 401 1
20 401 1
157 401 1
23 401 1
42 401 1
29 401 1
78 401 1
4 401 1
30 401 1
158 401 1
159 401 1
79 401 1
7 401 1
65 401 1
66 401 1
45 401 1
38 401 1
82 401 1
83 401 1
70 401 1
86 401 1
160 401 1
161 401 1
88 401 1
162 401 1
163 401 1
164 401 1
165 401 1
166 401 1
90 401 1
144 401 1
92 401 1
22 401 1
14 401 1
167 401 1
168 401 1
169 401 1
97 401 1
99 401 1
101 401 1
49 401 1
32 401 1
170 401 1
102 401 1
103 401 1
37 401 1
33 401 1
104 401 1
171 401 1
105 401 1
172 401 1
52 401 1
106 401 1
147 401 1
18 401 1
173 401 1
138 401 1
174 401 1
136 401 1
175 401 1
176 401 1
177 401 1
178 401 1
44 401 1
112 401 1
179 401 1
114 401 1
139 401 1
46 401 1
180 401 1
117 401 1
181 401 1
119 401 1
64 401 1
182 401 1
183 401 1
120 401 1
19 401 1
184 401 1
36 401 1
122 401 1
185 401 1
123 401 1
186 401 1
187 401 1
188 401 1
189 401 1
140 401 1
190 401 1
47 401 1
34 401 1
124 401 1
72 401 1
125 401 1
191 401 1
26 401 1
68 401 1
27 401 1
192 401 1
141 401 1
193 401 1
130 401 1
9 401 1
194 401 1
142 401 1
