6165 108950
0 251 1
1 251 1
2 251 1
3 251 1
4 251 1
5 251 1
6 251 1
7 251 1
8 251 1
9 251 1
10 251 1
11 251 1
12 251 1
13 251 1
14 251 1
15 251 1
16 252 1
17 252 1
18 252 1
19 252 1
20 252 1
21 252 1
15 252 1
22 252 1
23 252 1
24 252 1
25 252 1
26 252 1
27 252 1
28 252 1
29 252 1
17 253 1
25 253 1
30 253 1
17 254 1
15 254 1
25 254 1
31 255 1
32 255 1
24 255 1
33 255 1
15 255 1
34 255 1
3 255 1
35 255 1
29 255 1
36 256 1
37 256 1
6 256 1
38 256 1
8 256 1
10 256 1
4 256 1
9 256 1
30 256 1
39 256 1
40 256 1
17 256 1
41 256 1
42 256 1
43 256 1
44 256 1
45 256 1
46 256 1
47 256 1
48 256 1
1 256 1
49 256 1
27 256 1
13 256 1
25 257 1
41 257 1
20 257 1
15 257 1
50 258 1
24 258 1
51 258 1
52 258 1
7 258 1
53 258 1
54 258 1
17 258 1
20 258 1
15 258 1
45 258 1
7 259 1
17 259 1
33 259 1
15 259 1
47 259 1
55 259 1
27 259 1
31 260 1
56 260 1
10 260 1
57 260 1
22 260 1
23 260 1
25 260 1
2 260 1
4 260 1
58 260 1
59 260 1
60 260 1
61 260 1
30 260 1
62 260 1
63 260 1
64 260 1
65 260 1
66 260 1
19 260 1
67 260 1
68 260 1
69 260 1
44 260 1
47 260 1
1 260 1
70 260 1
3 260 1
49 260 1
27 260 1
28 260 1
12 260 1
13 260 1
29 260 1
71 260 1
5 260 1
36 260 1
72 260 1
73 260 1
6 260 1
38 260 1
8 260 1
74 260 1
7 260 1
9 260 1
75 260 1
76 260 1
77 260 1
78 260 1
79 260 1
80 260 1
81 260 1
17 260 1
20 260 1
82 260 1
83 260 1
34 260 1
46 260 1
55 260 1
84 260 1
85 260 1
86 261 1
87 261 1
69 261 1
29 261 1
20 261 1
34 261 1
88 261 1
3 262 1
55 262 1
57 263 1
89 263 1
25 263 1
3 263 1
28 263 1
7 263 1
77 263 1
17 263 1
20 263 1
15 263 1
55 263 1
90 264 1
25 265 1
52 265 1
45 265 1
28 265 1
29 265 1
38 265 1
91 265 1
24 265 1
92 265 1
7 265 1
54 265 1
17 265 1
41 265 1
20 265 1
82 265 1
15 265 1
93 265 1
45 266 1
93 266 1
22 267 1
25 267 1
4 267 1
60 267 1
63 267 1
65 267 1
28 267 1
29 267 1
94 267 1
7 267 1
76 267 1
17 267 1
20 267 1
15 267 1
37 268 1
10 268 1
22 268 1
25 268 1
2 268 1
4 268 1
86 268 1
58 268 1
61 268 1
30 268 1
95 268 1
62 268 1
64 268 1
96 268 1
67 268 1
45 268 1
3 268 1
27 268 1
28 268 1
11 268 1
12 268 1
97 268 1
13 268 1
14 268 1
98 268 1
99 268 1
100 268 1
73 268 1
38 268 1
8 268 1
7 268 1
76 268 1
78 268 1
101 268 1
17 268 1
41 268 1
20 268 1
15 268 1
34 268 1
93 268 1
102 268 1
84 268 1
103 268 1
10 269 1
89 269 1
25 269 1
2 269 1
4 269 1
104 269 1
58 269 1
61 269 1
30 269 1
62 269 1
64 269 1
65 269 1
67 269 1
69 269 1
3 269 1
12 269 1
14 269 1
29 269 1
38 269 1
7 269 1
76 269 1
17 269 1
20 269 1
83 269 1
15 269 1
93 269 1
26 269 1
41 270 1
20 270 1
15 270 1
10 271 1
105 271 1
17 271 1
93 271 1
22 272 1
25 272 1
52 272 1
30 272 1
62 272 1
87 272 1
69 272 1
3 272 1
28 272 1
100 272 1
9 272 1
76 272 1
106 272 1
101 272 1
17 272 1
41 272 1
107 272 1
20 272 1
108 272 1
84 272 1
109 273 1
0 273 1
25 273 1
4 273 1
52 273 1
60 273 1
63 273 1
96 273 1
110 273 1
28 273 1
76 273 1
77 273 1
108 273 1
34 273 1
26 273 1
84 273 1
90 274 1
86 274 1
60 274 1
30 274 1
87 274 1
45 274 1
47 274 1
3 274 1
27 274 1
38 274 1
111 274 1
7 274 1
20 274 1
83 274 1
15 274 1
26 274 1
102 274 1
10 275 1
112 275 1
25 275 1
113 275 1
114 275 1
28 275 1
100 275 1
106 275 1
17 275 1
41 275 1
107 275 1
20 275 1
15 275 1
84 275 1
10 276 1
25 276 1
115 276 1
4 276 1
86 276 1
52 276 1
30 276 1
116 276 1
69 276 1
44 276 1
49 276 1
117 276 1
28 276 1
13 276 1
29 276 1
99 276 1
100 276 1
6 276 1
38 276 1
8 276 1
101 276 1
82 276 1
83 276 1
33 276 1
46 276 1
88 276 1
26 276 1
31 277 1
89 277 1
62 277 1
68 277 1
47 277 1
77 277 1
18 277 1
25 278 1
60 278 1
61 278 1
118 278 1
45 278 1
47 278 1
3 278 1
7 278 1
76 278 1
119 278 1
81 278 1
17 278 1
120 278 1
34 278 1
121 279 1
89 279 1
25 279 1
65 279 1
47 279 1
122 279 1
21 279 1
76 279 1
77 279 1
123 279 1
78 279 1
17 279 1
41 279 1
20 279 1
