5479 62216
0 180 1
1 180 1
2 180 1
3 180 1
4 180 1
5 180 1
6 180 1
7 180 1
8 180 1
9 180 1
10 180 1
11 180 1
12 180 1
13 180 1
14 181 1
15 181 1
16 181 1
17 182 1
16 182 1
18 182 1
19 182 1
20 182 1
21 182 1
22 182 1
23 183 1
24 183 1
25 184 1
3 184 1
26 184 1
27 184 1
28 185 1
29 185 1
6 185 1
30 185 1
15 185 1
7 185 1
31 185 1
32 185 1
9 185 1
16 185 1
4 185 1
33 185 1
8 185 1
22 185 1
34 185 1
35 185 1
36 185 1
37 185 1
38 185 1
39 185 1
40 185 1
41 185 1
42 185 1
43 185 1
1 185 1
44 185 1
12 185 1
45 186 1
41 186 1
16 187 1
9 188 1
46 188 1
16 188 1
2 188 1
4 188 1
47 188 1
48 188 1
49 188 1
22 188 1
50 188 1
51 188 1
52 188 1
53 188 1
54 188 1
55 188 1
56 188 1
40 188 1
1 188 1
57 188 1
3 188 1
44 188 1
11 188 1
12 188 1
5 188 1
28 188 1
58 188 1
59 188 1
6 188 1
30 188 1
15 188 1
7 188 1
60 188 1
8 188 1
61 188 1
24 188 1
21 188 1
62 188 1
63 188 1
64 188 1
65 188 1
66 188 1
25 188 1
42 188 1
20 188 1
67 188 1
16 189 1
68 189 1
56 189 1
25 189 1
3 190 1
46 191 1
16 191 1
3 191 1
69 191 1
15 191 1
41 192 1
30 192 1
15 192 1
70 192 1
45 192 1
71 192 1
72 192 1
73 193 1
41 193 1
72 193 1
16 194 1
4 194 1
48 194 1
74 194 1
29 195 1
73 195 1
9 195 1
16 195 1
2 195 1
4 195 1
47 195 1
49 195 1
22 195 1
75 195 1
50 195 1
52 195 1
76 195 1
55 195 1
41 195 1
18 195 1
19 195 1
3 195 1
10 195 1
11 195 1
69 195 1
12 195 1
13 195 1
59 195 1
30 195 1
15 195 1
7 195 1
24 195 1
23 195 1
25 195 1
72 195 1
9 196 1
2 196 1
4 196 1
77 196 1
47 196 1
49 196 1
22 196 1
50 196 1
52 196 1
55 196 1
56 196 1
3 196 1
11 196 1
13 196 1
30 196 1
15 196 1
74 196 1
66 196 1
72 196 1
73 197 1
9 197 1
72 197 1
22 198 1
50 198 1
68 198 1
54 198 1
56 198 1
3 198 1
15 198 1
8 198 1
65 198 1
78 198 1
0 199 1
4 199 1
48 199 1
76 199 1
65 199 1
74 199 1
25 199 1
16 200 1
79 200 1
48 200 1
22 200 1
68 200 1
41 200 1
3 200 1
30 200 1
80 200 1
66 200 1
9 201 1
65 201 1
73 202 1
9 202 1
4 202 1
79 202 1
22 202 1
81 202 1
56 202 1
40 202 1
82 202 1
44 202 1
83 202 1
12 202 1
6 202 1
84 202 1
30 202 1
15 202 1
7 202 1
24 202 1
65 202 1
66 202 1
42 202 1
85 202 1
50 203 1
14 203 1
54 203 1
17 204 1
48 204 1
49 204 1
86 204 1
41 204 1
3 204 1
21 204 1
64 204 1
25 204 1
23 205 1
74 205 1
66 205 1
20 205 1
68 206 1
46 207 1
47 207 1
48 207 1
49 207 1
53 207 1
54 207 1
86 207 1
15 207 1
87 207 1
21 207 1
62 207 1
20 207 1
41 208 1
88 208 1
25 208 1
42 208 1
89 209 1
17 209 1
16 209 1
2 209 1
4 209 1
49 209 1
51 209 1
90 209 1
91 209 1
56 209 1
40 209 1
1 209 1
3 209 1
44 209 1
69 209 1
12 209 1
6 209 1
30 209 1
92 209 1
87 209 1
93 209 1
24 209 1
94 209 1
21 209 1
23 209 1
95 209 1
36 209 1
42 209 1
20 209 1
22 210 1
3 210 1
83 210 1
12 210 1
78 210 1
32 211 1
96 211 1
97 211 1
98 211 1
17 211 1
4 211 1
47 211 1
49 211 1
22 211 1
51 211 1
52 211 1
99 211 1
68 211 1
100 211 1
53 211 1
14 211 1
90 211 1
101 211 1
1 211 1
57 211 1
3 211 1
44 211 1
12 211 1
13 211 1
102 211 1
5 211 1
28 211 1
6 211 1
31 211 1
103 211 1
92 211 1
87 211 1
104 211 1
60 211 1
24 211 1
21 211 1
62 211 1
64 211 1
23 211 1
95 211 1
66 211 1
105 211 1
78 211 1
9 212 1
17 212 1
4 212 1
47 212 1
22 212 1
51 212 1
54 212 1
56 212 1
106 212 1
15 212 1
24 212 1
21 212 1
65 212 1
23 212 1
74 212 1
105 212 1
25 212 1
71 212 1
49 213 1
22 213 1
40 213 1
44 213 1
88 213 1
64 213 1
42 213 1
29 214 1
9 214 1
55 214 1
44 214 1
30 214 1
7 214 1
42 214 1
16 215 1
79 215 1
99 215 1
3 215 1
94 215 1
29 216 1
68 217 1
3 217 1
24 217 1
65 217 1
74 217 1
66 217 1
20 217 1
72 218 1
46 219 1
16 219 1
2 219 1
77 219 1
48 219 1
49 219 1
75 219 1
50 219 1
107 219 1
3 219 1
11 219 1
12 219 1
28 219 1
108 219 1
37 219 1
66 219 1
25 219 1
20 219 1
9 220 1
109 220 1
48 220 1
22 220 1
54 220 1
110 220 1
107 220 1
41 220 1
1 220 1
44 220 1
12 220 1
102 220 1
7 220 1
80 220 1
8 220 1
94 220 1
21 220 1
64 220 1
65 220 1
111 220 1
20 220 1
9 221 1
46 221 1
17 221 1
16 221 1
2 221 1
4 221 1
112 221 1
47 221 1
22 221 1
75 221 1
50 221 1
51 221 1
52 221 1
99 221 1
68 221 1
113 221 1
86 221 1
55 221 1
1 221 1
18 221 1
19 221 1
3 221 1
44 221 1
10 221 1
114 221 1
106 221 1
8 221 1
64 221 1
108 221 1
72 221 1
115 221 1
78 221 1
73 221 1
77 221 1
79 221 1
39 221 1
56 221 1
41 221 1
116 221 1
11 221 1
12 221 1
13 221 1
6 221 1
30 221 1
15 221 1
7 221 1
92 221 1
117 221 1
60 221 1
33 221 1
24 221 1
21 221 1
62 221 1
63 221 1
65 221 1
23 221 1
95 221 1
118 221 1
66 221 1
71 221 1
20 221 1
0 222 1
2 222 1
4 222 1
22 222 1
10 222 1
8 222 1
72 222 1
30 222 1
46 223 1
50 223 1
41 223 1
9 224 1
88 224 1
19 225 1
115 225 1
15 225 1
9 226 1
17 226 1
0 226 1
16 226 1
2 226 1
4 226 1
47 226 1
49 226 1
22 226 1
50 226 1
52 226 1
99 226 1
113 226 1
14 226 1
86 226 1
55 226 1
1 226 1
18 226 1
3 226 1
44 226 1
10 226 1
70 226 1
8 226 1
61 226 1
72 226 1
78 226 1
29 226 1
96 226 1
77 226 1
48 226 1
119 226 1
34 226 1
120 226 1
76 226 1
56 226 1
43 226 1
11 226 1
12 226 1
13 226 1
28 226 1
