6557 184572
0 551 1
1 551 1
2 551 1
3 551 1
4 551 1
5 551 1
6 552 1
7 552 1
8 552 1
9 552 1
10 552 1
11 552 1
12 552 1
13 552 1
14 552 1
15 552 1
16 552 1
17 552 1
18 552 1
19 552 1
20 552 1
21 552 1
22 552 1
23 552 1
24 552 1
25 552 1
26 552 1
27 552 1
28 552 1
29 552 1
30 552 1
31 552 1
7 553 1
8 553 1
18 553 1
1 553 1
28 553 1
32 553 1
8 554 1
5 554 1
33 555 1
34 555 1
35 555 1
36 555 1
37 555 1
38 555 1
39 555 1
40 555 1
41 555 1
42 555 1
43 555 1
44 555 1
45 555 1
46 555 1
47 555 1
48 555 1
49 555 1
50 555 1
51 555 1
52 555 1
53 555 1
54 555 1
4 555 1
55 555 1
56 555 1
14 555 1
57 555 1
58 555 1
59 555 1
60 555 1
61 555 1
62 555 1
63 555 1
5 555 1
64 555 1
65 555 1
30 555 1
66 555 1
67 556 1
68 556 1
69 556 1
3 556 1
12 556 1
70 556 1
46 556 1
71 556 1
72 556 1
73 556 1
74 556 1
28 556 1
32 556 1
75 556 1
76 556 1
8 556 1
77 556 1
78 556 1
79 556 1
80 556 1
81 556 1
82 556 1
16 556 1
83 556 1
84 556 1
85 556 1
0 556 1
86 556 1
21 556 1
87 556 1
88 556 1
89 556 1
25 556 1
90 556 1
7 557 1
46 557 1
24 557 1
55 557 1
33 558 1
91 558 1
92 558 1
18 558 1
46 558 1
93 558 1
94 558 1
23 558 1
95 558 1
96 558 1
49 558 1
97 558 1
98 558 1
99 558 1
51 558 1
28 558 1
100 558 1
6 558 1
101 558 1
8 558 1
4 558 1
13 558 1
102 558 1
103 558 1
14 558 1
81 558 1
82 558 1
104 558 1
19 558 1
105 558 1
21 558 1
106 558 1
107 558 1
5 558 1
91 559 1
40 559 1
18 559 1
46 559 1
48 559 1
71 559 1
108 559 1
109 559 1
97 559 1
8 559 1
110 559 1
4 559 1
79 559 1
85 559 1
111 559 1
112 559 1
107 559 1
25 559 1
5 559 1
7 560 1
113 560 1
114 560 1
115 560 1
69 560 1
116 560 1
117 560 1
118 560 1
119 560 1
15 560 1
120 560 1
121 560 1
17 560 1
18 560 1
122 560 1
123 560 1
1 560 1
71 560 1
51 560 1
124 560 1
32 560 1
6 560 1
125 560 1
10 560 1
11 560 1
126 560 1
80 560 1
127 560 1
128 560 1
83 560 1
85 560 1
59 560 1
0 560 1
129 560 1
130 560 1
88 560 1
89 560 1
25 560 1
131 560 1
132 560 1
30 560 1
66 560 1
133 560 1
134 560 1
68 560 1
3 560 1
40 560 1
135 560 1
136 560 1
93 560 1
137 560 1
95 560 1
49 560 1
138 560 1
97 560 1
139 560 1
28 560 1
140 560 1
141 560 1
142 560 1
143 560 1
144 560 1
8 560 1
145 560 1
4 560 1
102 560 1
16 560 1
84 560 1
21 560 1
87 560 1
146 560 1
147 560 1
112 560 1
148 560 1
31 560 1
12 561 1
116 561 1
18 561 1
1 561 1
71 561 1
108 561 1
149 561 1
150 561 1
151 561 1
83 561 1
152 561 1
153 561 1
30 561 1
66 561 1
154 561 1
95 561 1
155 561 1
54 561 1
145 561 1
156 561 1
60 561 1
21 561 1
112 561 1
157 561 1
29 561 1
115 562 1
31 562 1
7 563 1
1 563 1
20 563 1
158 563 1
159 563 1
106 563 1
91 563 1
160 563 1
161 563 1
162 563 1
24 563 1
28 563 1
8 563 1
163 563 1
55 563 1
16 563 1
164 563 1
165 564 1
166 564 1
106 564 1
5 564 1
167 564 1
45 564 1
21 564 1
7 565 1
168 565 1
9 565 1
116 565 1
41 565 1
117 565 1
169 565 1
18 565 1
170 565 1
108 565 1
171 565 1
172 565 1
51 565 1
173 565 1
174 565 1
175 565 1
10 565 1
81 565 1
153 565 1
176 565 1
30 565 1
66 565 1
40 565 1
162 565 1
136 565 1
45 565 1
93 565 1
177 565 1
24 565 1
72 565 1
97 565 1
28 565 1
144 565 1
178 565 1
54 565 1
179 565 1
8 565 1
180 565 1
181 565 1
60 565 1
21 565 1
22 565 1
182 565 1
183 566 1
168 566 1
169 566 1
123 566 1
184 566 1
165 566 1
171 566 1
172 566 1
185 566 1
81 566 1
186 566 1
187 566 1
41 567 1
15 567 1
18 567 1
23 567 1
188 567 1
189 567 1
190 567 1
10 567 1
191 567 1
59 567 1
192 567 1
131 567 1
193 567 1
30 567 1
36 567 1
194 567 1
40 567 1
195 567 1
196 567 1
8 567 1
16 567 1
164 567 1
21 567 1
197 567 1
7 568 1
35 568 1
198 568 1
15 568 1
1 568 1
20 568 1
199 568 1
23 568 1
200 568 1
201 568 1
202 568 1
149 568 1
150 568 1
124 568 1
32 568 1
6 568 1
10 568 1
11 568 1
79 568 1
158 568 1
81 568 1
82 568 1
203 568 1
106 568 1
25 568 1
204 568 1
64 568 1
160 568 1
3 568 1
40 568 1
46 568 1
137 568 1
24 568 1
