6373 193175
0 372 1
1 372 1
2 372 1
3 373 1
4 373 1
5 373 1
6 373 1
7 373 1
8 373 1
9 373 1
10 373 1
11 373 1
12 373 1
13 373 1
14 373 1
15 373 1
16 373 1
17 373 1
18 373 1
19 373 1
20 373 1
21 373 1
22 373 1
3 374 1
6 374 1
23 374 1
2 374 1
15 374 1
17 374 1
0 374 1
6 375 1
24 375 1
2 375 1
15 375 1
17 375 1
1 375 1
25 375 1
26 375 1
27 375 1
28 376 1
5 376 1
29 376 1
30 376 1
31 376 1
32 376 1
33 376 1
18 376 1
34 376 1
35 376 1
36 376 1
37 376 1
38 376 1
23 376 1
39 376 1
40 376 1
41 376 1
42 376 1
43 376 1
44 376 1
21 376 1
45 376 1
6 377 1
14 377 1
3 378 1
5 378 1
29 378 1
11 378 1
13 378 1
17 378 1
18 378 1
0 378 1
46 378 1
23 378 1
15 378 1
5 379 1
11 379 1
18 379 1
47 379 1
48 379 1
36 379 1
49 379 1
46 379 1
6 379 1
39 379 1
23 379 1
50 379 1
51 379 1
15 379 1
52 379 1
43 379 1
53 379 1
29 380 1
30 380 1
18 380 1
35 380 1
54 380 1
6 380 1
55 380 1
39 380 1
56 380 1
15 380 1
3 381 1
4 381 1
57 381 1
58 381 1
59 381 1
8 381 1
60 381 1
11 381 1
12 381 1
61 381 1
62 381 1
17 381 1
63 381 1
18 381 1
64 381 1
0 381 1
65 381 1
35 381 1
36 381 1
66 381 1
67 381 1
54 381 1
68 381 1
69 381 1
70 381 1
71 381 1
72 381 1
73 381 1
74 381 1
10 381 1
2 381 1
75 381 1
16 381 1
41 381 1
76 381 1
77 381 1
78 381 1
79 381 1
43 381 1
80 381 1
81 381 1
25 381 1
22 381 1
82 381 1
83 381 1
45 381 1
84 381 1
85 381 1
9 381 1
30 381 1
86 381 1
34 381 1
87 381 1
88 381 1
89 381 1
90 381 1
46 381 1
91 381 1
6 381 1
92 381 1
24 381 1
93 381 1
94 381 1
23 381 1
39 381 1
95 381 1
56 381 1
96 381 1
97 381 1
14 381 1
15 381 1
98 381 1
99 381 1
100 381 1
1 381 1
101 381 1
27 381 1
102 381 1
103 382 1
104 382 1
85 382 1
38 382 1
46 382 1
15 382 1
42 382 1
59 383 1
105 383 1
3 384 1
4 384 1
58 384 1
11 384 1
12 384 1
17 384 1
63 384 1
106 384 1
18 384 1
67 384 1
54 384 1
70 384 1
74 384 1
2 384 1
16 384 1
76 384 1
77 384 1
78 384 1
52 384 1
21 384 1
22 384 1
5 384 1
107 384 1
108 384 1
9 384 1
109 384 1
34 384 1
87 384 1
110 384 1
90 384 1
6 384 1
111 384 1
23 384 1
97 384 1
14 384 1
15 384 1
112 384 1
100 384 1
1 384 1
113 384 1
102 384 1
114 385 1
115 385 1
52 385 1
3 386 1
114 386 1
7 386 1
31 386 1
17 386 1
63 386 1
18 386 1
116 386 1
117 386 1
36 386 1
118 386 1
119 386 1
120 386 1
2 386 1
21 386 1
22 386 1
104 386 1
121 386 1
45 386 1
122 386 1
5 386 1
30 386 1
13 386 1
109 386 1
123 386 1
124 386 1
38 386 1
125 386 1
6 386 1
23 386 1
15 386 1
126 386 1
42 386 1
20 386 1
127 386 1
128 387 1
62 387 1
129 387 1
130 387 1
53 387 1
90 387 1
131 388 1
132 388 1
133 388 1
134 388 1
29 388 1
8 388 1
135 388 1
11 388 1
31 388 1
17 388 1
63 388 1
18 388 1
136 388 1
137 388 1
138 388 1
64 388 1
0 388 1
47 388 1
48 388 1
35 388 1
26 388 1
66 388 1
67 388 1
54 388 1
68 388 1
139 388 1
140 388 1
141 388 1
69 388 1
142 388 1
143 388 1
144 388 1
145 388 1
146 388 1
70 388 1
115 388 1
72 388 1
10 388 1
2 388 1
147 388 1
148 388 1
149 388 1
41 388 1
76 388 1
78 388 1
150 388 1
79 388 1
43 388 1
21 388 1
151 388 1
80 388 1
81 388 1
25 388 1
22 388 1
82 388 1
152 388 1
83 388 1
153 388 1
45 388 1
84 388 1
122 388 1
5 388 1
154 388 1
107 388 1
155 388 1
30 388 1
156 388 1
105 388 1
157 388 1
158 388 1
159 388 1
160 388 1
34 388 1
87 388 1
161 388 1
88 388 1
110 388 1
37 388 1
162 388 1
89 388 1
163 388 1
90 388 1
46 388 1
164 388 1
165 388 1
91 388 1
6 388 1
166 388 1
24 388 1
93 388 1
167 388 1
94 388 1
168 388 1
169 388 1
170 388 1
171 388 1
111 388 1
172 388 1
39 388 1
23 388 1
95 388 1
56 388 1
96 388 1
173 388 1
14 388 1
51 388 1
15 388 1
174 388 1
112 388 1
175 388 1
100 388 1
1 388 1
176 388 1
113 388 1
177 388 1
178 388 1
179 388 1
27 388 1
180 388 1
181 388 1
102 388 1
182 388 1
3 389 1
4 389 1
29 389 1
58 389 1
128 389 1
11 389 1
12 389 1
17 389 1
183 389 1
64 389 1
