6537 204894
0 540 1
1 540 1
2 540 1
3 541 1
4 541 1
5 541 1
6 541 1
7 541 1
8 541 1
9 541 1
10 541 1
11 541 1
12 541 1
13 541 1
14 541 1
15 541 1
16 541 1
17 541 1
18 541 1
19 541 1
20 541 1
21 541 1
22 541 1
23 541 1
24 541 1
25 541 1
26 541 1
27 541 1
28 541 1
29 541 1
30 541 1
31 541 1
32 541 1
33 541 1
34 541 1
3 542 1
35 542 1
36 542 1
24 542 1
37 542 1
38 542 1
39 543 1
40 543 1
41 543 1
42 543 1
43 544 1
44 544 1
45 544 1
4 544 1
9 544 1
46 544 1
47 544 1
48 544 1
49 544 1
50 544 1
51 544 1
52 544 1
53 544 1
54 544 1
36 544 1
55 544 1
20 544 1
56 544 1
24 544 1
26 544 1
57 544 1
58 544 1
59 544 1
2 544 1
60 544 1
61 544 1
62 544 1
63 544 1
64 544 1
65 544 1
66 544 1
67 544 1
68 544 1
69 544 1
70 544 1
71 544 1
72 544 1
73 544 1
74 544 1
75 544 1
1 544 1
76 544 1
55 545 1
77 545 1
78 545 1
3 546 1
79 546 1
4 546 1
9 546 1
18 546 1
52 546 1
36 546 1
55 546 1
20 546 1
26 546 1
33 546 1
80 546 1
81 546 1
65 546 1
13 546 1
32 546 1
43 547 1
4 547 1
11 547 1
15 547 1
16 547 1
18 547 1
36 547 1
55 547 1
26 547 1
82 547 1
83 547 1
84 547 1
30 547 1
85 547 1
86 547 1
59 547 1
2 547 1
87 547 1
80 547 1
13 547 1
66 547 1
14 547 1
67 547 1
88 547 1
89 547 1
70 547 1
90 547 1
75 547 1
91 547 1
92 547 1
93 547 1
32 547 1
94 547 1
79 548 1
47 548 1
11 548 1
48 548 1
15 548 1
54 548 1
95 548 1
55 548 1
22 548 1
56 548 1
24 548 1
26 548 1
96 548 1
33 548 1
0 548 1
58 548 1
2 548 1
97 548 1
98 548 1
99 548 1
67 548 1
70 548 1
71 548 1
100 548 1
101 548 1
32 548 1
1 548 1
3 549 1
102 549 1
103 549 1
104 549 1
105 549 1
18 549 1
106 549 1
26 549 1
0 549 1
58 549 1
59 549 1
107 549 1
72 549 1
108 549 1
109 549 1
1 549 1
10 549 1
12 549 1
48 549 1
57 549 1
110 549 1
111 549 1
112 549 1
80 549 1
39 549 1
113 549 1
67 549 1
114 549 1
37 549 1
42 549 1
105 550 1
24 550 1
115 550 1
97 550 1
63 550 1
116 550 1
1 550 1
47 550 1
54 550 1
85 550 1
2 550 1
61 550 1
62 550 1
80 550 1
99 550 1
113 550 1
117 550 1
71 550 1
74 550 1
103 551 1
24 551 1
88 551 1
3 552 1
18 552 1
23 552 1
24 552 1
26 552 1
31 552 1
118 552 1
19 552 1
91 552 1
32 552 1
4 552 1
9 552 1
119 552 1
12 552 1
120 552 1
121 552 1
54 552 1
57 552 1
110 552 1
33 552 1
38 552 1
65 552 1
13 552 1
37 552 1
100 553 1
108 553 1
91 553 1
1 553 1
2 553 1
3 554 1
8 554 1
46 554 1
122 554 1
123 554 1
105 554 1
16 554 1
49 554 1
124 554 1
52 554 1
36 554 1
95 554 1
24 554 1
26 554 1
125 554 1
126 554 1
84 554 1
96 554 1
127 554 1
59 554 1
128 554 1
129 554 1
130 554 1
131 554 1
132 554 1
133 554 1
134 554 1
69 554 1
19 554 1
100 554 1
108 554 1
92 554 1
1 554 1
135 554 1
136 554 1
137 554 1
138 554 1
139 554 1
140 554 1
4 554 1
9 554 1
47 554 1
35 554 1
11 554 1
141 554 1
48 554 1
15 554 1
121 554 1
54 554 1
142 554 1
33 554 1
143 554 1
144 554 1
62 554 1
145 554 1
99 554 1
7 554 1
13 554 1
146 554 1
147 554 1
148 554 1
149 554 1
74 554 1
150 554 1
29 554 1
151 554 1
37 554 1
106 555 1
152 555 1
153 555 1
94 555 1
154 555 1
155 556 1
156 556 1
157 556 1
46 556 1
18 556 1
49 556 1
95 556 1
24 556 1
26 556 1
158 556 1
30 556 1
159 556 1
96 556 1
86 556 1
58 556 1
41 556 1
160 556 1
161 556 1
162 556 1
97 556 1
163 556 1
19 556 1
72 556 1
164 556 1
101 556 1
109 556 1
1 556 1
45 556 1
4 556 1
9 556 1
165 556 1
11 556 1
166 556 1
48 556 1
167 556 1
54 556 1
168 556 1
169 556 1
170 556 1
57 556 1
110 556 1
85 556 1
33 556 1
111 556 1
112 556 1
171 556 1
172 556 1
80 556 1
99 556 1
39 556 1
13 556 1
173 556 1
67 556 1
90 556 1
147 556 1
21 556 1
75 556 1
174 556 1
175 556 1
176 556 1
42 556 1
3 557 1
44 557 1
18 557 1
23 557 1
30 557 1
177 557 1
115 557 1
86 557 1
41 557 1
130 557 1
178 557 1
118 557 1
179 557 1
100 557 1
108 557 1
91 557 1
180 557 1
135 557 1
136 557 1
76 557 1
43 557 1
4 557 1
40 557 1
181 557 1
10 557 1
119 557 1
47 557 1
48 557 1
12 557 1
15 557 1
54 557 1
55 557 1
22 557 1
85 557 1
111 557 1
182 557 1
87 557 1
14 557 1
71 557 1
149 557 1
74 557 1
150 557 1
25 557 1
183 557 1
175 557 1
37 557 1
42 557 1
3 558 1
157 558 1
123 558 1
16 558 1
18 558 1
49 558 1
184 558 1
36 558 1
95 558 1
152 558 1
24 558 1
26 558 1
125 558 1
31 558 1
41 558 1
130 558 1
5 558 1
185 558 1
118 558 1
19 558 1
100 558 1
1 558 1
94 558 1
138 558 1
186 558 1
140 558 1
40 558 1
9 558 1
119 558 1
47 558 1
55 558 1
187 558 1
20 558 1
22 558 1
57 558 1
188 558 1
33 558 1
111 558 1
172 558 1
189 558 1
144 558 1
62 558 1
145 558 1
80 558 1
39 558 1
190 558 1
65 558 1
173 558 1
88 558 1
90 558 1
73 558 1
29 558 1
191 558 1
42 558 1
3 559 1
