6189 108705
0 245 1
1 245 1
2 246 1
3 246 1
4 246 1
5 246 1
6 246 1
7 246 1
8 246 1
9 246 1
1 246 1
10 246 1
11 246 1
12 246 1
13 246 1
14 246 1
15 246 1
16 246 1
17 246 1
18 246 1
3 247 1
4 247 1
13 247 1
4 248 1
1 248 1
13 248 1
19 249 1
20 249 1
21 249 1
22 249 1
23 249 1
12 249 1
24 249 1
25 249 1
26 249 1
27 249 1
1 249 1
28 249 1
29 249 1
18 249 1
4 250 1
30 250 1
31 250 1
32 250 1
16 250 1
3 251 1
13 251 1
30 251 1
8 251 1
1 251 1
33 252 1
12 252 1
34 252 1
35 252 1
0 252 1
24 252 1
36 252 1
37 252 1
4 252 1
8 252 1
38 252 1
1 252 1
31 252 1
39 252 1
21 253 1
0 253 1
4 253 1
27 253 1
1 253 1
32 253 1
40 253 1
16 253 1
3 254 1
19 254 1
41 254 1
42 254 1
10 254 1
11 254 1
43 254 1
13 254 1
44 254 1
24 254 1
45 254 1
46 254 1
7 254 1
47 254 1
48 254 1
32 254 1
28 254 1
16 254 1
49 254 1
17 254 1
18 254 1
50 254 1
21 254 1
0 254 1
51 254 1
52 254 1
53 254 1
4 254 1
8 254 1
54 254 1
40 254 1
55 254 1
56 255 1
57 255 1
18 255 1
25 255 1
8 255 1
29 255 1
58 255 1
41 256 1
40 256 1
3 257 1
59 257 1
13 257 1
39 257 1
17 257 1
60 257 1
61 257 1
0 257 1
52 257 1
4 257 1
8 257 1
1 257 1
40 257 1
62 258 1
39 258 1
3 259 1
6 259 1
22 259 1
13 259 1
63 259 1
35 259 1
24 259 1
64 259 1
65 259 1
66 259 1
31 259 1
17 259 1
67 259 1
18 259 1
21 259 1
68 259 1
61 259 1
12 259 1
69 259 1
0 259 1
70 259 1
25 259 1
71 259 1
4 259 1
30 259 1
8 259 1
54 259 1
1 259 1
72 259 1
29 259 1
14 259 1
73 259 1
43 260 1
31 260 1
22 261 1
10 261 1
13 261 1
74 261 1
45 261 1
75 261 1
46 261 1
76 261 1
28 261 1
77 261 1
49 261 1
17 261 1
18 261 1
21 261 1
78 261 1
79 261 1
0 261 1
51 261 1
4 261 1
8 261 1
1 261 1
3 262 1
10 262 1
13 262 1
56 262 1
57 262 1
31 262 1
39 262 1
16 262 1
17 262 1
80 262 1
81 262 1
82 262 1
83 262 1
60 262 1
21 262 1
0 262 1
51 262 1
53 262 1
37 262 1
84 262 1
4 262 1
30 262 1
8 262 1
1 262 1
72 262 1
29 262 1
85 262 1
55 262 1
86 262 1
3 263 1
22 263 1
59 263 1
13 263 1
46 263 1
18 263 1
87 263 1
60 263 1
0 263 1
51 263 1
70 263 1
25 263 1
71 263 1
4 263 1
8 263 1
1 263 1
14 263 1
15 263 1
88 263 1
3 264 1
21 264 1
30 264 1
8 264 1
1 264 1
89 265 1
71 265 1
4 265 1
3 266 1
90 266 1
91 266 1
22 266 1
10 266 1
13 266 1
35 266 1
66 266 1
17 266 1
87 266 1
83 266 1
92 266 1
69 266 1
51 266 1
93 266 1
84 266 1
25 266 1
4 266 1
30 266 1
94 266 1
8 266 1
95 266 1
29 266 1
14 266 1
55 266 1
3 267 1
41 267 1
22 267 1
96 267 1
43 267 1
13 267 1
35 267 1
45 267 1
97 267 1
47 267 1
76 267 1
98 267 1
99 267 1
100 267 1
49 267 1
17 267 1
21 267 1
69 267 1
51 267 1
52 267 1
71 267 1
101 267 1
95 267 1
72 267 1
15 267 1
55 267 1
3 268 1
62 268 1
56 268 1
31 268 1
32 268 1
16 268 1
0 268 1
8 268 1
1 268 1
15 268 1
85 268 1
22 269 1
102 269 1
13 269 1
103 269 1
104 269 1
17 269 1
83 269 1
93 269 1
4 269 1
30 269 1
94 269 1
8 269 1
1 269 1
55 269 1
3 270 1
91 270 1
13 270 1
105 270 1
56 270 1
63 270 1
35 270 1
65 270 1
106 270 1
17 270 1
107 270 1
18 270 1
82 270 1
83 270 1
61 270 1
69 270 1
108 270 1
37 270 1
84 270 1
70 270 1
71 270 1
54 270 1
27 270 1
14 270 1
58 270 1
15 270 1
73 270 1
19 271 1
41 271 1
59 271 1
48 271 1
32 271 1
28 271 1
21 271 1
109 271 1
52 271 1
5 271 1
3 272 1
13 272 1
75 272 1
47 272 1
110 272 1
31 272 1
32 272 1
21 272 1
0 272 1
51 272 1
111 272 1
4 272 1
112 272 1
41 273 1
113 273 1
59 273 1
13 273 1
46 273 1
32 273 1
114 273 1
9 273 1
51 273 1
52 273 1
115 273 1
53 273 1
4 273 1
30 273 1
8 273 1
116 273 1
95 273 1
86 273 1
39 274 1
21 274 1
0 274 1
1 274 1
3 275 1
117 275 1
43 275 1
56 275 1
18 275 1
118 275 1
4 275 1
116 275 1
19 276 1
31 276 1
21 276 1
111 276 1
1 276 1
19 277 1
41 277 1
119 277 1
120 277 1
62 277 1
43 277 1
13 277 1
121 277 1
57 277 1
24 277 1
46 277 1
97 277 1
47 277 1
48 277 1
122 277 1
123 277 1
26 277 1
98 277 1
32 277 1
49 277 1
67 277 1
114 277 1
124 277 1
125 277 1
69 277 1
0 277 1
51 277 1
126 277 1
115 277 1
53 277 1
111 277 1
4 277 1
8 277 1
116 277 1
95 277 1
127 277 1
128 277 1
15 277 1
73 277 1
85 277 1
13 278 1
18 278 1
92 278 1
71 278 1
14 278 1
41 279 1
119 279 1
129 279 1
23 279 1
10 279 1
130 279 1
43 279 1
13 279 1
121 279 1
47 279 1
48 279 1
99 279 1
32 279 1
131 279 1
132 279 1
53 279 1
25 279 1
4 279 1
5 279 1
133 279 1
29 279 1
134 279 1
85 279 1
135 279 1
2 280 1
3 280 1
19 280 1
22 280 1
10 280 1
130 280 1
13 280 1
105 280 1
56 280 1
35 280 1
74 280 1
121 280 1
103 280 1
46 280 1
7 280 1
122 280 1
136 280 1
32 280 1
49 280 1
17 280 1
137 280 1
80 280 1
18 280 1
50 280 1
138 280 1
21 280 1
0 280 1
51 280 1
53 280 1
111 280 1
84 280 1
25 280 1
71 280 1
4 280 1
30 280 1
133 280 1
8 280 1
54 280 1
116 280 1
27 280 1
1 280 1
72 280 1
139 280 1
14 280 1
140 280 1
40 280 1
15 280 1
73 280 1
85 280 1
55 280 1
3 281 1
32 281 1
16 281 1
18 281 1
4 281 1
85 281 1
3 282 1
119 282 1
18 282 1
21 283 1
25 283 1
30 283 1
29 283 1
96 284 1
59 284 1
13 284 1
105 284 1
141 284 1
35 284 1
121 284 1
44 284 1
45 284 1
46 284 1
104 284 1
142 284 1
48 284 1
136 284 1
143 284 1
123 284 1
32 284 1
144 284 1
16 284 1
17 284 1
81 284 1
18 284 1
114 284 1
50 284 1
83 284 1
145 284 1
60 284 1
79 284 1
126 284 1
52 284 1
115 284 1
53 284 1
146 284 1
111 284 1
84 284 1
4 284 1
147 284 1
116 284 1
148 284 1
139 284 1
55 284 1
86 284 1
11 285 1
13 285 1
87 285 1
70 285 1
4 285 1
8 285 1
3 286 1
22 286 1
13 286 1
141 286 1
56 286 1
45 286 1
46 286 1
76 286 1
49 286 1
17 286 1
18 286 1
0 286 1
51 286 1
53 286 1
4 286 1
95 286 1
149 286 1
18 287 1
3 288 1
90 288 1
33 288 1
13 288 1
24 288 1
47 288 1
48 288 1
76 288 1
98 288 1
32 288 1
16 288 1
49 288 1
17 288 1
0 288 1
53 288 1
108 288 1
71 288 1
4 288 1
150 288 1
43 289 1
56 289 1
31 289 1
98 289 1
99 289 1
151 289 1
16 289 1
152 289 1
0 289 1
126 289 1
53 289 1
153 289 1
87 290 1
70 290 1
88 290 1
0 291 1
111 291 1
2 292 1
3 292 1
19 292 1
6 292 1
42 292 1
119 292 1
10 292 1
59 292 1
11 292 1
13 292 1
65 292 1
97 292 1
48 292 1
76 292 1
32 292 1
28 292 1
16 292 1
49 292 1
154 292 1
17 292 1
82 292 1
114 292 1
83 292 1
152 292 1
92 292 1
60 292 1
138 292 1
21 292 1
68 292 1
12 292 1
69 292 1
34 292 1
53 292 1
70 292 1
8 292 1
14 292 1
155 292 1
55 292 1
91 292 1
22 292 1
33 292 1
56 292 1
63 292 1
35 292 1
103 292 1
44 292 1
24 292 1
136 292 1
143 292 1
123 292 1
156 292 1
26 292 1
157 292 1
31 292 1
67 292 1
107 292 1
18 292 1
9 292 1
158 292 1
159 292 1
0 292 1
51 292 1
52 292 1
93 292 1
115 292 1
111 292 1
84 292 1
4 292 1
30 292 1
95 292 1
27 292 1
1 292 1
40 292 1
15 292 1
153 292 1
86 292 1
3 293 1
41 293 1
10 293 1
13 293 1
76 293 1
17 293 1
55 293 1
0 293 1
51 293 1
52 293 1
4 293 1
1 293 1
86 293 1
3 294 1
87 294 1
31 294 1
21 295 1
3 296 1
6 296 1
10 296 1
17 296 1
8 296 1
38 296 1
55 296 1
61 296 1
0 296 1
1 296 1
40 296 1
3 297 1
160 297 1
10 297 1
13 297 1
121 297 1
97 297 1
47 297 1
48 297 1
122 297 1
76 297 1
98 297 1
32 297 1
28 297 1
100 297 1
89 297 1
16 297 1
49 297 1
154 297 1
17 297 1
81 297 1
83 297 1
92 297 1
21 297 1
68 297 1
69 297 1
161 297 1
162 297 1
53 297 1
37 297 1
71 297 1
38 297 1
72 297 1
29 297 1
149 297 1
139 297 1
128 297 1
134 297 1
14 297 1
163 297 1
55 297 1
90 297 1
91 297 1
22 297 1
164 297 1
56 297 1
63 297 1
74 297 1
103 297 1
46 297 1
136 297 1
26 297 1
165 297 1
80 297 1
166 297 1
18 297 1
9 297 1
158 297 1
51 297 1
93 297 1
111 297 1
108 297 1
4 297 1
101 297 1
95 297 1
27 297 1
1 297 1
58 297 1
15 297 1
73 297 1
85 297 1
153 297 1
86 297 1
43 298 1
167 298 1
32 299 1
8 299 1
18 299 1
0 299 1
119 300 1
10 300 1
21 300 1
12 300 1
8 300 1
33 300 1
35 300 1
0 300 1
27 300 1
1 300 1
3 301 1
13 301 1
30 301 1
27 301 1
15 301 1
86 301 1
19 302 1
10 302 1
130 302 1
13 302 1
57 302 1
45 302 1
97 302 1
47 302 1
48 302 1
106 302 1
168 302 1
76 302 1
32 302 1
28 302 1
16 302 1
169 302 1
49 302 1
17 302 1
81 302 1
83 302 1
21 302 1
53 302 1
25 302 1
8 302 1
54 302 1
149 302 1
128 302 1
14 302 1
55 302 1
22 302 1
33 302 1
56 302 1
63 302 1
46 302 1
26 302 1
80 302 1
18 302 1
9 302 1
61 302 1
0 302 1
51 302 1
52 302 1
115 302 1
93 302 1
111 302 1
4 302 1
5 302 1
95 302 1
27 302 1
112 302 1
1 302 1
15 302 1
86 302 1
19 303 1
41 303 1
119 303 1
11 303 1
43 303 1
121 303 1
45 303 1
75 303 1
97 303 1
47 303 1
32 303 1
28 303 1
16 303 1
49 303 1
170 303 1
21 303 1
162 303 1
132 303 1
53 303 1
147 303 1
8 303 1
171 303 1
172 303 1
39 303 1
80 303 1
20 303 1
173 303 1
174 303 1
175 303 1
126 303 1
52 303 1
111 303 1
101 303 1
5 303 1
112 303 1
1 303 1
40 303 1
85 303 1
3 304 1
65 304 1
104 304 1
98 304 1
154 304 1
50 304 1
21 304 1
69 304 1
37 304 1
25 304 1
71 304 1
176 304 1
38 304 1
14 304 1
55 304 1
90 304 1
74 304 1
177 304 1
24 304 1
26 304 1
67 304 1
107 304 1
18 304 1
158 304 1
73 304 1
88 305 1
30 305 1
41 306 1
42 306 1
120 306 1
10 306 1
59 306 1
62 306 1
11 306 1
43 306 1
13 306 1
45 306 1
75 306 1
47 306 1
110 306 1
48 306 1
122 306 1
32 306 1
28 306 1
178 306 1
16 306 1
49 306 1
17 306 1
125 306 1
92 306 1
21 306 1
69 306 1
34 306 1
132 306 1
53 306 1
25 306 1
150 306 1
8 306 1
38 306 1
128 306 1
56 306 1
74 306 1
24 306 1
64 306 1
171 306 1
156 306 1
77 306 1
165 306 1
137 306 1
131 306 1
107 306 1
179 306 1
180 306 1
111 306 1
36 306 1
4 306 1
101 306 1
133 306 1
95 306 1
1 306 1
127 306 1
15 306 1
73 306 1
85 306 1
86 306 1
45 307 1
32 307 1
12 307 1
25 307 1
88 307 1
165 307 1
30 307 1
85 307 1
8 308 1
88 308 1
90 308 1
4 308 1
1 308 1
3 309 1
19 309 1
13 309 1
48 309 1
106 309 1
17 309 1
50 309 1
53 309 1
54 309 1
56 309 1
24 309 1
136 309 1
18 309 1
4 309 1
30 309 1
1 309 1
15 309 1
85 309 1
13 310 1
121 310 1
8 310 1
18 310 1
30 310 1
1 310 1
15 310 1
19 311 1
10 311 1
62 311 1
11 311 1
121 311 1
7 311 1
181 311 1
156 311 1
85 311 1
42 312 1
16 312 1
153 312 1
119 313 1
13 313 1
35 313 1
18 313 1
27 313 1
1 313 1
40 313 1
89 314 1
25 314 1
88 314 1
30 314 1
3 315 1
19 315 1
21 315 1
18 316 1
4 316 1
30 316 1
1 316 1
3 317 1
6 317 1
13 317 1
106 317 1
100 317 1
17 317 1
81 317 1
8 317 1
29 317 1
149 317 1
14 317 1
55 317 1
22 317 1
56 317 1
18 317 1
51 317 1
93 317 1
84 317 1
4 317 1
30 317 1
95 317 1
182 317 1
1 317 1
183 317 1
41 318 1
23 318 1
75 318 1
98 318 1
28 318 1
21 318 1
25 318 1
38 318 1
29 318 1
134 318 1
74 318 1
177 318 1
18 318 1
30 318 1
13 319 1
49 319 1
17 319 1
184 319 1
83 319 1
103 319 1
151 319 1
4 319 1
23 320 1
21 320 1
39 320 1
30 320 1
27 320 1
40 320 1
89 321 1
30 321 1
45 322 1
171 322 1
18 322 1
153 322 1
3 323 1
6 323 1
23 323 1
98 323 1
21 323 1
25 323 1
14 323 1
22 323 1
74 323 1
26 323 1
39 323 1
107 323 1
185 323 1
186 323 1
10 324 1
16 324 1
12 324 1
8 324 1
18 324 1
0 324 1
4 324 1
1 324 1
187 325 1
41 325 1
62 325 1
13 325 1
45 325 1
75 325 1
97 325 1
47 325 1
48 325 1
122 325 1
32 325 1
28 325 1
49 325 1
21 325 1
78 325 1
109 325 1
174 325 1
175 325 1
