5693 60861
0 171 1
1 171 1
2 171 1
3 171 1
4 171 1
5 171 1
0 172 1
6 172 1
4 172 1
7 172 1
8 172 1
9 172 1
10 172 1
11 173 1
12 173 1
13 174 1
14 174 1
15 174 1
16 174 1
17 174 1
18 174 1
19 174 1
20 174 1
21 174 1
3 175 1
22 175 1
23 175 1
4 175 1
24 175 1
25 175 1
26 175 1
27 175 1
0 176 1
16 177 1
28 177 1
29 177 1
27 177 1
30 177 1
13 178 1
4 178 1
0 179 1
31 179 1
32 179 1
4 179 1
16 179 1
33 179 1
34 179 1
35 179 1
19 179 1
36 179 1
3 179 1
13 179 1
12 179 1
10 179 1
37 179 1
9 179 1
4 180 1
38 180 1
17 180 1
20 180 1
31 181 1
0 182 1
4 182 1
30 182 1
39 182 1
40 182 1
3 182 1
41 182 1
30 183 1
0 184 1
2 184 1
14 184 1
42 184 1
16 184 1
43 184 1
44 184 1
45 184 1
27 184 1
46 184 1
3 184 1
13 184 1
41 184 1
47 184 1
48 184 1
17 184 1
49 184 1
50 184 1
51 184 1
20 184 1
5 184 1
52 184 1
53 185 1
32 185 1
27 185 1
14 186 1
4 186 1
54 186 1
55 186 1
56 186 1
19 186 1
57 186 1
36 186 1
13 186 1
58 186 1
59 186 1
0 187 1
53 187 1
4 187 1
38 187 1
27 187 1
7 187 1
8 187 1
30 187 1
39 187 1
40 187 1
3 187 1
13 187 1
12 187 1
28 187 1
11 187 1
51 187 1
20 187 1
0 188 1
14 188 1
60 188 1
40 188 1
3 188 1
48 188 1
17 188 1
49 188 1
59 188 1
5 188 1
61 188 1
0 189 1
13 189 1
53 190 1
49 190 1
0 191 1
62 191 1
63 191 1
14 191 1
45 191 1
34 191 1
60 191 1
64 191 1
3 191 1
47 191 1
17 191 1
37 191 1
20 191 1
5 191 1
65 191 1
0 192 1
31 192 1
14 192 1
32 192 1
66 192 1
35 192 1
56 192 1
67 192 1
68 192 1
36 192 1
13 192 1
47 192 1
49 192 1
37 192 1
69 192 1
59 192 1
51 192 1
0 193 1
4 193 1
70 193 1
27 193 1
14 194 1
37 194 1
0 195 1
63 195 1
53 195 1
70 195 1
42 195 1
44 195 1
71 195 1
72 195 1
73 195 1
3 195 1
41 195 1
47 195 1
12 195 1
74 195 1
28 195 1
48 195 1
49 195 1
37 195 1
75 195 1
5 195 1
52 195 1
31 196 1
1 196 1
34 196 1
19 196 1
13 196 1
76 196 1
0 197 1
6 197 1
55 197 1
35 197 1
77 197 1
27 197 1
13 197 1
10 197 1
31 198 1
11 198 1
59 198 1
9 198 1
30 199 1
13 199 1
0 200 1
78 200 1
32 200 1
34 200 1
3 200 1
79 200 1
10 200 1
