6762 298887
0 726 1
1 726 1
2 726 1
3 726 1
4 726 1
5 726 1
6 726 1
7 726 1
8 726 1
9 727 1
10 727 1
11 727 1
12 727 1
13 727 1
14 727 1
15 727 1
16 727 1
17 727 1
18 727 1
19 727 1
20 727 1
21 727 1
22 727 1
23 727 1
24 727 1
25 727 1
26 727 1
27 727 1
28 727 1
29 727 1
30 727 1
31 727 1
32 727 1
33 727 1
34 727 1
35 727 1
36 727 1
37 727 1
38 727 1
39 727 1
40 727 1
41 727 1
42 727 1
43 727 1
44 727 1
45 727 1
46 727 1
47 727 1
12 728 1
48 728 1
8 728 1
26 728 1
28 728 1
31 728 1
1 728 1
2 728 1
44 728 1
49 728 1
12 729 1
50 729 1
8 729 1
26 729 1
31 729 1
5 729 1
51 729 1
52 729 1
7 729 1
53 729 1
54 730 1
55 730 1
56 730 1
57 730 1
58 730 1
59 730 1
11 730 1
60 730 1
61 730 1
62 730 1
63 730 1
64 730 1
65 730 1
66 730 1
67 730 1
68 730 1
69 730 1
70 730 1
33 730 1
71 730 1
72 730 1
73 730 1
74 730 1
75 730 1
76 730 1
77 730 1
6 730 1
78 730 1
48 730 1
79 730 1
23 730 1
80 730 1
81 730 1
82 730 1
83 730 1
84 730 1
40 730 1
85 730 1
86 730 1
7 730 1
87 730 1
88 730 1
89 730 1
46 730 1
90 730 1
91 731 1
92 731 1
93 731 1
4 731 1
17 731 1
94 731 1
67 731 1
95 731 1
96 731 1
97 731 1
98 731 1
44 731 1
49 731 1
99 731 1
100 731 1
12 731 1
101 731 1
102 731 1
103 731 1
104 731 1
105 731 1
106 731 1
25 731 1
107 731 1
108 731 1
109 731 1
0 731 1
110 731 1
35 731 1
111 731 1
112 731 1
113 731 1
39 731 1
114 731 1
11 732 1
61 732 1
20 732 1
22 732 1
67 732 1
31 732 1
33 732 1
38 732 1
2 732 1
115 732 1
78 732 1
48 732 1
26 732 1
55 733 1
116 733 1
11 733 1
20 733 1
117 733 1
28 733 1
67 733 1
118 733 1
119 733 1
33 733 1
37 733 1
120 733 1
121 733 1
122 733 1
123 733 1
72 733 1
124 733 1
125 733 1
126 733 1
44 733 1
9 733 1
115 733 1
127 733 1
12 733 1
6 733 1
18 733 1
79 733 1
48 733 1
128 733 1
23 733 1
105 733 1
106 733 1
129 733 1
26 733 1
130 733 1
29 733 1
131 733 1
35 733 1
83 733 1
132 733 1
7 733 1
133 733 1
116 734 1
61 734 1
28 734 1
67 734 1
70 734 1
33 734 1
95 734 1
134 734 1
135 734 1
74 734 1
124 734 1
136 734 1
12 734 1
137 734 1
138 734 1
6 734 1
79 734 1
103 734 1
139 734 1
26 734 1
109 734 1
140 734 1
141 734 1
132 734 1
39 734 1
7 734 1
10 735 1
142 735 1
143 735 1
144 735 1
145 735 1
14 735 1
93 735 1
146 735 1
147 735 1
20 735 1
21 735 1
148 735 1
149 735 1
150 735 1
151 735 1
24 735 1
152 735 1
153 735 1
27 735 1
28 735 1
154 735 1
31 735 1
1 735 1
155 735 1
33 735 1
95 735 1
156 735 1
2 735 1
157 735 1
74 735 1
158 735 1
159 735 1
160 735 1
49 735 1
136 735 1
161 735 1
9 735 1
162 735 1
163 735 1
164 735 1
13 735 1
165 735 1
15 735 1
166 735 1
167 735 1
19 735 1
104 735 1
8 735 1
168 735 1
169 735 1
107 735 1
170 735 1
30 735 1
109 735 1
171 735 1
0 735 1
172 735 1
173 735 1
174 735 1
175 735 1
176 735 1
112 735 1
83 735 1
113 735 1
39 735 1
177 735 1
178 735 1
51 735 1
41 735 1
179 735 1
180 735 1
181 735 1
88 735 1
46 735 1
90 735 1
182 735 1
183 735 1
184 735 1
92 735 1
185 735 1
4 735 1
16 735 1
186 735 1
187 735 1
118 735 1
188 735 1
189 735 1
71 735 1
190 735 1
120 735 1
72 735 1
191 735 1
124 735 1
192 735 1
193 735 1
44 735 1
194 735 1
195 735 1
196 735 1
197 735 1
198 735 1
199 735 1
200 735 1
115 735 1
201 735 1
12 735 1
202 735 1
50 735 1
203 735 1
204 735 1
205 735 1
6 735 1
48 735 1
79 735 1
206 735 1
128 735 1
139 735 1
207 735 1
208 735 1
25 735 1
26 735 1
108 735 1
209 735 1
210 735 1
35 735 1
111 735 1
211 735 1
212 735 1
213 735 1
141 735 1
5 735 1
214 735 1
53 735 1
215 735 1
216 735 1
47 735 1
17 736 1
147 736 1
28 736 1
1 736 1
95 736 1
134 736 1
217 736 1
218 736 1
107 736 1
219 736 1
220 736 1
46 736 1
90 736 1
185 736 1
221 736 1
120 736 1
222 736 1
115 736 1
205 736 1
223 736 1
26 736 1
35 736 1
141 736 1
224 736 1
45 736 1
225 737 1
47 737 1
10 738 1
145 738 1
20 738 1
21 738 1
31 738 1
1 738 1
32 738 1
155 738 1
226 738 1
33 738 1
159 738 1
136 738 1
164 738 1
167 738 1
227 738 1
8 738 1
30 738 1
171 738 1
172 738 1
174 738 1
228 738 1
40 738 1
41 738 1
116 738 1
11 738 1
229 738 1
16 738 1
230 738 1
71 738 1
190 738 1
38 738 1
231 738 1
44 738 1
200 738 1
12 738 1
232 738 1
78 738 1
233 738 1
48 738 1
208 738 1
25 738 1
26 738 1
234 738 1
212 738 1
5 738 1
235 738 1
216 738 1
236 739 1
237 739 1
238 739 1
239 739 1
7 739 1
240 739 1
66 739 1
35 739 1
236 740 1
241 740 1
147 740 1
63 740 1
148 740 1
242 740 1
28 740 1
31 740 1
155 740 1
33 740 1
243 740 1
134 740 1
244 740 1
245 740 1
246 740 1
13 740 1
8 740 1
105 740 1
40 740 1
41 740 1
220 740 1
88 740 1
46 740 1
90 740 1
247 740 1
11 740 1
22 740 1
187 740 1
66 740 1
118 740 1
38 740 1
96 740 1
124 740 1
44 740 1
199 740 1
12 740 1
48 740 1
26 740 1
248 740 1
35 740 1
36 740 1
249 741 1
241 741 1
250 741 1
242 741 1
251 741 1
252 741 1
237 741 1
253 741 1
245 741 1
246 741 1
254 741 1
105 741 1
133 741 1
255 741 1
200 741 1
256 741 1
257 742 1
258 742 1
259 742 1
260 742 1
61 742 1
14 742 1
261 742 1
20 742 1
63 742 1
24 742 1
28 742 1
31 742 1
155 742 1
33 742 1
262 742 1
263 742 1
37 742 1
156 742 1
2 742 1
121 742 1
122 742 1
74 742 1
52 742 1
158 742 1
159 742 1
264 742 1
136 742 1
161 742 1
265 742 1
266 742 1
163 742 1
267 742 1
