6949 320542
0 911 1
1 911 1
2 911 1
3 911 1
4 911 1
5 911 1
6 911 1
7 911 1
8 911 1
9 912 1
10 912 1
11 912 1
12 912 1
13 912 1
14 912 1
15 912 1
16 912 1
17 912 1
18 912 1
19 912 1
20 912 1
21 912 1
22 912 1
23 912 1
24 912 1
25 912 1
26 912 1
27 912 1
28 912 1
29 912 1
30 912 1
31 912 1
32 912 1
33 912 1
34 912 1
35 912 1
36 912 1
37 912 1
38 912 1
39 912 1
40 912 1
41 912 1
42 912 1
43 912 1
44 912 1
45 912 1
46 912 1
47 912 1
48 912 1
49 912 1
50 912 1
51 912 1
52 912 1
53 912 1
54 912 1
55 912 1
56 912 1
57 912 1
58 912 1
59 912 1
11 913 1
60 913 1
33 913 1
61 913 1
1 913 1
40 913 1
62 913 1
55 913 1
63 913 1
64 913 1
11 914 1
65 914 1
66 914 1
67 914 1
7 914 1
68 914 1
69 915 1
70 915 1
71 915 1
72 915 1
73 915 1
74 915 1
10 915 1
75 915 1
76 915 1
17 915 1
77 915 1
78 915 1
79 915 1
80 915 1
81 915 1
82 915 1
83 915 1
84 915 1
85 915 1
86 915 1
61 915 1
87 915 1
88 915 1
36 915 1
89 915 1
90 915 1
91 915 1
40 915 1
42 915 1
92 915 1
93 915 1
94 915 1
95 915 1
96 915 1
8 915 1
97 915 1
98 915 1
99 915 1
100 915 1
101 915 1
102 915 1
4 915 1
103 915 1
104 915 1
105 915 1
106 915 1
107 915 1
108 915 1
29 915 1
109 915 1
110 915 1
111 915 1
112 915 1
113 915 1
114 915 1
115 915 1
116 915 1
117 915 1
6 915 1
7 915 1
118 915 1
119 915 1
57 915 1
120 915 1
121 916 1
122 916 1
123 916 1
3 916 1
22 916 1
124 916 1
88 916 1
125 916 1
126 916 1
127 916 1
128 916 1
55 916 1
64 916 1
129 916 1
130 916 1
11 916 1
131 916 1
132 916 1
133 916 1
134 916 1
135 916 1
136 916 1
31 916 1
137 916 1
138 916 1
139 916 1
0 916 1
140 916 1
44 916 1
141 916 1
142 916 1
143 916 1
52 916 1
144 916 1
145 917 1
10 917 1
17 917 1
28 917 1
84 917 1
61 917 1
88 917 1
36 917 1
42 917 1
49 917 1
51 917 1
146 917 1
147 917 1
103 917 1
23 917 1
50 917 1
69 918 1
70 918 1
148 918 1
10 918 1
20 918 1
25 918 1
26 918 1
28 918 1
149 918 1
33 918 1
61 918 1
88 918 1
150 918 1
151 918 1
42 918 1
152 918 1
153 918 1
154 918 1
47 918 1
155 918 1
156 918 1
157 918 1
158 918 1
93 918 1
159 918 1
160 918 1
161 918 1
55 918 1
8 918 1
9 918 1
146 918 1
162 918 1
11 918 1
4 918 1
23 918 1
104 918 1
24 918 1
105 918 1
163 918 1
164 918 1
29 918 1
108 918 1
135 918 1
136 918 1
165 918 1
166 918 1
35 918 1
167 918 1
115 918 1
44 918 1
168 918 1
169 918 1
170 918 1
50 918 1
7 918 1
171 918 1
148 919 1
145 919 1
78 919 1
20 919 1
79 919 1
25 919 1
86 919 1
33 919 1
172 919 1
88 919 1
38 919 1
89 919 1
91 919 1
40 919 1
42 919 1
125 919 1
173 919 1
174 919 1
51 919 1
5 919 1
175 919 1
95 919 1
159 919 1
8 919 1
176 919 1
11 919 1
177 919 1
178 919 1
179 919 1
4 919 1
105 919 1
133 919 1
108 919 1
111 919 1
139 919 1
180 919 1
181 919 1
182 919 1
183 919 1
170 919 1
50 919 1
52 919 1
6 919 1
7 919 1
184 920 1
185 920 1
186 920 1
187 920 1
123 920 1
188 920 1
189 920 1
28 920 1
190 920 1
191 920 1
192 920 1
30 920 1
193 920 1
194 920 1
32 920 1
33 920 1
195 920 1
196 920 1
1 920 1
42 920 1
125 920 1
5 920 1
95 920 1
197 920 1
64 920 1
9 920 1
198 920 1
16 920 1
19 920 1
199 920 1
134 920 1
200 920 1
201 920 1
137 920 1
139 920 1
0 920 1
202 920 1
203 920 1
204 920 1
142 920 1
143 920 1
52 920 1
205 920 1
6 920 1
206 920 1
57 920 1
120 920 1
207 920 1
208 920 1
122 920 1
18 920 1
3 920 1
21 920 1
79 920 1
209 920 1
210 920 1
150 920 1
211 920 1
