6504 167409
0 523 1
1 523 1
2 523 1
3 523 1
4 523 1
5 523 1
6 524 1
7 524 1
8 524 1
9 524 1
10 524 1
11 524 1
12 524 1
13 524 1
14 524 1
15 524 1
16 524 1
17 524 1
18 524 1
19 524 1
20 524 1
21 524 1
22 524 1
23 524 1
24 524 1
25 524 1
26 524 1
27 524 1
28 524 1
29 524 1
30 524 1
31 524 1
32 524 1
7 525 1
18 525 1
33 525 1
20 525 1
1 525 1
34 525 1
35 525 1
36 525 1
37 525 1
29 525 1
38 525 1
7 526 1
39 526 1
40 526 1
5 526 1
41 527 1
42 527 1
43 527 1
44 527 1
45 527 1
46 527 1
47 527 1
48 527 1
49 527 1
50 527 1
51 527 1
52 527 1
53 527 1
54 527 1
55 527 1
56 527 1
57 527 1
4 527 1
58 527 1
14 527 1
59 527 1
60 527 1
61 527 1
62 527 1
63 527 1
5 527 1
64 527 1
65 527 1
31 527 1
66 527 1
67 527 1
68 528 1
69 528 1
70 528 1
11 528 1
3 528 1
71 528 1
12 528 1
72 528 1
73 528 1
51 528 1
20 528 1
74 528 1
75 528 1
76 528 1
77 528 1
78 528 1
29 528 1
38 528 1
79 528 1
80 528 1
7 528 1
81 528 1
82 528 1
83 528 1
84 528 1
85 528 1
86 528 1
87 528 1
88 528 1
16 528 1
89 528 1
90 528 1
91 528 1
0 528 1
92 528 1
22 528 1
93 528 1
94 528 1
95 528 1
26 528 1
96 528 1
51 529 1
25 529 1
58 529 1
41 530 1
97 530 1
98 530 1
18 530 1
51 530 1
99 530 1
100 530 1
24 530 1
101 530 1
102 530 1
54 530 1
103 530 1
104 530 1
105 530 1
29 530 1
6 530 1
106 530 1
7 530 1
4 530 1
13 530 1
107 530 1
14 530 1
87 530 1
88 530 1
108 530 1
19 530 1
109 530 1
22 530 1
110 530 1
5 530 1
97 531 1
18 531 1
51 531 1
20 531 1
53 531 1
74 531 1
111 531 1
112 531 1
103 531 1
7 531 1
113 531 1
4 531 1
84 531 1
91 531 1
114 531 1
115 531 1
110 531 1
26 531 1
5 531 1
116 532 1
117 532 1
70 532 1
118 532 1
119 532 1
120 532 1
121 532 1
15 532 1
122 532 1
123 532 1
17 532 1
18 532 1
124 532 1
20 532 1
1 532 1
74 532 1
125 532 1
38 532 1
126 532 1
6 532 1
127 532 1
9 532 1
128 532 1
10 532 1
86 532 1
129 532 1
130 532 1
89 532 1
91 532 1
0 532 1
131 532 1
132 532 1
94 532 1
95 532 1
26 532 1
133 532 1
31 532 1
66 532 1
134 532 1
135 532 1
69 532 1
11 532 1
3 532 1
136 532 1
137 532 1
99 532 1
138 532 1
101 532 1
54 532 1
139 532 1
103 532 1
140 532 1
40 532 1
