6422 211428
0 404 1
1 404 1
2 404 1
3 404 1
4 404 1
5 405 1
6 405 1
7 405 1
8 405 1
9 405 1
10 405 1
11 405 1
12 405 1
13 405 1
14 405 1
15 405 1
16 405 1
17 405 1
4 405 1
18 405 1
19 405 1
20 405 1
21 405 1
22 405 1
23 405 1
24 405 1
25 405 1
26 405 1
27 405 1
28 405 1
29 405 1
30 405 1
31 405 1
32 405 1
8 406 1
33 406 1
3 406 1
21 406 1
25 406 1
0 406 1
8 407 1
34 407 1
3 407 1
4 407 1
21 407 1
25 407 1
2 407 1
35 407 1
36 407 1
37 407 1
38 408 1
7 408 1
39 408 1
40 408 1
41 408 1
42 408 1
24 408 1
43 408 1
26 408 1
44 408 1
45 408 1
46 408 1
33 408 1
47 408 1
48 408 1
4 408 1
49 408 1
50 408 1
30 408 1
51 408 1
32 408 1
8 409 1
52 409 1
53 409 1
20 409 1
54 409 1
29 409 1
7 410 1
40 410 1
15 410 1
18 410 1
25 410 1
26 410 1
0 410 1
55 410 1
52 410 1
33 410 1
13 410 1
4 410 1
21 410 1
7 411 1
15 411 1
56 411 1
24 411 1
26 411 1
57 411 1
58 411 1
1 411 1
59 411 1
60 411 1
61 411 1
55 411 1
8 411 1
47 411 1
33 411 1
13 411 1
4 411 1
53 411 1
62 411 1
21 411 1
49 411 1
63 411 1
40 412 1
26 412 1
1 412 1
45 412 1
64 412 1
8 412 1
65 412 1
47 412 1
66 412 1
48 412 1
4 412 1
21 412 1
54 412 1
67 412 1
29 412 1
6 413 1
68 413 1
39 413 1
69 413 1
11 413 1
70 413 1
71 413 1
15 413 1
16 413 1
72 413 1
19 413 1
22 413 1
25 413 1
73 413 1
26 413 1
74 413 1
0 413 1
75 413 1
45 413 1
76 413 1
77 413 1
78 413 1
64 413 1
79 413 1
80 413 1
81 413 1
10 413 1
82 413 1
83 413 1
84 413 1
85 413 1
14 413 1
3 413 1
86 413 1
23 413 1
54 413 1
87 413 1
88 413 1
89 413 1
90 413 1
49 413 1
29 413 1
91 413 1
92 413 1
35 413 1
31 413 1
93 413 1
94 413 1
51 413 1
32 413 1
95 413 1
96 413 1
97 413 1
12 413 1
98 413 1
44 413 1
99 413 1
1 413 1
100 413 1
101 413 1
102 413 1
103 413 1
104 413 1
55 413 1
105 413 1
8 413 1
106 413 1
34 413 1
107 413 1
108 413 1
13 413 1
33 413 1
47 413 1
109 413 1
66 413 1
110 413 1
111 413 1
112 413 1
20 413 1
21 413 1
113 413 1
114 413 1
115 413 1
67 413 1
2 413 1
116 413 1
37 413 1
117 413 1
118 414 1
119 414 1
32 414 1
97 414 1
55 414 1
13 414 1
21 414 1
120 414 1
121 415 1
67 415 1
6 416 1
69 416 1
15 416 1
16 416 1
122 416 1
25 416 1
73 416 1
123 416 1
26 416 1
78 416 1
64 416 1
81 416 1
84 416 1
3 416 1
23 416 1
87 416 1
88 416 1
89 416 1
30 416 1
31 416 1
7 416 1
124 416 1
12 416 1
44 416 1
99 416 1
1 416 1
125 416 1
101 416 1
104 416 1
8 416 1
126 416 1
33 416 1
13 416 1
4 416 1
112 416 1
20 416 1
21 416 1
127 416 1
115 416 1
67 416 1
2 416 1
128 416 1
117 416 1
129 417 1
130 417 1
131 417 1
129 418 1
42 418 1
25 418 1
73 418 1
26 418 1
132 418 1
58 418 1
133 418 1
3 418 1
53 418 1
30 418 1
31 418 1
119 418 1
51 418 1
32 418 1
134 418 1
7 418 1
135 418 1
18 418 1
24 418 1
1 418 1
8 418 1
52 418 1
33 418 1
13 418 1
110 418 1
4 418 1
21 418 1
136 419 1
137 419 1
138 419 1
53 419 1
63 419 1
104 419 1
139 420 1
140 420 1
141 420 1
142 420 1
40 420 1
11 420 1
143 420 1
15 420 1
42 420 1
19 420 1
25 420 1
73 420 1
26 420 1
144 420 1
145 420 1
74 420 1
0 420 1
59 420 1
60 420 1
45 420 1
36 420 1
77 420 1
78 420 1
64 420 1
79 420 1
146 420 1
147 420 1
80 420 1
148 420 1
149 420 1
150 420 1
151 420 1
152 420 1
81 420 1
131 420 1
83 420 1
14 420 1
3 420 1
153 420 1
154 420 1
155 420 1
87 420 1
89 420 1
90 420 1
49 420 1
30 420 1
156 420 1
91 420 1
92 420 1
35 420 1
31 420 1
93 420 1
157 420 1
94 420 1
158 420 1
51 420 1
32 420 1
95 420 1
134 420 1
7 420 1
159 420 1
124 420 1
160 420 1
121 420 1
161 420 1
162 420 1
163 420 1
164 420 1
44 420 1
99 420 1
165 420 1
1 420 1
100 420 1
125 420 1
46 420 1
166 420 1
103 420 1
167 420 1
104 420 1
55 420 1
168 420 1
169 420 1
105 420 1
8 420 1
170 420 1
34 420 1
107 420 1
171 420 1
108 420 1
172 420 1
173 420 1
174 420 1
175 420 1
126 420 1
176 420 1
47 420 1
33 420 1
13 420 1
109 420 1
66 420 1
111 420 1
4 420 1
177 420 1
20 420 1
62 420 1
21 420 1
178 420 1
127 420 1
179 420 1
115 420 1
2 420 1
180 420 1
128 420 1
181 420 1
182 420 1
183 420 1
37 420 1
184 420 1
185 420 1
117 420 1
186 420 1
6 421 1
40 421 1
69 421 1
136 421 1
15 421 1
16 421 1
19 421 1
25 421 1
187 421 1
118 421 1
74 421 1
59 421 1
60 421 1
36 421 1
188 421 1
189 421 1
83 421 1
190 421 1
191 421 1
3 421 1
53 421 1
192 421 1
50 421 1
29 421 1
30 421 1
31 421 1
93 421 1
94 421 1
193 421 1
194 421 1
195 421 1
196 421 1
134 421 1
7 421 1
12 421 1
1 421 1
100 421 1
102 421 1
197 421 1
104 421 1
8 421 1
52 421 1
107 421 1
198 421 1
199 421 1
33 421 1
13 421 1
111 421 1
4 421 1
200 421 1
201 421 1
127 421 1
115 421 1
202 421 1
2 421 1
116 421 1
37 421 1
184 421 1
203 421 1
6 422 1
142 422 1
40 422 1
15 422 1
42 422 1
204 422 1
122 422 1
25 422 1
73 422 1
26 422 1
0 422 1
60 422 1
36 422 1
64 422 1
80 422 1
81 422 1
84 422 1
14 422 1
190 422 1
3 422 1
86 422 1
155 422 1
23 422 1
205 422 1
87 422 1
88 422 1
89 422 1
30 422 1
92 422 1
158 422 1
63 422 1
51 422 1
32 422 1
43 422 1
44 422 1
1 422 1
100 422 1
166 422 1
167 422 1
104 422 1
55 422 1
8 422 1
34 422 1
107 422 1
174 422 1
175 422 1
176 422 1
33 422 1
13 422 1
109 422 1
66 422 1
111 422 1
4 422 1
62 422 1
21 422 1
114 422 1
179 422 1
28 422 1
2 422 1
37 422 1
142 423 1
15 423 1
123 423 1
26 423 1
36 423 1
86 423 1
88 423 1
30 423 1
52 423 1
13 423 1
4 423 1
37 423 1
136 424 1
59 424 1
206 424 1
94 424 1
125 424 1
8 424 1
6 425 1
69 425 1
11 425 1
15 425 1
42 425 1
19 425 1
25 425 1
26 425 1
27 425 1
58 425 1
0 425 1
75 425 1
45 425 1
36 425 1
78 425 1
207 425 1
208 425 1
131 425 1
209 425 1
191 425 1
210 425 1
192 425 1
30 425 1
31 425 1
63 425 1
51 425 1
196 425 1
7 425 1
211 425 1
12 425 1
18 425 1
43 425 1
212 425 1
213 425 1
44 425 1
165 425 1
100 425 1
214 425 1
197 425 1
55 425 1
105 425 1
106 425 1
8 425 1
65 425 1
52 425 1
34 425 1
107 425 1
171 425 1
198 425 1
215 425 1
199 425 1
47 425 1
33 425 1
13 425 1
66 425 1
216 425 1
200 425 1
21 425 1
114 425 1
2 425 1
182 425 1
116 425 1
37 425 1
117 425 1
186 425 1
139 426 1
140 426 1
6 426 1
68 426 1
40 426 1
69 426 1
143 426 1
15 426 1
42 426 1
16 426 1
217 426 1
25 426 1
73 426 1
218 426 1
123 426 1
219 426 1
137 426 1
26 426 1
58 426 1
74 426 1
59 426 1
75 426 1
138 426 1
220 426 1
133 426 1
36 426 1
77 426 1
78 426 1
64 426 1
79 426 1
221 426 1
189 426 1
152 426 1
81 426 1
82 426 1
14 426 1
222 426 1
191 426 1
3 426 1
153 426 1
223 426 1
155 426 1
23 426 1
88 426 1
89 426 1
90 426 1
224 426 1
50 426 1
30 426 1
156 426 1
91 426 1
92 426 1
35 426 1
31 426 1
93 426 1
157 426 1
158 426 1
119 426 1
225 426 1
63 426 1
51 426 1
95 426 1
134 426 1
7 426 1
159 426 1
97 426 1
124 426 1
12 426 1
18 426 1
163 426 1
44 426 1
99 426 1
165 426 1
100 426 1
101 426 1
46 426 1
166 426 1
103 426 1
167 426 1
104 426 1
55 426 1
105 426 1
106 426 1
34 426 1
107 426 1
171 426 1
108 426 1
172 426 1
174 426 1
175 426 1
126 426 1
176 426 1
47 426 1
33 426 1
109 426 1
66 426 1
111 426 1
216 426 1
112 426 1
200 426 1
20 426 1
62 426 1
21 426 1
113 426 1
178 426 1
114 426 1
226 426 1
115 426 1
227 426 1
28 426 1
2 426 1
182 426 1
116 426 1
37 426 1
185 426 1
186 426 1
129 427 1
6 427 1
130 427 1
73 427 1
118 427 1
0 427 1
77 427 1
81 427 1
14 427 1
3 427 1
53 427 1
54 427 1
29 427 1
225 427 1
95 427 1
1 427 1
104 427 1
33 427 1
13 427 1
66 427 1
4 427 1
20 427 1
28 427 1
202 427 1
6 428 1
40 428 1
71 428 1
42 428 1
228 428 1
25 428 1
187 428 1
26 428 1
27 428 1
0 428 1
229 428 1
45 428 1
64 428 1
230 428 1
81 428 1
84 428 1
191 428 1
3 428 1
154 428 1
86 428 1
23 428 1
205 428 1
87 428 1
88 428 1
89 428 1
192 428 1
31 428 1
119 428 1
196 428 1
97 428 1
12 428 1
161 428 1
99 428 1
125 428 1
214 428 1
104 428 1
55 428 1
105 428 1
106 428 1
8 428 1
52 428 1
198 428 1
215 428 1
47 428 1
33 428 1
13 428 1
4 428 1
21 428 1
114 428 1
116 428 1
6 429 1
231 429 1
69 429 1
136 429 1
15 429 1
25 429 1
232 429 1
118 429 1
27 429 1
132 429 1
58 429 1
145 429 1
0 429 1
209 429 1
233 429 1
191 429 1
3 429 1
155 429 1
89 429 1
31 429 1
93 429 1
158 429 1
119 429 1
32 429 1
195 429 1
95 429 1
196 429 1
7 429 1
97 429 1
12 429 1
161 429 1
197 429 1
105 429 1
106 429 1
126 429 1
66 429 1
110 429 1
48 429 1
21 429 1
127 429 1
120 429 1
28 429 1
2 429 1
37 429 1
39 430 1
122 430 1
85 430 1
3 430 1
54 430 1
98 430 1
101 430 1
9 430 1
108 430 1
2 430 1
40 431 1
25 431 1
26 431 1
77 431 1
14 431 1
3 431 1
53 431 1
54 431 1
51 431 1
1 431 1
100 431 1
234 431 1
105 431 1
8 431 1
34 431 1
235 431 1
21 431 1
2 431 1
182 431 1
37 431 1
40 432 1
236 432 1
15 432 1
122 432 1
25 432 1
26 432 1
36 432 1
64 432 1
146 432 1
147 432 1
80 432 1
3 432 1
54 432 1
87 432 1
89 432 1
30 432 1
35 432 1
237 432 1
7 432 1
17 432 1
44 432 1
99 432 1
