6555 209727
0 551 1
1 551 1
2 551 1
3 552 1
4 552 1
5 552 1
6 552 1
7 552 1
8 552 1
9 552 1
10 552 1
11 552 1
12 552 1
13 552 1
14 552 1
15 552 1
16 552 1
17 552 1
18 552 1
19 552 1
20 552 1
21 552 1
22 552 1
23 552 1
24 552 1
25 552 1
26 552 1
27 552 1
28 552 1
29 552 1
30 552 1
31 552 1
32 552 1
33 552 1
34 552 1
35 552 1
36 552 1
37 553 1
38 553 1
39 553 1
23 553 1
40 553 1
26 553 1
41 553 1
42 553 1
43 553 1
44 553 1
45 553 1
46 554 1
47 554 1
48 554 1
49 554 1
50 554 1
51 554 1
52 555 1
53 555 1
54 555 1
3 555 1
9 555 1
55 555 1
56 555 1
57 555 1
58 555 1
59 555 1
60 555 1
61 555 1
62 555 1
39 555 1
63 555 1
21 555 1
64 555 1
26 555 1
28 555 1
65 555 1
66 555 1
2 555 1
67 555 1
68 555 1
69 555 1
70 555 1
71 555 1
72 555 1
73 555 1
74 555 1
75 555 1
76 555 1
77 555 1
78 555 1
79 555 1
80 555 1
81 555 1
1 555 1
82 555 1
83 555 1
11 556 1
84 556 1
85 556 1
63 556 1
23 556 1
86 556 1
87 556 1
88 556 1
89 556 1
90 556 1
91 556 1
92 557 1
3 557 1
9 557 1
19 557 1
61 557 1
39 557 1
63 557 1
21 557 1
28 557 1
35 557 1
93 557 1
94 557 1
72 557 1
14 557 1
34 557 1
52 558 1
3 558 1
12 558 1
16 558 1
17 558 1
19 558 1
39 558 1
63 558 1
28 558 1
95 558 1
96 558 1
97 558 1
32 558 1
98 558 1
99 558 1
2 558 1
93 558 1
14 558 1
73 558 1
15 558 1
74 558 1
100 558 1
77 558 1
90 558 1
101 558 1
81 558 1
102 558 1
103 558 1
34 558 1
104 558 1
92 559 1
56 559 1
12 559 1
57 559 1
16 559 1
62 559 1
105 559 1
63 559 1
24 559 1
23 559 1
64 559 1
26 559 1
28 559 1
106 559 1
35 559 1
0 559 1
66 559 1
2 559 1
107 559 1
108 559 1
109 559 1
74 559 1
77 559 1
78 559 1
110 559 1
111 559 1
34 559 1
1 559 1
112 560 1
113 560 1
114 560 1
115 560 1
19 560 1
116 560 1
23 560 1
28 560 1
0 560 1
66 560 1
117 560 1
118 560 1
119 560 1
120 560 1
121 560 1
1 560 1
10 560 1
11 560 1
13 560 1
57 560 1
65 560 1
122 560 1
123 560 1
50 560 1
44 560 1
124 560 1
93 560 1
125 560 1
47 560 1
126 560 1
74 560 1
127 560 1
42 560 1
43 560 1
51 560 1
115 561 1
23 561 1
26 561 1
107 561 1
70 561 1
128 561 1
1 561 1
56 561 1
62 561 1
98 561 1
2 561 1
68 561 1
69 561 1
93 561 1
109 561 1
126 561 1
129 561 1
78 561 1
80 561 1
113 562 1
26 562 1
100 562 1
19 563 1
23 563 1
25 563 1
26 563 1
28 563 1
33 563 1
130 563 1
20 563 1
34 563 1
131 563 1
3 563 1
9 563 1
11 563 1
13 563 1
132 563 1
62 563 1
65 563 1
122 563 1
35 563 1
45 563 1
72 563 1
14 563 1
43 563 1
110 564 1
120 564 1
1 564 1
2 564 1
8 565 1
55 565 1
133 565 1
134 565 1
115 565 1
17 565 1
58 565 1
135 565 1
61 565 1
39 565 1
105 565 1
26 565 1
28 565 1
136 565 1
97 565 1
106 565 1
137 565 1
138 565 1
139 565 1
140 565 1
141 565 1
142 565 1
143 565 1
144 565 1
76 565 1
90 565 1
20 565 1
110 565 1
120 565 1
102 565 1
1 565 1
145 565 1
146 565 1
147 565 1
148 565 1
149 565 1
150 565 1
3 565 1
9 565 1
11 565 1
56 565 1
37 565 1
12 565 1
151 565 1
57 565 1
16 565 1
62 565 1
152 565 1
35 565 1
153 565 1
154 565 1
69 565 1
155 565 1
109 565 1
6 565 1
14 565 1
156 565 1
157 565 1
158 565 1
159 565 1
160 565 1
80 565 1
161 565 1
31 565 1
162 565 1
43 565 1
163 566 1
116 566 1
164 566 1
165 566 1
90 566 1
104 566 1
166 566 1
167 567 1
168 567 1
169 567 1
55 567 1
19 567 1
58 567 1
105 567 1
23 567 1
26 567 1
28 567 1
170 567 1
32 567 1
171 567 1
106 567 1
99 567 1
66 567 1
49 567 1
172 567 1
173 567 1
107 567 1
20 567 1
111 567 1
121 567 1
1 567 1
54 567 1
3 567 1
9 567 1
174 567 1
12 567 1
175 567 1
57 567 1
62 567 1
176 567 1
177 567 1
178 567 1
65 567 1
122 567 1
98 567 1
35 567 1
123 567 1
124 567 1
179 567 1
180 567 1
93 567 1
109 567 1
47 567 1
14 567 1
181 567 1
74 567 1
101 567 1
158 567 1
22 567 1
81 567 1
182 567 1
183 567 1
184 567 1
51 567 1
53 568 1
163 568 1
19 568 1
23 568 1
25 568 1
32 568 1
185 568 1
99 568 1
49 568 1
140 568 1
186 568 1
130 568 1
187 568 1
90 568 1
40 568 1
