6055 88505
0 207 1
1 207 1
2 208 1
3 208 1
4 208 1
5 208 1
6 208 1
7 208 1
8 208 1
9 208 1
1 208 1
10 208 1
11 208 1
12 208 1
13 208 1
14 208 1
15 208 1
16 208 1
17 208 1
18 208 1
3 209 1
19 209 1
14 209 1
13 209 1
20 209 1
21 209 1
22 209 1
23 209 1
3 210 1
24 210 1
1 210 1
14 210 1
25 210 1
26 211 1
27 211 1
12 211 1
28 211 1
1 211 1
18 211 1
29 211 1
7 212 1
30 212 1
31 212 1
13 212 1
32 212 1
3 212 1
33 212 1
34 212 1
35 212 1
36 212 1
37 212 1
16 212 1
14 213 1
33 213 1
8 213 1
1 213 1
38 214 1
12 214 1
39 214 1
40 214 1
0 214 1
41 214 1
3 214 1
8 214 1
1 214 1
36 214 1
13 215 1
0 215 1
3 215 1
28 215 1
1 215 1
37 215 1
42 215 1
16 215 1
26 216 1
43 216 1
10 216 1
11 216 1
14 216 1
13 216 1
44 216 1
45 216 1
46 216 1
47 216 1
6 216 1
48 216 1
49 216 1
37 216 1
16 216 1
17 216 1
18 216 1
50 216 1
7 216 1
0 216 1
51 216 1
25 216 1
23 216 1
52 216 1
53 216 1
3 216 1
54 216 1
8 216 1
55 216 1
22 216 1
42 216 1
56 216 1
13 217 1
57 217 1
18 217 1
8 217 1
58 217 1
42 218 1
59 219 1
14 219 1
13 219 1
17 219 1
60 219 1
7 219 1
0 219 1
52 219 1
3 219 1
8 219 1
1 219 1
42 219 1
61 220 1
14 221 1
40 221 1
36 221 1
17 221 1
18 221 1
7 221 1
62 221 1
12 221 1
0 221 1
3 221 1
33 221 1
8 221 1
55 221 1
1 221 1
63 221 1
64 222 1
36 222 1
10 223 1
14 223 1
13 223 1
46 223 1
47 223 1
17 223 1
18 223 1
65 223 1
0 223 1
51 223 1
3 223 1
66 223 1
8 223 1
1 223 1
64 224 1
10 224 1
14 224 1
13 224 1
57 224 1
36 224 1
20 224 1
21 224 1
16 224 1
17 224 1
67 224 1
60 224 1
68 224 1
69 224 1
70 224 1
7 224 1
0 224 1
51 224 1
25 224 1
53 224 1
71 224 1
3 224 1
33 224 1
24 224 1
8 224 1
1 224 1
72 224 1
56 224 1
73 224 1
59 225 1
14 225 1
47 225 1
18 225 1
7 225 1
0 225 1
51 225 1
3 225 1
66 225 1
8 225 1
1 225 1
15 225 1
33 226 1
8 226 1
1 226 1
64 227 1
74 227 1
3 227 1
10 228 1
14 228 1
40 228 1
48 228 1
17 228 1
70 228 1
7 228 1
51 228 1
75 228 1
71 228 1
54 228 1
3 228 1
33 228 1
76 228 1
8 228 1
77 228 1
78 228 1
56 228 1
79 229 1
14 229 1
40 229 1
46 229 1
80 229 1
17 229 1
51 229 1
52 229 1
54 229 1
66 229 1
77 229 1
15 229 1
56 229 1
61 230 1
13 230 1
57 230 1
81 230 1
36 230 1
37 230 1
16 230 1
0 230 1
8 230 1
1 230 1
15 230 1
72 230 1
82 231 1
14 231 1
83 231 1
84 231 1
17 231 1
70 231 1
75 231 1
54 231 1
3 231 1
33 231 1
76 231 1
8 231 1
1 231 1
56 231 1
64 232 1
14 232 1
85 232 1
57 232 1
81 232 1
40 232 1
86 232 1
87 232 1
17 232 1
18 232 1
69 232 1
70 232 1
88 232 1
7 232 1
25 232 1
71 232 1
54 232 1
55 232 1
28 232 1
89 232 1
58 232 1
15 232 1
26 233 1
59 233 1
4 233 1
48 233 1
49 233 1
37 233 1
52 233 1
5 233 1
19 234 1
14 234 1
36 234 1
37 234 1
0 234 1
51 234 1
23 234 1
90 234 1
3 234 1
91 234 1
92 235 1
59 235 1
14 235 1
47 235 1
37 235 1
93 235 1
9 235 1
51 235 1
52 235 1
94 235 1
53 235 1
3 235 1
33 235 1
24 235 1
66 235 1
8 235 1
95 235 1
77 235 1
22 235 1
73 235 1
0 236 1
1 236 1
57 237 1
48 237 1
18 237 1
7 237 1
96 237 1
97 237 1
23 237 1
3 237 1
95 237 1
22 237 1
26 238 1
36 238 1
90 238 1
1 238 1
26 239 1
98 239 1
61 239 1
19 239 1
14 239 1
13 239 1
99 239 1
45 239 1
47 239 1
49 239 1
100 239 1
101 239 1
37 239 1
60 239 1
93 239 1
102 239 1
97 239 1
0 239 1
51 239 1
25 239 1
103 239 1
23 239 1
94 239 1
53 239 1
90 239 1
3 239 1
24 239 1
104 239 1
34 239 1
8 239 1
95 239 1
77 239 1
22 239 1
15 239 1
72 239 1
14 240 1
18 240 1
78 240 1
98 241 1
31 241 1
105 241 1
106 241 1
107 241 1
10 241 1
19 241 1
14 241 1
99 241 1
45 241 1
108 241 1
4 241 1
49 241 1
37 241 1
30 241 1
102 241 1
97 241 1
109 241 1
25 241 1
23 241 1
53 241 1
3 241 1
24 241 1
104 241 1
5 241 1
110 241 1
72 241 1
78 241 1
2 242 1
26 242 1
10 242 1
19 242 1
14 242 1
85 242 1
57 242 1
40 242 1
99 242 1
83 242 1
45 242 1
47 242 1
6 242 1
48 242 1
100 242 1
111 242 1
37 242 1
17 242 1
67 242 1
18 242 1
50 242 1
7 242 1
112 242 1
0 242 1
51 242 1
25 242 1
23 242 1
53 242 1
90 242 1
71 242 1
54 242 1
3 242 1
33 242 1
24 242 1
110 242 1
66 242 1
8 242 1
55 242 1
95 242 1
28 242 1
1 242 1
63 242 1
113 242 1
114 242 1
42 242 1
15 242 1
72 242 1
56 242 1
37 243 1
16 243 1
18 243 1
3 243 1
72 243 1
98 244 1
18 244 1
33 245 1
79 246 1
59 246 1
14 246 1
13 246 1
85 246 1
115 246 1
81 246 1
40 246 1
99 246 1
44 246 1
46 246 1
47 246 1
84 246 1
116 246 1
49 246 1
111 246 1
117 246 1
101 246 1
37 246 1
118 246 1
16 246 1
17 246 1
68 246 1
18 246 1
93 246 1
50 246 1
70 246 1
119 246 1
65 246 1
103 246 1
52 246 1
94 246 1
53 246 1
