5966 127370
0 407 1
1 408 1
2 408 1
3 408 1
4 408 1
5 408 1
6 408 1
7 408 1
8 408 1
9 408 1
10 408 1
11 408 1
12 408 1
13 408 1
14 408 1
15 408 1
16 408 1
17 408 1
18 408 1
19 408 1
20 408 1
21 408 1
22 408 1
23 408 1
24 408 1
25 409 1
26 409 1
27 409 1
28 409 1
29 409 1
30 409 1
31 409 1
32 409 1
33 409 1
34 410 1
35 410 1
36 410 1
37 410 1
38 411 1
39 411 1
16 411 1
40 411 1
41 411 1
42 411 1
43 411 1
44 411 1
45 411 1
46 411 1
47 411 1
48 411 1
49 411 1
50 411 1
51 411 1
52 411 1
53 412 1
8 412 1
54 412 1
51 412 1
55 413 1
14 413 1
6 413 1
47 413 1
38 414 1
56 414 1
10 414 1
11 414 1
16 414 1
57 414 1
58 414 1
20 414 1
59 414 1
60 414 1
61 414 1
6 414 1
9 414 1
62 414 1
63 414 1
64 414 1
15 414 1
65 414 1
50 414 1
55 415 1
53 415 1
10 415 1
40 415 1
66 415 1
27 416 1
67 416 1
68 416 1
69 416 1
12 416 1
70 416 1
71 416 1
0 416 1
72 416 1
73 416 1
74 416 1
75 416 1
76 416 1
77 416 1
78 416 1
7 416 1
8 416 1
79 416 1
80 416 1
81 416 1
24 416 1
36 416 1
82 416 1
83 416 1
84 416 1
85 416 1
86 416 1
87 416 1
88 416 1
57 417 1
6 417 1
65 418 1
89 418 1
12 419 1
70 419 1
90 419 1
21 419 1
45 419 1
0 419 1
73 419 1
91 419 1
4 419 1
92 419 1
8 419 1
93 419 1
29 419 1
94 419 1
81 419 1
22 419 1
24 419 1
95 419 1
47 419 1
96 419 1
97 419 1
31 419 1
89 419 1
75 420 1
5 421 1
39 421 1
27 421 1
11 421 1
98 421 1
99 421 1
48 421 1
51 421 1
75 421 1
53 421 1
4 421 1
8 421 1
100 421 1
10 421 1
14 421 1
94 421 1
16 421 1
24 421 1
101 421 1
3 421 1
84 421 1
19 421 1
102 422 1
103 422 1
104 422 1
105 422 1
106 422 1
41 422 1
39 423 1
107 423 1
20 423 1
72 423 1
108 423 1
51 423 1
76 423 1
109 423 1
110 423 1
53 423 1
111 423 1
112 423 1
81 423 1
113 423 1
42 423 1
114 423 1
115 423 1
116 423 1
96 423 1
63 423 1
117 423 1
50 423 1
118 423 1
119 423 1
120 424 1
121 424 1
27 424 1
102 424 1
68 424 1
69 424 1
12 424 1
70 424 1
122 424 1
123 424 1
124 424 1
71 424 1
20 424 1
125 424 1
126 424 1
127 424 1
41 424 1
128 424 1
129 424 1
25 424 1
130 424 1
28 424 1
131 424 1
132 424 1
91 424 1
133 424 1
32 424 1
33 424 1
75 424 1
134 424 1
135 424 1
76 424 1
136 424 1
137 424 1
138 424 1
139 424 1
52 424 1
140 424 1
141 424 1
142 424 1
38 424 1
78 424 1
4 424 1
7 424 1
143 424 1
92 424 1
8 424 1
144 424 1
10 424 1
29 424 1
145 424 1
146 424 1
147 424 1
24 424 1
148 424 1
36 424 1
82 424 1
37 424 1
83 424 1
149 424 1
95 424 1
150 424 1
34 424 1
151 424 1
152 424 1
9 424 1
97 424 1
153 424 1
154 424 1
31 424 1
64 424 1
