5232 65569
0 236 1
1 236 1
2 237 1
3 237 1
4 238 1
5 238 1
6 238 1
7 238 1
8 238 1
9 238 1
10 238 1
11 238 1
12 238 1
13 238 1
14 239 1
15 240 1
16 240 1
17 240 1
18 241 1
1 241 1
3 241 1
19 241 1
20 242 1
21 242 1
22 243 1
6 243 1
23 243 1
24 243 1
25 243 1
26 243 1
27 243 1
0 243 1
28 243 1
29 243 1
30 243 1
31 243 1
32 243 1
33 243 1
34 243 1
35 243 1
36 243 1
37 243 1
38 243 1
39 243 1
18 243 1
40 243 1
41 243 1
42 243 1
1 243 1
43 243 1
44 243 1
3 243 1
45 243 1
11 243 1
46 243 1
47 243 1
48 243 1
49 243 1
50 243 1
51 244 1
52 244 1
53 245 1
23 246 1
24 246 1
26 246 1
54 246 1
55 246 1
0 246 1
56 246 1
28 246 1
30 246 1
31 246 1
57 246 1
58 246 1
33 246 1
59 246 1
60 246 1
61 246 1
37 246 1
2 246 1
62 246 1
63 246 1
8 246 1
64 246 1
42 246 1
65 246 1
43 246 1
66 246 1
44 246 1
13 246 1
67 246 1
68 246 1
69 246 1
70 246 1
3 246 1
10 246 1
71 246 1
72 246 1
11 246 1
50 246 1
6 247 1
73 247 1
74 247 1
28 247 1
36 247 1
2 247 1
5 247 1
75 248 1
76 248 1
15 248 1
77 249 1
21 249 1
29 249 1
78 249 1
35 249 1
79 249 1
62 249 1
42 249 1
66 249 1
80 249 1
69 249 1
3 249 1
71 249 1
72 249 1
81 249 1
82 249 1
50 249 1
6 250 1
23 250 1
24 250 1
83 250 1
25 250 1
84 250 1
85 250 1
86 250 1
21 250 1
87 250 1
88 250 1
15 250 1
89 250 1
74 250 1
4 250 1
28 250 1
29 250 1
7 250 1
57 250 1
58 250 1
36 250 1
17 250 1
90 250 1
60 250 1
61 250 1
37 250 1
91 250 1
39 250 1
2 250 1
92 250 1
63 250 1
93 250 1
8 250 1
94 250 1
95 250 1
96 250 1
97 250 1
43 250 1
67 250 1
98 250 1
99 250 1
100 250 1
101 250 1
70 250 1
102 250 1
10 250 1
103 250 1
71 250 1
11 250 1
46 250 1
82 250 1
9 251 1
54 251 1
87 251 1
88 251 1
76 251 1
74 251 1
30 251 1
58 251 1
32 251 1
104 251 1
33 251 1
63 251 1
93 251 1
14 251 1
105 251 1
106 251 1
55 252 1
32 252 1
33 252 1
107 253 1
21 253 1
66 253 1
25 254 1
9 254 1
108 254 1
28 254 1
58 254 1
109 254 1
37 254 1
91 254 1
110 254 1
39 254 1
111 254 1
2 254 1
1 254 1
43 254 1
80 254 1
99 254 1
100 254 1
112 254 1
102 254 1
11 254 1
46 254 1
50 254 1
107 255 1
23 255 1
84 255 1
55 255 1
113 255 1
75 255 1
21 255 1
114 255 1
115 255 1
31 255 1
57 255 1
33 255 1
35 255 1
36 255 1
116 255 1
17 255 1
37 255 1
39 255 1
62 255 1
42 255 1
65 255 1
43 255 1
44 255 1
13 255 1
80 255 1
69 255 1
102 255 1
3 255 1
117 255 1
107 256 1
24 256 1
118 256 1
15 256 1
115 256 1
3 256 1
46 256 1
119 257 1
30 257 1
78 257 1
32 257 1
104 257 1
33 257 1
42 257 1
66 257 1
99 257 1
118 258 1
73 258 1
77 258 1
85 258 1
120 258 1
59 258 1
34 258 1
36 258 1
90 258 1
20 258 1
121 258 1
122 258 1
123 258 1
69 258 1
71 258 1
11 258 1
46 258 1
22 259 1
23 259 1
54 259 1
43 259 1
44 259 1
107 260 1
124 261 1
54 261 1
0 261 1
115 261 1
39 261 1
42 261 1
14 261 1
44 261 1
80 261 1
125 261 1
68 262 1
26 263 1
115 263 1
42 263 1
14 263 1
6 264 1
0 264 1
74 264 1
126 264 1
35 264 1
60 264 1
39 264 1
127 264 1
5 264 1
64 264 1
12 264 1
14 264 1
13 264 1
3 264 1
125 264 1
25 265 1
4 265 1
115 265 1
121 265 1
71 265 1
128 265 1
129 266 1
74 266 1
18 266 1
21 267 1
115 267 1
7 267 1
30 267 1
58 267 1
66 267 1
13 267 1
16 267 1
80 267 1
130 268 1
131 269 1
121 269 1
15 270 1
66 270 1
101 270 1
22 271 1
6 271 1
23 271 1
54 271 1
118 271 1
114 271 1
108 271 1
129 271 1
0 271 1
74 271 1
119 271 1
132 271 1
28 271 1
30 271 1
133 271 1
33 271 1
126 271 1
61 271 1
63 271 1
64 271 1
42 271 1
65 271 1
134 271 1
14 271 1
44 271 1
13 271 1
135 271 1
16 271 1
125 271 1
136 271 1
137 271 1
71 271 1
138 271 1
72 271 1
128 271 1
81 271 1
6 272 1
55 272 1
113 272 1
77 272 1
86 272 1
88 272 1
108 272 1
0 272 1
115 272 1
28 272 1
30 272 1
57 272 1
58 272 1
32 272 1
104 272 1
33 272 1
35 272 1
39 272 1
62 272 1
8 272 1
41 272 1
139 272 1
42 272 1
14 272 1
66 272 1
16 272 1
80 272 1
69 272 1
102 272 1
3 272 1
103 272 1
71 272 1
117 272 1
81 272 1
82 272 1
107 273 1
23 273 1
25 273 1
26 273 1
21 273 1
27 273 1
28 273 1
7 273 1
140 273 1
36 273 1
37 273 1
39 273 1
18 273 1
62 273 1
41 273 1
12 273 1
14 273 1
66 273 1
141 273 1
10 273 1
45 273 1
142 273 1
138 273 1
11 273 1
128 273 1
81 273 1
48 273 1
50 273 1
24 274 1
85 274 1
15 274 1
140 274 1
59 274 1
90 274 1
131 274 1
1 274 1
3 274 1
71 274 1
143 274 1
9 275 1
144 276 1
22 276 1
6 276 1
23 276 1
26 276 1
54 276 1
84 276 1
21 276 1
120 276 1
129 276 1
145 276 1
0 276 1
28 276 1
29 276 1
30 276 1
146 276 1
32 276 1
104 276 1
33 276 1
38 276 1
39 276 1
111 276 1
62 276 1
63 276 1
94 276 1
95 276 1
96 276 1
1 276 1
141 276 1
100 276 1
71 276 1
45 276 1
11 276 1
46 276 1
24 276 1
83 276 1
55 276 1
113 276 1
75 276 1
118 276 1
73 276 1
77 276 1
85 276 1
76 276 1
15 276 1
108 276 1
147 276 1
31 276 1
57 276 1
58 276 1
148 276 1
59 276 1
149 276 1
34 276 1
126 276 1
79 276 1
35 276 1
36 276 1
131 276 1
8 276 1
65 276 1
43 276 1
66 276 1
44 276 1
123 276 1
99 276 1
3 276 1
10 276 1
125 276 1
150 276 1
50 276 1
107 277 1
21 277 1
127 277 1
1 277 1
112 277 1
55 277 1
44 277 1
26 278 1
151 278 1
7 279 1
112 279 1
6 280 1
23 280 1
9 280 1
84 280 1
86 280 1
21 280 1
114 280 1
129 280 1
28 280 1
152 280 1
29 280 1
7 280 1
30 280 1
32 280 1
109 280 1
116 280 1
39 280 1
94 280 1
41 280 1
14 280 1
1 280 1
97 280 1
100 280 1
103 280 1
153 280 1
154 280 1
55 280 1
113 280 1
155 280 1
73 280 1
77 280 1
76 280 1
15 280 1
108 280 1
31 280 1
57 280 1
35 280 1
36 280 1
17 280 1
37 280 1
18 280 1
40 280 1
156 280 1
42 280 1
43 280 1
66 280 1
123 280 1
80 280 1
102 280 1
117 280 1
150 280 1
47 280 1
81 280 1
82 280 1
48 280 1
50 280 1
157 281 1
130 282 1
26 282 1
21 282 1
131 282 1
130 283 1
158 283 1
9 283 1
21 283 1
88 283 1
114 283 1
0 283 1
30 283 1
32 283 1
104 283 1
33 283 1
109 283 1
38 283 1
39 283 1
62 283 1
41 283 1
14 283 1
100 283 1
69 283 1
70 283 1
103 283 1
71 283 1
159 283 1
24 283 1
55 283 1
113 283 1
75 283 1
73 283 1
77 283 1
108 283 1
4 283 1
35 283 1
17 283 1
42 283 1
43 283 1
44 283 1
13 283 1
160 283 1
80 283 1
102 283 1
3 283 1
81 283 1
82 283 1
22 284 1
12 284 1
44 284 1
53 284 1
23 285 1
89 285 1
119 285 1
30 285 1
112 285 1
52 285 1
71 285 1
83 285 1
58 285 1
36 285 1
131 285 1
65 285 1
49 285 1
50 285 1
130 286 1
87 286 1
161 286 1
75 286 1
22 287 1
6 287 1
23 287 1
54 287 1
88 287 1
115 287 1
32 287 1
104 287 1
33 287 1
38 287 1
12 287 1
14 287 1
69 287 1
55 287 1
77 287 1
147 287 1
59 287 1
17 287 1
90 287 1
121 287 1
53 287 1
15 288 1
15 289 1
25 290 1
129 290 1
32 290 1
94 290 1
95 290 1
96 290 1
100 290 1
11 290 1
128 290 1
2 290 1
123 290 1
26 291 1
45 291 1
26 292 1
0 292 1
46 293 1
154 294 1
87 295 1
130 296 1
6 296 1
162 296 1
9 296 1
87 296 1
88 296 1
129 296 1
7 296 1
30 296 1
146 296 1
32 296 1
104 296 1
33 296 1
109 296 1
116 296 1
91 296 1
39 296 1
5 296 1
96 296 1
67 296 1
112 296 1
70 296 1
103 296 1
45 296 1
163 296 1
11 296 1
46 296 1
24 296 1
85 296 1
15 296 1
108 296 1
34 296 1
2 296 1
92 296 1
164 296 1
165 296 1
99 296 1
166 296 1
50 296 1
167 297 1
158 297 1
23 297 1
162 297 1
120 297 1
145 297 1
28 297 1
152 297 1
168 297 1
20 297 1
134 297 1
1 297 1
169 297 1
141 297 1
170 297 1
52 297 1
19 297 1
171 297 1
83 297 1
155 297 1
172 297 1
173 297 1
76 297 1
132 297 1
34 297 1
37 297 1
18 297 1
174 297 1
121 297 1
65 297 1
43 297 1
122 297 1
99 297 1
175 297 1
176 297 1
177 297 1
15 298 1
26 299 1
1 299 1
141 299 1
18 299 1
40 299 1
1 300 1
21 301 1
147 301 1
164 301 1
73 302 1
58 302 1
6 303 1
23 303 1
84 303 1
86 303 1
120 303 1
28 303 1
152 303 1
29 303 1
39 303 1
15 303 1
57 303 1
36 303 1
37 303 1
65 303 1
43 303 1
16 303 1
176 303 1
178 304 1
179 305 1
170 305 1
71 305 1
24 305 1
83 305 1
34 305 1
36 305 1
174 305 1
43 305 1
122 305 1
10 305 1
14 306 1
157 306 1
88 307 1
30 307 1
112 307 1
52 307 1
46 307 1
77 307 1
15 307 1
131 307 1
8 307 1
65 307 1
66 307 1
164 307 1
160 307 1
180 307 1
115 308 1
130 309 1
6 309 1
23 309 1
162 309 1
25 309 1
26 309 1
86 309 1
27 309 1
120 309 1
