3493 19915
0 82 1
1 82 1
2 82 1
3 82 1
4 82 1
5 82 1
6 82 1
7 82 1
8 83 1
9 84 1
10 84 1
3 84 1
4 84 1
11 85 1
12 85 1
13 85 1
2 86 1
14 86 1
2 87 1
15 87 1
16 87 1
17 87 1
18 87 1
19 87 1
20 87 1
21 87 1
22 87 1
9 87 1
23 87 1
3 87 1
4 87 1
14 87 1
24 87 1
25 88 1
2 89 1
12 89 1
13 89 1
25 89 1
26 89 1
10 90 1
27 90 1
5 90 1
15 90 1
28 90 1
17 90 1
29 90 1
30 90 1
12 90 1
13 90 1
31 90 1
32 90 1
33 90 1
18 90 1
19 90 1
20 90 1
6 90 1
22 90 1
7 90 1
23 90 1
34 90 1
3 90 1
35 90 1
36 90 1
26 90 1
2 91 1
15 91 1
28 91 1
17 91 1
13 91 1
32 91 1
33 91 1
20 91 1
1 91 1
22 91 1
7 91 1
11 91 1
37 92 1
17 92 1
12 92 1
38 92 1
25 92 1
39 93 1
16 93 1
28 93 1
29 93 1
40 93 1
4 93 1
41 93 1
2 94 1
37 94 1
0 94 1
12 94 1
14 94 1
37 95 1
42 96 1
25 96 1
41 96 1
43 97 1
15 97 1
44 97 1
3 97 1
16 98 1
37 99 1
24 99 1
2 100 1
45 101 1
46 101 1
7 102 1
9 102 1
47 102 1
5 103 1
39 103 1
15 103 1
12 103 1
42 103 1
1 103 1
11 103 1
25 103 1
46 104 1
10 105 1
20 105 1
48 105 1
3 105 1
25 106 1
10 107 1
34 107 1
25 108 1
26 108 1
37 109 1
17 109 1
12 109 1
13 109 1
9 109 1
25 109 1
35 109 1
14 109 1
3 110 1
4 110 1
39 111 1
17 111 1
29 111 1
12 111 1
44 111 1
33 111 1
18 111 1
20 111 1
6 111 1
11 111 1
4 111 1
5 111 1
49 111 1
42 111 1
50 111 1
51 111 1
1 111 1
7 111 1
3 111 1
52 111 1
25 111 1
41 111 1
37 112 1
0 112 1
12 112 1
13 112 1
6 112 1
11 112 1
4 112 1
5 112 1
50 112 1
48 112 1
1 112 1
51 113 1
46 114 1
16 115 1
0 115 1
12 115 1
13 115 1
20 115 1
6 115 1
4 115 1
10 115 1
42 115 1
7 115 1
9 115 1
23 115 1
3 115 1
25 115 1
41 115 1
26 115 1
1 116 1
8 117 1
0 117 1
12 117 1
45 117 1
24 117 1
2 118 1
15 118 1
28 118 1
0 118 1
17 118 1
12 118 1
13 118 1
32 118 1
33 118 1
52 118 1
41 118 1
26 118 1
0 119 1
50 120 1
17 121 1
7 121 1
52 121 1
0 122 1
2 123 1
20 123 1
41 123 1
27 124 1
39 124 1
15 124 1
0 124 1
17 124 1
29 124 1
30 124 1
44 124 1
32 124 1
33 124 1
18 124 1
19 124 1
53 124 1
20 124 1
54 124 1
6 124 1
55 124 1
46 124 1
56 124 1
4 124 1
57 124 1
58 124 1
10 124 1
5 124 1
49 124 1
42 124 1
48 124 1
51 124 1
1 124 1
22 124 1
7 124 1
9 124 1
23 124 1
34 124 1
3 124 1
35 124 1
36 124 1
14 124 1
59 124 1
60 124 1
61 124 1
62 124 1
2 125 1
14 125 1
0 126 1
20 126 1
6 126 1
46 126 1
4 126 1
63 126 1
7 126 1
9 126 1
23 126 1
16 127 1
46 127 1
51 127 1
0 128 1
4 128 1
1 128 1
3 128 1
12 129 1
16 130 1
44 130 1
46 130 1
60 130 1
10 131 1
5 131 1
23 132 1
25 133 1
27 134 1
39 134 1
15 134 1
28 134 1
0 134 1
17 134 1
29 134 1
30 134 1
44 134 1
32 134 1
33 134 1
18 134 1
19 134 1
53 134 1
20 134 1
6 134 1
4 134 1
58 134 1
10 134 1
5 134 1
64 134 1
49 134 1
42 134 1
38 134 1
50 134 1
51 134 1
65 134 1
1 134 1
