6869 176865
0 1004 1
1 1004 1
2 1005 1
3 1005 1
4 1005 1
5 1005 1
6 1005 1
7 1005 1
8 1006 1
9 1006 1
10 1006 1
11 1006 1
12 1006 1
13 1006 1
14 1006 1
15 1006 1
16 1007 1
17 1007 1
18 1007 1
19 1007 1
20 1007 1
21 1007 1
22 1007 1
23 1007 1
24 1007 1
5 1007 1
25 1007 1
26 1007 1
27 1007 1
28 1007 1
29 1007 1
30 1007 1
31 1007 1
32 1007 1
33 1007 1
34 1007 1
35 1007 1
36 1007 1
37 1007 1
38 1007 1
39 1007 1
40 1007 1
41 1007 1
42 1007 1
43 1007 1
44 1007 1
45 1007 1
46 1007 1
47 1008 1
48 1008 1
49 1008 1
1 1008 1
50 1008 1
51 1008 1
8 1008 1
52 1008 1
53 1008 1
54 1008 1
55 1008 1
56 1008 1
57 1008 1
58 1008 1
59 1008 1
60 1008 1
61 1009 1
62 1009 1
63 1009 1
64 1009 1
65 1009 1
66 1009 1
67 1009 1
68 1009 1
41 1009 1
69 1010 1
0 1010 1
54 1010 1
70 1010 1
71 1010 1
72 1011 1
73 1011 1
74 1011 1
75 1011 1
61 1011 1
76 1011 1
47 1011 1
77 1011 1
78 1011 1
79 1011 1
80 1011 1
81 1011 1
82 1011 1
83 1011 1
84 1011 1
5 1011 1
85 1011 1
86 1011 1
87 1011 1
88 1011 1
89 1011 1
0 1011 1
6 1011 1
90 1011 1
91 1011 1
92 1011 1
93 1011 1
50 1011 1
94 1011 1
95 1011 1
96 1011 1
4 1011 1
97 1011 1
98 1011 1
99 1011 1
100 1011 1
101 1011 1
102 1011 1
103 1011 1
104 1011 1
56 1011 1
105 1011 1
106 1011 1
107 1011 1
108 1011 1
38 1011 1
109 1011 1
110 1011 1
111 1011 1
112 1011 1
113 1011 1
114 1011 1
115 1011 1
116 1011 1
117 1011 1
118 1011 1
119 1011 1
120 1011 1
121 1011 1
122 1011 1
123 1011 1
124 1011 1
125 1011 1
126 1011 1
127 1011 1
128 1011 1
129 1011 1
1 1011 1
130 1011 1
131 1011 1
132 1011 1
133 1011 1
134 1011 1
135 1011 1
136 1011 1
137 1011 1
138 1011 1
139 1011 1
140 1011 1
141 1011 1
142 1011 1
143 1011 1
144 1011 1
70 1011 1
145 1011 1
146 1011 1
147 1011 1
148 1011 1
149 1011 1
150 1011 1
151 1011 1
152 1011 1
44 1011 1
153 1011 1
154 1012 1
155 1012 1
77 1012 1
82 1012 1
156 1012 1
64 1012 1
157 1012 1
27 1012 1
158 1012 1
159 1012 1
103 1012 1
56 1012 1
160 1012 1
161 1012 1
68 1012 1
162 1012 1
163 1012 1
112 1012 1
164 1012 1
165 1012 1
166 1012 1
167 1012 1
115 1012 1
168 1012 1
169 1012 1
116 1012 1
170 1012 1
23 1012 1
125 1012 1
65 1012 1
126 1012 1
171 1012 1
172 1012 1
173 1012 1
174 1012 1
175 1012 1
146 1012 1
176 1013 1
177 1013 1
178 1013 1
71 1014 1
179 1014 1
180 1014 1
13 1014 1
181 1014 1
182 1015 1
183 1015 1
78 1015 1
184 1015 1
157 1015 1
185 1015 1
186 1015 1
8 1015 1
187 1015 1
158 1015 1
188 1015 1
189 1015 1
39 1015 1
190 1015 1
191 1015 1
24 1015 1
69 1015 1
192 1015 1
48 1015 1
137 1015 1
193 1015 1
194 1015 1
195 1015 1
174 1015 1
196 1015 1
197 1016 1
198 1016 1
182 1016 1
184 1016 1
84 1016 1
199 1016 1
200 1016 1
201 1016 1
185 1016 1
186 1016 1
202 1016 1
203 1016 1
204 1016 1
205 1016 1
206 1017 1
179 1017 1
207 1017 1
208 1017 1
23 1017 1
209 1017 1
181 1017 1
210 1017 1
211 1017 1
72 1018 1
212 1018 1
77 1018 1
81 1018 1
213 1018 1
85 1018 1
214 1018 1
215 1018 1
216 1018 1
87 1018 1
50 1018 1
9 1018 1
217 1018 1
218 1018 1
219 1018 1
220 1018 1
221 1018 1
54 1018 1
222 1018 1
14 1018 1
15 1018 1
223 1018 1
224 1018 1
192 1018 1
225 1018 1
226 1018 1
66 1018 1
227 1018 1
137 1018 1
138 1018 1
228 1018 1
229 1018 1
29 1018 1
13 1018 1
230 1018 1
231 1018 1
210 1018 1
232 1018 1
72 1019 1
154 1019 1
12 1019 1
199 1019 1
5 1019 1
233 1019 1
85 1019 1
234 1019 1
87 1019 1
201 1019 1
10 1019 1
235 1019 1
236 1019 1
237 1019 1
238 1019 1
239 1019 1
118 1019 1
240 1019 1
241 1019 1
242 1019 1
243 1019 1
244 1019 1
204 1019 1
245 1019 1
145 1019 1
152 1019 1
246 1020 1
247 1021 1
248 1021 1
249 1021 1
73 1022 1
155 1022 1
250 1022 1
74 1022 1
247 1022 1
77 1022 1
81 1022 1
251 1022 1
252 1022 1
12 1022 1
156 1022 1
5 1022 1
157 1022 1
215 1022 1
86 1022 1
89 1022 1
253 1022 1
254 1022 1
91 1022 1
93 1022 1
255 1022 1
187 1022 1
96 1022 1
256 1022 1
98 1022 1
257 1022 1
258 1022 1
235 1022 1
103 1022 1
56 1022 1
259 1022 1
260 1022 1
189 1022 1
38 1022 1
261 1022 1
111 1022 1
112 1022 1
262 1022 1
238 1022 1
263 1022 1
239 1022 1
264 1022 1
265 1022 1
266 1022 1
62 1022 1
117 1022 1
118 1022 1
24 1022 1
267 1022 1
