4940 38203
0 168 1
1 168 1
2 168 1
3 168 1
4 168 1
5 168 1
6 169 1
7 169 1
8 169 1
9 169 1
10 169 1
11 169 1
12 169 1
13 169 1
14 170 1
6 171 1
15 171 1
16 171 1
17 171 1
18 171 1
19 171 1
20 171 1
6 172 1
14 172 1
21 172 1
22 173 1
23 173 1
24 173 1
25 173 1
3 173 1
8 174 1
26 175 1
20 175 1
27 175 1
28 175 1
22 176 1
0 176 1
28 176 1
1 177 1
29 177 1
30 177 1
6 177 1
14 177 1
0 177 1
21 177 1
25 177 1
12 177 1
31 177 1
32 177 1
33 177 1
34 177 1
35 177 1
36 178 1
37 179 1
38 179 1
24 179 1
39 179 1
40 179 1
7 179 1
14 179 1
41 179 1
9 179 1
12 179 1
4 179 1
42 179 1
43 179 1
22 180 1
23 180 1
30 180 1
0 180 1
44 180 1
45 180 1
16 180 1
25 180 1
19 180 1
33 180 1
34 180 1
35 180 1
46 180 1
43 180 1
28 180 1
36 181 1
23 181 1
38 181 1
24 181 1
14 181 1
9 181 1
14 182 1
47 183 1
48 183 1
49 183 1
0 183 1
45 183 1
25 183 1
50 183 1
51 183 1
19 183 1
35 183 1
43 183 1
28 183 1
52 184 1
53 184 1
54 184 1
55 184 1
56 184 1
57 184 1
38 184 1
24 184 1
40 184 1
7 184 1
58 184 1
59 184 1
60 184 1
61 184 1
62 184 1
11 184 1
12 184 1
63 184 1
64 184 1
19 184 1
34 184 1
20 184 1
13 184 1
35 184 1
65 184 1
46 184 1
43 184 1
66 184 1
22 185 1
57 185 1
18 185 1
14 186 1
26 187 1
29 187 1
38 187 1
67 187 1
16 187 1
25 187 1
31 187 1
3 187 1
52 188 1
53 188 1
68 188 1
4 189 1
69 190 1
57 190 1
48 190 1
57 191 1
6 191 1
25 191 1
53 192 1
26 192 1
68 192 1
70 192 1
69 192 1
10 192 1
2 192 1
40 192 1
7 192 1
59 192 1
5 192 1
71 192 1
12 192 1
72 192 1
64 192 1
3 192 1
19 192 1
4 192 1
35 192 1
57 193 1
2 194 1
37 195 1
8 195 1
57 195 1
38 195 1
30 195 1
7 195 1
21 195 1
18 195 1
63 195 1
64 195 1
19 195 1
34 195 1
35 195 1
73 195 1
74 196 1
36 197 1
8 197 1
75 197 1
