1035 2205
0 87 1
1 87 1
2 88 1
3 89 1
4 90 1
5 91 1
6 92 1
7 93 1
2 94 1
8 95 1
9 96 1
10 97 1
9 98 1
6 99 1
2 99 1
11 100 1
12 100 1
13 100 1
9 100 1
14 101 1
12 101 1
15 101 1
16 101 1
17 102 1
18 103 1
19 103 1
6 103 1
15 103 1
20 103 1
21 103 1
22 103 1
23 103 1
9 103 1
0 104 1
24 104 1
25 105 1
19 105 1
22 105 1
26 105 1
0 106 1
12 106 1
8 107 1
6 107 1
14 108 1
13 108 1
27 108 1
28 109 1
1 109 1
29 109 1
6 109 1
30 109 1
15 109 1
31 109 1
32 109 1
21 109 1
33 109 1
34 109 1
10 109 1
2 109 1
24 110 1
35 110 1
12 110 1
27 111 1
0 112 1
19 112 1
35 112 1
12 112 1
32 112 1
36 113 1
6 114 1
32 114 1
27 114 1
32 115 1
37 116 1
6 117 1
30 118 1
26 118 1
0 119 1
25 119 1
14 119 1
9 119 1
9 120 1
0 121 1
25 121 1
38 121 1
14 121 1
36 121 1
22 121 1
26 121 1
16 121 1
39 121 1
33 121 1
27 121 1
2 121 1
9 121 1
3 122 1
40 123 1
25 124 1
24 125 1
0 126 1
0 127 1
14 127 1
35 127 1
12 127 1
15 127 1
26 127 1
16 127 1
39 127 1
2 127 1
41 128 1
6 128 1
7 128 1
27 128 1
24 129 1
6 129 1
35 130 1
29 131 1
41 131 1
23 131 1
26 131 1
1 132 1
25 132 1
35 133 1
19 134 1
27 134 1
42 135 1
25 135 1
29 135 1
4 135 1
15 135 1
31 135 1
43 135 1
16 135 1
32 136 1
21 136 1
29 137 1
13 137 1
3 138 1
27 139 1
44 140 1
0 141 1
25 141 1
45 141 1
22 141 1
13 141 1
16 141 1
23 142 1
32 143 1
17 144 1
20 145 1
24 146 1
2 146 1
6 147 1
6 148 1
0 148 1
21 149 1
33 150 1
28 151 1
8 152 1
15 153 1
26 154 1
1 154 1
25 154 1
34 154 1
46 155 1
27 156 1
16 157 1
15 157 1
30 158 1
33 159 1
25 160 1
19 161 1
14 161 1
35 162 1
12 162 1
47 162 1
16 162 1
2 162 1
30 163 1
30 164 1
35 165 1
34 165 1
40 166 1
33 167 1
6 168 1
25 169 1
10 170 1
19 171 1
6 172 1
6 173 1
13 173 1
7 173 1
0 173 1
48 173 1
5 174 1
13 174 1
12 175 1
13 175 1
33 175 1
2 175 1
37 175 1
25 176 1
26 177 1
3 177 1
0 178 1
36 178 1
2 179 1
15 179 1
6 180 1
30 181 1
49 182 1
11 182 1
30 183 1
10 183 1
21 184 1
29 185 1
1 186 1
50 187 1
14 188 1
6 188 1
17 188 1
12 188 1
13 188 1
9 188 1
0 188 1
50 188 1
21 188 1
17 189 1
7 190 1
14 191 1
51 192 1
28 193 1
42 194 1
19 194 1
6 194 1
47 194 1
47 195 1
32 196 1
26 196 1
0 196 1
29 196 1
6 197 1
50 198 1
10 198 1
13 199 1
26 199 1
29 199 1
52 200 1
19 200 1
14 200 1
13 200 1
7 200 1
28 201 1
25 201 1
53 202 1
31 202 1
23 202 1
50 202 1
54 202 1
45 203 1
47 203 1
9 203 1
1 203 1
15 203 1
21 203 1
15 204 1
42 205 1
19 205 1
9 205 1
48 205 1
34 205 1
55 205 1
14 206 1
13 206 1
47 206 1
26 206 1
9 207 1
50 207 1
30 208 1
0 208 1
24 209 1
14 209 1
7 209 1
41 209 1
29 210 1
56 211 1
29 211 1
55 211 1
28 212 1
40 212 1
6 212 1
12 212 1
21 212 1
14 213 1
0 213 1
46 213 1
22 213 1
9 214 1
16 215 1
4 216 1
16 217 1
10 217 1
19 218 1
1 219 1
3 220 1
21 220 1
22 221 1
19 222 1
12 223 1
32 223 1
13 223 1
23 223 1
0 223 1
45 224 1
17 225 1
19 226 1
40 226 1
57 226 1
34 226 1
13 227 1
9 227 1
24 228 1
53 229 1
32 229 1
37 229 1
0 229 1
1 229 1
29 229 1
7 230 1
36 230 1
29 231 1
16 232 1
33 232 1
28 233 1
23 233 1
7 233 1
33 233 1
29 233 1
19 234 1
14 234 1
0 234 1
48 234 1
30 235 1
33 235 1
30 236 1
45 236 1
44 236 1
9 237 1
3 237 1
42 238 1
35 239 1
25 240 1
19 241 1
16 242 1
14 243 1
34 243 1
32 244 1
10 244 1
24 245 1
23 245 1
9 245 1
25 245 1
6 246 1
25 247 1
34 247 1
50 248 1
14 249 1
12 249 1
25 249 1
44 250 1
50 250 1
58 250 1
10 250 1
28 251 1
15 251 1
45 252 1
32 253 1
28 254 1
40 255 1
33 256 1
35 257 1
17 258 1
47 258 1
36 259 1
28 260 1
24 260 1
59 260 1
27 260 1
25 260 1
54 260 1
60 260 1
42 261 1
28 261 1
61 261 1
62 261 1
14 261 1
35 261 1
12 261 1
45 261 1
31 261 1
47 261 1
23 261 1
26 261 1
27 261 1
2 261 1
9 261 1
0 261 1
25 261 1
57 261 1
3 261 1
48 261 1
21 261 1
60 261 1
22 261 1
34 261 1
63 262 1
13 263 1
30 264 1
14 265 1
14 266 1
6 266 1
26 266 1
7 266 1
0 266 1
3 266 1
21 266 1
60 266 1
1 267 1
6 268 1
0 269 1
36 269 1
34 269 1
24 270 1
13 270 1
19 271 1
19 272 1
27 272 1
28 273 1
19 273 1
14 273 1
35 273 1
45 273 1
53 273 1
31 273 1
13 273 1
26 273 1
56 273 1
2 273 1
64 273 1
9 273 1
0 273 1
50 273 1
58 273 1
1 273 1
25 273 1
54 273 1
48 273 1
46 273 1
22 273 1
19 274 1
6 275 1
29 275 1
6 276 1
23 276 1
2 276 1
34 276 1
6 277 1
59 277 1
56 277 1
3 277 1
39 277 1
19 278 1
38 278 1
61 279 1
19 279 1
31 279 1
4 279 1
14 280 1
35 280 1
17 280 1
14 281 1
6 281 1
12 281 1
30 281 1
45 281 1
32 281 1
13 281 1
47 281 1
7 281 1
16 281 1
33 281 1
2 281 1
9 281 1
1 281 1
15 281 1
21 281 1
19 282 1
12 282 1
0 282 1
35 283 1
47 283 1
13 284 1
5 285 1
6 285 1
12 285 1
7 285 1
19 286 1
9 286 1
0 286 1
50 286 1
15 286 1
22 286 1
35 287 1
21 287 1
3 288 1
9 289 1
8 290 1
6 290 1
27 290 1
9 290 1
24 291 1
13 292 1
16 293 1
37 294 1
47 295 1
29 296 1
0 297 1
4 298 1
10 298 1
39 299 1
22 300 1
9 301 1
29 301 1
21 301 1
1 302 1
13 303 1
26 303 1
16 303 1
22 303 1
65 304 1
6 305 1
12 305 1
25 305 1
34 305 1
28 306 1
29 307 1
6 308 1
12 308 1
14 309 1
13 309 1
21 309 1
49 310 1
66 310 1
46 311 1
14 312 1
35 312 1
12 312 1
0 312 1
42 313 1
53 313 1
21 313 1
10 313 1
24 314 1
15 314 1
7 315 1
52 316 1
67 316 1
14 316 1
40 316 1
32 316 1
23 316 1
68 316 1
0 316 1
50 316 1
69 316 1
70 316 1
29 316 1
54 316 1
71 316 1
21 316 1
34 316 1
10 316 1
19 317 1
6 318 1
27 318 1
34 318 1
10 319 1
52 320 1
2 321 1
67 322 1
16 322 1
29 322 1
55 322 1
28 323 1
21 323 1
50 324 1
9 325 1
29 325 1
6 326 1
33 326 1
15 326 1
39 326 1
25 327 1
21 327 1
10 328 1
22 329 1
24 330 1
24 331 1
40 331 1
6 331 1
17 331 1
29 331 1
19 332 1
31 332 1
17 333 1
27 333 1
15 333 1
21 333 1
39 333 1
28 334 1
14 334 1
6 334 1
9 334 1
3 334 1
15 334 1
29 335 1
23 336 1
31 337 1
25 337 1
29 337 1
45 338 1
32 338 1
47 339 1
0 340 1
10 341 1
13 342 1
25 342 1
13 343 1
8 344 1
12 344 1
44 344 1
39 344 1
10 344 1
30 345 1
47 345 1
20 346 1
12 347 1
30 347 1
35 348 1
19 349 1
22 349 1
13 350 1
25 350 1
24 351 1
35 351 1
26 351 1
14 352 1
40 352 1
7 352 1
3 352 1
22 352 1
49 353 1
42 354 1
5 354 1
14 354 1
35 354 1
12 354 1
30 354 1
45 354 1
32 354 1
13 354 1
47 354 1
7 354 1
16 354 1
33 354 1
0 354 1
57 354 1
3 354 1
36 354 1
22 354 1
39 354 1
34 354 1
72 355 1
61 355 1
39 355 1
24 356 1
28 357 1
6 357 1
13 357 1
26 357 1
7 357 1
59 357 1
56 357 1
2 357 1
9 357 1
58 357 1
25 357 1
29 357 1
11 357 1
15 357 1
21 357 1
22 357 1
10 357 1
16 358 1
9 358 1
48 358 1
22 358 1
49 359 1
6 359 1
2 360 1
21 360 1
55 361 1
14 362 1
30 362 1
13 362 1
16 362 1
22 362 1
34 362 1
14 363 1
30 363 1
32 363 1
4 363 1
22 363 1
32 364 1
9 364 1
45 365 1
9 365 1
15 365 1
21 365 1
28 366 1
6 366 1
12 366 1
53 366 1
2 366 1
25 366 1
4 366 1
15 366 1
21 366 1
9 367 1
6 368 1
12 368 1
30 368 1
13 368 1
23 368 1
7 368 1
21 368 1
55 368 1
6 369 1
27 369 1
29 369 1
55 369 1
28 370 1
16 370 1
50 370 1
9 371 1
49 372 1
72 372 1
24 372 1
67 372 1
14 372 1
40 372 1
12 372 1
45 372 1
53 372 1
20 372 1
47 372 1
16 372 1
33 372 1
0 372 1
50 372 1
57 372 1
11 372 1
15 372 1
21 372 1
39 372 1
34 372 1
65 372 1
55 373 1
28 374 1
33 375 1
12 376 1
45 376 1
53 376 1
22 376 1
39 376 1
19 377 1
45 377 1
47 377 1
4 377 1
28 378 1
4 379 1
32 380 1
11 380 1
2 381 1
10 382 1
19 383 1
14 383 1
12 383 1
45 383 1
7 383 1
25 383 1
28 384 1
2 384 1
6 385 1
12 385 1
13 385 1
19 386 1
21 386 1
16 387 1
9 388 1
50 388 1
29 388 1
15 388 1
10 388 1
20 389 1
13 390 1
4 390 1
39 390 1
7 391 1
16 392 1
33 392 1
14 393 1
21 393 1
28 394 1
19 395 1
5 395 1
32 395 1
73 395 1
30 396 1
16 396 1
19 397 1
1 397 1
6 398 1
29 398 1
55 399 1
61 400 1
5 400 1
26 400 1
16 400 1
34 400 1
70 401 1
19 402 1
9 403 1
28 404 1
25 404 1
21 404 1
30 405 1
3 405 1
14 406 1
6 406 1
12 406 1
23 406 1
2 406 1
9 406 1
1 406 1
63 406 1
47 407 1
0 407 1
36 407 1
53 408 1
13 408 1
1 409 1
10 409 1
45 410 1
12 411 1
45 411 1
0 411 1
22 411 1
34 411 1
11 412 1
19 413 1
53 413 1
10 414 1
45 415 1
4 415 1
55 415 1
29 416 1
6 417 1
27 418 1
35 419 1
9 420 1
30 421 1
50 422 1
3 423 1
10 424 1
28 425 1
12 426 1
21 426 1
3 427 1
21 428 1
19 429 1
13 430 1
74 431 1
33 432 1
35 433 1
6 433 1
12 433 1
33 433 1
3 433 1
34 433 1
55 433 1
75 434 1
24 435 1
35 436 1
22 436 1
76 436 1
6 437 1
45 437 1
21 437 1
19 438 1
56 438 1
34 438 1
12 439 1
16 439 1
13 440 1
2 441 1
10 442 1
28 443 1
21 444 1
14 445 1
9 445 1
29 446 1
1 447 1
14 448 1
6 448 1
10 449 1
19 450 1
33 450 1
9 450 1
3 450 1
65 451 1
17 452 1
24 453 1
56 453 1
0 453 1
22 453 1
76 453 1
33 454 1
2 454 1
27 455 1
11 456 1
42 457 1
21 458 1
33 459 1
13 460 1
65 461 1
3 462 1
15 463 1
10 464 1
6 465 1
13 465 1
12 466 1
30 466 1
46 467 1
33 468 1
14 469 1
13 469 1
26 469 1
9 469 1
0 469 1
39 469 1
5 470 1
6 471 1
16 472 1
9 472 1
3 472 1
61 473 1
28 474 1
61 474 1
32 474 1
13 474 1
23 474 1
16 474 1
56 474 1
1 474 1
8 475 1
13 476 1
6 477 1
40 478 1
25 479 1
16 480 1
9 481 1
14 482 1
20 483 1
34 484 1
22 485 1
21 486 1
46 487 1
34 488 1
15 489 1
40 490 1
40 491 1
26 492 1
24 493 1
19 493 1
14 493 1
9 493 1
0 493 1
35 494 1
25 494 1
32 495 1
0 495 1
45 496 1
13 496 1
16 496 1
0 496 1
19 497 1
13 497 1
14 498 1
45 498 1
0 498 1
24 499 1
25 500 1
24 501 1
25 501 1
47 502 1
8 503 1
47 503 1
19 504 1
15 505 1
49 506 1
25 507 1
35 508 1
25 508 1
24 509 1
26 510 1
42 511 1
13 512 1
25 513 1
9 514 1
6 515 1
13 515 1
28 516 1
19 516 1
16 516 1
37 516 1
1 516 1
39 516 1
19 517 1
16 517 1
15 517 1
39 517 1
18 518 1
19 518 1
9 518 1
25 518 1
38 518 1
12 519 1
41 519 1
22 519 1
19 520 1
13 521 1
23 521 1
41 521 1
5 522 1
20 522 1
9 522 1
25 522 1
13 523 1
9 523 1
38 523 1
20 524 1
21 524 1
23 525 1
19 526 1
14 526 1
35 526 1
6 526 1
30 526 1
23 526 1
16 526 1
0 526 1
24 527 1
0 527 1
22 527 1
18 528 1
6 528 1
37 528 1
25 528 1
13 529 1
77 530 1
21 531 1
9 532 1
47 533 1
17 534 1
24 535 1
19 535 1
0 535 1
25 535 1
38 535 1
22 535 1
19 536 1
9 536 1
34 537 1
32 538 1
71 539 1
42 540 1
12 541 1
2 542 1
21 542 1
10 543 1
24 544 1
26 544 1
30 545 1
20 545 1
16 545 1
28 546 1
24 546 1
19 546 1
12 546 1
45 546 1
53 546 1
31 546 1
26 546 1
7 546 1
0 546 1
1 546 1
25 546 1
39 546 1
34 546 1
17 547 1
6 548 1
45 548 1
13 548 1
42 549 1
30 549 1
17 550 1
8 551 1
1 552 1
14 553 1
12 553 1
13 553 1
34 553 1
25 554 1
30 555 1
32 556 1
25 557 1
6 558 1
13 558 1
78 559 1
12 559 1
59 559 1
34 559 1
6 560 1
67 561 1
13 561 1
9 561 1
76 561 1
6 562 1
13 562 1
25 562 1
35 563 1
0 564 1
2 565 1
9 565 1
0 565 1
25 565 1
34 565 1
56 566 1
14 567 1
16 567 1
33 567 1
9 567 1
35 568 1
23 568 1
9 568 1
0 568 1
35 569 1
32 569 1
7 569 1
37 569 1
1 569 1
25 569 1
29 569 1
22 569 1
7 570 1
24 571 1
53 571 1
9 572 1
15 572 1
19 573 1
19 574 1
23 575 1
0 576 1
39 576 1
34 576 1
24 577 1
9 577 1
51 577 1
53 578 1
20 579 1
38 580 1
35 581 1
7 581 1
16 581 1
9 581 1
4 581 1
39 581 1
34 581 1
19 582 1
53 583 1
23 583 1
1 584 1
42 585 1
40 586 1
4 587 1
20 588 1
26 588 1
0 589 1
39 589 1
9 590 1
66 590 1
38 590 1
22 590 1
39 590 1
12 591 1
56 591 1
66 591 1
22 592 1
12 593 1
9 593 1
0 593 1
35 594 1
33 595 1
28 596 1
25 597 1
20 598 1
21 599 1
6 600 1
2 601 1
15 601 1
34 601 1
1 602 1
24 603 1
0 604 1
29 604 1
3 604 1
22 604 1
79 605 1
19 605 1
14 605 1
35 605 1
80 605 1
45 605 1
31 605 1
23 605 1
26 605 1
56 605 1
27 605 1
0 605 1
25 605 1
54 605 1
38 605 1
41 605 1
22 605 1
72 606 1
6 607 1
45 607 1
26 607 1
27 607 1
14 608 1
2 609 1
49 610 1
6 610 1
12 610 1
13 610 1
2 610 1
1 610 1
25 610 1
26 611 1
