7242 175973
0 1329 1
1 1329 1
2 1329 1
3 1329 1
4 1329 1
5 1330 1
6 1330 1
7 1330 1
8 1330 1
9 1330 1
10 1330 1
11 1330 1
12 1330 1
13 1330 1
14 1330 1
15 1330 1
16 1330 1
17 1330 1
18 1330 1
19 1330 1
20 1330 1
21 1330 1
22 1330 1
23 1330 1
24 1330 1
25 1330 1
26 1330 1
27 1330 1
28 1330 1
29 1330 1
30 1330 1
31 1330 1
32 1330 1
33 1330 1
34 1330 1
35 1330 1
36 1330 1
37 1330 1
38 1330 1
39 1330 1
40 1331 1
9 1332 1
41 1333 1
42 1333 1
43 1333 1
44 1333 1
45 1333 1
46 1333 1
47 1333 1
48 1333 1
49 1333 1
50 1333 1
51 1333 1
52 1333 1
53 1333 1
54 1333 1
55 1333 1
56 1333 1
57 1333 1
58 1333 1
22 1333 1
59 1333 1
60 1333 1
61 1333 1
62 1333 1
63 1333 1
64 1333 1
65 1333 1
66 1333 1
67 1333 1
68 1333 1
69 1333 1
70 1333 1
71 1333 1
72 1333 1
73 1333 1
74 1333 1
75 1333 1
76 1333 1
77 1333 1
78 1333 1
79 1333 1
80 1333 1
81 1333 1
82 1333 1
83 1333 1
84 1333 1
85 1333 1
86 1333 1
87 1333 1
88 1333 1
89 1333 1
90 1333 1
91 1333 1
92 1333 1
93 1333 1
94 1333 1
95 1333 1
96 1333 1
97 1333 1
98 1333 1
99 1333 1
100 1333 1
101 1333 1
102 1333 1
103 1334 1
104 1334 1
105 1334 1
106 1334 1
107 1334 1
108 1334 1
109 1334 1
110 1334 1
111 1335 1
50 1335 1
112 1335 1
113 1335 1
114 1335 1
115 1335 1
116 1335 1
117 1335 1
3 1335 1
118 1335 1
119 1335 1
120 1335 1
121 1335 1
122 1335 1
123 1335 1
124 1335 1
125 1335 1
126 1335 1
127 1335 1
128 1335 1
129 1335 1
130 1335 1
131 1335 1
132 1335 1
133 1335 1
134 1335 1
135 1335 1
136 1335 1
137 1335 1
138 1335 1
139 1335 1
140 1335 1
5 1335 1
141 1335 1
142 1335 1
143 1335 1
144 1335 1
145 1335 1
146 1335 1
147 1335 1
148 1335 1
2 1335 1
149 1335 1
150 1335 1
151 1335 1
152 1335 1
26 1335 1
83 1335 1
84 1335 1
153 1335 1
154 1335 1
155 1335 1
156 1335 1
157 1335 1
96 1335 1
158 1335 1
159 1335 1
160 1335 1
161 1335 1
162 1335 1
112 1336 1
163 1336 1
164 1336 1
61 1336 1
132 1336 1
165 1336 1
166 1336 1
107 1336 1
91 1336 1
167 1336 1
92 1336 1
168 1336 1
169 1336 1
170 1337 1
171 1337 1
13 1337 1
115 1337 1
172 1337 1
173 1337 1
174 1337 1
25 1337 1
175 1337 1
131 1337 1
176 1337 1
33 1337 1
5 1337 1
177 1337 1
12 1337 1
178 1337 1
179 1337 1
23 1337 1
180 1337 1
181 1337 1
93 1337 1
182 1337 1
183 1337 1
184 1337 1
185 1337 1
186 1337 1
162 1337 1
187 1337 1
188 1337 1
189 1337 1
123 1337 1
190 1337 1
30 1337 1
191 1337 1
133 1337 1
31 1337 1
192 1337 1
193 1337 1
194 1337 1
34 1337 1
195 1337 1
146 1337 1
196 1337 1
197 1337 1
148 1337 1
198 1337 1
199 1337 1
200 1337 1
201 1337 1
0 1337 1
202 1337 1
101 1337 1
203 1337 1
204 1338 1
127 1338 1
205 1338 1
206 1338 1
156 1338 1
94 1338 1
207 1338 1
208 1338 1
22 1338 1
62 1338 1
133 1338 1
134 1338 1
192 1338 1
209 1338 1
210 1338 1
4 1338 1
165 1338 1
211 1338 1
212 1338 1
92 1338 1
213 1338 1
155 1339 1
214 1339 1
215 1339 1
216 1340 1
155 1340 1
217 1340 1
218 1340 1
116 1341 1
163 1341 1
164 1341 1
126 1341 1
131 1341 1
176 1341 1
219 1341 1
220 1341 1
221 1341 1
99 1341 1
222 1341 1
223 1341 1
224 1341 1
225 1341 1
226 1341 1
189 1341 1
214 1341 1
123 1341 1
227 1341 1
132 1341 1
31 1341 1
104 1341 1
141 1341 1
165 1341 1
228 1341 1
198 1341 1
229 1341 1
230 1341 1
231 1341 1
232 1341 1
158 1341 1
233 1341 1
234 1342 1
235 1342 1
13 1343 1
236 1343 1
237 1343 1
238 1343 1
239 1343 1
240 1343 1
241 1343 1
242 1343 1
184 1343 1
243 1343 1
169 1343 1
244 1343 1
245 1343 1
246 1343 1
46 1343 1
247 1343 1
