3899 36550
0 293 1
1 293 1
2 293 1
3 294 1
4 295 1
5 295 1
6 296 1
7 297 1
8 297 1
9 297 1
10 298 1
1 298 1
11 299 1
12 299 1
13 299 1
14 299 1
15 299 1
16 299 1
17 299 1
18 299 1
19 299 1
20 299 1
21 299 1
22 300 1
4 301 1
23 301 1
24 301 1
25 301 1
26 301 1
27 301 1
10 301 1
28 301 1
7 301 1
29 301 1
30 301 1
31 301 1
32 301 1
33 301 1
34 301 1
35 301 1
36 301 1
37 301 1
38 301 1
39 301 1
40 301 1
41 301 1
42 301 1
43 301 1
44 301 1
45 301 1
46 301 1
8 301 1
19 301 1
47 301 1
5 301 1
48 302 1
1 302 1
49 302 1
50 302 1
51 302 1
36 302 1
38 302 1
52 302 1
39 302 1
53 302 1
54 302 1
55 302 1
45 302 1
22 302 1
3 302 1
56 302 1
11 303 1
12 303 1
57 303 1
58 303 1
15 303 1
59 303 1
60 303 1
16 303 1
19 303 1
61 303 1
62 303 1
63 304 1
64 305 1
50 305 1
59 305 1
45 305 1
8 305 1
65 305 1
66 306 1
66 307 1
40 308 1
67 309 1
68 309 1
69 309 1
66 310 1
11 310 1
12 310 1
70 310 1
25 310 1
71 310 1
26 310 1
28 310 1
29 310 1
30 310 1
31 310 1
32 310 1
1 310 1
33 310 1
72 310 1
73 310 1
74 310 1
35 310 1
2 310 1
67 310 1
16 310 1
75 310 1
76 310 1
77 310 1
78 310 1
63 310 1
46 310 1
65 310 1
79 310 1
80 310 1
81 310 1
61 310 1
35 311 1
67 311 1
46 311 1
25 312 1
10 313 1
16 313 1
75 313 1
61 313 1
68 314 1
82 314 1
7 315 1
38 315 1
8 315 1
83 316 1
84 316 1
66 317 1
85 317 1
67 317 1
86 317 1
87 317 1
88 317 1
89 317 1
90 317 1
65 317 1
91 317 1
92 317 1
93 317 1
94 317 1
5 317 1
22 318 1
95 319 1
96 319 1
24 319 1
50 319 1
97 319 1
38 319 1
98 319 1
99 319 1
100 319 1
101 319 1
39 319 1
102 319 1
68 319 1
82 319 1
103 319 1
104 319 1
105 319 1
106 319 1
107 319 1
86 319 1
87 319 1
88 319 1
89 319 1
90 319 1
46 319 1
8 319 1
94 319 1
40 320 1
8 320 1
108 320 1
45 320 1
38 321 1
109 322 1
52 322 1
23 323 1
13 323 1
110 323 1
64 323 1
27 323 1
111 323 1
1 323 1
72 323 1
112 323 1
57 323 1
50 323 1
35 323 1
113 323 1
114 323 1
52 323 1
115 323 1
116 323 1
18 323 1
65 323 1
9 323 1
117 323 1
21 323 1
118 323 1
14 323 1
119 323 1
36 323 1
120 323 1
15 323 1
60 323 1
39 323 1
121 323 1
122 323 1
42 323 1
53 323 1
123 323 1
55 323 1
77 323 1
124 323 1
45 323 1
78 323 1
63 323 1
22 323 1
125 323 1
79 323 1
56 323 1
126 323 1
127 323 1
81 323 1
61 323 1
90 324 1
68 324 1
82 324 1
128 324 1
129 325 1
35 325 1
113 325 1
19 325 1
84 325 1
21 325 1
28 325 1
130 325 1
14 325 1
53 325 1
131 325 1
132 325 1
77 325 1
3 325 1
125 325 1
133 325 1
61 325 1
1 326 1
72 326 1
2 326 1
28 326 1
134 326 1
3 327 1
135 327 1
31 328 1
67 328 1
41 328 1
124 328 1
46 329 1
117 329 1
0 329 1
10 329 1
46 330 1
136 331 1
137 332 1
77 332 1
3 333 1
73 334 1
36 334 1
8 335 1
108 335 1
17 335 1
136 336 1
138 336 1
40 337 1
3 337 1
19 338 1
139 339 1
140 339 1
3 339 1
136 340 1
115 340 1
117 340 1
10 340 1
7 340 1
3 340 1
59 341 1
141 342 1
72 342 1
142 342 1
18 342 1
16 342 1
78 342 1
143 342 1
56 342 1
61 342 1
13 343 1
33 343 1
35 343 1
28 343 1
31 343 1
44 344 1
1 345 1
15 346 1
80 347 1
66 347 1
31 347 1
144 348 1
68 348 1
82 348 1
23 349 1
9 349 1
56 349 1
126 349 1
145 350 1
90 351 1
99 351 1
68 351 1
82 351 1
88 351 1
125 351 1
56 351 1
68 352 1
82 352 1
125 352 1
135 352 1
56 352 1
126 352 1
1 353 1
59 353 1
115 353 1
146 353 1
126 353 1
147 354 1
48 354 1
148 354 1
144 354 1
96 354 1
149 354 1
24 354 1
150 354 1
136 354 1
151 354 1
64 354 1
152 354 1
153 354 1
109 354 1
154 354 1
1 354 1
49 354 1
72 354 1
58 354 1
129 354 1
85 354 1
113 354 1
155 354 1
114 354 1
59 354 1
156 354 1
90 354 1
157 354 1
116 354 1
138 354 1
137 354 1
158 354 1
159 354 1
65 354 1
91 354 1
92 354 1
93 354 1
21 354 1
25 354 1
160 354 1
161 354 1
71 354 1
108 354 1
28 354 1
162 354 1
7 354 1
31 354 1
163 354 1
