3916 18554
0 82 1
1 83 1
2 83 1
2 84 1
3 84 1
4 84 1
2 85 1
0 86 1
5 86 1
6 86 1
7 86 1
8 86 1
9 86 1
4 86 1
10 86 1
11 87 1
12 87 1
13 87 1
14 87 1
15 87 1
2 88 1
3 88 1
16 89 1
3 89 1
10 89 1
17 89 1
18 90 1
19 90 1
8 90 1
16 90 1
20 90 1
13 91 1
21 91 1
22 91 1
19 92 1
5 92 1
7 92 1
23 92 1
4 92 1
24 92 1
10 92 1
25 93 1
12 94 1
26 94 1
2 95 1
27 96 1
28 97 1
9 97 1
29 97 1
30 97 1
31 97 1
32 97 1
20 98 1
33 99 1
21 99 1
34 99 1
35 99 1
36 99 1
33 100 1
11 100 1
37 100 1
3 101 1
16 102 1
10 102 1
13 103 1
38 103 1
18 104 1
13 104 1
24 104 1
39 104 1
21 105 1
40 105 1
41 105 1
16 106 1
10 106 1
17 106 1
0 107 1
7 107 1
13 107 1
42 107 1
20 107 1
3 107 1
10 107 1
19 107 1
5 107 1
9 107 1
23 107 1
43 107 1
41 107 1
13 108 1
16 109 1
0 110 1
1 110 1
4 110 1
13 111 1
42 111 1
20 111 1
44 111 1
45 111 1
1 111 1
38 111 1
32 111 1
35 111 1
18 111 1
19 111 1
46 111 1
5 111 1
11 111 1
47 111 1
48 111 1
43 111 1
24 111 1
22 111 1
41 111 1
33 112 1
49 112 1
13 112 1
50 112 1
38 112 1
32 112 1
5 112 1
4 112 1
12 113 1
45 113 1
2 113 1
22 113 1
7 114 1
42 114 1
51 114 1
1 114 1
18 114 1
11 114 1
52 114 1
9 114 1
23 114 1
43 114 1
17 115 1
28 116 1
12 116 1
26 116 1
30 116 1
20 116 1
39 116 1
1 116 1
32 116 1
11 116 1
6 116 1
14 116 1
47 116 1
37 116 1
34 116 1
23 116 1
53 116 1
22 116 1
31 116 1
17 117 1
47 117 1
17 118 1
18 118 1
41 119 1
17 120 1
0 121 1
38 121 1
12 122 1
1 122 1
35 122 1
11 122 1
52 122 1
54 123 1
40 123 1
2 124 1
41 125 1
0 126 1
11 126 1
2 126 1
23 126 1
55 126 1
56 126 1
12 127 1
15 127 1
25 127 1
42 128 1
10 128 1
38 128 1
17 128 1
5 128 1
9 128 1
23 128 1
53 128 1
17 129 1
50 130 1
12 131 1
25 131 1
36 131 1
12 132 1
42 132 1
44 132 1
11 132 1
6 132 1
8 132 1
9 132 1
23 132 1
41 133 1
0 134 1
20 134 1
3 134 1
38 134 1
17 134 1
18 134 1
5 134 1
38 135 1
27 136 1
12 136 1
26 136 1
15 136 1
45 136 1
34 136 1
25 136 1
22 136 1
28 137 1
26 137 1
30 137 1
2 137 1
38 138 1
18 138 1
5 138 1
4 138 1
21 139 1
45 140 1
31 140 1
36 140 1
40 141 1
0 142 1
44 142 1
1 143 1
2 143 1
12 144 1
15 144 1
37 144 1
40 145 1
2 145 1
2 146 1
13 147 1
38 147 1
5 147 1
19 148 1
5 148 1
26 149 1
42 149 1
57 149 1
11 149 1
6 149 1
58 149 1
47 149 1
37 149 1
9 149 1
23 149 1
53 149 1
24 149 1
21 150 1
9 151 1
59 151 1
44 152 1
1 152 1
10 153 1
24 153 1
22 153 1
2 154 1
9 154 1
23 154 1
38 155 1
5 155 1
17 156 1
11 156 1
2 156 1
13 157 1
29 157 1
20 157 1
31 157 1
41 157 1
7 158 1
29 158 1
38 158 1
11 158 1
52 158 1
55 158 1
15 159 1
11 159 1
3 160 1
45 160 1
32 160 1
12 161 1
26 161 1
15 161 1
22 161 1
15 162 1
45 162 1
47 162 1
60 162 1
22 162 1
2 163 1
13 164 1
2 164 1
13 165 1
2 165 1
28 166 1
12 166 1
21 166 1
30 166 1
20 166 1
15 166 1
45 166 1
39 166 1
32 166 1
37 166 1
25 166 1
22 166 1
31 166 1
44 167 1
17 167 1
4 167 1
0 168 1
21 168 1
3 168 1
45 168 1
38 168 1
32 168 1
19 168 1
5 168 1
8 168 1
58 168 1
14 168 1
47 168 1
23 168 1
25 168 1
0 169 1
44 169 1
1 169 1
35 169 1
18 169 1
11 169 1
6 169 1
2 169 1
59 169 1
4 169 1
25 169 1
2 170 1
48 171 1
7 172 1
42 172 1
39 172 1
58 172 1
9 172 1
23 172 1
24 172 1
31 172 1
41 172 1
12 173 1
13 173 1
3 173 1
11 173 1
12 174 1
45 175 1
46 175 1
31 175 1
36 175 1
0 176 1
49 176 1
16 176 1
44 176 1
10 176 1
38 176 1
17 176 1
5 176 1
61 176 1
28 177 1
21 177 1
50 178 1
25 178 1
13 179 1
29 179 1
20 179 1
3 179 1
62 179 1
17 179 1
5 179 1
14 179 1
9 179 1
48 179 1
4 179 1
22 179 1
31 179 1
18 180 1
3 181 1
44 181 1
17 181 1
47 181 1
22 181 1
11 182 1
12 183 1
37 183 1
28 184 1
27 184 1
33 184 1
12 184 1
26 184 1
21 184 1
50 184 1
30 184 1
15 184 1
45 184 1
46 184 1
11 184 1
6 184 1
47 184 1
37 184 1
34 184 1
59 184 1
60 184 1
25 184 1
22 184 1
31 184 1
63 184 1
36 184 1
39 185 1
1 185 1
2 185 1
37 185 1
41 185 1
14 186 1
13 187 1
21 187 1
13 188 1
17 189 1
4 189 1
12 190 1
42 190 1
15 190 1
64 190 1
47 190 1
37 190 1
34 190 1
60 190 1
25 190 1
39 191 1
1 192 1
62 192 1
52 192 1
2 192 1
56 192 1
41 192 1
2 193 1
17 194 1
42 195 1
38 195 1
18 195 1
5 195 1
11 195 1
6 195 1
8 195 1
2 195 1
9 195 1
23 195 1
4 195 1
27 196 1
33 196 1
12 196 1
30 196 1
20 196 1
15 196 1
52 196 1
60 196 1
13 197 1
42 197 1
29 197 1
15 197 1
45 197 1
38 197 1
32 197 1
17 197 1
18 197 1
5 197 1
2 197 1
37 197 1
59 197 1
65 197 1
43 197 1
25 197 1
22 197 1
63 197 1
0 198 1
42 198 1
20 198 1
5 198 1
23 198 1
38 199 1
5 199 1
23 199 1
0 200 1
16 200 1
20 200 1
44 200 1
10 200 1
1 200 1
17 200 1
18 200 1
19 200 1
5 200 1
23 200 1
48 200 1
62 201 1
1 202 1
38 202 1
18 202 1
5 202 1
2 202 1
4 202 1
25 203 1
22 203 1
63 203 1
53 204 1
27 205 1
16 205 1
10 205 1
37 205 1
25 205 1
0 206 1
18 206 1
5 206 1
66 207 1
42 208 1
59 209 1
21 210 1
45 210 1
1 210 1
32 210 1
19 210 1
14 210 1
25 210 1
31 210 1
41 210 1
14 211 1
0 212 1
67 212 1
10 212 1
1 212 1
32 212 1
18 212 1
5 212 1
52 212 1
2 212 1
9 212 1
23 212 1
41 212 1
49 213 1
57 213 1
51 213 1
1 213 1
18 213 1
6 213 1
53 213 1
24 213 1
0 214 1
16 214 1
20 214 1
9 214 1
24 214 1
33 215 1
29 215 1
67 215 1
51 215 1
1 215 1
35 215 1
11 215 1
52 215 1
58 215 1
34 215 1
25 215 1
56 215 1
41 215 1
1 216 1
46 217 1
52 217 1
2 217 1
25 217 1
22 218 1
27 219 1
33 219 1
26 219 1
45 219 1
68 219 1
39 219 1
22 219 1
31 219 1
31 220 1
39 221 1
2 221 1
60 221 1
25 221 1
36 221 1
3 222 1
41 222 1
12 223 1
29 224 1
18 224 1
5 224 1
41 224 1
0 225 1
28 225 1
7 225 1
12 225 1
13 225 1
30 225 1
20 225 1
3 225 1
15 225 1
1 225 1
38 225 1
32 225 1
64 225 1
19 225 1
5 225 1
47 225 1
40 225 1
37 225 1
34 225 1
