5704 72230
0 391 1
1 391 1
2 391 1
3 392 1
4 392 1
5 392 1
6 392 1
7 392 1
8 392 1
9 392 1
10 392 1
11 392 1
12 393 1
13 393 1
14 393 1
15 393 1
16 393 1
17 393 1
18 393 1
19 393 1
20 393 1
21 393 1
22 393 1
23 393 1
24 393 1
25 393 1
26 393 1
27 393 1
28 393 1
29 393 1
30 394 1
2 394 1
5 394 1
31 394 1
32 394 1
33 394 1
34 394 1
35 394 1
36 394 1
37 394 1
38 394 1
39 394 1
0 394 1
40 394 1
41 394 1
42 395 1
43 395 1
44 395 1
9 395 1
45 395 1
46 395 1
47 395 1
48 395 1
3 395 1
49 395 1
6 395 1
50 395 1
51 395 1
8 395 1
52 395 1
53 396 1
54 396 1
38 396 1
55 396 1
56 397 1
57 397 1
30 397 1
58 397 1
59 397 1
60 397 1
61 397 1
62 397 1
7 397 1
63 397 1
3 397 1
64 397 1
4 397 1
65 397 1
66 397 1
39 397 1
0 397 1
67 397 1
68 397 1
41 397 1
69 397 1
70 397 1
71 397 1
2 397 1
72 397 1
43 397 1
73 397 1
45 397 1
74 397 1
75 397 1
76 397 1
50 397 1
77 397 1
5 398 1
78 398 1
79 398 1
39 398 1
80 398 1
45 398 1
81 398 1
82 398 1
83 398 1
84 399 1
85 399 1
86 399 1
87 399 1
88 399 1
89 400 1
90 401 1
58 401 1
91 401 1
92 401 1
93 401 1
43 401 1
32 401 1
94 401 1
95 402 1
90 402 1
91 402 1
96 402 1
92 402 1
93 402 1
97 402 1
98 402 1
9 403 1
99 403 1
100 403 1
14 403 1
101 403 1
88 403 1
102 403 1
13 404 1
103 404 1
104 404 1
9 404 1
105 404 1
106 404 1
78 404 1
3 404 1
4 404 1
38 404 1
84 404 1
107 404 1
2 404 1
73 404 1
23 404 1
6 404 1
108 404 1
51 404 1
8 404 1
88 404 1
5 405 1
109 405 1
63 405 1
46 405 1
100 405 1
98 405 1
110 406 1
56 407 1
9 407 1
39 407 1
86 407 1
111 407 1
6 407 1
51 407 1
83 407 1
56 408 1
5 408 1
84 408 1
112 408 1
113 408 1
67 408 1
114 408 1
100 408 1
14 408 1
51 408 1
61 409 1
4 409 1
37 409 1
39 409 1
41 409 1
115 409 1
12 409 1
116 409 1
117 409 1
36 409 1
118 410 1
119 410 1
120 410 1
30 410 1
121 410 1
60 410 1
62 410 1
122 410 1
123 410 1
124 410 1
105 410 1
125 410 1
92 410 1
47 410 1
126 410 1
34 410 1
97 410 1
127 410 1
4 410 1
128 410 1
65 410 1
129 410 1
66 410 1
85 410 1
130 410 1
131 410 1
132 410 1
114 410 1
133 410 1
